step,reward
75000,-2.436000108718872
150000,-1.9179999828338623
225000,-1.4173333644866943
300000,-1.0679999589920044
375000,-0.8575999736785889
450000,-0.7200000286102295
525000,-0.6200000047683716
600000,-0.5440000295639038
675000,-0.48577776551246643
750000,-0.43959999084472656
825000,-0.40145453810691833
900000,-0.37033334374427795
975000,-0.34430769085884094
1050000,-0.32028570771217346
1125000,-0.29919999837875366
1200000,-0.28049999475479126
1275000,-0.26447057723999023
1350000,-0.25022223591804504
1425000,-0.23726315796375275
1500000,-0.225600004196167
1575000,-0.10419999808073044
1650000,-0.03420000150799751
1725000,-0.013399999588727951
1800000,-0.012799999676644802
1875000,-0.012199999764561653
1950000,-0.010599999688565731
2025000,-0.009600000455975533
2100000,-0.008999999612569809
2175000,-0.008200000040233135
2250000,-0.007000000216066837
2325000,-0.006000000052154064
2400000,-0.004600000102072954
2475000,-0.003000000026077032
2550000,-0.0026000000070780516
2625000,-0.002400000113993883
2700000,-0.002400000113993883
2775000,-0.0020000000949949026
2850000,-0.0015999999595806003
2925000,-0.00139999995008111
3000000,-0.0012000000569969416
3075000,-0.0007999999797903001
3150000,-0.0007999999797903001
3225000,-0.0007999999797903001
3300000,-0.00039999998989515007
3375000,-0.00019999999494757503
3450000,-0.00019999999494757503
3525000,-0.00019999999494757503
3600000,-0.00019999999494757503
3675000,0.0
3750000,0.0
3825000,0.0
3900000,0.0
3975000,0.0
4050000,0.0
4125000,0.0
4200000,0.0
4275000,0.0
4350000,0.0
4425000,0.0
4500000,0.0
4575000,0.0
4650000,0.0
4725000,0.0
4800000,0.0
4875000,0.0
4950000,0.0
5025000,0.0
5100000,0.0
5175000,0.0
5250000,0.0
5325000,0.0
5400000,0.0
5475000,0.0
5550000,0.0
5625000,0.0
5700000,0.0
5775000,0.0
5850000,0.0
5925000,0.0
6000000,0.0
6075000,0.0
6150000,0.0
6225000,0.0
6300000,0.0
6375000,0.0
6450000,0.0
6525000,0.0
6600000,0.0
6675000,0.0
6750000,0.0
6825000,0.0
6900000,0.0
6975000,0.0
7050000,0.0
7125000,0.0
7200000,0.0
7275000,0.0
7350000,0.0
7425000,0.0
7500000,0.0
7575000,0.0
7650000,0.0
7725000,0.0
7800000,0.0
7875000,0.0
7950000,0.0
8025000,0.0
8100000,0.0
8175000,0.0
8250000,0.0
8325000,0.0
8400000,0.0
8475000,0.0
8550000,0.0
8625000,0.0
8700000,0.0
8775000,0.0
8850000,0.0
8925000,0.0
9000000,0.0
9075000,0.0
9150000,0.0
9225000,0.0
9300000,0.0
9375000,0.0
9450000,0.0
9525000,0.0
9600000,0.0
9675000,0.0
9750000,0.0
9825000,0.0
9900000,0.0
9975000,0.0
10050000,0.0
