step,reward
75000,-20.423999786376953
150000,-19.654399871826172
225000,-19.385601043701172
300000,-18.892000198364258
375000,-18.363840103149414
450000,-17.769866943359375
525000,-16.95908546447754
600000,-16.0093994140625
675000,-15.177422523498535
750000,-14.352640151977539
825000,-13.596073150634766
900000,-12.871200561523438
975000,-12.182523727416992
1050000,-11.536914825439453
1125000,-10.919573783874512
1200000,-10.361499786376953
1275000,-9.86240005493164
1350000,-9.396622657775879
1425000,-8.93280029296875
1500000,-8.508319854736328
1575000,-7.515920162200928
1650000,-6.594160079956055
1725000,-5.671760082244873
1800000,-4.809999942779541
1875000,-4.006239891052246
1950000,-3.27455997467041
2025000,-2.677680015563965
2100000,-2.2160000801086426
2175000,-1.7945600748062134
2250000,-1.4524800777435303
2325000,-1.1530400514602661
2400000,-0.9097599983215332
2475000,-0.7149600386619568
2550000,-0.5596799850463867
2625000,-0.44464001059532166
2700000,-0.3463200032711029
2775000,-0.2531999945640564
2850000,-0.18039999902248383
2925000,-0.15199999511241913
3000000,-0.13024000823497772
3075000,-0.10168000310659409
3150000,-0.07952000200748444
3225000,-0.05959999933838844
3300000,-0.05144000053405762
3375000,-0.04280000180006027
3450000,-0.03448000177741051
3525000,-0.026560001075267792
3600000,-0.020320000126957893
3675000,-0.01600000075995922
3750000,-0.009680000133812428
3825000,-0.007440000306814909
3900000,-0.0060800001956522465
3975000,-0.005200000014156103
4050000,-0.0033599999733269215
4125000,-0.00431999983265996
4200000,-0.003200000151991844
4275000,-0.0024800000246614218
4350000,-0.0014400000218302011
4425000,-0.0004000000189989805
4500000,0.0
4575000,7.999999797903001e-05
4650000,0.00031999999191612005
4725000,0.0004000000189989805
4800000,0.0010400000028312206
4875000,0.001120000029914081
4950000,0.001120000029914081
5025000,0.0010400000028312206
5100000,0.0010400000028312206
5175000,0.0012799999676644802
5250000,-0.0006399999838322401
5325000,-0.0008800000068731606
5400000,-0.0007200000109151006
5475000,-0.0005600000149570405
5550000,-0.00048000001697801054
5625000,-0.0008800000068731606
5700000,-0.000800000037997961
5775000,-0.0009600000339560211
5850000,-0.0008800000068731606
5925000,-0.0012000000569969416
6000000,-0.0012799999676644802
6075000,-0.001120000029914081
6150000,-0.0012000000569969416
6225000,-0.0006399999838322401
6300000,0.00024000000848900527
6375000,0.0009600000339560211
6450000,0.0008800000068731606
6525000,0.000800000037997961
6600000,0.0008800000068731606
6675000,0.0009600000339560211
6750000,0.0009600000339560211
6825000,0.0010400000028312206
6900000,0.0010400000028312206
6975000,0.0009600000339560211
7050000,0.0009600000339560211
7125000,0.001120000029914081
7200000,0.001120000029914081
7275000,0.0010400000028312206
7350000,0.0010400000028312206
7425000,0.0009600000339560211
7500000,0.0010400000028312206
7575000,0.0010400000028312206
7650000,0.0012000000569969416
7725000,0.0006399999838322401
7800000,-0.00024000000848900527
7875000,-0.0010400000028312206
7950000,-0.0007200000109151006
8025000,-0.0007200000109151006
8100000,-0.0006399999838322401
8175000,-0.0006399999838322401
8250000,-0.0006399999838322401
8325000,-0.0006399999838322401
8400000,-0.0005600000149570405
8475000,0.0005600000149570405
8550000,0.0005600000149570405
8625000,0.001600000075995922
8700000,0.002400000113993883
8775000,0.003200000151991844
8850000,0.004560000263154507
8925000,0.00791999977082014
9000000,0.008559999987483025
9075000,0.012640000320971012
9150000,0.012640000320971012
9225000,0.01360000018030405
9300000,0.014000000432133675
9375000,0.01655999943614006
9450000,0.018079999834299088
9525000,0.017839999869465828
9600000,0.019440000876784325
9675000,0.019920000806450844
9750000,0.020239999517798424
9825000,0.019759999588131905
9900000,0.019920000806450844
9975000,0.019279999658465385
10050000,0.019600000232458115
