step,reward
24000,-8.728333473205566
48000,-8.136667251586914
72000,-7.650555610656738
96000,-7.228333473205566
120000,-6.755666732788086
144000,-6.3541669845581055
168000,-5.983333587646484
192000,-5.642292022705078
216000,-5.350740909576416
240000,-5.078999996185303
264000,-4.825606346130371
288000,-4.595694541931152
312000,-4.383205413818359
336000,-4.186666965484619
360000,-4.0115556716918945
384000,-3.8488543033599854
408000,-3.700294256210327
432000,-3.5655555725097656
456000,-3.4422807693481445
480000,-3.3288333415985107
504000,-2.950166702270508
528000,-2.628833293914795
552000,-2.3493332862854004
576000,-2.1051666736602783
600000,-1.9147499799728394
624000,-1.75
648000,-1.6140832901000977
672000,-1.503666639328003
696000,-1.4040000438690186
720000,-1.3242499828338623
744000,-1.2601666450500488
768000,-1.2078332901000977
792000,-1.1667499542236328
816000,-1.1360000371932983
840000,-1.1094166040420532
864000,-1.090000033378601
888000,-1.0748332738876343
912000,-1.0614166259765625
936000,-1.0510833263397217
960000,-1.0428333282470703
984000,-1.0360833406448364
1008000,-1.03083336353302
1032000,-1.0269166231155396
1056000,-1.0235832929611206
1080000,-1.0210000276565552
1104000,-1.0187499523162842
1128000,-1.0173332691192627
1152000,-1.0154166221618652
1176000,-1.0146666765213013
1200000,-1.0131666660308838
1224000,-1.0132499933242798
1248000,-1.0124166011810303
1272000,-1.0120832920074463
1296000,-1.0116666555404663
1320000,-1.0106666088104248
1344000,-1.0099166631698608
1368000,-1.0089999437332153
1392000,-1.0089166164398193
1416000,-1.0085833072662354
1440000,-1.0084999799728394
1464000,-1.0077500343322754
1488000,-1.0074999332427979
1512000,-1.0069999694824219
1536000,-1.0067499876022339
1560000,-1.006583333015442
1584000,-1.006666660308838
1608000,-1.006666660308838
1632000,-1.006250023841858
1656000,-1.006250023841858
1680000,-1.0059999227523804
1704000,-1.0057499408721924
1728000,-1.0059165954589844
1752000,-1.0059999227523804
1776000,-1.0056666135787964
1800000,-1.0056666135787964
1824000,-1.0056666135787964
1848000,-1.0059165954589844
1872000,-1.0059999227523804
1896000,-1.0057499408721924
1920000,-1.0055832862854004
1944000,-1.0053333044052124
1968000,-1.0049999952316284
1992000,-1.0052499771118164
2016000,-1.0049999952316284
2040000,-1.0050833225250244
2064000,-1.0048333406448364
2088000,-1.004249930381775
2112000,-1.004333257675171
2136000,-1.003916621208191
2160000,-1.004166603088379
2184000,-1.003999948501587
2208000,-1.003749966621399
2232000,-1.003499984741211
2256000,-1.003666639328003
2280000,-1.003416657447815
2304000,-1.003166675567627
2328000,-1.003000020980835
2352000,-1.002833366394043
2376000,-1.0027499198913574
2400000,-1.0026665925979614
2424000,-1.002916693687439
2448000,-1.002833366394043
2472000,-1.0027499198913574
2496000,-1.0026665925979614
2520000,-1.0025832653045654
2544000,-1.0027499198913574
2568000,-1.002916693687439
2592000,-1.002916693687439
2616000,-1.002833366394043
2640000,-1.0027499198913574
2664000,-1.0026665925979614
2688000,-1.0027499198913574
2712000,-1.002916693687439
2736000,-1.002916693687439
2760000,-1.0027499198913574
2784000,-1.0027499198913574
2808000,-1.0025832653045654
2832000,-1.0024999380111694
2856000,-1.0024166107177734
2880000,-1.0023332834243774
2904000,-1.0020833015441895
2928000,-1.0023332834243774
2952000,-1.0023332834243774
2976000,-1.0024166107177734
3000000,-1.0024999380111694
3024000,-1.0023332834243774
3048000,-1.0021666288375854
3072000,-1.0020833015441895
3096000,-1.0020833015441895
3120000,-1.0017499923706055
3144000,-1.0016666650772095
3168000,-1.0015000104904175
3192000,-1.0013333559036255
3216000,-1.0011667013168335
3240000,-1.0011667013168335
3264000,-1.0012500286102295
3288000,-1.0013333559036255
3312000,-1.0014166831970215
3336000,-1.0014166831970215
3360000,-1.0014166831970215
3384000,-1.0017499923706055
3408000,-1.0017499923706055
3432000,-1.0016666650772095
3456000,-1.0015833377838135
3480000,-1.0015000104904175
3504000,-1.0013333559036255
3528000,-1.0014166831970215
3552000,-1.0015833377838135
3576000,-1.0016666650772095
3600000,-1.0016666650772095
3624000,-1.0016666650772095
3648000,-1.0019999742507935
3672000,-1.0019166469573975
3696000,-1.0018333196640015
3720000,-1.0019166469573975
3744000,-1.0019166469573975
3768000,-1.0019166469573975
3792000,-1.0017499923706055
3816000,-1.0016666650772095
3840000,-1.0017499923706055
3864000,-1.0015000104904175
3888000,-1.0013333559036255
3912000,-1.0012500286102295
3936000,-1.0013333559036255
3960000,-1.0015000104904175
3984000,-1.0015000104904175
4008000,-1.0015000104904175
4032000,-1.0014166831970215
4056000,-1.0014166831970215
4080000,-1.0015000104904175
4104000,-1.0015000104904175
4128000,-1.0011667013168335
4152000,-1.0011667013168335
4176000,-1.0012500286102295
4200000,-1.0011667013168335
4224000,-1.0012500286102295
4248000,-1.0011667013168335
4272000,-1.0012500286102295
4296000,-1.0012500286102295
4320000,-1.0011667013168335
4344000,-1.0011667013168335
4368000,-1.0011667013168335
4392000,-1.0012500286102295
4416000,-1.0012500286102295
4440000,-1.001083254814148
4464000,-1.0011667013168335
4488000,-1.001083254814148
4512000,-1.000999927520752
4536000,-1.000999927520752
4560000,-1.000916600227356
4584000,-1.000916600227356
4608000,-1.000999927520752
4632000,-1.000999927520752
4656000,-1.000916600227356
4680000,-1.000916600227356
4704000,-1.00083327293396
4728000,-1.000999927520752
4752000,-1.000916600227356
4776000,-1.000916600227356
4800000,-1.000916600227356
4824000,-1.00083327293396
4848000,-1.00083327293396
4872000,-1.00083327293396
4896000,-1.000749945640564
4920000,-1.000666618347168
4944000,-1.000583291053772
4968000,-1.000749945640564
4992000,-1.000916600227356
5016000,-1.00083327293396
5040000,-1.000916600227356
5064000,-1.000916600227356
5088000,-1.00083327293396
5112000,-1.00083327293396
5136000,-1.00083327293396
5160000,-1.000916600227356
5184000,-1.00083327293396
5208000,-1.000749945640564
5232000,-1.00083327293396
5256000,-1.000916600227356
5280000,-1.000916600227356
5304000,-1.000916600227356
5328000,-1.00083327293396
5352000,-1.00083327293396
5376000,-1.000999927520752
5400000,-1.001083254814148
5424000,-1.0011667013168335
5448000,-1.001083254814148
5472000,-1.001083254814148
5496000,-1.001083254814148
5520000,-1.000999927520752
5544000,-1.000999927520752
5568000,-1.000999927520752
5592000,-1.000999927520752
5616000,-1.001083254814148
5640000,-1.000999927520752
5664000,-1.000999927520752
5688000,-1.000916600227356
5712000,-1.00083327293396
5736000,-1.000749945640564
5760000,-1.000749945640564
5784000,-1.00083327293396
5808000,-1.00083327293396
5832000,-1.000749945640564
5856000,-1.000666618347168
5880000,-1.000583291053772
5904000,-1.000499963760376
5928000,-1.00041663646698
5952000,-1.000249981880188
5976000,-1.000249981880188
6000000,-1.000249981880188
6024000,-1.000249981880188
6048000,-1.000249981880188
6072000,-1.000249981880188
6096000,-1.000166654586792
6120000,-1.000333309173584
6144000,-1.00041663646698
6168000,-1.000666618347168
6192000,-1.000666618347168
6216000,-1.000666618347168
6240000,-1.000666618347168
6264000,-1.000583291053772
6288000,-1.000583291053772
6312000,-1.000583291053772
6336000,-1.000666618347168
6360000,-1.000749945640564
6384000,-1.000749945640564
6408000,-1.00083327293396
6432000,-1.00083327293396
6456000,-1.00083327293396
6480000,-1.000916600227356
6504000,-1.000916600227356
6528000,-1.000999927520752
6552000,-1.000999927520752
6576000,-1.000999927520752
6600000,-1.00083327293396
6624000,-1.000749945640564
6648000,-1.000499963760376
6672000,-1.000583291053772
6696000,-1.000583291053772
6720000,-1.000666618347168
6744000,-1.000666618347168
6768000,-1.000749945640564
6792000,-1.000749945640564
6816000,-1.000583291053772
6840000,-1.000499963760376
6864000,-1.000499963760376
6888000,-1.00041663646698
6912000,-1.00041663646698
6936000,-1.00041663646698
6960000,-1.000333309173584
6984000,-1.00041663646698
7008000,-1.000333309173584
7032000,-1.000333309173584
7056000,-1.000333309173584
7080000,-1.00041663646698
7104000,-1.000499963760376
7128000,-1.000499963760376
7152000,-1.000499963760376
7176000,-1.000499963760376
7200000,-1.00041663646698
7224000,-1.00041663646698
7248000,-1.000333309173584
7272000,-1.000333309173584
7296000,-1.00041663646698
7320000,-1.00041663646698
7344000,-1.00041663646698
7368000,-1.00041663646698
7392000,-1.00041663646698
7416000,-1.00041663646698
7440000,-1.00041663646698
7464000,-1.000333309173584
7488000,-1.000333309173584
7512000,-1.000333309173584
7536000,-1.000333309173584
7560000,-1.000249981880188
7584000,-1.000166654586792
7608000,-1.000166654586792
7632000,-1.000166654586792
7656000,-1.000166654586792
7680000,-1.000166654586792
7704000,-1.000166654586792
7728000,-1.000166654586792
7752000,-1.000166654586792
7776000,-1.000083327293396
7800000,-1.000083327293396
7824000,-1.000083327293396
7848000,-1.000083327293396
7872000,-1.000083327293396
7896000,-1.000083327293396
7920000,-1.000083327293396
7944000,-1.000083327293396
7968000,-1.000083327293396
7992000,-1.000083327293396
8016000,-1.000083327293396
8040000,-1.000083327293396
8064000,-1.000166654586792
8088000,-1.000166654586792
8112000,-1.000083327293396
8136000,-1.000083327293396
8160000,-1.000083327293396
8184000,-1.000083327293396
8208000,-1.000083327293396
8232000,-1.000166654586792
8256000,-1.000166654586792
8280000,-1.000166654586792
8304000,-1.000166654586792
8328000,-1.000249981880188
8352000,-1.000333309173584
8376000,-1.000333309173584
8400000,-1.000333309173584
8424000,-1.000333309173584
8448000,-1.00041663646698
8472000,-1.00041663646698
8496000,-1.00041663646698
8520000,-1.00041663646698
8544000,-1.000333309173584
8568000,-1.000333309173584
8592000,-1.000333309173584
8616000,-1.000333309173584
8640000,-1.00041663646698
8664000,-1.000499963760376
8688000,-1.000499963760376
8712000,-1.00041663646698
8736000,-1.00041663646698
8760000,-1.00041663646698
8784000,-1.00041663646698
8808000,-1.00041663646698
8832000,-1.000333309173584
8856000,-1.000333309173584
8880000,-1.000333309173584
8904000,-1.000333309173584
8928000,-1.000333309173584
8952000,-1.00041663646698
8976000,-1.00041663646698
9000000,-1.000499963760376
9024000,-1.000499963760376
9048000,-1.000499963760376
9072000,-1.000499963760376
9096000,-1.000499963760376
9120000,-1.00041663646698
9144000,-1.000333309173584
9168000,-1.000333309173584
9192000,-1.000333309173584
9216000,-1.000333309173584
9240000,-1.000333309173584
9264000,-1.000333309173584
9288000,-1.000249981880188
9312000,-1.000249981880188
9336000,-1.000249981880188
9360000,-1.000333309173584
9384000,-1.000499963760376
9408000,-1.00041663646698
9432000,-1.00041663646698
9456000,-1.00041663646698
9480000,-1.000333309173584
9504000,-1.000333309173584
9528000,-1.00041663646698
9552000,-1.00041663646698
9576000,-1.00041663646698
9600000,-1.000499963760376
9624000,-1.000499963760376
9648000,-1.000499963760376
9672000,-1.000499963760376
9696000,-1.000499963760376
