step,reward
24000,-8.515000343322754
48000,-8.144166946411133
72000,-7.698889255523682
96000,-7.283333778381348
120000,-6.838000297546387
144000,-6.425278186798096
168000,-6.040714263916016
192000,-5.6979169845581055
216000,-5.36740779876709
240000,-5.094333648681641
264000,-4.840454578399658
288000,-4.603055477142334
312000,-4.384487152099609
336000,-4.1835713386535645
360000,-4.002778053283691
384000,-3.84125018119812
408000,-3.695882558822632
432000,-3.56000018119812
456000,-3.4379825592041016
480000,-3.3245832920074463
504000,-2.9550833702087402
528000,-2.621666669845581
552000,-2.3364999294281006
576000,-2.088083267211914
600000,-1.8895000219345093
624000,-1.7236666679382324
648000,-1.5889166593551636
672000,-1.4765833616256714
696000,-1.3918333053588867
720000,-1.3113332986831665
744000,-1.247416615486145
768000,-1.1992499828338623
792000,-1.162916660308838
816000,-1.1353332996368408
840000,-1.1130000352859497
864000,-1.0930832624435425
888000,-1.0757499933242798
912000,-1.0641666650772095
936000,-1.0533332824707031
960000,-1.0457500219345093
984000,-1.0402499437332153
1008000,-1.0363333225250244
1032000,-1.031749963760376
1056000,-1.028749942779541
1080000,-1.02483332157135
1104000,-1.0229166746139526
1128000,-1.0215833187103271
1152000,-1.0196666717529297
1176000,-1.0188332796096802
1200000,-1.0184999704360962
1224000,-1.0176666975021362
1248000,-1.0167499780654907
1272000,-1.0160000324249268
1296000,-1.0155832767486572
1320000,-1.0149999856948853
1344000,-1.0145000219345093
1368000,-1.0138332843780518
1392000,-1.0136666297912598
1416000,-1.0130000114440918
1440000,-1.0123332738876343
1464000,-1.0118333101272583
1488000,-1.0108332633972168
1512000,-1.0104166269302368
1536000,-1.0104166269302368
1560000,-1.0104166269302368
1584000,-1.0104999542236328
1608000,-1.0104166269302368
1632000,-1.0099166631698608
1656000,-1.0095833539962769
1680000,-1.0088332891464233
1704000,-1.0085833072662354
1728000,-1.0081666707992554
1752000,-1.0074999332427979
1776000,-1.0073332786560059
1800000,-1.0069166421890259
1824000,-1.0072499513626099
1848000,-1.0069166421890259
1872000,-1.006500005722046
1896000,-1.006250023841858
1920000,-1.006333351135254
1944000,-1.006333351135254
1968000,-1.006166696548462
1992000,-1.0059999227523804
2016000,-1.0059999227523804
2040000,-1.0059999227523804
2064000,-1.006083369255066
2088000,-1.0055832862854004
2112000,-1.0055832862854004
2136000,-1.0055832862854004
2160000,-1.0054999589920044
2184000,-1.0057499408721924
2208000,-1.0058332681655884
2232000,-1.0056666135787964
2256000,-1.0052499771118164
2280000,-1.0050833225250244
2304000,-1.004333257675171
2328000,-1.004249930381775
2352000,-1.003916621208191
2376000,-1.003833293914795
2400000,-1.003666639328003
2424000,-1.003499984741211
2448000,-1.003499984741211
2472000,-1.003416657447815
2496000,-1.003000020980835
2520000,-1.0026665925979614
