step,reward
17478,462.9059143066406
27478,-986.8410034179688
37478,-1085.6063232421875
47478,-1116.242431640625
57478,-1129.4359130859375
67478,-1132.745849609375
77478,-1133.61328125
87478,-1130.2525634765625
97478,-1123.5439453125
107478,-1108.681640625
117478,-904.30810546875
127478,-1314.280517578125
137478,-1322.3572998046875
147497,-1512.5892333984375
157497,-1425.8612060546875
167532,-1138.8116455078125
177559,-1471.521240234375
187559,-1481.261474609375
197559,-1334.646484375
207568,557.8505249023438
217689,503.9549560546875
227689,230.25537109375
237689,150.6041717529297
247689,191.5997772216797
257689,261.9209899902344
267689,243.37841796875
277689,224.5044708251953
287689,187.34051513671875
297689,101.81869506835938
307689,96.93866729736328
317689,109.23814392089844
327689,85.77104949951172
337689,-0.9253429770469666
347689,-105.21794891357422
357689,-117.63143157958984
367689,-120.55462646484375
377689,-93.81444549560547
387689,-161.4031524658203
397689,-165.767333984375
407689,-160.9741973876953
417689,-162.05523681640625
427689,-167.20291137695312
437689,-174.94534301757812
447689,-181.4667205810547
457689,-272.822998046875
467699,-281.9686584472656
477699,-244.7217254638672
487699,-244.62393188476562
497699,-290.1640625
507699,-327.13629150390625
517699,-369.6161193847656
527699,-382.62420654296875
537699,-386.9986267089844
547699,-362.1202697753906
557699,-357.76690673828125
567708,-358.6903076171875
577708,-396.5241394042969
587708,-391.32147216796875
597708,-378.3958740234375
607708,-416.7686462402344
617708,-337.2549133300781
627708,-299.66436767578125
637708,-308.6755676269531
647718,-319.4818420410156
657718,-292.2512512207031
667718,-328.92144775390625
677718,-311.3337707519531
687718,-304.210205078125
697718,-306.7509765625
707718,-280.2602844238281
717718,-318.6715087890625
727718,-327.08160400390625
737718,-324.2137451171875
747718,-315.6409606933594
757718,-314.04583740234375
767718,-313.67584228515625
777718,-316.6007080078125
787718,-326.89691162109375
797718,-324.7939147949219
807718,-322.29815673828125
817718,-320.24395751953125
827718,-318.50830078125
837718,-324.3267822265625
847718,-331.44879150390625
857718,-346.61761474609375
867718,-350.2569885253906
877718,-356.7776794433594
887718,-355.1762390136719
897718,-354.8577575683594
907718,-359.90179443359375
917718,-360.8268127441406
927718,-365.5418395996094
937718,-367.27056884765625
947718,-369.85638427734375
957718,-379.6754455566406
967718,-382.9687194824219
977718,-383.83331298828125
987718,-384.34478759765625
997718,-390.3499755859375
1007718,-397.79144287109375
1017718,-412.18902587890625
1027718,-423.6706237792969
1037718,-434.6863708496094
1047718,-440.294677734375
1057718,-452.7325134277344
1067718,-401.6475830078125
1077727,-443.3083801269531
1087727,-401.98175048828125
1097727,-454.1368713378906
1107727,-460.2991027832031
1117747,-472.8472595214844
1127747,-481.2051696777344
1137747,-438.0040283203125
1147747,-492.9400939941406
1157747,-398.1752624511719
1167747,-499.5464172363281
1177747,-504.7786560058594
1187756,-512.0103759765625
1197765,-518.619140625
1207774,-519.4628295898438
1217774,-477.2799072265625
1227783,-534.9483642578125
1237783,-539.3863525390625
1247783,-555.0805053710938
1257783,-589.3355102539062
1267783,-639.1046142578125
1277783,-655.3451538085938
1287783,-665.15087890625
1297783,-684.803955078125
1307783,-727.5614624023438
1317783,-744.9015502929688
1327783,-747.6032104492188
1337783,-754.8953247070312
1347783,-760.7854614257812
1357783,-759.6549682617188
1367783,-757.7314453125
1377783,-755.7531127929688
1387783,-749.019775390625
1397783,-745.2914428710938
1407783,-737.4600219726562
1417783,-727.8462524414062
1427783,-711.3596801757812
1437783,-698.536865234375
1447783,-685.8013916015625
1457783,-675.557373046875
1467783,-666.4434814453125
1477783,-659.486572265625
1487783,-649.9492797851562
1497783,-638.687744140625
1507783,-638.7177124023438
1517783,-630.9364013671875
1527783,-626.1071166992188
1537783,-617.9017333984375
1547783,-605.875732421875
1557783,-561.2158203125
1567783,-439.13983154296875
1577783,-350.76141357421875
1587783,-292.880615234375
1597783,-244.830322265625
1607783,-136.2210235595703
1617783,-124.83782196044922
1627783,-383.45428466796875
1637783,-368.7598876953125
1647783,-558.0615844726562
1657783,-682.4592895507812
1667783,-821.1243896484375
1677783,-911.5929565429688
1687783,-942.0696411132812
1697783,-951.1676025390625
1707783,-856.7083129882812
1717783,-949.0875854492188
1727783,-949.1905517578125
1737783,-945.1165161132812
1747783,-944.699462890625
1757783,-852.2482299804688
1767792,-945.9560546875
1777792,-852.6818237304688
1787792,-948.873046875
1797792,-951.8444213867188
1807792,-952.6025390625
1817792,-956.55126953125
1827792,-866.073486328125
1837792,-871.4277954101562
1847792,-680.8416137695312
1857801,-871.7125854492188
1867801,-967.7368774414062
1877801,-969.4755249023438
1887811,-967.6679077148438
1897820,-965.2796630859375
1907820,-966.3289794921875
1917820,-962.7406616210938
1927820,-965.9259033203125
1937839,-870.7114868164062
1947850,-966.4228515625
1957850,-962.1071166992188
1967850,-962.1577758789062
1977859,-862.654296875
1987859,-957.33935546875
1997859,-766.8367309570312
