step,reward
30250,-187.1859588623047
68432,-41.23399353027344
101962,-53.195289611816406
135123,-124.82803344726562
166336,-238.7393035888672
197864,-59.001319885253906
229557,-39.49755096435547
260111,-128.54718017578125
286697,-32.2163200378418
316119,-253.15792846679688
353452,-205.83274841308594
386639,-415.984130859375
416095,-424.3981628417969
444856,-39.58562469482422
472123,-23.622478485107422
500100,-306.84661865234375
533851,-16.35007667541504
566197,-279.5928039550781
596500,-25.409912109375
627995,-25.517749786376953
657967,-291.8023986816406
685783,-72.89065551757812
716603,-43.33539581298828
746729,-28.68891716003418
777331,-21.245223999023438
807282,-22.738489151000977
836262,-31.289249420166016
867050,-12.915792465209961
898128,-45.03173828125
926937,-34.11640930175781
952223,-84.38116455078125
981813,-70.97146606445312
1007437,-49.80055618286133
1033787,-93.11770629882812
1059670,-129.83810424804688
1089669,-597.8834838867188
1117491,-86.51213836669922
1148466,-377.0653991699219
1171214,-58.18781280517578
1201617,-69.87019348144531
1229069,-61.9260139465332
1258631,-71.28814697265625
1285032,-282.31085205078125
1313031,-291.3683776855469
1339931,-64.77299499511719
1365735,-56.624576568603516
1395586,-252.5028533935547
1423288,-92.85565185546875
1455334,-39.62406539916992
1484346,-86.67771911621094
1510456,-61.61546325683594
1537519,-100.82906341552734
1569334,-117.87928771972656
1595962,-92.93822479248047
1623466,-347.9524841308594
1651307,-91.64910125732422
1682174,-65.78400421142578
1709445,-172.30294799804688
1742076,-63.34008026123047
1772566,-68.13664245605469
1802511,-225.53318786621094
1829336,-51.91053009033203
1857401,-92.77930450439453
1883834,-123.96775817871094
1910722,-61.9466552734375
1940597,-381.4162902832031
1970152,-44.883140563964844
1997873,-121.91157531738281
2026667,-136.3482208251953
2053232,-89.74562072753906
2081857,-48.02775955200195
2111508,-52.067508697509766
2140578,-88.03095245361328
2168810,-156.09506225585938
2196304,-357.7469482421875
2225968,-54.114044189453125
2257151,-118.56671905517578
2286727,-48.9467658996582
2314205,-65.7232666015625
2347274,-157.09970092773438
2376791,-79.6218490600586
2408049,-75.14781188964844
2436206,-80.5207748413086
2465806,-88.19722747802734
2498694,-114.58055877685547
2526634,-80.10831451416016
2560311,-84.49332427978516
2588700,-98.52753448486328
2616943,-65.32499694824219
2646706,-71.98213958740234
2673753,-673.1337890625
2699730,-43.26555633544922
2727981,-58.949546813964844
2755781,-251.05284118652344
2785117,-93.16329193115234
2813567,-85.72250366210938
2844417,-59.352745056152344
2873228,-82.58975219726562
2899952,-272.2201843261719
2925321,-296.13409423828125
2953923,-100.92646789550781
2980869,-361.619873046875
3013761,-83.6548080444336
3040685,-76.06475830078125
3071309,-101.0255126953125
3103246,-95.71009063720703
3131213,-351.27105712890625
3163866,-50.91585159301758
3193765,-217.29957580566406
3223760,-374.4703369140625
3254698,-49.342159271240234
3280300,-103.8135986328125
3307422,-53.23664474487305
3338521,-378.6849365234375
3365346,-63.94709396362305
3391012,-55.39143371582031
3421646,-91.9792709350586
3447517,-68.25263977050781
3477281,-362.7349853515625
3501334,-357.7646484375
3529758,-97.996337890625
3559325,-90.81739807128906
3586424,-96.20185852050781
3612004,-56.518089294433594
3638179,-396.6459655761719
3668521,-67.31842803955078
3696391,-135.14431762695312
3725883,-384.824462890625
3757764,-71.5649642944336
3786269,-65.74932098388672
3817465,-90.8019027709961
3847305,-87.2577133178711
3873705,-81.15816497802734
3904120,-71.76777648925781
3928493,-72.10968017578125
3958157,-67.61978149414062
3985382,-57.9468879699707
4016606,-87.9161376953125
4044642,-78.43417358398438
4073064,-63.28591537475586
4103481,-122.179443359375
4131502,-56.08799743652344
4160567,-81.16542053222656
4188760,-89.36868286132812
4219512,-67.439453125
4243887,-74.33078002929688
4273384,-105.85179901123047
4300322,-83.79813385009766
4323984,-94.05436706542969
4356655,-100.47740936279297
4385576,-371.32000732421875
4414834,-85.73029327392578
4444596,-107.54469299316406
4476171,-66.66744995117188
4505270,-69.2694320678711
4531035,-66.29177856445312
4562396,-368.6711730957031
4594432,-102.6025161743164
4627891,-71.85185241699219
4660778,-98.2657241821289
4687125,-122.99525451660156
4712777,-294.78228759765625
4741914,-56.89710998535156
4767740,-63.688541412353516
4796993,-66.1253890991211
4826367,-134.24290466308594
4858425,-423.8573913574219
4885883,-67.81327056884766
4916145,-87.87874603271484
4944490,-104.8195571899414
4972737,-63.802181243896484
5004076,-75.3495864868164
5032773,-121.2735595703125
5063534,-79.04235076904297
5096495,-90.57923889160156
5122313,-108.0997543334961
5146502,-106.4919204711914
5175681,-118.8770980834961
5206011,-61.742034912109375
5232368,-63.23469924926758
5257004,-506.24359130859375
5285775,-88.6102523803711
5316481,-99.06458282470703
5343373,-87.80167388916016
5374871,-72.84832000732422
5401504,-114.88021087646484
5431881,-373.923828125
5464122,-96.3349609375
5492898,-70.66771697998047
5518035,-74.36014556884766
5547211,-82.87812042236328
5578146,-71.71380615234375
5609941,-94.77040100097656
5639635,-67.78498840332031
5670153,-70.0450439453125
5702572,-656.14892578125
5733712,-217.71046447753906
5761201,-73.84302520751953
5786634,-96.14838409423828
5816582,-80.74870300292969
5845586,-119.06136322021484
5876511,-352.4835205078125
5909595,-63.09684753417969
5935869,-98.0572509765625
5961727,-101.02678680419922
5992386,-377.615966796875
6021312,-147.60910034179688
6050663,-116.76289367675781
6080040,-384.35247802734375
6110604,-89.33592987060547
6139221,-70.10913848876953
6169357,-120.322021484375
6200334,-107.50414276123047
6226896,-89.72845458984375
6256742,-104.27588653564453
6285687,-99.33714294433594
6315782,-639.9683227539062
6347372,-82.92432403564453
6377000,-164.22116088867188
6412439,-282.5704650878906
6444577,-204.0467529296875
6471456,-358.5863952636719
6504221,-359.4129333496094
6535882,-76.40978240966797
6562678,-62.29349136352539
6597251,-81.18946075439453
6624683,-364.5700378417969
6653028,-364.7607116699219
6682794,-79.49225616455078
6712907,-108.65123748779297
6740277,-245.66632080078125
6767057,-86.09210205078125
6796937,-385.9775085449219
6825496,-89.41938018798828
6853947,-180.74871826171875
6888404,-50.54526901245117
6917476,-79.14093017578125
6945879,-101.66753387451172
6975735,-63.780555725097656
7004844,-60.72905349731445
7035168,-113.20027923583984
7066587,-55.482940673828125
7099901,-56.63401794433594
7131561,-72.82330322265625
7155559,-78.54090881347656
7183435,-53.20730209350586
7212135,-54.296722412109375
7243177,-96.35063934326172
7277203,-80.84442901611328
7306391,-68.81271362304688
7334739,-81.11268615722656
7365603,-86.95437622070312
7392956,-375.68096923828125
7417223,-108.62337493896484
7449184,-96.03327178955078
7483630,-71.5440902709961
7511870,-80.34658813476562
7541100,-74.35365295410156
7567519,-55.07038497924805
7594359,-94.63016510009766
7623109,-281.231201171875
7650917,-73.74750518798828
7681354,-1187.83544921875
7712957,-1383.019775390625
7742902,-1379.2823486328125
7775363,-1280.4913330078125
7808877,-1723.1617431640625
7840988,-1560.3873291015625
7871386,-723.73486328125
7904333,-1073.4725341796875
7938016,-983.3610229492188
7974059,-657.4429931640625
8009698,-883.9422607421875
8044252,-946.1294555664062
8078162,-677.352783203125
8109355,-196.40097045898438
8146589,-127.71498107910156
8183835,-778.3990478515625
8217796,-342.0968017578125
8247699,-303.362060546875
8277422,-378.0589294433594
8311120,-69.718994140625
8346949,-354.2027893066406
8376671,-388.6184997558594
8409161,-100.60885620117188
8437565,-124.17491149902344
8466928,-376.3078918457031
8496482,-118.51113891601562
8532469,-358.42730712890625
8559543,-97.87088012695312
8595209,-94.09870910644531
8623946,-121.92662048339844
8654431,-89.49174499511719
8690502,-112.09015655517578
8721730,-112.60227966308594
8754672,-66.65735626220703
8784465,-201.59315490722656
8810817,-94.65953826904297
8841326,-436.167724609375
8872269,-381.3456726074219
8900787,-187.0145721435547
8930517,-208.2382354736328
8962221,-393.951171875
8996900,-400.5682067871094
9029347,-416.9615783691406
9059820,-190.61581420898438
9089440,-113.67137145996094
9123026,-87.630615234375
9154731,-394.5061340332031
9186148,-161.61192321777344
9217663,-121.86702728271484
9251420,-368.6529235839844
9276162,-89.07249450683594
9303762,-94.84870147705078
9332732,-382.9306640625
9359443,-79.09657287597656
9394822,-77.5539779663086
9423175,-82.77252960205078
9449449,-61.56102752685547
9480304,-59.32970428466797
9510367,-54.83608627319336
9539705,-82.6205825805664
9569249,-75.56681060791016
9596690,-91.53266143798828
9628290,-358.10540771484375
9660647,-74.27738952636719
9687070,-91.58351135253906
9718710,-75.0459976196289
9747859,-119.33868408203125
9775616,-111.6966552734375
9806415,-54.7656364440918
9833587,-102.76691436767578
9859476,-53.74604797363281
9890747,-235.92825317382812
9922967,-80.21057891845703
9950679,-96.74761199951172
9979845,-76.032958984375
10006717,-333.86376953125
10036191,-84.51235961914062
10062049,-67.10861206054688
10090418,-376.7264404296875
10121322,-81.38326263427734
10150835,-473.2533264160156
10176596,-109.59778594970703
10201741,-67.72538757324219
10228307,-65.57411193847656
10254506,-55.375221252441406
10285533,-79.905517578125
10316829,-309.56536865234375
10347143,-55.59720993041992
10378555,-80.16153717041016
10405330,-149.01425170898438
10435006,-91.32632446289062
10462365,-69.78166198730469
10487125,-81.47394561767578
10516129,-243.6986846923828
10544285,-54.120365142822266
10577193,-63.44855880737305
10606092,-72.7625961303711
10637638,-63.86497497558594
10668982,-94.37635040283203
10699432,-66.59521484375
10730126,-53.993316650390625
10754386,-70.57421112060547
10780861,-358.872314453125
10810441,-70.70065307617188
10839169,-75.88878631591797
10867241,-93.15857696533203
10896186,-658.737060546875
10928601,-99.56502532958984
10961843,-338.1446838378906
10991305,-84.23522186279297
11020901,-54.31142807006836
11052276,-88.00994110107422
11084192,-67.67839050292969
11111580,-110.55067443847656
11138983,-87.1690444946289
11166911,-102.92200469970703
11193438,-69.1200180053711
11224281,-100.38616943359375
11253011,-97.25421905517578
11280473,-85.19549560546875
11310769,-109.83183288574219
11340527,-64.58854675292969
11369377,-116.10856628417969
11401816,-69.07115936279297
11431588,-232.64527893066406
11461292,-123.9217758178711
11490866,-67.04803466796875
11523551,-412.92803955078125
11554023,-383.99615478515625
11584557,-376.14520263671875
11613181,-385.0012512207031
11646978,-71.86884307861328
11676728,-111.52151489257812
11706324,-76.6750259399414
11735942,-373.5652160644531
11764075,-80.2650146484375
11792418,-62.40871810913086
11820139,-81.14681243896484
11851283,-171.75877380371094
11876445,-70.02729034423828
11904244,-386.9309387207031
11932216,-74.50934600830078
11957574,-368.1144104003906
11984117,-349.42596435546875
12011966,-94.35115051269531
12042735,-116.61006164550781
12072421,-55.60957717895508
12104680,-381.7021179199219
12133651,-67.70928192138672
12162978,-103.5477523803711
12190892,-380.885009765625
12221089,-56.99127197265625
12246602,-60.11561584472656
12273991,-99.16217803955078
12301528,-116.20220947265625
12330840,-55.00581741333008
12356308,-365.9242858886719
12385498,-95.48827362060547
12419275,-73.10948944091797
12446507,-73.14540100097656
12475394,-73.51616668701172
12504955,-102.50121307373047
12538669,-78.54374694824219
12567591,-73.29336547851562
12595494,-369.6496887207031
12622447,-246.3538818359375
12651603,-441.71533203125
12685900,-80.67828369140625
12717446,-66.32240295410156
12743536,-369.5470886230469
12771229,-361.4463195800781
12799061,-90.33244323730469
12829894,-582.7000122070312
12860015,-76.91996002197266
12888308,-563.4060668945312
12919021,-195.666259765625
12952401,-85.92476654052734
12981030,-82.4036636352539
13013238,-77.09896850585938
13046736,-63.83375549316406
13080075,-89.5552749633789
13107966,-80.54998016357422
13135005,-61.117103576660156
13165980,-91.23008728027344
13195297,-375.9633483886719
13224443,-69.63350677490234
13253835,-58.00020217895508
13279080,-100.00515747070312
13312453,-94.13052368164062
13340525,-73.11128234863281
13367285,-69.63797760009766
13398107,-61.905128479003906
13428694,-110.80052185058594
13459835,-100.71053314208984
13486095,-260.056884765625
13516522,-46.151527404785156
13550064,-63.93269348144531
13577470,-117.1324462890625
13608633,-90.5413818359375
13634627,-81.72693634033203
13663292,-113.65607452392578
13694960,-113.73452758789062
13723370,-137.60861206054688
13753066,-63.79055404663086
13782054,-51.68307113647461
13812427,-79.60643768310547
13838949,-70.15556335449219
13865552,-56.026893615722656
13896171,-82.50462341308594
13924560,-94.2444076538086
13955730,-92.82154846191406
13985368,-88.72621154785156
14011581,-366.9693298339844
14040706,-115.06610107421875
14075668,-62.35920715332031
14102248,-123.2287826538086
14131074,-284.67266845703125
14160730,-86.34996032714844
14191667,-57.153236389160156
14219711,-54.44175338745117
14251625,-62.15023422241211
14280887,-90.37036895751953
14307393,-77.42427062988281
14331842,-87.25385284423828
14363812,-74.31644439697266
14391829,-71.1102066040039
14419632,-77.55882263183594
14451654,-295.5903015136719
14485415,-77.22218322753906
14515841,-87.16818237304688
14546530,-76.66381072998047
14573037,-88.03649139404297
14600946,-344.7508544921875
14632114,-79.0956802368164
14658192,-79.65888214111328
14692741,-71.77486419677734
14720969,-103.86524200439453
14748336,-91.66902160644531
14778119,-353.12530517578125
14804057,-89.10400390625
14832121,-113.30145263671875
14859081,-69.31321716308594
14885940,-75.55458068847656
14912642,-129.25106811523438
14944354,-414.7624816894531
14972702,-295.712646484375
14998321,-71.89583587646484
15029183,-98.28746032714844
15060512,-69.74445343017578
15086307,-116.62615966796875
15112650,-367.7529296875
15139778,-383.0562438964844
15169871,-75.50458526611328
15201277,-109.43203735351562
15230985,-286.3367004394531
15259801,-67.64007568359375
15294805,-102.36732482910156
15323594,-355.7946472167969
15352365,-82.56725311279297
15381642,-352.94305419921875
15409176,-129.1313018798828
15442237,-124.85895538330078
15471916,-70.35185241699219
15501886,-80.3139877319336
15527792,-300.6778564453125
15558425,-89.90300750732422
15591180,-82.69612884521484
15620908,-198.27938842773438
15652985,-286.6577453613281
15683078,-83.70529174804688
15713633,-109.92465209960938
15742733,-92.44882202148438
15771926,-57.81654739379883
15797921,-62.94825744628906
15825002,-189.41278076171875
15854065,-85.9037094116211
15880809,-97.13490295410156
15910199,-144.0130157470703
15940324,-46.94792556762695
15968063,-64.01620483398438
15992943,-92.2878189086914
16019212,-94.65184783935547
16045085,-105.14509582519531
16076699,-81.61791229248047
16107939,-76.94914245605469
16136549,-87.7222900390625
16168737,-349.81396484375
16202224,-67.24439239501953
16230005,-46.99007034301758
16259195,-108.82278442382812
16287167,-77.084716796875
16318222,-66.15768432617188
16347607,-87.06267547607422
16379851,-93.76506805419922
16410909,-82.95600891113281
16442527,-88.87730407714844
16471094,-77.5816650390625
16503129,-113.0200424194336
16533163,-136.92066955566406
16561825,-105.66471862792969
16590646,-356.2113037109375
16617660,-378.2887268066406
16648622,-371.38970947265625
16678216,-117.36370849609375
16709071,-76.23113250732422
16732990,-72.35433197021484
16764136,-93.869140625
16791888,-94.62513732910156
16819003,-81.1394271850586
16847944,-84.31843566894531
16877341,-354.82794189453125
16905337,-97.21561431884766
16933685,-273.5550231933594
16965282,-371.5477294921875
16992496,-110.10274505615234
17020809,-377.4241027832031
17048066,-98.66072845458984
17081251,-88.05142974853516
17110764,-91.94945526123047
17140053,-76.40201568603516
17170517,-79.72984313964844
17195847,-224.8804931640625
17225943,-396.02557373046875
17252895,-404.83660888671875
17287333,-91.87076568603516
17316451,-98.12266540527344
17344853,-43.07594299316406
17375653,-90.97468566894531
17410594,-45.356719970703125
17442180,-383.0665283203125
17474860,-176.42913818359375
17502200,-78.87379455566406
17531793,-680.9699096679688
17557588,-78.61865234375
17587820,-64.12847137451172
17619095,-362.6100158691406
17648226,-101.09455871582031
17676849,-61.3651237487793
17707024,-206.49290466308594
17734884,-103.36869049072266
17764718,-156.0608367919922
17792349,-271.22900390625
17822777,-171.80563354492188
17855694,-104.87594604492188
17885114,-98.7021484375
17912710,-280.42132568359375
17945342,-46.087520599365234
17973487,-93.51451873779297
18000425,-692.6677856445312
18030993,-85.49060821533203
18057910,-84.23674774169922
18084665,-165.15333557128906
18112950,-80.05147552490234
18140795,-82.18376922607422
18177139,-72.35761260986328
18208653,-369.44403076171875
18245868,-59.28477096557617
18274663,-80.23646545410156
18302640,-78.11691284179688
18330342,-85.50788116455078
18360215,-93.95845794677734
18389285,-66.83971405029297
18420434,-402.3241882324219
18451471,-81.7746810913086
18483535,-100.18360137939453
18518686,-73.75012969970703
18551698,-73.13948822021484
18582646,-54.49644088745117
18612414,-84.89537811279297
18642606,-76.61347961425781
18667697,-90.98396301269531
18698774,-399.00836181640625
18724646,-67.77486419677734
18751779,-73.9455337524414
18783376,-62.631858825683594
18812847,-83.1079330444336
18839368,-60.42943572998047
18869295,-93.0427474975586
18901221,-68.63893127441406
18927610,-69.27640533447266
18956705,-72.64253234863281
18985468,-98.09693908691406
19017093,-89.3646011352539
19042423,-85.25190734863281
19071046,-96.62267303466797
19098887,-80.35258483886719
19127510,-86.77312469482422
19154413,-72.7299575805664
19185217,-78.74275970458984
19214465,-67.1668930053711
19246228,-62.795799255371094
19274559,-81.95849609375
19301975,-96.81001281738281
19331091,-368.1451721191406
19362565,-104.03105926513672
19392104,-96.97594451904297
19423191,-76.37267303466797
19450639,-371.2703857421875
19481497,-87.53400421142578
19513571,-61.91130828857422
19541765,-78.26850128173828
19568481,-50.2525749206543
19595224,-72.50395202636719
19622563,-105.0956039428711
19651285,-173.99815368652344
19682996,-85.41719818115234
19712190,-97.4976577758789
19746312,-68.9155044555664
19776419,-72.39291381835938
19804838,-84.0019760131836
19833206,-61.79323196411133
19863363,-65.80529022216797
19892409,-57.9059944152832
19922539,-58.8680305480957
19949728,-93.98824310302734
19977888,-390.53875732421875
