step,reward
17000,-178.6865692138672
27000,-216.19070434570312
37000,-74.70635223388672
47000,-5.662168502807617
57000,-47.67424011230469
67000,-93.8001708984375
77000,-117.54547119140625
87000,-127.55632781982422
97000,-131.62583923339844
107000,-132.44100952148438
117000,-133.166015625
127000,-133.46231079101562
137000,-132.59498596191406
147000,-133.15321350097656
157000,-133.2730255126953
167000,-133.73324584960938
177000,-133.07139587402344
187000,-132.68382263183594
197000,-133.90945434570312
207000,-133.25343322753906
217000,-133.45469665527344
227000,-133.81744384765625
237000,-133.8035430908203
247000,-133.4080352783203
257000,-133.1256561279297
267000,-133.57479858398438
277000,-133.35899353027344
287000,-133.34710693359375
297000,-132.84329223632812
307000,-133.22804260253906
317000,-134.12857055664062
327000,-133.26254272460938
337000,-133.04591369628906
347000,-133.82057189941406
357000,-133.40753173828125
367000,-133.58517456054688
377000,-133.4955596923828
387000,-133.75474548339844
397000,-133.3975372314453
407000,-133.3231658935547
417000,-133.93887329101562
427000,-133.28445434570312
437000,-133.84300231933594
447000,-133.70057678222656
457000,-133.8016357421875
467000,-134.03158569335938
477000,-133.04945373535156
487000,-132.93585205078125
497000,-133.97506713867188
507000,-133.4405059814453
517000,-133.51834106445312
527000,-133.5410614013672
537000,-133.56886291503906
547000,-133.16943359375
557000,-134.2137451171875
567000,-133.471923828125
577000,-133.40513610839844
587000,-133.27249145507812
597000,-133.6103973388672
607000,-133.27975463867188
617000,-133.50909423828125
627000,-133.30067443847656
637000,-133.50558471679688
647000,-132.87130737304688
657000,-133.91180419921875
667000,-133.48696899414062
677000,-133.30162048339844
687000,-133.94915771484375
697000,-132.76840209960938
707000,-133.8809356689453
717000,-133.62179565429688
727000,-133.3909149169922
737000,-133.35459899902344
747000,-133.2843780517578
757000,-133.51548767089844
767000,-134.02145385742188
777000,-134.05995178222656
787000,-133.30020141601562
797000,-134.29769897460938
807000,-133.2418670654297
817000,-133.8534393310547
827000,-133.6846923828125
837000,-133.16436767578125
847000,-133.475341796875
857000,-133.5317840576172
867000,-133.8883819580078
877000,-132.83834838867188
887000,-134.01895141601562
897000,-133.3454132080078
907000,-133.49478149414062
917000,-133.88880920410156
927000,-133.6632080078125
937000,-133.60049438476562
947000,-133.22169494628906
957000,-133.4333953857422
967000,-133.8035430908203
977000,-133.48252868652344
987000,-134.00927734375
997000,-133.64810180664062
1007000,-133.25221252441406
1017000,-133.55824279785156
1027000,-133.00198364257812
1037000,-133.33689880371094
1047000,-133.32664489746094
1057000,-133.36575317382812
1067000,-132.82608032226562
1077000,-133.80152893066406
1087000,-134.09022521972656
1097000,-133.35386657714844
1107000,-133.77516174316406
1117000,-133.27691650390625
1127000,-134.39170837402344
1137000,-133.64535522460938
1147000,-133.35189819335938
1157000,-133.54092407226562
1167000,-132.79232788085938
1177000,-133.55406188964844
1187000,-133.1869354248047
1197000,-133.0498809814453
1207000,-132.98683166503906
1217000,-133.3289031982422
1227000,-133.2520751953125
1237000,-133.74374389648438
1247000,-133.1072235107422
1257000,-133.70167541503906
1267000,-133.51425170898438
1277000,-133.19583129882812
1287000,-133.14024353027344
1297000,-134.1866455078125
1307000,-134.18637084960938
1317000,-133.10708618164062
1327000,-133.7106475830078
1337000,-134.14279174804688
1347000,-133.30125427246094
1357000,-133.89930725097656
1367000,-133.00367736816406
1377000,-133.92446899414062
1387000,-132.89402770996094
1397000,-133.489990234375
1407000,-133.52622985839844
1417000,-133.35659790039062
1427000,-133.9267120361328
1437000,-133.3571014404297
1447000,-134.12893676757812
1457000,-133.1636505126953
1467000,-133.20802307128906
1477000,-133.32244873046875
1487000,-133.2770233154297
1497000,-133.51519775390625
1507000,-133.6737518310547
1517000,-133.83575439453125
1527000,-133.37640380859375
1537000,-133.44430541992188
1547000,-133.51242065429688
1557000,-134.2671356201172
1567000,-133.75648498535156
1577000,-133.83013916015625
1587000,-133.65176391601562
1597000,-133.3722381591797
1607000,-133.83140563964844
1617000,-133.7166290283203
1627000,-133.51918029785156
1637000,-134.387939453125
1647000,-133.56333923339844
1657000,-133.0336151123047
1667000,-133.94674682617188
1677000,-132.76229858398438
1687000,-133.8361053466797
1697000,-133.90951538085938
1707000,-133.40646362304688
1717000,-134.27923583984375
1727000,-133.1029510498047
1737000,-133.4491729736328
1747000,-133.04205322265625
1757000,-133.3351287841797
1767000,-133.5094451904297
1777000,-132.83372497558594
1787000,-133.63133239746094
1797000,-133.00692749023438
1807000,-132.8520965576172
1817000,-132.88665771484375
1827000,-134.034912109375
1837000,-133.1515350341797
1847000,-133.4457244873047
1857000,-133.7604522705078
1867000,-133.22923278808594
1877000,-133.08627319335938
1887000,-133.89181518554688
1897000,-133.8341827392578
1907000,-132.90846252441406
1917000,-133.57559204101562
1927000,-133.22021484375
1937000,-133.4339599609375
1947000,-132.96803283691406
1957000,-133.5644073486328
1967000,-133.4938201904297
1977000,-133.58375549316406
1987000,-132.5917205810547
1997000,-133.06076049804688
