step,reward
17000,-53.7469596862793
27000,-409.8423767089844
37000,-208.98046875
47000,-162.3619384765625
57000,-91.1057357788086
67000,-137.54110717773438
77000,-142.85885620117188
87000,-146.49278259277344
97000,-150.45245361328125
107000,-153.64112854003906
117000,-273.08660888671875
127000,-494.1808166503906
137000,-542.678955078125
147000,-550.3507690429688
157000,-552.5847778320312
167000,-553.16845703125
177000,-553.471923828125
187000,-553.2850341796875
197000,-553.79833984375
207000,-553.6466674804688
217000,-553.5828857421875
227000,-553.3975219726562
237000,-552.8292846679688
247000,-552.7760620117188
257000,-553.2911376953125
267000,-553.3836669921875
277000,-553.2496337890625
287000,-553.2068481445312
297000,-553.1444702148438
307000,-552.9583740234375
317000,-552.7908325195312
327000,-552.8340454101562
337000,-553.26513671875
347000,-552.679931640625
357000,-553.585693359375
367000,-553.11572265625
377000,-553.1678466796875
387000,-553.0201416015625
397000,-553.6145629882812
407000,-553.1215209960938
417000,-553.7342529296875
427000,-553.5280151367188
437000,-553.513427734375
447000,-553.554443359375
457000,-553.8565063476562
467000,-554.1080932617188
477000,-553.9030151367188
487000,-554.0833740234375
497000,-554.3361206054688
507000,-554.6314086914062
517000,-554.411376953125
527000,-555.3248291015625
537000,-556.3739013671875
547000,-556.4590454101562
557000,-556.388916015625
567000,-556.0966186523438
577000,-550.5826416015625
587000,-467.64697265625
597000,-449.9857482910156
607000,-448.8257751464844
617000,-452.4660949707031
627000,-456.8318786621094
637000,-462.2250671386719
647000,-466.73602294921875
657000,-469.2552490234375
667000,-470.8451232910156
677000,-471.3165588378906
687000,-471.944580078125
697000,-472.18756103515625
707000,-471.9540100097656
717000,-472.0788269042969
727000,-471.3924255371094
737000,-471.78924560546875
747000,-471.5665588378906
757000,-471.8451843261719
767000,-471.3631286621094
777000,-472.11553955078125
787000,-471.68878173828125
797000,-471.7792663574219
807000,-471.8578186035156
817000,-471.53375244140625
827000,-472.0692138671875
837000,-472.3260498046875
847000,-471.4420471191406
857000,-471.3305358886719
867000,-471.25732421875
877000,-471.9644470214844
887000,-471.31036376953125
897000,-471.7335205078125
907000,-471.4056701660156
917000,-472.0849304199219
927000,-471.9371643066406
937000,-471.98126220703125
947000,-471.0893859863281
957000,-471.4090881347656
967000,-472.09661865234375
977000,-472.01068115234375
987000,-471.71746826171875
997000,-471.61029052734375
1007000,-471.7056884765625
1017000,-471.6593933105469
1027000,-471.785888671875
1037000,-471.6905212402344
1047000,-471.6636047363281
1057000,-471.2413635253906
1067000,-471.6154479980469
1077000,-471.7491760253906
1087000,-471.47796630859375
1097000,-471.6500244140625
1107000,-471.98675537109375
1117000,-472.0949401855469
1127000,-471.44293212890625
1137000,-471.6023254394531
1147000,-471.8146667480469
1157000,-471.5660705566406
1167000,-471.6568603515625
1177000,-471.5450439453125
1187000,-471.6991882324219
1197000,-471.892578125
1207000,-471.7624816894531
1217000,-472.1865539550781
1227000,-471.7834777832031
1237000,-471.8268737792969
1247000,-471.06060791015625
1257000,-471.9935302734375
1267000,-471.7801513671875
1277000,-471.66571044921875
1287000,-471.58135986328125
1297000,-472.17706298828125
1307000,-471.7739562988281
1317000,-471.1481018066406
1327000,-471.9925231933594
1337000,-471.7970275878906
1347000,-471.91552734375
1357000,-471.855712890625
1367000,-471.5622863769531
1377000,-471.39697265625
1387000,-472.2908020019531
1397000,-471.8396911621094
1407000,-471.5400695800781
1417000,-471.8990173339844
1427000,-471.6227722167969
1437000,-471.70941162109375
1447000,-472.16876220703125
1457000,-471.6084289550781
1467000,-471.7682800292969
1477000,-471.3556823730469
1487000,-471.8378601074219
1497000,-471.2701721191406
1507000,-471.44195556640625
1517000,-471.97308349609375
1527000,-471.9729309082031
1537000,-472.0294189453125
1547000,-471.97430419921875
1557000,-472.12744140625
1567000,-471.75750732421875
1577000,-472.3636169433594
1587000,-471.38397216796875
1597000,-471.6637878417969
1607000,-471.87451171875
1617000,-472.0534362792969
1627000,-472.5190734863281
1637000,-471.3800048828125
1647000,-472.080078125
1657000,-471.96490478515625
1667000,-471.7876281738281
1677000,-472.1236877441406
1687000,-471.71417236328125
1697000,-472.2327880859375
1707000,-471.3515319824219
1717000,-472.2442932128906
1727000,-471.8910217285156
1737000,-471.6762390136719
1747000,-471.3075256347656
1757000,-471.347900390625
1767000,-470.7401428222656
1777000,-471.4978942871094
1787000,-472.1849365234375
1797000,-471.749267578125
1807000,-471.64080810546875
1817000,-471.9933776855469
1827000,-471.5712890625
1837000,-471.9241943359375
1847000,-471.38653564453125
1857000,-471.1015625
1867000,-471.6241760253906
1877000,-471.6517639160156
1887000,-471.61810302734375
1897000,-472.04541015625
1907000,-472.38189697265625
1917000,-471.9073181152344
1927000,-471.0360107421875
1937000,-472.16693115234375
1947000,-471.61956787109375
1957000,-471.75555419921875
1967000,-472.1851501464844
1977000,-471.3587341308594
1987000,-471.62188720703125
1997000,-471.7784423828125
