step,reward
17000,-32.42804718017578
27000,-56.09441375732422
37000,-65.85392761230469
47000,-69.7019271850586
57000,-71.02660369873047
67000,-71.92764282226562
77000,-72.51187133789062
87000,-72.44658660888672
97000,-72.8241195678711
107000,-72.2870101928711
117000,-72.31092071533203
127000,-72.81755828857422
137000,-72.47209167480469
147000,-71.72801971435547
157000,-71.78620910644531
167000,-71.94926452636719
177000,-72.18141174316406
187000,-72.05389404296875
197000,-72.59192657470703
207000,-72.10431671142578
217000,-72.430908203125
227000,-71.95880126953125
237000,-72.00310516357422
247000,-72.01818084716797
257000,-72.5615234375
267000,-72.3708724975586
277000,-71.8934555053711
287000,-72.29705810546875
297000,-72.47208404541016
307000,-72.04081726074219
317000,-72.45571899414062
327000,-72.20516967773438
337000,-72.20653533935547
347000,-72.38863372802734
357000,-71.8353500366211
367000,-72.47857666015625
377000,-72.28695678710938
387000,-71.96913146972656
397000,-71.98210144042969
407000,-72.36829376220703
417000,-72.78789520263672
427000,-72.42820739746094
437000,-72.01753997802734
447000,-72.01860046386719
457000,-71.94412994384766
467000,-72.14909362792969
477000,-72.2686996459961
487000,-72.23003387451172
497000,-72.47815704345703
507000,-72.03041076660156
517000,-72.40351867675781
527000,-72.43073272705078
537000,-72.50431823730469
547000,-72.04251861572266
557000,-72.25833129882812
567000,-72.37733459472656
577000,-71.98211669921875
587000,-72.21996307373047
597000,-72.66180419921875
607000,-72.5557632446289
617000,-72.61825561523438
627000,-72.12718963623047
637000,-72.0404281616211
647000,-71.83757019042969
657000,-72.13323974609375
667000,-72.35249328613281
677000,-72.32508087158203
687000,-72.33358001708984
697000,-72.13389587402344
707000,-72.25251007080078
717000,-72.31294250488281
727000,-72.37728881835938
737000,-72.09042358398438
747000,-72.5168685913086
757000,-72.34798431396484
767000,-72.74950408935547
777000,-72.3823471069336
787000,-72.3061752319336
797000,-72.40809631347656
807000,-72.34193420410156
817000,-72.548095703125
827000,-72.17305755615234
837000,-72.39732360839844
847000,-71.96199798583984
857000,-71.94145202636719
867000,-72.05010986328125
877000,-72.22898864746094
887000,-71.95315551757812
897000,-72.03263854980469
907000,-71.86737823486328
917000,-72.18829345703125
927000,-71.75012969970703
937000,-72.0814208984375
947000,-72.30879211425781
957000,-71.9839859008789
967000,-72.24979400634766
977000,-72.53802490234375
987000,-72.75701141357422
997000,-71.66341400146484
1007000,-72.05852508544922
1017000,-72.4287338256836
1027000,-72.44744110107422
1037000,-72.15739440917969
1047000,-71.75919342041016
1057000,-71.80354309082031
1067000,-71.92414855957031
1077000,-71.61898040771484
1087000,-72.35480499267578
1097000,-72.04666137695312
1107000,-72.19544982910156
1117000,-72.71194458007812
1127000,-72.57918548583984
1137000,-72.095947265625
1147000,-72.37743377685547
1157000,-72.15326690673828
1167000,-72.28491973876953
1177000,-71.82925415039062
1187000,-72.20808410644531
1197000,-71.70865631103516
1207000,-72.53240966796875
1217000,-71.80612182617188
1227000,-72.33836364746094
1237000,-72.45234680175781
1247000,-72.476806640625
1257000,-72.16358947753906
1267000,-72.53482055664062
1277000,-72.18439483642578
1287000,-72.25996398925781
1297000,-72.83052062988281
1307000,-72.0784683227539
1317000,-72.16658782958984
1327000,-72.11112976074219
1337000,-72.017333984375
1347000,-72.30232238769531
1357000,-72.61424255371094
1367000,-72.30912780761719
1377000,-72.1005630493164
1387000,-72.55931091308594
1397000,-72.16646575927734
1407000,-72.10234832763672
1417000,-72.38502502441406
1427000,-72.41839599609375
1437000,-72.15703582763672
1447000,-72.69264221191406
1457000,-72.00450897216797
1467000,-72.46995544433594
1477000,-72.1531982421875
1487000,-72.38055419921875
1497000,-72.44255828857422
1507000,-72.38488006591797
1517000,-72.62306213378906
1527000,-71.66373443603516
1537000,-72.1072006225586
1547000,-72.24481201171875
1557000,-72.18936157226562
1567000,-72.44882202148438
1577000,-72.44709014892578
1587000,-72.37724304199219
1597000,-72.25019836425781
1607000,-72.81436920166016
1617000,-72.70569610595703
1627000,-72.33836364746094
1637000,-71.540771484375
1647000,-71.7914047241211
1657000,-72.76663970947266
1667000,-72.77057647705078
1677000,-72.14797973632812
1687000,-72.20909118652344
1697000,-72.0616683959961
1707000,-72.74080657958984
1717000,-72.26670837402344
1727000,-72.027099609375
1737000,-72.23197174072266
1747000,-71.85787200927734
1757000,-72.19657135009766
1767000,-72.59815979003906
1777000,-72.03694152832031
1787000,-72.42300415039062
1797000,-72.43769073486328
1807000,-72.2421875
1817000,-72.35206604003906
1827000,-72.04988098144531
1837000,-72.21376037597656
1847000,-72.02188110351562
1857000,-72.22608184814453
1867000,-72.61192321777344
1877000,-72.11609649658203
1887000,-72.21566772460938
1897000,-72.66978454589844
1907000,-72.11852264404297
1917000,-72.01581573486328
1927000,-72.48889923095703
1937000,-72.72744750976562
1947000,-72.40351867675781
1957000,-72.4721450805664
1967000,-71.86040496826172
1977000,-72.17149353027344
1987000,-72.41805267333984
1997000,-72.12384033203125
