step,reward
17000,-103.3353500366211
27000,-191.46798706054688
37000,-201.96139526367188
47000,-206.4101104736328
57000,-209.23782348632812
67000,-210.15562438964844
77000,-210.8740234375
87000,-211.04539489746094
97000,-210.71116638183594
107000,-211.04983520507812
117000,-211.1310577392578
127000,-211.04745483398438
137000,-210.99317932128906
147000,-210.952880859375
157000,-211.0625457763672
167000,-210.95960998535156
177000,-211.16896057128906
187000,-211.67832946777344
197000,-211.79722595214844
207000,-211.8534393310547
217000,-211.63418579101562
227000,-212.27078247070312
237000,-212.9273681640625
247000,-212.3631591796875
257000,-212.5030059814453
267000,-212.1588897705078
277000,-212.33663940429688
287000,-212.32415771484375
297000,-212.6372833251953
307000,-212.3670196533203
317000,-212.600341796875
327000,-212.75222778320312
337000,-213.12107849121094
347000,-212.45985412597656
357000,-212.69322204589844
367000,-213.2128143310547
377000,-212.76373291015625
387000,-212.9001007080078
397000,-213.45721435546875
407000,-213.2964630126953
417000,-212.3037567138672
427000,-212.69314575195312
437000,-212.4518280029297
447000,-211.61119079589844
457000,-211.39149475097656
467000,-211.35830688476562
477000,-211.76187133789062
487000,-212.1431121826172
497000,-212.97853088378906
507000,-213.95819091796875
517000,-214.35240173339844
527000,-215.76300048828125
537000,-216.32350158691406
547000,-216.4474334716797
557000,-216.84109497070312
567000,-216.72909545898438
577000,-217.45855712890625
587000,-218.18435668945312
597000,-218.5438690185547
607000,-218.59776306152344
617000,-219.0733184814453
627000,-219.15696716308594
637000,-220.11929321289062
647000,-219.73870849609375
657000,-220.1282196044922
667000,-220.04820251464844
677000,-220.64126586914062
687000,-220.9317169189453
697000,-220.8274688720703
707000,-220.6995391845703
717000,-220.99375915527344
727000,-221.65280151367188
737000,-221.61305236816406
747000,-221.8192138671875
757000,-222.58250427246094
767000,-223.14524841308594
777000,-223.36009216308594
787000,-223.83505249023438
797000,-224.30313110351562
807000,-224.80166625976562
817000,-224.48257446289062
827000,-224.5419158935547
837000,-224.7863311767578
847000,-225.2602996826172
857000,-226.32839965820312
867000,-227.1672821044922
877000,-227.23072814941406
887000,-227.47052001953125
897000,-228.39427185058594
907000,-228.2787322998047
917000,-229.16317749023438
927000,-229.2556610107422
937000,-230.03359985351562
947000,-229.67535400390625
957000,-229.94224548339844
967000,-230.2814483642578
977000,-230.5392303466797
987000,-230.95367431640625
997000,-231.7775421142578
1007000,-232.45851135253906
1017000,-232.2623748779297
1027000,-233.15460205078125
1037000,-233.6100616455078
1047000,-233.98416137695312
1057000,-234.37989807128906
1067000,-234.64332580566406
1077000,-235.02793884277344
1087000,-235.71200561523438
1097000,-237.0744171142578
1107000,-237.55455017089844
1117000,-238.6349639892578
1127000,-238.84091186523438
1137000,-239.77655029296875
1147000,-239.96405029296875
1157000,-241.5828399658203
1167000,-242.25083923339844
1177000,-243.311279296875
1187000,-243.2052764892578
1197000,-243.64141845703125
1207000,-243.92803955078125
1217000,-244.6960906982422
1227000,-245.17845153808594
1237000,-244.3749237060547
1247000,-245.6654052734375
1257000,-246.21763610839844
1267000,-246.95462036132812
1277000,-246.92625427246094
1287000,-246.4659881591797
1297000,-247.73257446289062
1307000,-249.54310607910156
1317000,-249.90789794921875
1327000,-249.72076416015625
1337000,-250.36630249023438
1347000,-251.4346160888672
1357000,-252.3408203125
1367000,-251.90646362304688
1377000,-252.7982940673828
1387000,-253.83375549316406
1397000,-254.8360595703125
1407000,-255.98739624023438
1417000,-256.5350341796875
1427000,-256.494384765625
1437000,-256.6882629394531
1447000,-258.00030517578125
1457000,-258.4791564941406
1467000,-259.165283203125
1477000,-259.3879089355469
1487000,-260.2236022949219
1497000,-260.50164794921875
1507000,-261.9490051269531
1517000,-261.75494384765625
1527000,-263.11077880859375
1537000,-264.7629699707031
1547000,-264.90643310546875
1557000,-266.57879638671875
1567000,-266.9280700683594
1577000,-268.6693420410156
1587000,-270.19097900390625
1597000,-271.1418151855469
1607000,-271.6922607421875
1617000,-272.2522888183594
1627000,-273.0780944824219
1637000,-274.5827941894531
1647000,-275.84967041015625
1657000,-276.7491455078125
1667000,-278.932861328125
1677000,-280.87591552734375
1687000,-283.0313720703125
1697000,-284.5598449707031
1707000,-287.14373779296875
1717000,-288.47900390625
1727000,-290.2810974121094
1737000,-291.9623718261719
1747000,-293.5361328125
1757000,-294.30126953125
1767000,-296.3599548339844
1777000,-298.26324462890625
1787000,-300.5800476074219
1797000,-302.0085144042969
1807000,-304.7852478027344
1817000,-306.0643005371094
1827000,-308.676513671875
1837000,-310.8358154296875
1847000,-312.8819885253906
1857000,-314.16265869140625
1867000,-317.1462097167969
1877000,-319.2757263183594
1887000,-321.7389831542969
1897000,-324.1300964355469
1907000,-326.8434753417969
1917000,-328.7706604003906
1927000,-331.2502746582031
1937000,-332.72784423828125
1947000,-333.27862548828125
1957000,-335.14697265625
1967000,-336.5541687011719
1977000,-337.4951477050781
1987000,-338.3281555175781
1997000,-340.5838623046875
