step,reward
17000,-86.95611572265625
27000,-179.1884307861328
37000,-220.8861846923828
47000,-241.1607208251953
57000,-407.0288391113281
67000,-412.46697998046875
77000,-410.7847595214844
87000,-403.65460205078125
97000,-388.7318420410156
107000,-404.17431640625
117000,-409.57373046875
127000,-409.8092346191406
137000,-408.1627197265625
147000,-409.69219970703125
157000,-411.2798156738281
167000,-411.9862060546875
177000,-411.54913330078125
187000,-411.2955322265625
197000,-410.84423828125
207000,-410.33428955078125
217000,-409.7549743652344
227000,-409.3393859863281
237000,-408.8072509765625
247000,-407.1208801269531
257000,-406.9909973144531
267000,-407.3897399902344
277000,-407.0478210449219
287000,-406.5057373046875
297000,-406.41802978515625
307000,-405.3367004394531
317000,-404.6969299316406
327000,-404.6727294921875
337000,-404.87908935546875
347000,-404.3304443359375
357000,-404.12322998046875
367000,-404.1658935546875
377000,-403.2398376464844
387000,-402.98785400390625
397000,-403.2396545410156
407000,-403.0024719238281
417000,-403.205322265625
427000,-402.7880554199219
437000,-402.589599609375
447000,-401.9855041503906
457000,-402.57177734375
467000,-402.4264221191406
477000,-401.88671875
487000,-401.4042053222656
497000,-401.4660339355469
507000,-401.5594787597656
517000,-401.0457763671875
527000,-400.813232421875
537000,-400.6512756347656
547000,-400.5250244140625
557000,-400.03192138671875
567000,-400.072998046875
577000,-400.1060791015625
587000,-400.0331115722656
597000,-400.08721923828125
607000,-399.8492431640625
617000,-399.63671875
627000,-399.5869445800781
637000,-399.4287109375
647000,-399.77557373046875
657000,-399.46478271484375
667000,-399.3310241699219
677000,-399.17877197265625
687000,-398.9816589355469
697000,-398.84796142578125
707000,-399.1357116699219
717000,-398.817138671875
727000,-398.8040466308594
737000,-397.92919921875
747000,-397.87701416015625
757000,-396.27850341796875
767000,-393.1446838378906
777000,-409.91192626953125
787000,-410.47064208984375
797000,-402.9033508300781
807000,-397.0660400390625
817000,-394.6307678222656
827000,-398.48907470703125
837000,-403.2023010253906
847000,-406.060546875
857000,-406.8691101074219
867000,-405.204345703125
877000,-400.6962585449219
887000,-400.29266357421875
897000,-404.77978515625
907000,-406.9189147949219
917000,-406.2727966308594
927000,-405.6402893066406
937000,-406.337646484375
947000,-406.6114807128906
957000,-405.2749328613281
967000,-405.01849365234375
977000,-406.0575866699219
987000,-406.1694030761719
997000,-406.2774658203125
1007000,-407.763916015625
1017000,-406.6263122558594
1027000,-405.3663330078125
1037000,-405.9660949707031
1047000,-406.89263916015625
1057000,-407.49591064453125
1067000,-407.70318603515625
1077000,-407.5293884277344
1087000,-408.3450622558594
1097000,-408.62884521484375
1107000,-409.07257080078125
1117000,-411.0348205566406
1127000,-411.2127380371094
1137000,-411.23565673828125
1147000,-412.17596435546875
1157000,-412.3601379394531
1167000,-410.8265380859375
1177000,-409.79449462890625
1187000,-408.61627197265625
1197000,-408.103271484375
1207000,-408.38720703125
1217000,-408.7271423339844
1227000,-409.3129577636719
1237000,-409.8779602050781
1247000,-409.77447509765625
1257000,-408.6005859375
1267000,-407.794189453125
1277000,-407.3979187011719
1287000,-407.1538391113281
1297000,-407.5695495605469
1307000,-407.47064208984375
1317000,-407.278076171875
1327000,-407.5498046875
1337000,-407.11688232421875
1347000,-407.16436767578125
1357000,-407.38580322265625
1367000,-407.588134765625
1377000,-407.56689453125
1387000,-407.2990417480469
1397000,-407.7527160644531
1407000,-407.4670715332031
1417000,-407.3267822265625
1427000,-407.5031433105469
1437000,-407.6119079589844
1447000,-407.6151123046875
1457000,-407.491455078125
1467000,-407.6405944824219
1477000,-407.7842102050781
1487000,-407.4425354003906
1497000,-407.5207824707031
1507000,-407.07659912109375
1517000,-408.15899658203125
1527000,-407.2069091796875
1537000,-407.5320739746094
1547000,-407.4006652832031
1557000,-407.030517578125
1567000,-407.2896728515625
1577000,-407.4783935546875
1587000,-407.44598388671875
1597000,-407.3160705566406
1607000,-407.5028381347656
1617000,-407.4232482910156
1627000,-407.3611755371094
1637000,-407.3420104980469
1647000,-407.6878967285156
1657000,-407.1845703125
1667000,-407.4632263183594
1677000,-407.13751220703125
1687000,-407.69415283203125
1697000,-407.2664489746094
1707000,-407.42498779296875
1717000,-407.2080993652344
1727000,-407.0947570800781
1737000,-407.1963195800781
1747000,-407.2740783691406
1757000,-406.6910400390625
1767000,-407.05413818359375
1777000,-407.19818115234375
1787000,-407.2366027832031
1797000,-407.131591796875
1807000,-406.9418640136719
1817000,-406.967041015625
1827000,-407.59564208984375
1837000,-407.4598083496094
1847000,-407.4808654785156
1857000,-407.1686096191406
1867000,-407.0758972167969
1877000,-407.1457824707031
1887000,-406.9676818847656
1897000,-406.96905517578125
1907000,-406.8307800292969
1917000,-406.8310852050781
1927000,-406.91070556640625
1937000,-407.07275390625
1947000,-407.00091552734375
1957000,-406.7416687011719
1967000,-407.0918273925781
1977000,-406.632568359375
1987000,-406.9175720214844
1997000,-406.6521301269531
