step,reward
190000,-460.6744384765625
380000,-554.3280639648438
570000,-480.5375061035156
750000,-487.61810302734375
940000,-545.2848510742188
1130000,-534.651123046875
1330000,-588.384765625
1510000,-571.88623046875
1710000,-566.8721923828125
1910000,-526.9261474609375
2120000,-551.9606323242188
2330000,-549.9842529296875
2540000,-542.610107421875
2770000,-602.5194702148438
3000000,-582.98046875
3240000,-546.33447265625
3470000,-447.4610290527344
3710000,-385.9288024902344
3930000,-399.3059387207031
4170000,-451.63299560546875
4410000,-346.4422607421875
4620000,-186.4095458984375
4840000,-605.0470581054688
5050000,-556.2504272460938
5260000,-433.7335510253906
5470000,-275.3743591308594
5690000,-98.43255615234375
5940000,-146.33847045898438
6180000,-16.62757110595703
6420000,-380.4985046386719
6680000,-430.4433288574219
6900000,-409.9836730957031
7110000,-405.87255859375
7330000,-326.0257263183594
7550000,-377.7431945800781
7770000,-309.02001953125
8010000,-514.51513671875
8250000,-367.91314697265625
8480000,-538.0589599609375
8710000,-523.8455810546875
8940000,-549.6595458984375
9170000,-298.9084777832031
9410000,-288.284423828125
9640000,-290.41448974609375
9870000,-253.7556915283203
10100000,-240.82899475097656
10320000,-253.38009643554688
10540000,-271.4053955078125
10750000,-266.72479248046875
10990000,-229.43760681152344
11220000,-301.9537048339844
11440000,-210.72474670410156
11660000,-189.57046508789062
11880000,-503.6880187988281
12100000,-442.5098876953125
12330000,-481.3708801269531
12550000,-471.6302795410156
12790000,-508.7071838378906
13030000,-647.02099609375
13270000,-607.9608764648438
13500000,-564.9944458007812
13730000,-566.3401489257812
13950000,-575.1115112304688
14170000,-569.6060180664062
14390000,-393.2427062988281
14610000,-247.4091796875
14830000,-356.76885986328125
15060000,-530.4636840820312
15290000,-560.4923706054688
15520000,-577.0614624023438
15740000,-532.3165893554688
15960000,-576.3596801757812
16200000,-602.6671752929688
16440000,-589.5717163085938
16680000,-606.6766967773438
16920000,-589.1864013671875
17160000,-606.7420043945312
17380000,-598.409912109375
17620000,-560.3839721679688
17840000,-470.5956115722656
18070000,-387.2318115234375
18300000,-262.5518798828125
18530000,-358.6247863769531
18750000,-395.7950744628906
18970000,-477.0291442871094
19200000,-506.9896240234375
19430000,-629.51123046875
19650000,-607.1641235351562
19880000,-620.3702392578125
