step,reward
190000,-267.524658203125
380000,-306.9552001953125
570000,-354.2091979980469
760000,-505.7853088378906
960000,-610.7828369140625
1160000,-580.3248901367188
1360000,-658.688720703125
1550000,-708.4834594726562
1760000,-700.9177856445312
1980000,-738.2559814453125
2210000,-692.1289672851562
2450000,-696.3201904296875
2690000,-699.348388671875
2930000,-550.6907348632812
3150000,-486.20294189453125
3380000,-509.03863525390625
3600000,-673.1255493164062
3800000,-528.384521484375
4000000,-400.994873046875
4240000,-502.9447021484375
4450000,-278.1649475097656
4660000,-530.2094116210938
4870000,-389.45489501953125
5100000,-304.82415771484375
5330000,-297.13623046875
5580000,-599.114013671875
5820000,-404.3639221191406
6060000,-187.02259826660156
6290000,-167.45413208007812
6500000,-182.33023071289062
6700000,-170.97743225097656
6910000,-141.3818817138672
7130000,-114.31556701660156
7370000,-221.14393615722656
7610000,-229.35992431640625
7840000,-164.3577880859375
8080000,-100.24031829833984
8310000,-531.2862548828125
8560000,-692.8995361328125
8770000,-499.7168273925781
8980000,-273.7893981933594
9200000,-302.0232849121094
9430000,67.16783905029297
9650000,-16.530691146850586
9880000,-330.79815673828125
10090000,-327.8661804199219
10310000,-253.12063598632812
10540000,-295.0113830566406
10750000,-235.25193786621094
10990000,98.74279022216797
11210000,22.08403778076172
11450000,109.02620697021484
11700000,-288.8970642089844
11930000,-423.0046081542969
12170000,-548.6188354492188
12410000,144.19476318359375
12640000,167.69430541992188
12870000,243.4766082763672
13100000,294.0067443847656
13320000,359.610595703125
13540000,334.7366638183594
13770000,-313.53338623046875
13970000,-542.6194458007812
14190000,-540.1075439453125
14390000,-553.0394897460938
14620000,-568.0704956054688
14840000,-547.4957275390625
15080000,-495.04473876953125
15320000,-81.12002563476562
15550000,-460.2789306640625
15790000,-446.5616149902344
16040000,-359.2469482421875
16290000,-489.20672607421875
16500000,-578.8406982421875
16720000,-575.1676635742188
16950000,-586.7769775390625
17170000,-580.8074340820312
17390000,-581.7605590820312
17610000,-592.5698852539062
17820000,-592.4772338867188
18030000,-586.994384765625
18260000,-589.3367919921875
18480000,-586.815673828125
18700000,-586.144775390625
18920000,-589.7493286132812
19130000,-613.7210083007812
19360000,-595.1431884765625
19590000,-585.8600463867188
19820000,-594.646728515625
