step,reward
17000,-132.5679473876953
27000,-155.3384552001953
37000,-55.248722076416016
47000,-217.12046813964844
57000,-400.8924255371094
67000,-238.46865844726562
77000,157.0304412841797
87000,-115.58673095703125
97000,-128.54879760742188
107000,-130.92237854003906
117000,-132.0932159423828
127000,-133.2305908203125
137000,-133.17800903320312
147000,-132.46217346191406
157000,-133.00257873535156
167000,-133.29342651367188
177000,-133.4781494140625
187000,-132.8182373046875
197000,-132.7786865234375
207000,-132.4082489013672
217000,-132.84532165527344
227000,-132.69650268554688
237000,-133.2222900390625
247000,-133.12530517578125
257000,-133.30569458007812
267000,-133.04400634765625
277000,-132.91246032714844
287000,-132.76577758789062
297000,-132.85263061523438
307000,-132.59078979492188
317000,-133.02162170410156
327000,-133.27261352539062
337000,-133.64260864257812
347000,-132.98797607421875
357000,-132.76321411132812
367000,-132.69541931152344
377000,-132.65731811523438
387000,-133.06466674804688
397000,-133.422119140625
407000,-132.9331512451172
417000,-132.86180114746094
427000,-133.19517517089844
437000,-132.93231201171875
447000,-133.39938354492188
457000,-133.22817993164062
467000,-132.55870056152344
477000,-133.33302307128906
487000,-133.07693481445312
497000,-133.4649658203125
507000,-133.7514190673828
517000,-133.1457061767578
527000,-133.1274871826172
537000,-132.9507293701172
547000,-133.4280548095703
557000,-133.17266845703125
567000,-132.7291259765625
577000,-132.80133056640625
587000,-133.0418701171875
597000,-132.88320922851562
607000,-132.87887573242188
617000,-133.48016357421875
627000,-133.041748046875
637000,-132.42604064941406
647000,-132.80294799804688
657000,-132.85545349121094
667000,-133.28831481933594
677000,-133.11968994140625
687000,-133.0159454345703
697000,-132.74462890625
707000,-132.69313049316406
717000,-132.63079833984375
727000,-132.35440063476562
737000,-132.9098358154297
747000,-132.5580596923828
757000,-132.86489868164062
767000,-133.44517517089844
777000,-132.28872680664062
787000,-133.2172088623047
797000,-133.4422607421875
807000,-132.57455444335938
817000,-133.5813751220703
827000,-133.6492919921875
837000,-133.3621063232422
847000,-132.7385711669922
857000,-133.20408630371094
867000,-132.66180419921875
877000,-132.42431640625
887000,-133.5410919189453
897000,-133.073486328125
907000,-132.7541046142578
917000,-133.14694213867188
927000,-132.98997497558594
937000,-133.35086059570312
947000,-132.76605224609375
957000,-132.9348602294922
967000,-132.7623291015625
977000,-132.33206176757812
987000,-133.44908142089844
997000,-133.02215576171875
1007000,-133.0343475341797
1017000,-132.4921875
1027000,-133.584716796875
1037000,-133.75367736816406
1047000,-132.9890594482422
1057000,-132.74356079101562
1067000,-132.74472045898438
1077000,-133.0082244873047
1087000,-133.2155303955078
1097000,-132.85293579101562
1107000,-133.39401245117188
1117000,-132.6322021484375
1127000,-132.95375061035156
1137000,-133.3306427001953
1147000,-133.45729064941406
1157000,-133.45840454101562
1167000,-132.5864715576172
1177000,-133.44432067871094
1187000,-133.2722625732422
1197000,-133.2324676513672
1207000,-132.34039306640625
1217000,-132.93597412109375
1227000,-132.78639221191406
1237000,-132.75057983398438
1247000,-132.88645935058594
1257000,-133.20111083984375
1267000,-132.92112731933594
1277000,-133.57424926757812
1287000,-133.1747283935547
1297000,-132.99234008789062
1307000,-133.45799255371094
1317000,-133.14271545410156
1327000,-132.77537536621094
1337000,-133.22567749023438
1347000,-132.51605224609375
1357000,-132.9414520263672
1367000,-133.04788208007812
1377000,-132.99256896972656
1387000,-132.71241760253906
1397000,-132.87855529785156
1407000,-132.9981689453125
1417000,-132.9714813232422
1427000,-132.60231018066406
1437000,-133.54342651367188
1447000,-132.69415283203125
1457000,-134.02987670898438
1467000,-132.8777313232422
1477000,-133.38893127441406
1487000,-133.72911071777344
1497000,-132.83485412597656
1507000,-133.09735107421875
1517000,-133.33615112304688
1527000,-132.5325164794922
1537000,-132.97164916992188
1547000,-133.0628204345703
1557000,-133.03990173339844
1567000,-132.94334411621094
1577000,-132.71170043945312
1587000,-132.4205322265625
1597000,-133.0465545654297
1607000,-132.8744659423828
1617000,-133.01402282714844
1627000,-132.09886169433594
1637000,-133.52481079101562
1647000,-133.43714904785156
1657000,-133.84461975097656
1667000,-132.71588134765625
1677000,-133.42185974121094
1687000,-133.3890838623047
1697000,-133.09349060058594
1707000,-133.46405029296875
1717000,-132.91268920898438
1727000,-132.15530395507812
1737000,-133.17108154296875
1747000,-132.7504425048828
1757000,-133.63900756835938
1767000,-132.9768524169922
1777000,-132.8198699951172
1787000,-133.1083984375
1797000,-133.1604461669922
1807000,-133.0135955810547
1817000,-133.45042419433594
1827000,-133.4447784423828
1837000,-133.5933074951172
1847000,-134.19757080078125
1857000,-132.62710571289062
1867000,-133.615966796875
1877000,-133.58392333984375
1887000,-133.28619384765625
1897000,-133.0043182373047
1907000,-133.1458282470703
1917000,-133.013671875
1927000,-132.9085235595703
1937000,-133.77853393554688
1947000,-133.1316680908203
1957000,-133.19686889648438
1967000,-133.39112854003906
1977000,-133.3602752685547
1987000,-133.5185089111328
1997000,-132.741455078125
