step,reward
180000,-572.5525512695312
370000,-452.6184997558594
560000,-524.2242431640625
750000,-590.1904907226562
940000,-609.3104858398438
1130000,-636.2227172851562
1320000,-610.05419921875
1520000,-703.6146240234375
1710000,-374.9623718261719
1910000,-250.87591552734375
2100000,-304.34429931640625
2290000,-251.04994201660156
2490000,-191.50096130371094
2690000,-89.0014419555664
2880000,-201.62942504882812
3070000,-186.58192443847656
3280000,-207.55355834960938
3480000,-75.0446548461914
3680000,14.026679992675781
3890000,1.3262557983398438
4110000,-65.3763198852539
4340000,-4.461061954498291
4570000,73.19618225097656
4800000,-388.6212463378906
5030000,-337.94244384765625
5240000,-349.8695068359375
5460000,-278.3938903808594
5680000,-468.0229187011719
5890000,-338.5013122558594
6090000,-278.426513671875
6290000,-543.4070434570312
6520000,-526.8137817382812
6740000,-289.5469970703125
6970000,-259.7803039550781
7210000,-246.8984832763672
7440000,-248.08648681640625
7660000,-268.35626220703125
7860000,-285.9076843261719
8060000,-243.35862731933594
8250000,-247.49728393554688
8470000,-235.80905151367188
8690000,-226.08474731445312
8910000,-253.294677734375
9140000,-243.53790283203125
9360000,-201.82736206054688
9570000,-240.2124786376953
9780000,-223.94944763183594
10010000,-235.6369171142578
10230000,-187.49119567871094
10450000,-222.5517120361328
10660000,-464.9634704589844
10860000,-238.36605834960938
11070000,-474.89678955078125
11270000,-612.4913330078125
11500000,-626.28076171875
11730000,-621.0938110351562
11950000,-628.951171875
12200000,-652.1104125976562
12440000,-612.8699951171875
12660000,-624.7647705078125
12860000,-605.1229248046875
13060000,-636.84716796875
13260000,-616.2550048828125
13460000,-645.85205078125
13670000,-651.3858642578125
13890000,-639.3783569335938
14130000,-614.4701538085938
14350000,-635.5518798828125
14570000,-623.5217895507812
14800000,-650.4218139648438
15010000,-673.9215087890625
15220000,-633.7036743164062
15430000,-657.4186401367188
15640000,-615.4598999023438
15840000,-683.9345092773438
16060000,-653.1287841796875
16300000,-642.910400390625
16540000,-646.1807250976562
16780000,-674.4517822265625
17010000,-627.5963745117188
17220000,-676.3305053710938
17430000,-655.830810546875
17640000,-656.9428100585938
17850000,-618.7902221679688
18060000,-614.9447021484375
18280000,-615.8394775390625
18500000,-653.6558227539062
18750000,-632.3573608398438
18990000,-593.6517333984375
19220000,-645.4937133789062
19440000,-621.7843627929688
19650000,-632.2976684570312
19880000,-643.9301147460938
