step,reward
100000,-303.9370422363281
200000,-353.7578430175781
300000,-321.093994140625
400000,-374.71588134765625
500000,-470.52471923828125
600000,-491.9126281738281
700000,-492.42254638671875
800000,-479.7626037597656
900000,-488.8879089355469
1000000,-459.2739562988281
1100000,-490.67962646484375
1200000,-465.0054626464844
1300000,-545.0352783203125
1400000,-550.4010009765625
1500000,-525.876953125
1600000,-580.637939453125
1700000,-507.98175048828125
1800000,-509.00677490234375
1900000,-541.9902954101562
2000000,-606.836181640625
2100000,-601.2045288085938
2200000,-530.0557250976562
2300000,-550.6773681640625
2400000,-602.7505493164062
2500000,-629.9400024414062
2600000,-630.8555297851562
2700000,-604.4948120117188
2800000,-608.3124389648438
2900000,-581.40380859375
3000000,-631.2068481445312
3100000,-574.1038208007812
3200000,-682.5092163085938
3300000,-613.522705078125
3400000,-626.7730712890625
3500000,-650.4750366210938
3600000,-656.6290893554688
3700000,-634.1679077148438
3800000,-644.28564453125
3900000,-637.7620239257812
4000000,-674.8987426757812
4100000,-659.8463134765625
4200000,-585.3311157226562
4300000,-620.787841796875
4400000,-667.25390625
4500000,-633.3425903320312
4600000,-686.2366943359375
4700000,-619.5881958007812
4800000,-641.593505859375
4900000,-697.1171264648438
5000000,-679.3797607421875
5100000,-665.3856811523438
5200000,-640.0538940429688
5300000,-641.3485717773438
5400000,-630.5269775390625
5500000,-658.8329467773438
5600000,-643.0751953125
5700000,-702.7794189453125
5800000,-659.6854858398438
5900000,-666.7485961914062
6000000,-635.542236328125
6100000,-631.0418701171875
6200000,-646.8255004882812
6300000,-680.0233764648438
6400000,-652.5746459960938
6500000,-681.4364624023438
6600000,-669.17333984375
6700000,-692.9501953125
6800000,-681.0282592773438
6900000,-665.4358520507812
7000000,-655.7233276367188
7100000,-661.9923095703125
7200000,-591.1309204101562
7300000,-627.1607666015625
7400000,-670.7586059570312
7500000,-649.7023315429688
7600000,-651.4808349609375
7700000,-660.0726318359375
7800000,-614.7022705078125
7900000,-631.7010498046875
8000000,-673.05078125
8100000,-649.1419067382812
8200000,-642.9666748046875
8300000,-644.2108154296875
8400000,-649.7107543945312
8500000,-615.3054809570312
8600000,-620.43701171875
8700000,-621.2319946289062
8800000,-610.428955078125
8900000,-610.4746704101562
9000000,-687.44140625
9100000,-626.0584106445312
9200000,-651.3391723632812
9300000,-627.92919921875
9400000,-704.8524169921875
9500000,-648.0703735351562
9600000,-653.8795166015625
9700000,-624.6100463867188
9800000,-682.1486206054688
9900000,-619.5750122070312
10000000,-656.0619506835938
10100000,-664.3552856445312
10200000,-686.2907104492188
10300000,-704.9243774414062
10400000,-644.5135498046875
10500000,-657.402099609375
10600000,-639.9869995117188
10700000,-637.7147216796875
10800000,-624.88525390625
10900000,-629.362548828125
11000000,-590.7886962890625
11100000,-657.6793212890625
11200000,-649.2196655273438
11300000,-658.5471801757812
11400000,-622.219970703125
11500000,-631.9511108398438
11600000,-617.8204956054688
11700000,-664.4015502929688
11800000,-660.4660034179688
11900000,-648.3803100585938
12000000,-680.473876953125
12100000,-643.2232055664062
12200000,-672.616455078125
12300000,-620.0270385742188
12400000,-695.1633911132812
12500000,-645.1882934570312
12600000,-656.9498291015625
12700000,-618.65087890625
12800000,-653.2215576171875
12900000,-628.142822265625
13000000,-671.4039916992188
13100000,-616.0701904296875
13200000,-678.796142578125
13300000,-633.8068237304688
13400000,-667.0264282226562
13500000,-640.4066162109375
13600000,-659.58447265625
13700000,-612.20166015625
13800000,-653.2208251953125
13900000,-624.1968994140625
14000000,-649.5367431640625
14100000,-655.4296875
14200000,-668.24169921875
14300000,-657.2735595703125
14400000,-671.0192260742188
14500000,-646.6806640625
14600000,-611.7625122070312
14700000,-652.019287109375
14800000,-668.606201171875
14900000,-675.8430786132812
15000000,-649.0286254882812
15100000,-651.5987548828125
15200000,-660.9403076171875
15300000,-680.3478393554688
15400000,-665.0167846679688
15500000,-650.8873291015625
15600000,-627.6095581054688
15700000,-652.3880004882812
15800000,-637.9194946289062
15900000,-694.9634399414062
16000000,-627.7161865234375
16100000,-667.6932373046875
16200000,-665.2791137695312
16300000,-580.446533203125
16400000,-640.103759765625
16500000,-670.2173461914062
16600000,-659.858154296875
16700000,-612.6300048828125
16800000,-657.3365478515625
16900000,-628.5435791015625
17000000,-646.1538696289062
17100000,-604.9628295898438
17200000,-659.8781127929688
17300000,-618.6771240234375
17400000,-674.914306640625
17500000,-627.7681274414062
17600000,-679.6439208984375
17700000,-658.2923583984375
17800000,-722.8558959960938
17900000,-643.9808959960938
18000000,-637.975341796875
18100000,-674.099365234375
18200000,-629.3513793945312
18300000,-649.1182250976562
18400000,-647.5872192382812
18500000,-664.9762573242188
18600000,-628.1935424804688
18700000,-655.477783203125
18800000,-670.6096801757812
18900000,-635.562744140625
19000000,-656.1903686523438
19100000,-654.4251098632812
19200000,-629.7846069335938
19300000,-639.791015625
19400000,-667.4854125976562
19500000,-668.0571899414062
19600000,-675.0850219726562
19700000,-640.392578125
19800000,-660.1863403320312
19900000,-675.879638671875
20000000,-636.1838989257812
