step,reward
17127,-7.595149517059326
27151,-8.040029525756836
37182,-7.924844741821289
47212,-7.729802131652832
57244,-8.004650115966797
67274,-7.532910346984863
77303,-7.52661657333374
87323,-7.559166431427002
97352,-7.616343975067139
107373,-7.724638938903809
117404,-8.02497386932373
127429,-7.771142959594727
137457,-7.888318061828613
147485,-7.754164695739746
157515,-7.713407516479492
167545,-7.564328670501709
177576,-7.407960414886475
187607,-7.522823810577393
197639,-7.7028045654296875
207666,-7.529472351074219
217696,-7.930968761444092
227714,-7.555926322937012
237746,-7.57346248626709
247771,-7.359980583190918
257800,-7.872581958770752
267830,-7.732095241546631
277864,-7.824706554412842
287887,-7.621414661407471
297912,-7.541109085083008
307943,-7.364017486572266
317965,-7.893395900726318
327999,-7.681283473968506
338022,-7.546177387237549
348045,-7.597270488739014
358069,-7.917227268218994
368088,-7.755177974700928
378114,-7.574896812438965
388143,-7.551143646240234
398171,-8.090426445007324
408187,-7.700364112854004
418219,-7.7452497482299805
428258,-7.586679935455322
438282,-7.728549003601074
448312,-7.5331501960754395
458343,-7.37007999420166
468364,-7.434650897979736
478397,-7.709567546844482
488425,-7.747783184051514
498463,-7.56047248840332
508490,-7.608893871307373
518511,-7.440443515777588
528532,-7.557747840881348
538555,-7.551738739013672
548585,-8.380341529846191
558603,-8.351326942443848
568631,-7.649934768676758
578657,-7.594059467315674
588685,-7.599218845367432
598707,-7.728724479675293
608735,-7.530080318450928
618758,-7.558061599731445
628787,-7.891170501708984
638806,-7.7315545082092285
648834,-7.633298873901367
658864,-7.381831169128418
668890,-7.7431840896606445
678912,-7.536032676696777
688935,-7.523435115814209
698955,-7.9315385818481445
708977,-7.859724998474121
719007,-7.744143962860107
729037,-7.8695831298828125
739061,-7.6414570808410645
749079,-7.927941799163818
759108,-7.42573881149292
769141,-7.410282135009766
779169,-7.586711406707764
789201,-7.435177326202393
799225,-8.067900657653809
809251,-7.39601993560791
819281,-7.904247760772705
829307,-7.736126899719238
839334,-7.734210014343262
849352,-7.768026828765869
859373,-7.716560363769531
869400,-7.86506986618042
879419,-7.431887149810791
889454,-7.543344974517822
899473,-7.4033098220825195
909503,-7.7599196434021
919531,-7.699889659881592
929558,-7.400101184844971
939584,-7.769876003265381
949600,-7.539111137390137
959627,-7.571873188018799
969656,-7.697251319885254
979677,-7.570674419403076
989709,-7.758570194244385
999738,-7.557325839996338
1009765,-7.772436618804932
1019787,-7.760274887084961
1029811,-7.785932540893555
1039843,-7.596449851989746
1049867,-7.949781894683838
1059888,-8.036627769470215
1069910,-7.87108850479126
1079933,-8.135381698608398
1089954,-7.610260009765625
1099972,-7.420777797698975
1110010,-7.732134819030762
1120026,-7.885357856750488
1130063,-7.558206558227539
1140091,-7.674966335296631
1150114,-7.759158611297607
1160140,-7.626523971557617
1170158,-7.417933940887451
1180189,-7.77100133895874
1190222,-7.4684906005859375
1200243,-7.478109359741211
1210260,-7.558682918548584
1220290,-7.740532875061035
1230319,-8.208112716674805
1240343,-7.3951334953308105
1250361,-7.749680042266846
1260385,-7.767663955688477
1270414,-7.391125679016113
1280434,-7.904632568359375
1290464,-7.5982160568237305
1300494,-8.040372848510742
1310509,-7.604287147521973
1320531,-7.608860492706299
1330558,-7.467665672302246
1340595,-7.733295440673828
1350622,-7.749487400054932
1360650,-7.582116603851318
1370670,-7.619803428649902
1380694,-7.7175726890563965
1390716,-7.682185173034668
1400745,-7.544837474822998
1410780,-7.698001861572266
1420802,-7.7436909675598145
1430822,-7.604898929595947
1440854,-7.5885396003723145
1450881,-7.729928970336914
1460910,-7.913177490234375
1470934,-7.42598819732666
1480952,-7.3933610916137695
1490973,-7.556861400604248
1501001,-7.562000274658203
1511029,-7.6971354484558105
1521052,-7.554468631744385
1531073,-7.383968830108643
1541095,-7.709436416625977
1551114,-7.7791266441345215
1561123,-7.629504203796387
1571144,-7.550070762634277
1581179,-7.5380048751831055
1591206,-7.7780537605285645
1601238,-7.632699012756348
1611260,-7.837177276611328
1621287,-7.9477691650390625
1631316,-7.914822101593018
1641346,-7.380354404449463
1651369,-7.560093879699707
1661390,-7.418304443359375
1671410,-7.7266740798950195
1681438,-7.682352542877197
1691465,-7.788721084594727
1701487,-8.010904312133789
1711513,-7.352956295013428
1721548,-7.752956390380859
1731564,-7.483957767486572
1741577,-7.563776969909668
1751598,-7.566719055175781
1761617,-7.544467926025391
1771653,-7.686678409576416
1781679,-7.832625389099121
1791716,-7.642487525939941
1801752,-7.728238582611084
1811784,-7.724358558654785
1821809,-7.584667205810547
1831832,-7.603028774261475
1841860,-7.726699352264404
1851887,-7.543246269226074
1861914,-7.582108020782471
1871944,-7.518937110900879
1881972,-7.755733966827393
1892001,-7.565966606140137
1902031,-7.575737953186035
1912066,-7.409350872039795
1922093,-7.467098236083984
1932115,-7.535534381866455
1942144,-7.7211198806762695
1952169,-7.60172176361084
1962197,-7.456648349761963
1972214,-7.5748677253723145
1982237,-7.593788146972656
1992268,-7.699397087097168
