step,reward
48120,-61.518028259277344
98550,-90.538330078125
153145,-219.72593688964844
209208,-389.9402770996094
254775,-54.224361419677734
307544,-52.992374420166016
356773,-60.32908630371094
407749,-308.15411376953125
454866,-191.46969604492188
506029,-63.914306640625
562925,-93.07057189941406
614141,-382.3827819824219
672923,-201.13510131835938
724784,-47.75841522216797
781433,-286.80096435546875
835336,-117.64290618896484
885846,-125.02984619140625
943882,-88.50094604492188
994448,-38.84950637817383
1040683,-241.27816772460938
1094194,-254.95021057128906
1146287,-127.68738555908203
1193198,-54.6864013671875
1241281,-114.91731262207031
1293221,-54.40764617919922
1348718,-73.70899963378906
1433860,354.91705322265625
1593860,489.7671203613281
1733860,-1022.976318359375
1873860,-1097.57568359375
2003860,-1074.6885986328125
2123860,-1205.86279296875
2243860,-1409.0146484375
2373860,-1290.4129638671875
2523860,-1052.042724609375
2663860,-1152.8492431640625
2783860,-1008.1687622070312
2923860,-1026.50390625
3063860,-960.4740600585938
3213860,-811.3990478515625
3333191,-875.6373901367188
3483191,-905.4497680664062
3632494,-855.77880859375
3797648,-771.3217163085938
3947648,-684.367919921875
4085841,-368.794677734375
4210829,130.03807067871094
4350003,593.7384643554688
4501013,832.7294311523438
4661013,259.07672119140625
4791013,-707.9712524414062
4951013,-2994.267333984375
5121013,-2995.608154296875
5271013,-2997.451416015625
5421013,-2995.7578125
5551013,-2997.552490234375
5691013,-2996.416748046875
5841013,-2998.271240234375
5991021,-2998.642333984375
6151021,-2997.2099609375
6301021,-2997.15576171875
6451021,-2996.37744140625
6611021,-2610.58984375
6761021,-2396.689697265625
6931021,-2329.661865234375
7071021,-2149.18701171875
7241028,-1699.865234375
7419919,-952.26318359375
7537248,-310.59674072265625
7616800,-68.96663665771484
7670438,-27.195837020874023
7731199,147.047607421875
7842110,608.1459350585938
7960876,775.3695068359375
8100811,-209.54049682617188
8210811,223.61245727539062
8320811,682.4790649414062
8450811,920.9602661132812
8609925,579.78857421875
8739925,124.85816192626953
8873086,413.5566711425781
8987774,629.2789306640625
9125021,623.7503662109375
9292860,643.1165771484375
9422860,473.9548645019531
9592860,471.7260437011719
9742860,877.3766479492188
9912178,826.39208984375
10087732,673.4974365234375
10247569,366.51702880859375
10384584,635.4408569335938
10518871,284.89227294921875
10655308,522.7557373046875
10804539,701.423828125
10924539,758.9420776367188
11074539,343.2464904785156
11234539,754.5921630859375
11404539,924.038818359375
11554539,916.8704833984375
11704539,780.894287109375
11864539,835.7543334960938
12013528,783.8101806640625
12152420,827.7858276367188
12291613,652.8426513671875
12439620,556.9093627929688
12567109,693.16015625
12694626,695.6454467773438
12849135,663.033447265625
13005560,874.0209350585938
13145560,447.3825378417969
13305560,16.4522705078125
13465560,830.6467895507812
13624822,646.1078491210938
13785322,686.6227416992188
13934798,664.463134765625
14094798,614.3297119140625
14260352,359.6453857421875
14402531,543.2243041992188
14548063,844.9384155273438
14708063,873.5873413085938
14858063,884.5247192382812
15018063,900.3129272460938
15177785,854.7440185546875
15347785,434.4425964355469
15507785,798.4273681640625
15677785,771.107666015625
15847785,820.0424194335938
16007785,828.197998046875
16137785,826.6563110351562
16287785,834.0178833007812
16457785,825.3298950195312
16607785,654.8870239257812
16777785,822.4481201171875
16937785,865.234130859375
17097785,792.3762817382812
17267785,797.8855590820312
17437785,965.7156372070312
17607785,531.8366088867188
17737785,750.7662963867188
17907785,791.7276000976562
18097785,628.3189697265625
18283665,550.7848510742188
18469953,578.0372314453125
18658168,692.9190063476562
18847417,738.6535034179688
19037417,714.3617553710938
19227417,657.7971801757812
19417417,598.8660278320312
19606826,648.7242431640625
19801465,687.83203125
19988528,706.6028442382812
