step,reward
17126,-381.8684387207031
27126,-2283.712646484375
37126,-2501.742919921875
47126,-2543.101806640625
57126,-2554.39794921875
67126,-2559.40771484375
77126,-2560.91357421875
87126,-2561.8515625
97126,-2562.804931640625
107126,-2563.6630859375
117126,-2563.88525390625
127126,-2557.2724609375
137126,-2514.320556640625
147126,-122.30003356933594
157126,-489.9440612792969
167126,-2196.93798828125
177126,-2668.404052734375
187126,-2762.286376953125
197126,-2787.891357421875
207126,-2796.3251953125
217126,-2799.918701171875
227126,-2800.16650390625
237126,-2799.65087890625
247126,-2800.18310546875
257126,-2798.971923828125
267126,-2797.005126953125
277126,-2793.494140625
287126,-2789.82763671875
297126,-2784.945556640625
307126,-2773.840576171875
317126,-2762.47900390625
327126,-2748.639892578125
337126,-2733.862548828125
347126,-2729.8134765625
357126,-1582.747802734375
367126,-2692.0654296875
377126,-2810.81298828125
387126,-2827.446044921875
397126,-2831.089111328125
407126,-2832.315673828125
417126,-2832.58935546875
427126,-2833.57275390625
437126,-2832.88330078125
447126,-2833.105712890625
457126,-2833.383056640625
467126,-2832.098388671875
477126,-2832.8212890625
487126,-2832.945556640625
497126,-2833.052490234375
507126,-2833.2119140625
517126,-2832.983642578125
527126,-2832.70263671875
537126,-2833.67626953125
547126,-2833.170654296875
557126,-2832.669921875
567126,-2832.73876953125
577126,-2833.1572265625
587126,-2833.275634765625
597126,-2832.534912109375
607126,-2833.373291015625
617126,-2833.15576171875
627126,-2832.1416015625
637126,-2832.73779296875
647126,-2832.46044921875
657126,-2832.59814453125
667126,-2832.947265625
677126,-2832.38427734375
687126,-2832.5400390625
697126,-2833.567138671875
707126,-2831.95947265625
717126,-2832.688720703125
727126,-2832.548095703125
737126,-2832.070068359375
747126,-2832.7490234375
757126,-2832.2021484375
767126,-2833.630126953125
777126,-2832.874755859375
787126,-2832.558837890625
797126,-2832.2138671875
807126,-2833.49853515625
817126,-2832.7451171875
827126,-2833.112060546875
837126,-2833.25341796875
847126,-2833.387939453125
857126,-2833.075439453125
867126,-2832.5234375
877126,-2832.286376953125
887126,-2832.889404296875
897126,-2833.964599609375
907126,-2832.240966796875
917126,-2832.498046875
927126,-2833.633056640625
937126,-2832.555908203125
947126,-2833.411376953125
957126,-2833.7890625
967126,-2833.133056640625
977126,-2833.17724609375
987126,-2833.193603515625
997126,-2833.4541015625
1007126,-2832.950439453125
1017126,-2834.184814453125
1027126,-2832.656982421875
1037126,-2832.42919921875
1047126,-2832.687255859375
1057126,-2831.931884765625
1067126,-2833.728271484375
1077126,-2834.41552734375
1087126,-2833.654541015625
1097126,-2833.412353515625
1107126,-2833.519775390625
1117126,-2833.0712890625
1127126,-2833.451416015625
1137126,-2833.3896484375
1147126,-2833.03125
1157126,-2832.13916015625
1167126,-2833.164306640625
1177126,-2832.98583984375
1187126,-2832.95947265625
1197126,-2832.7939453125
1207126,-2833.574951171875
1217126,-2832.053466796875
1227126,-2832.7919921875
1237126,-2833.134765625
1247126,-2833.60400390625
1257126,-2831.60546875
1267126,-2833.791748046875
1277126,-2833.1806640625
1287126,-2832.526611328125
1297126,-2832.87255859375
1307126,-2833.86572265625
1317126,-2832.619873046875
1327126,-2831.743408203125
1337126,-2832.981689453125
1347126,-2832.90478515625
1357126,-2832.29931640625
1367126,-2833.294677734375
1377126,-2832.360107421875
1387126,-2832.862060546875
1397126,-2832.416748046875
1407126,-2833.542724609375
1417126,-2832.422119140625
1427126,-2833.23486328125
1437126,-2831.972900390625
1447126,-2833.04150390625
1457126,-2833.705810546875
1467126,-2832.988037109375
1477126,-2834.078857421875
1487126,-2833.153564453125
1497126,-2833.14306640625
1507126,-2833.337158203125
1517126,-2832.755615234375
1527126,-2832.025390625
1537126,-2832.121826171875
1547126,-2832.631591796875
1557126,-2833.018310546875
1567126,-2832.337646484375
1577126,-2832.817138671875
1587126,-2832.2158203125
1597126,-2832.677978515625
1607126,-2833.0888671875
1617126,-2833.145263671875
1627126,-2833.764892578125
1637126,-2833.61181640625
1647126,-2832.954833984375
1657126,-2833.060546875
1667126,-2832.7724609375
1677126,-2833.400390625
1687126,-2833.970458984375
1697126,-2833.408203125
1707126,-2833.349853515625
1717126,-2832.56298828125
1727126,-2833.206787109375
1737126,-2834.081298828125
1747126,-2832.84326171875
1757126,-2832.935302734375
1767126,-2833.0302734375
1777126,-2833.428955078125
1787126,-2833.284423828125
1797126,-2832.801025390625
1807126,-2832.934326171875
1817126,-2832.91650390625
1827126,-2833.24169921875
1837126,-2833.287353515625
1847126,-2832.769287109375
1857126,-2833.464111328125
1867126,-2833.163818359375
1877126,-2832.818115234375
1887126,-2832.330078125
1897126,-2832.7294921875
1907126,-2833.072021484375
1917126,-2833.437255859375
1927126,-2832.580078125
1937126,-2831.955322265625
1947126,-2832.43212890625
1957126,-2833.2099609375
1967126,-2832.16796875
1977126,-2832.389404296875
1987126,-2832.9970703125
1997126,-2832.948974609375
