step,reward
17140,-55.63371658325195
27140,-1714.85791015625
37140,-2219.263671875
47140,-2344.24267578125
57140,-2385.88427734375
67140,-2399.707275390625
77140,-2402.865478515625
87140,-2401.650634765625
97140,-2395.5146484375
107140,-2377.366455078125
117140,-2292.1767578125
127140,656.2332763671875
137140,-111.68942260742188
147140,-213.29507446289062
157140,-235.74998474121094
167140,-248.36972045898438
177140,-261.2023620605469
187140,-267.1435241699219
197140,-269.5323791503906
207140,-269.3987731933594
217140,-269.9078063964844
227140,-270.27142333984375
237140,-270.20526123046875
247140,-270.63525390625
257140,-270.6897277832031
267140,-270.5956726074219
277140,-270.4515380859375
287140,-271.06494140625
297140,-270.4823303222656
307140,-271.228271484375
317140,-270.27740478515625
327140,-270.80572509765625
337140,-270.2435302734375
347140,-270.4326477050781
357140,-270.7298889160156
367140,-270.2208557128906
377140,-270.1717834472656
387140,-270.75433349609375
397140,-270.3283996582031
407140,-270.5210876464844
417140,-270.3860168457031
427140,-271.1998596191406
437140,-270.5906677246094
447140,-269.8545837402344
457140,-270.65557861328125
467140,-270.38226318359375
477140,-270.5231018066406
487140,-270.16375732421875
497140,-271.23565673828125
507140,-270.0044250488281
517140,-269.96075439453125
527140,-269.52288818359375
537140,-269.6305847167969
547140,-270.5478210449219
557140,-270.54052734375
567140,-269.784912109375
577140,-270.6523742675781
587140,-270.85821533203125
597140,-269.9785461425781
607140,-270.6373596191406
617140,-270.07330322265625
627140,-270.26910400390625
637140,-270.5539855957031
647140,-269.8673400878906
657140,-270.5455627441406
667140,-270.57470703125
677140,-270.1669006347656
687140,-270.0975341796875
697140,-269.666015625
707140,-270.2853698730469
717140,-270.3326416015625
727140,-269.8180236816406
737140,-270.3656921386719
747140,-270.9536437988281
757140,-270.3515319824219
767140,-270.3716735839844
777140,-270.5553894042969
787140,-270.4988098144531
797140,-270.2481994628906
807140,-270.9795227050781
817140,-270.90374755859375
827140,-269.8365478515625
837140,-270.8511657714844
847140,-270.304931640625
857140,-270.71905517578125
867140,-270.07232666015625
877140,-270.1632385253906
887140,-270.4679870605469
897140,-271.1009521484375
907140,-269.6234130859375
917140,-270.3173522949219
927140,-270.46563720703125
937140,-271.0176696777344
947140,-270.4207763671875
957140,-270.78448486328125
967140,-270.5556335449219
977140,-270.65557861328125
987140,-270.04632568359375
997140,-270.66705322265625
1007140,-269.94427490234375
1017140,-270.9571838378906
1027140,-270.30828857421875
1037140,-270.1847839355469
1047140,-270.5525817871094
1057140,-270.8720397949219
1067140,-270.3348693847656
1077140,-270.6523742675781
1087140,-270.7828063964844
1097140,-270.78851318359375
1107140,-270.1646728515625
1117140,-270.0577087402344
1127140,-270.9023742675781
1137140,-270.0843505859375
1147140,-269.4443664550781
1157140,-270.35748291015625
1167140,-270.97430419921875
1177140,-270.1387939453125
1187140,-270.47357177734375
1197140,-269.19219970703125
1207140,-270.8750305175781
1217140,-270.5111999511719
1227140,-270.6298522949219
1237140,-270.1820068359375
1247140,-271.06536865234375
1257140,-270.4338073730469
1267140,-270.90045166015625
1277140,-270.5037536621094
1287140,-270.83270263671875
1297140,-270.4830322265625
1307140,-271.2392578125
1317140,-270.5970458984375
1327140,-270.734619140625
1337140,-269.9862365722656
1347140,-271.07135009765625
1357140,-269.6656494140625
1367140,-269.3009948730469
1377140,-270.1388854980469
1387140,-270.00616455078125
1397140,-270.6450500488281
1407140,-270.1325378417969
1417140,-269.7705993652344
1427140,-270.1968994140625
1437140,-271.01983642578125
1447140,-270.9819030761719
1457140,-270.2458190917969
1467140,-269.3633117675781
1477140,-271.10028076171875
1487140,-269.6407165527344
1497140,-269.8539123535156
1507140,-270.60308837890625
1517140,-271.62872314453125
1527140,-270.02362060546875
1537140,-271.385009765625
1547140,-271.2411193847656
1557140,-270.3958740234375
1567140,-269.8144836425781
1577140,-271.0815124511719
1587140,-270.32073974609375
1597140,-270.2298278808594
1607140,-270.70843505859375
1617140,-270.4187927246094
1627140,-270.5786437988281
1637140,-270.62371826171875
1647140,-270.20941162109375
1657140,-270.5852355957031
1667140,-271.31695556640625
1677140,-270.85430908203125
1687140,-270.7606201171875
1697140,-270.3952331542969
1707140,-271.2555236816406
1717140,-271.4306640625
1727140,-268.7857971191406
1737140,-270.2081604003906
1747140,-270.6733093261719
1757140,-271.4206237792969
1767140,-270.7322082519531
1777140,-270.5426330566406
1787140,-269.169189453125
1797140,-269.8341979980469
1807140,-271.1646728515625
1817140,-270.35736083984375
1827140,-269.8885498046875
1837140,-270.48779296875
1847140,-271.0319519042969
1857140,-270.4890441894531
1867140,-271.00274658203125
1877140,-270.2723083496094
1887140,-270.3094177246094
1897140,-270.3658752441406
1907140,-270.5162658691406
1917140,-270.27044677734375
1927140,-270.9283447265625
1937140,-270.3901062011719
1947140,-270.9723205566406
1957140,-269.9576416015625
1967140,-270.484375
1977140,-270.5194091796875
1987140,-270.2906188964844
1997140,-269.6682434082031
