step,reward
17096,213.56678771972656
27096,-1435.7518310546875
37096,-2261.52001953125
47096,-2440.55224609375
57096,-2489.0771484375
67096,-2505.65185546875
77096,-2511.751220703125
87096,-2513.95849609375
97096,-2514.466796875
107096,-2514.8544921875
117096,-2516.248779296875
127096,-2516.47119140625
137096,-2521.6123046875
147096,-2547.304931640625
157096,-2633.8154296875
167096,-361.2053527832031
177096,-588.8055419921875
187096,-609.8460083007812
197096,-614.7828979492188
207096,-615.1925048828125
217096,-615.4281005859375
227096,-617.1279296875
237096,-616.14697265625
247096,-615.825439453125
257096,-615.8338012695312
267096,-614.946533203125
277096,-616.1848754882812
287096,-616.4862060546875
297096,-615.8244018554688
307096,-616.3907470703125
317096,-615.8276977539062
327096,-615.3082275390625
337096,-615.5145874023438
347096,-615.3342895507812
357096,-614.9107055664062
367096,-615.1823120117188
377096,-614.970703125
387096,-615.3200073242188
397096,-615.2739868164062
407096,-616.3748779296875
417096,-615.56103515625
427096,-616.416259765625
437096,-616.9967041015625
447096,-615.574462890625
457096,-615.1644287109375
467096,-615.7664794921875
477096,-615.7095947265625
487096,-616.387939453125
497096,-616.023193359375
507096,-615.860107421875
517096,-615.9027709960938
527096,-616.2185668945312
537096,-615.77490234375
547096,-616.1531372070312
557096,-616.1179809570312
567096,-615.9024658203125
577096,-616.1780395507812
587096,-615.9853515625
597096,-615.9156494140625
607096,-617.5963134765625
617096,-616.812255859375
627096,-616.496337890625
637096,-616.4788818359375
647096,-615.575927734375
657096,-615.3912353515625
667096,-615.6290283203125
677096,-615.9213256835938
687096,-615.47216796875
697096,-615.224609375
707096,-615.5428466796875
717096,-615.3858642578125
727096,-616.4971923828125
737096,-615.7752075195312
747096,-616.6972045898438
757096,-615.417236328125
767096,-615.7861938476562
777096,-615.8363647460938
787096,-615.9800415039062
797096,-615.2621459960938
807096,-616.12548828125
817096,-615.7595825195312
827096,-616.5637817382812
837096,-615.6571655273438
847096,-614.8864135742188
857096,-616.4092407226562
867096,-615.2232055664062
877096,-615.6411743164062
887096,-615.5090942382812
897096,-615.844970703125
907096,-615.3157348632812
917096,-615.2811279296875
927096,-615.8533935546875
937096,-615.9624633789062
947096,-616.0150146484375
957096,-616.2039794921875
967096,-617.354736328125
977096,-615.4425659179688
987096,-617.2069702148438
997096,-614.9744873046875
1007096,-616.3340454101562
1017096,-616.3414916992188
1027096,-615.6452026367188
1037096,-615.9642333984375
1047096,-615.3745727539062
1057096,-615.689208984375
1067096,-615.6838989257812
1077096,-616.0050048828125
1087096,-615.69140625
1097096,-615.1776733398438
1107096,-615.548095703125
1117096,-615.0619506835938
1127096,-615.9063720703125
1137096,-616.3135375976562
1147096,-616.041015625
1157096,-615.8740234375
1167096,-616.4309692382812
1177096,-616.3134765625
1187096,-616.0572509765625
1197096,-615.6542358398438
1207096,-615.9581909179688
1217096,-616.1842041015625
1227096,-615.8080444335938
1237096,-615.6265869140625
1247096,-615.9319458007812
1257096,-615.2868041992188
1267096,-616.5534057617188
1277096,-615.5275268554688
1287096,-615.768798828125
1297096,-616.1609497070312
1307096,-615.5537719726562
1317096,-615.597412109375
1327096,-616.052490234375
1337096,-616.3256225585938
1347096,-615.9697265625
1357096,-615.6254272460938
1367096,-615.0702514648438
1377096,-616.0348510742188
1387096,-616.1924438476562
1397096,-614.8005981445312
1407096,-615.9298706054688
1417096,-615.8433837890625
1427096,-616.11669921875
1437096,-615.693359375
1447096,-615.7850952148438
1457096,-615.4342651367188
1467096,-615.9808959960938
1477096,-615.8540649414062
1487096,-615.6411743164062
1497096,-616.3240966796875
1507096,-615.3534545898438
1517096,-615.51904296875
1527096,-615.272216796875
1537096,-615.5289916992188
1547096,-615.6806030273438
1557096,-615.7442626953125
1567096,-615.705810546875
1577096,-615.7195434570312
1587096,-615.818359375
1597096,-615.842529296875
1607096,-615.7916870117188
1617096,-614.900390625
1627096,-616.0612182617188
1637096,-615.682373046875
1647096,-615.3883666992188
1657096,-614.825927734375
1667096,-615.4652099609375
1677096,-616.572509765625
1687096,-615.8540649414062
1697096,-615.4583740234375
1707096,-614.4879760742188
1717096,-614.72412109375
1727096,-616.3093872070312
1737096,-616.6834106445312
1747096,-615.3578491210938
1757096,-615.7481689453125
1767096,-615.4549560546875
1777096,-616.9317016601562
1787096,-615.6572875976562
1797096,-615.7495727539062
1807096,-614.68603515625
1817096,-615.7944946289062
1827096,-616.032958984375
1837096,-615.3766479492188
1847096,-615.2946166992188
1857096,-616.4467163085938
1867096,-615.5244140625
1877096,-616.07421875
1887096,-615.0369873046875
1897096,-616.36865234375
1907096,-616.0552368164062
1917096,-616.6080322265625
1927096,-616.615966796875
1937096,-615.0964965820312
1947096,-615.366943359375
1957096,-616.5520629882812
1967096,-616.6800537109375
1977096,-614.7418823242188
1987096,-615.764404296875
1997096,-615.602783203125
