step,reward
31207,-46.62637710571289
61582,-160.83473205566406
89390,-67.26084899902344
119745,-151.6737518310547
152869,-41.76921463012695
183151,-38.953285217285156
218492,-44.00881576538086
252504,-143.18441772460938
282753,-27.389102935791016
314431,-35.29303741455078
348719,-284.8172302246094
376656,-225.73306274414062
405875,-473.8757019042969
438911,-1067.250732421875
473027,-104.98957824707031
506238,-209.3753662109375
543669,-606.4012451171875
575900,-480.37835693359375
605728,-592.7793579101562
642685,-720.3825073242188
679609,-147.0002899169922
713988,-532.0218505859375
747219,-443.1805114746094
777700,-242.5633087158203
812484,-429.33465576171875
845276,-95.6695327758789
883290,-733.4605712890625
918634,-444.5356750488281
954413,-102.28972625732422
989687,-625.0177612304688
1018855,-293.2774658203125
1054621,-401.32525634765625
1088483,-302.2880554199219
1119479,-536.8670043945312
1151671,-562.6964721679688
1182607,-119.59376525878906
1215807,-341.80047607421875
1249325,-114.9256591796875
1277426,-700.0581665039062
1304902,-565.2078247070312
1337715,-105.9712142944336
1372201,-295.3365478515625
1404314,-159.51406860351562
1439232,-429.1478271484375
1472364,-614.6962890625
1504391,-893.1035766601562
1538226,-562.32568359375
1562230,-587.069091796875
1589340,-133.2379150390625
1622073,-378.2852783203125
1650243,-338.1074523925781
1678431,-526.4646606445312
1710836,-111.36673736572266
1744038,-124.72039794921875
1770410,-150.70306396484375
1796625,-142.39308166503906
1830670,-133.21580505371094
1861303,-114.18218231201172
1893026,-424.2230529785156
1925009,-1008.55078125
1954581,-457.74139404296875
1982309,-476.5196228027344
2014320,-829.919921875
2049371,-137.04373168945312
2079922,-81.46822357177734
2116192,-254.1720733642578
2145890,-444.1780700683594
2180865,-72.20258331298828
2218645,-286.49151611328125
2251470,-513.557861328125
2292858,-340.0121765136719
2324018,-340.5785217285156
2360343,-143.5614471435547
2392174,-530.2590942382812
2425953,-305.2194519042969
2460756,-448.63128662109375
2494008,-405.0950012207031
2522919,-140.2133331298828
2557251,-305.1460266113281
2595738,-81.4383544921875
2630377,-144.78038024902344
2659878,-148.8900604248047
2689176,-183.548583984375
2719619,-192.47903442382812
2748951,-157.27352905273438
2777288,-564.612060546875
2805740,-227.60121154785156
2836614,-633.4664306640625
2871019,-137.6803436279297
2899046,-878.1837158203125
2932507,-239.49917602539062
2966934,-922.1951904296875
2996381,-193.69033813476562
3028842,-1255.6849365234375
3060450,-204.75804138183594
3091981,-415.1833190917969
3121976,-614.306640625
3159761,-571.6080322265625
3189191,-207.66119384765625
3217599,-145.2113037109375
3246032,-460.1727294921875
3277617,-190.3721923828125
3310908,-131.6549530029297
3339740,-623.6403198242188
3373036,-693.4315795898438
3400428,-955.8834228515625
3430243,-770.7959594726562
3465272,-161.86788940429688
3493889,-732.910400390625
3525096,-406.6768493652344
3561423,-657.8850708007812
3594203,-151.67222595214844
3630026,-157.2716522216797
3666864,-1050.45703125
3699524,-1092.5396728515625
3730582,-109.77022552490234
3757601,-930.7785034179688
3788219,-423.9020080566406
3823506,-711.2872314453125
3859008,-399.846923828125
3890580,-963.2823486328125
3921776,-445.0907287597656
3947473,-150.81069946289062
3980220,-411.0268859863281
