step,reward
190000,-616.3991088867188
380000,-567.1122436523438
530000,-423.04754638671875
710000,-572.5294189453125
890000,-564.268310546875
1060000,-597.0020141601562
1250000,-483.4677734375
1430000,-510.24505615234375
1590000,-581.6263427734375
1760000,-507.7096252441406
1920000,-476.2623596191406
2060000,-612.7494506835938
2220000,-582.6929321289062
2380000,-606.4255981445312
2570000,-610.9126586914062
2760000,-288.8985290527344
2940000,-529.9050903320312
3090000,-500.1450500488281
3280000,-320.1040344238281
3450000,-378.3828430175781
3610000,-381.4866943359375
3800000,-579.6981811523438
3960000,-660.1259765625
4140000,-640.3643798828125
4300000,-587.6553344726562
4480000,-631.930908203125
4670000,-641.7230834960938
4860000,-626.859130859375
5050000,-650.3876953125
5240000,-624.4837646484375
5430000,-628.1622924804688
5620000,-648.6162719726562
5800000,-657.2106323242188
5980000,-669.2115478515625
6170000,-646.4616088867188
6360000,-672.8527221679688
6550000,-609.16015625
6740000,-641.8944702148438
6900000,-638.185302734375
7090000,-632.9710693359375
7280000,-697.4669799804688
7460000,-605.5093994140625
7630000,-643.7657470703125
7820000,-636.4677124023438
8010000,-649.3519287109375
8200000,-675.9244995117188
8390000,-668.771240234375
8570000,-642.8335571289062
8740000,-633.8930053710938
8910000,-699.42626953125
9100000,-657.01904296875
9270000,-685.6822509765625
9410000,-655.40478515625
9540000,-604.3804931640625
9710000,-643.1689453125
9860000,-660.5402221679688
10040000,-650.2401733398438
10210000,-666.9835815429688
10400000,-587.6412353515625
10550000,-667.5294799804688
10740000,-604.3106689453125
10900000,-634.5938110351562
11070000,-630.4415283203125
11240000,-663.0875244140625
11420000,-665.3406372070312
11610000,-660.1174926757812
11780000,-655.6857299804688
11960000,-621.2225952148438
12130000,-645.9046020507812
12290000,-627.374267578125
12470000,-628.6670532226562
12660000,-629.257568359375
12830000,-654.8248291015625
13010000,-655.9284057617188
13170000,-642.9239501953125
13350000,-646.526123046875
13540000,-646.8970947265625
13730000,-654.22509765625
13880000,-616.5415649414062
14060000,-641.85107421875
14230000,-647.528564453125
14420000,-612.0271606445312
14610000,-618.252197265625
14780000,-665.0690307617188
14960000,-664.8580932617188
15130000,-623.275146484375
15300000,-649.7088623046875
15480000,-620.9882202148438
15640000,-658.594482421875
15820000,-677.7462768554688
16000000,-631.6460571289062
16170000,-632.8312377929688
16320000,-645.1184692382812
16500000,-662.027099609375
16680000,-626.4852294921875
16800000,-689.6650390625
16980000,-646.6100463867188
17150000,-694.9183959960938
17330000,-648.388916015625
17510000,-639.6731567382812
17700000,-580.1246337890625
17870000,-639.794189453125
18040000,-626.4838256835938
18220000,-645.781982421875
18400000,-655.9338989257812
18590000,-613.992431640625
18780000,-622.412353515625
18960000,-596.9217529296875
19130000,-651.4168701171875
19290000,-659.6165161132812
19460000,-641.0255737304688
19640000,-630.2553100585938
19830000,-672.9773559570312
