step,reward
17000,-171.20510864257812
27000,-24.390674591064453
37000,-160.66307067871094
47000,-226.97230529785156
57000,-251.37774658203125
67000,-261.3750305175781
77000,-264.752685546875
87000,-265.8717956542969
97000,-266.62359619140625
107000,-266.15582275390625
117000,-266.6094055175781
127000,-267.6158142089844
137000,-266.5896301269531
147000,-267.0944519042969
157000,-267.1739501953125
167000,-267.2032775878906
177000,-266.695556640625
187000,-267.1263122558594
197000,-266.5467224121094
207000,-266.85955810546875
217000,-267.3369140625
227000,-267.0013732910156
237000,-267.61151123046875
247000,-267.4204406738281
257000,-267.24371337890625
267000,-266.7828674316406
277000,-267.2379455566406
287000,-267.23828125
297000,-266.9328918457031
307000,-267.1217041015625
317000,-267.3811950683594
327000,-266.6554260253906
337000,-266.5619812011719
347000,-267.1452941894531
357000,-266.9205627441406
367000,-266.7955627441406
377000,-267.1708068847656
387000,-267.0376281738281
397000,-266.7012634277344
407000,-266.5105285644531
417000,-266.96124267578125
427000,-267.0216064453125
437000,-267.1463623046875
447000,-266.8316650390625
457000,-267.0182800292969
467000,-267.0431823730469
477000,-267.4252624511719
487000,-267.0103759765625
497000,-266.92779541015625
507000,-266.9928283691406
517000,-267.2471008300781
527000,-267.8121032714844
537000,-266.3312072753906
547000,-266.9285888671875
557000,-266.3334045410156
567000,-266.87591552734375
577000,-267.045654296875
587000,-267.04150390625
597000,-267.0812683105469
607000,-266.796630859375
617000,-266.9715270996094
627000,-266.736572265625
637000,-267.0466003417969
647000,-266.54180908203125
657000,-266.69647216796875
667000,-266.5452880859375
677000,-266.88623046875
687000,-266.8870544433594
697000,-267.1818542480469
707000,-266.7210998535156
717000,-267.1371765136719
727000,-267.1971435546875
737000,-267.32421875
747000,-267.36663818359375
757000,-266.5919494628906
767000,-266.89996337890625
777000,-267.19158935546875
787000,-267.0980224609375
797000,-267.0218505859375
807000,-267.3226318359375
817000,-266.6361999511719
827000,-267.15313720703125
837000,-266.99932861328125
847000,-267.4551696777344
857000,-266.7577819824219
867000,-266.8819580078125
877000,-266.7687072753906
887000,-266.5611572265625
897000,-266.9750671386719
907000,-266.8368835449219
917000,-267.05523681640625
927000,-266.58447265625
937000,-267.0489196777344
947000,-266.7623596191406
957000,-266.34796142578125
967000,-267.2504577636719
977000,-266.8740234375
987000,-267.231201171875
997000,-266.9226379394531
1007000,-266.7190856933594
1017000,-266.7226867675781
1027000,-266.66741943359375
1037000,-266.69207763671875
1047000,-266.897216796875
1057000,-266.9502258300781
1067000,-266.7741394042969
1077000,-266.59808349609375
1087000,-267.3608703613281
1097000,-266.6803283691406
1107000,-266.8434143066406
1117000,-266.869140625
1127000,-267.479736328125
1137000,-267.3561706542969
1147000,-266.7728271484375
1157000,-266.82916259765625
1167000,-266.6760559082031
1177000,-266.9154968261719
1187000,-266.7405090332031
1197000,-266.5359802246094
1207000,-266.6002197265625
1217000,-266.9241027832031
1227000,-266.75738525390625
1237000,-268.0926513671875
1247000,-266.5277404785156
1257000,-267.07647705078125
1267000,-267.0994873046875
1277000,-266.91326904296875
1287000,-266.2164001464844
1297000,-267.0442199707031
1307000,-267.12548828125
1317000,-266.93939208984375
1327000,-266.5411376953125
1337000,-267.0448913574219
1347000,-267.08233642578125
1357000,-267.08905029296875
1367000,-266.6768493652344
1377000,-267.12762451171875
1387000,-267.168701171875
1397000,-266.8731994628906
1407000,-267.173095703125
1417000,-266.2445983886719
1427000,-266.87176513671875
1437000,-266.6944274902344
1447000,-266.4619445800781
1457000,-266.5552673339844
1467000,-266.931640625
1477000,-266.5281677246094
1487000,-266.95947265625
1497000,-267.4681701660156
1507000,-266.51068115234375
1517000,-266.92889404296875
1527000,-267.1992492675781
1537000,-267.0664978027344
1547000,-266.3575439453125
1557000,-266.8136901855469
1567000,-266.5121765136719
1577000,-266.9195861816406
1587000,-267.2074890136719
1597000,-267.3905334472656
1607000,-267.8404235839844
1617000,-267.2839050292969
1627000,-266.63427734375
1637000,-267.4793701171875
1647000,-267.5022277832031
1657000,-267.27606201171875
1667000,-266.6286926269531
1677000,-267.2134704589844
1687000,-267.15826416015625
1697000,-266.5002136230469
1707000,-266.2776184082031
1717000,-267.490234375
1727000,-266.82659912109375
1737000,-266.81292724609375
1747000,-266.9041748046875
1757000,-266.8982849121094
1767000,-267.5596008300781
1777000,-266.876220703125
1787000,-267.0664978027344
1797000,-266.4804992675781
1807000,-266.8766784667969
1817000,-267.1654968261719
1827000,-267.3016052246094
1837000,-266.69854736328125
1847000,-267.6897277832031
1857000,-266.929931640625
1867000,-266.8119812011719
1877000,-266.8245849609375
1887000,-266.5802307128906
1897000,-266.86798095703125
1907000,-267.18499755859375
1917000,-266.35162353515625
1927000,-267.12261962890625
1937000,-266.44549560546875
1947000,-266.73138427734375
1957000,-266.9366455078125
1967000,-266.3004150390625
1977000,-266.5884094238281
1987000,-267.2679748535156
1997000,-266.84552001953125
