step,reward
17000,-28.116764068603516
27000,-98.55765533447266
37000,-193.156005859375
47000,-229.53170776367188
57000,-242.59747314453125
67000,-248.02838134765625
77000,-250.86244201660156
87000,-251.06170654296875
97000,-251.11500549316406
107000,-251.41029357910156
117000,-251.1017303466797
127000,-251.20713806152344
137000,-251.3989715576172
147000,-251.67872619628906
157000,-251.5955047607422
167000,-250.96560668945312
177000,-250.60960388183594
187000,-251.35191345214844
197000,-251.47523498535156
207000,-251.43560791015625
217000,-251.23580932617188
227000,-251.32545471191406
237000,-251.1749267578125
247000,-251.27088928222656
257000,-251.62762451171875
267000,-251.1396484375
277000,-251.39979553222656
287000,-251.5721893310547
297000,-251.05430603027344
307000,-251.4517364501953
317000,-250.96502685546875
327000,-251.12930297851562
337000,-250.92506408691406
347000,-251.3126220703125
357000,-251.32815551757812
367000,-251.3568572998047
377000,-250.94403076171875
387000,-251.13894653320312
397000,-251.8341064453125
407000,-250.94139099121094
417000,-251.521728515625
427000,-251.40911865234375
437000,-251.25918579101562
447000,-251.421875
457000,-251.2751007080078
467000,-251.39439392089844
477000,-251.3602752685547
487000,-250.7132110595703
497000,-251.35537719726562
507000,-251.32601928710938
517000,-250.9547882080078
527000,-250.81808471679688
537000,-251.91400146484375
547000,-251.7437286376953
557000,-251.3029022216797
567000,-251.23521423339844
577000,-251.08758544921875
587000,-251.304931640625
597000,-251.3822784423828
607000,-251.38780212402344
617000,-251.1604461669922
627000,-251.24484252929688
637000,-251.48345947265625
647000,-251.05532836914062
657000,-251.34396362304688
667000,-251.5579833984375
677000,-251.15231323242188
687000,-251.02317810058594
697000,-251.3577423095703
707000,-251.57386779785156
717000,-251.02870178222656
727000,-251.24380493164062
737000,-251.1164093017578
747000,-251.0896453857422
757000,-251.62835693359375
767000,-251.4912109375
777000,-251.2685546875
787000,-251.3651580810547
797000,-251.54957580566406
807000,-251.03688049316406
817000,-251.34909057617188
827000,-250.9951171875
837000,-250.86053466796875
847000,-251.61302185058594
857000,-251.0197296142578
867000,-250.9801483154297
877000,-251.4862518310547
887000,-251.6103515625
897000,-251.3992919921875
907000,-251.18605041503906
917000,-251.10264587402344
927000,-251.31407165527344
937000,-251.76571655273438
947000,-251.20571899414062
957000,-251.25599670410156
967000,-251.61349487304688
977000,-251.33067321777344
987000,-251.3001251220703
997000,-251.02427673339844
1007000,-251.32383728027344
1017000,-250.75120544433594
1027000,-250.94781494140625
1037000,-251.1214141845703
1047000,-250.85968017578125
1057000,-251.2913055419922
1067000,-251.15719604492188
1077000,-251.3775177001953
1087000,-251.3011932373047
1097000,-251.31520080566406
1107000,-251.11940002441406
1117000,-251.379638671875
1127000,-251.239990234375
1137000,-251.2109375
1147000,-250.9385986328125
1157000,-250.97421264648438
1167000,-251.42539978027344
1177000,-251.48611450195312
1187000,-251.35592651367188
1197000,-251.27159118652344
1207000,-250.99041748046875
1217000,-251.13784790039062
1227000,-250.7923583984375
1237000,-251.3623504638672
1247000,-250.91893005371094
1257000,-251.3395538330078
1267000,-251.25843811035156
1277000,-251.0482940673828
1287000,-251.1371612548828
1297000,-251.46316528320312
1307000,-251.2580108642578
1317000,-250.97796630859375
1327000,-251.03225708007812
1337000,-250.9274444580078
1347000,-251.2887725830078
1357000,-251.2985382080078
1367000,-250.81886291503906
1377000,-250.9952850341797
1387000,-251.24522399902344
1397000,-251.25144958496094
1407000,-250.923583984375
1417000,-251.12387084960938
1427000,-251.3058319091797
1437000,-250.94667053222656
1447000,-251.37889099121094
1457000,-251.3497314453125
1467000,-251.36338806152344
1477000,-251.86866760253906
1487000,-251.29246520996094
1497000,-251.77249145507812
1507000,-251.5699462890625
1517000,-251.5666961669922
1527000,-251.31954956054688
1537000,-251.48036193847656
1547000,-251.6455535888672
1557000,-251.3828125
1567000,-251.65475463867188
1577000,-251.54486083984375
1587000,-250.97262573242188
1597000,-251.09548950195312
1607000,-251.36599731445312
1617000,-251.30987548828125
1627000,-251.22152709960938
1637000,-251.59442138671875
1647000,-251.10545349121094
1657000,-251.10598754882812
1667000,-251.46966552734375
1677000,-251.2784423828125
1687000,-251.14988708496094
1697000,-250.84642028808594
1707000,-251.03062438964844
1717000,-251.28334045410156
1727000,-251.67428588867188
1737000,-251.18174743652344
1747000,-251.5568389892578
1757000,-251.05567932128906
1767000,-251.11541748046875
1777000,-251.33880615234375
1787000,-251.26219177246094
1797000,-251.60964965820312
1807000,-251.30484008789062
1817000,-251.54205322265625
1827000,-251.6934051513672
1837000,-251.1947784423828
1847000,-251.32843017578125
1857000,-251.15478515625
1867000,-251.31263732910156
1877000,-250.96163940429688
1887000,-251.66943359375
1897000,-251.30172729492188
1907000,-250.96041870117188
1917000,-251.32696533203125
1927000,-251.3320770263672
1937000,-251.4287872314453
1947000,-251.7000732421875
1957000,-250.9887237548828
1967000,-251.21595764160156
1977000,-251.2222137451172
1987000,-251.4435577392578
1997000,-251.4641876220703
