step,reward
100000,-275.3473815917969
200000,-297.857666015625
300000,-315.7729797363281
400000,-328.8246765136719
500000,-353.7737121582031
600000,-321.04791259765625
700000,-321.92547607421875
800000,-318.027587890625
900000,-329.7953796386719
1000000,-338.0212097167969
1100000,-335.84417724609375
1200000,-414.34967041015625
1300000,-379.4656677246094
1400000,-349.8305358886719
1500000,-368.9493408203125
1600000,-390.972900390625
1700000,-374.1381530761719
1800000,-338.12017822265625
1900000,-343.7475280761719
2000000,-350.580322265625
2100000,-337.21209716796875
2200000,-339.1692810058594
2300000,-342.3226318359375
2400000,-324.25390625
2500000,-382.2446594238281
2600000,-294.15948486328125
2700000,-357.98419189453125
2800000,-332.8518981933594
2900000,-323.96728515625
3000000,-312.9599304199219
3100000,-296.1089782714844
3200000,-281.6824035644531
3300000,-327.6722717285156
3400000,-325.7778625488281
3500000,-243.72927856445312
3600000,-242.32720947265625
3700000,-245.70187377929688
3800000,-224.46661376953125
3900000,-205.00624084472656
4000000,-203.12547302246094
4100000,-241.6632537841797
4200000,-172.6577911376953
4300000,-148.4019012451172
4400000,-149.2382354736328
4500000,-162.47105407714844
4600000,-179.3546905517578
4700000,-126.50668334960938
4800000,-179.73069763183594
4900000,-74.42996978759766
5000000,-43.01229476928711
5100000,-105.23703002929688
5200000,-39.99516677856445
5300000,-57.41065979003906
5400000,-40.17560577392578
5500000,-84.76515197753906
5600000,-47.65407180786133
5700000,12.772005081176758
5800000,-18.514667510986328
5900000,-3.7519876956939697
6000000,-8.080439567565918
6100000,5.628326416015625
6200000,35.448604583740234
6300000,69.50057983398438
6400000,36.41769790649414
6500000,20.446714401245117
6600000,96.34256744384766
6700000,44.78910827636719
6800000,16.216262817382812
6900000,0.44754135608673096
7000000,97.74520874023438
7100000,35.73063659667969
7200000,56.198612213134766
7300000,58.03316116333008
7400000,35.85437774658203
7500000,41.14470291137695
7600000,34.09992980957031
7700000,79.3819351196289
7800000,26.745237350463867
7900000,93.3050537109375
8000000,113.11770629882812
8100000,125.60871887207031
8200000,135.3186798095703
8300000,109.18367767333984
8400000,138.79100036621094
8500000,79.33150482177734
8600000,143.97523498535156
8700000,83.95761108398438
8800000,92.28016662597656
8900000,121.16141510009766
9000000,127.42808532714844
9100000,109.27301025390625
9200000,114.67623138427734
9300000,131.7743682861328
9400000,118.20326232910156
9500000,70.78797912597656
9600000,116.92900848388672
9700000,34.73750305175781
9800000,89.52349853515625
9900000,91.81151580810547
10000000,98.75238800048828
10100000,93.40457916259766
10200000,66.34967041015625
10300000,105.44245147705078
10400000,113.61968231201172
10500000,115.67733001708984
10600000,87.63847351074219
10700000,94.63907623291016
10800000,117.06766510009766
10900000,121.44883728027344
11000000,136.44081115722656
11100000,111.56512451171875
11200000,125.604736328125
11300000,138.3460235595703
11400000,142.1699981689453
11500000,97.09266662597656
11600000,96.51394653320312
11700000,107.66827392578125
11800000,139.26034545898438
11900000,88.22183227539062
12000000,129.89712524414062
12100000,137.70252990722656
12200000,112.1335220336914
12300000,96.40923309326172
12400000,96.64563751220703
12500000,99.02040100097656
12600000,136.2502899169922
12700000,147.067138671875
12800000,188.89169311523438
12900000,182.78421020507812
13000000,203.95989990234375
13100000,206.10926818847656
13200000,220.34930419921875
13300000,227.42922973632812
13400000,223.68125915527344
13500000,234.12648010253906
13600000,255.27940368652344
13700000,265.28460693359375
13800000,280.65936279296875
13900000,276.39056396484375
14000000,261.390625
14100000,314.9849548339844
14200000,276.2890319824219
14300000,282.1545104980469
14400000,289.91925048828125
14500000,328.08477783203125
14600000,356.08001708984375
14700000,321.00531005859375
14800000,312.3851013183594
14900000,328.0509033203125
15000000,362.058349609375
15100000,381.1800842285156
15200000,382.76416015625
15300000,386.81146240234375
15400000,340.2178955078125
15500000,356.8885803222656
15600000,265.8389892578125
15700000,306.4529724121094
15800000,297.1222229003906
15900000,286.3956298828125
16000000,326.2826232910156
16100000,402.4210205078125
16200000,361.92498779296875
16300000,360.2723083496094
16400000,339.4277038574219
16500000,350.7101135253906
16600000,302.04656982421875
16700000,373.04669189453125
16800000,356.5066833496094
16900000,373.5582275390625
17000000,345.1268615722656
17100000,439.3160400390625
17200000,435.70428466796875
17300000,442.20074462890625
17400000,433.3851623535156
17500000,484.5888366699219
17600000,466.9441223144531
17700000,374.8916015625
17800000,371.4264831542969
17900000,417.4283752441406
18000000,438.2061767578125
18100000,408.05084228515625
18200000,305.5552673339844
18300000,278.6111755371094
18400000,313.2966003417969
18500000,345.67706298828125
18600000,348.70806884765625
18700000,281.4259033203125
18800000,355.6007080078125
18900000,383.24810791015625
19000000,309.2696533203125
19100000,221.44476318359375
19200000,86.27052307128906
19300000,-308.19415283203125
19400000,-538.721923828125
19500000,-618.6068115234375
19600000,-599.8935546875
19700000,-673.3331298828125
19800000,-623.772216796875
19900000,-670.8558349609375
20000000,-656.1883544921875
