step,reward
100000,-334.99066162109375
200000,-396.3628234863281
300000,-386.0276184082031
400000,-386.9154052734375
500000,-411.36279296875
600000,-334.4079895019531
700000,-336.4391174316406
800000,-320.5408630371094
900000,-244.72535705566406
1000000,-221.50039672851562
1100000,-169.58078002929688
1200000,-187.03524780273438
1300000,-152.4131622314453
1400000,-135.6459197998047
1500000,-184.15504455566406
1600000,-227.94631958007812
1700000,-130.3473358154297
1800000,-182.4152374267578
1900000,-160.80612182617188
2000000,-152.19061279296875
2100000,-123.02011108398438
2200000,-157.06961059570312
2300000,-98.61931610107422
2400000,-129.28567504882812
2500000,-112.05108642578125
2600000,-166.8998565673828
2700000,-171.5882110595703
2800000,-159.40658569335938
2900000,-104.50809478759766
3000000,-168.96287536621094
3100000,-167.40093994140625
3200000,-206.6768341064453
3300000,-224.8612823486328
3400000,-112.30661010742188
3500000,-176.95765686035156
3600000,-88.83596801757812
3700000,-151.84095764160156
3800000,-129.7470245361328
3900000,-164.78248596191406
4000000,-222.2759246826172
4100000,-207.7541046142578
4200000,-146.7524871826172
4300000,-228.16175842285156
4400000,-261.0816955566406
4500000,-331.0100402832031
4600000,-285.6681213378906
4700000,-247.294189453125
4800000,-289.2538757324219
4900000,-205.4071044921875
5000000,-200.57801818847656
5100000,-204.6605682373047
5200000,-214.25827026367188
5300000,-136.89060974121094
5400000,-164.7327423095703
5500000,-192.9013671875
5600000,-190.3043212890625
5700000,-249.26763916015625
5800000,-192.11785888671875
5900000,-195.619873046875
6000000,-249.40440368652344
6100000,-150.9597930908203
6200000,-175.65223693847656
6300000,-173.97547912597656
6400000,-197.6411590576172
6500000,-196.39442443847656
6600000,-213.62564086914062
6700000,-205.5828399658203
6800000,-217.20632934570312
6900000,-186.15872192382812
7000000,-189.17340087890625
7100000,-201.73983764648438
7200000,-181.5726776123047
7300000,-125.69988250732422
7400000,-130.5065460205078
7500000,-150.3798065185547
7600000,-156.79931640625
7700000,-165.5448455810547
7800000,-148.2113800048828
7900000,-211.086669921875
8000000,-187.7243194580078
8100000,-180.58355712890625
8200000,-203.36370849609375
8300000,-175.4291534423828
8400000,-184.7745819091797
8500000,-140.812255859375
8600000,-190.8040313720703
8700000,-159.6149139404297
8800000,-167.8169708251953
8900000,-193.0324249267578
9000000,-171.2791290283203
9100000,-131.14837646484375
9200000,-157.5816650390625
9300000,-154.91734313964844
9400000,-140.51687622070312
9500000,-137.3081512451172
9600000,-183.61610412597656
9700000,-275.4276428222656
9800000,-251.84219360351562
9900000,-239.1893768310547
10000000,-165.3765106201172
10100000,-281.3526306152344
10200000,-366.7618103027344
10300000,-471.63409423828125
10400000,-453.05316162109375
10500000,-549.0647583007812
10600000,-425.4605407714844
10700000,-481.1028747558594
10800000,-494.5258483886719
10900000,-478.1101379394531
11000000,-498.2844543457031
11100000,-588.7601928710938
11200000,-624.75927734375
11300000,-609.4642944335938
11400000,-595.6813354492188
11500000,-594.1365966796875
11600000,-617.21826171875
11700000,-590.0255737304688
11800000,-616.164306640625
11900000,-606.7301025390625
12000000,-496.405517578125
12100000,-679.4974365234375
12200000,-654.6414794921875
12300000,-649.8648071289062
12400000,-560.8335571289062
12500000,-605.6104736328125
12600000,-628.9600219726562
12700000,-564.7825317382812
12800000,-624.9265747070312
12900000,-583.9237670898438
13000000,-647.297119140625
13100000,-605.7152099609375
13200000,-622.84033203125
13300000,-674.8333129882812
13400000,-652.657958984375
13500000,-618.5680541992188
13600000,-626.0181274414062
13700000,-618.5888671875
13800000,-644.0072631835938
13900000,-651.4874877929688
14000000,-604.1500244140625
14100000,-683.832275390625
14200000,-631.8409423828125
14300000,-679.2854614257812
14400000,-635.6677856445312
14500000,-674.852783203125
14600000,-646.42578125
14700000,-629.2296752929688
14800000,-650.3677368164062
14900000,-621.3276977539062
15000000,-642.4984130859375
15100000,-622.5090942382812
15200000,-623.5670166015625
15300000,-635.4830932617188
15400000,-602.8949584960938
15500000,-640.6321411132812
15600000,-654.4190673828125
15700000,-648.8682250976562
15800000,-691.8782958984375
15900000,-619.0423583984375
16000000,-622.9851684570312
16100000,-628.5591430664062
16200000,-605.0582885742188
16300000,-654.221435546875
16400000,-629.5818481445312
16500000,-643.4868774414062
16600000,-622.3583374023438
16700000,-650.4683227539062
16800000,-621.439697265625
16900000,-640.7584838867188
17000000,-645.1529541015625
17100000,-685.824462890625
17200000,-623.725341796875
17300000,-632.5390014648438
17400000,-647.0615234375
17500000,-645.88134765625
17600000,-645.3858032226562
17700000,-631.7141723632812
17800000,-652.4368286132812
17900000,-648.0708618164062
18000000,-663.2977905273438
18100000,-659.6090698242188
18200000,-616.6710815429688
18300000,-703.281982421875
18400000,-640.8469848632812
18500000,-633.3087158203125
18600000,-617.2355346679688
18700000,-690.1009521484375
18800000,-679.2626342773438
18900000,-631.84130859375
19000000,-616.6934814453125
19100000,-636.0276489257812
19200000,-607.9020385742188
19300000,-642.7463989257812
19400000,-673.635498046875
19500000,-652.5821533203125
19600000,-661.5403442382812
19700000,-683.7391357421875
19800000,-670.5026245117188
19900000,-657.0030517578125
20000000,-640.6704711914062
