step,reward
180000,-539.263671875
340000,-561.9737548828125
530000,-595.5383911132812
720000,-596.2178344726562
870000,-575.2991333007812
1000000,-566.057861328125
1140000,-570.3568115234375
1290000,-572.0115356445312
1430000,-562.5596923828125
1560000,-554.4338989257812
1750000,-564.0689697265625
1910000,-582.0577392578125
2060000,-513.8709716796875
2230000,-497.548095703125
2380000,-575.486572265625
2530000,-571.0057373046875
2680000,-518.1510620117188
2800000,-492.4145812988281
2980000,-544.4744873046875
3140000,-654.1378173828125
3310000,-626.171630859375
3490000,-581.951171875
3630000,-610.32421875
3790000,-553.9488525390625
3920000,-603.4684448242188
4080000,-575.3324584960938
4240000,-640.8565673828125
4390000,-658.144287109375
4580000,-610.3043823242188
4750000,-684.7964477539062
4940000,-647.155029296875
5110000,-568.8277587890625
5290000,-590.2473754882812
5460000,-624.9947509765625
5620000,-619.0556030273438
5810000,-624.029541015625
5990000,-663.4109497070312
6170000,-604.92138671875
6360000,-698.0287475585938
6530000,-682.89208984375
6710000,-684.249755859375
6890000,-611.4398193359375
7050000,-639.343505859375
7240000,-637.48486328125
7420000,-663.9360961914062
7610000,-666.951416015625
7800000,-627.860595703125
7980000,-620.4700317382812
8170000,-517.4736328125
8350000,-438.6323547363281
8520000,-435.52960205078125
8690000,-401.9313659667969
8860000,-429.14654541015625
9000000,-470.57244873046875
9170000,-578.1431274414062
9330000,-571.9998168945312
9490000,-508.9009094238281
9680000,-502.2098083496094
9840000,-387.7760314941406
10010000,-399.17108154296875
10170000,-408.6189880371094
10330000,-402.35638427734375
10500000,-368.0148620605469
10680000,-467.1386413574219
10840000,-491.01727294921875
11010000,-608.0990600585938
11200000,-558.5811767578125
11360000,-629.1277465820312
11530000,-668.8648071289062
11690000,-632.7813110351562
11880000,-574.71337890625
12070000,-592.1658325195312
12240000,-622.898681640625
12430000,-616.3134155273438
12610000,-448.978271484375
12790000,-328.8583068847656
12960000,-449.8762512207031
13140000,-508.29022216796875
13310000,-463.7903747558594
13500000,-595.0428466796875
13680000,-600.225341796875
13860000,-693.307861328125
14020000,-785.7621459960938
14200000,-627.3013916015625
14390000,-596.572021484375
14560000,-589.4765625
14750000,-602.419189453125
14940000,-639.6767578125
15130000,-573.4331665039062
15310000,-498.5993957519531
15470000,-470.7654113769531
15650000,-523.8484497070312
15840000,-507.7588806152344
16000000,-469.9963684082031
16190000,-406.1531677246094
16370000,-540.9744262695312
16560000,-548.193115234375
16720000,-563.264892578125
16900000,-438.2901611328125
17090000,-404.5736389160156
17270000,-351.3080749511719
17430000,-275.6289978027344
17620000,-238.16488647460938
17790000,-265.6077575683594
17970000,-191.4207763671875
18130000,-25.104660034179688
18280000,-110.13001251220703
18440000,-63.4540901184082
18630000,-51.78633499145508
18780000,-266.30767822265625
18930000,-476.0023498535156
19120000,-437.7906188964844
19290000,-492.79296875
19480000,-350.5326232910156
19670000,-204.14686584472656
19870000,-581.1361694335938
