step,reward
180000,-551.5245361328125
340000,-481.71588134765625
530000,-268.4501953125
720000,-228.30230712890625
890000,-597.6779174804688
1030000,-575.4966430664062
1190000,-388.35919189453125
1330000,-289.4234924316406
1460000,-300.6417236328125
1620000,-62.66835021972656
1800000,-468.07891845703125
1970000,-415.47442626953125
2130000,-170.006591796875
2290000,-242.71424865722656
2440000,-105.88442993164062
2560000,300.3518981933594
2710000,-149.77647399902344
2830000,-85.95626068115234
2990000,-375.65887451171875
3160000,-426.71142578125
3320000,-429.6944580078125
3500000,-455.8975830078125
3650000,-385.95849609375
3800000,-329.71051025390625
3950000,-296.91046142578125
4080000,-285.3695068359375
4240000,-263.2905578613281
4380000,-240.3624267578125
4550000,-270.4112548828125
4720000,-249.3487091064453
4910000,-245.7624969482422
5050000,-331.6936950683594
5220000,-480.0101623535156
5400000,-556.0386352539062
5550000,-551.4834594726562
5740000,-611.8683471679688
5910000,-602.915283203125
6080000,-610.9197387695312
6270000,-547.5164184570312
6450000,-596.4110717773438
6620000,-649.8504028320312
6790000,-613.6556396484375
6970000,-675.5174560546875
7160000,-605.2402954101562
7330000,-646.792724609375
7520000,-600.0392456054688
7690000,-635.0169067382812
7870000,-642.2130737304688
8040000,-617.1991577148438
8230000,-636.8118896484375
8380000,-608.9027099609375
8570000,-660.9561157226562
8760000,-602.7545166015625
8910000,-658.0879516601562
9060000,-659.3768920898438
9230000,-671.09814453125
9400000,-648.6282958984375
9580000,-623.2682495117188
9750000,-655.1756591796875
9940000,-635.115234375
10120000,-637.1317138671875
10260000,-663.3367309570312
10430000,-681.2276611328125
10620000,-659.4645385742188
10770000,-666.8869018554688
10930000,-664.1567993164062
11120000,-644.4165649414062
11270000,-607.8558959960938
11430000,-665.4846801757812
11620000,-639.3499755859375
11810000,-669.5433349609375
11990000,-701.7737426757812
12150000,-677.99951171875
12310000,-664.0314331054688
12500000,-663.686767578125
12690000,-661.5009155273438
12860000,-630.1758422851562
13050000,-640.6544189453125
13230000,-677.692138671875
13410000,-622.3333129882812
13600000,-607.7738647460938
13790000,-688.7755126953125
13980000,-652.0760498046875
14140000,-695.7916870117188
14330000,-636.907958984375
14520000,-652.0464477539062
14710000,-651.015869140625
14890000,-647.0242919921875
15070000,-622.582763671875
15240000,-595.5875244140625
15430000,-650.355224609375
15620000,-659.4764404296875
15800000,-619.339111328125
15980000,-665.050048828125
16170000,-641.4931640625
16350000,-624.30029296875
16520000,-654.730224609375
16710000,-636.5989990234375
16900000,-660.517578125
17090000,-652.2799072265625
17280000,-616.4396362304688
17450000,-651.9264526367188
17640000,-661.7439575195312
17820000,-684.8226928710938
17970000,-631.317626953125
18150000,-692.2967529296875
18330000,-637.1815795898438
18480000,-672.3109741210938
18670000,-658.2459106445312
18830000,-668.4467163085938
18980000,-661.6961059570312
19170000,-631.582763671875
19320000,-665.334716796875
19500000,-633.1041870117188
19690000,-617.809814453125
19880000,-624.6159057617188
