step,reward
170000,-524.9158325195312
340000,-495.2783508300781
520000,-501.74554443359375
710000,-570.1007080078125
870000,-446.3572082519531
1020000,-412.40625
1190000,-311.6190490722656
1350000,-286.6337890625
1520000,-430.7293395996094
1660000,-288.933349609375
1850000,-701.026123046875
2020000,-433.00152587890625
2170000,-326.89251708984375
2330000,-578.55712890625
2480000,-591.9161987304688
2600000,-599.6192016601562
2740000,-618.9862060546875
2880000,-612.1439819335938
3060000,-629.7459106445312
3210000,-635.0344848632812
3390000,-629.0978393554688
3580000,-628.7235107421875
3740000,-599.8380126953125
3890000,-622.7537841796875
4040000,-682.7255859375
4200000,-610.8726806640625
4360000,-650.8411865234375
4520000,-651.9677734375
4690000,-613.3480224609375
4870000,-635.62255859375
5050000,-626.839111328125
5230000,-647.9802856445312
5400000,-660.758056640625
5580000,-644.001953125
5730000,-609.9489135742188
5920000,-615.2955322265625
6100000,-682.1426391601562
6290000,-636.9241333007812
6480000,-681.3270263671875
6640000,-630.0340576171875
6820000,-663.3558349609375
6980000,-571.0372314453125
7130000,-669.0964965820312
7320000,-649.1859741210938
7490000,-645.7447509765625
7680000,-644.2738647460938
7840000,-621.33740234375
8030000,-630.2501220703125
8200000,-651.6239624023438
8390000,-690.8106079101562
8530000,-667.9597778320312
8710000,-675.12744140625
8900000,-684.8456420898438
9080000,-630.6806030273438
9220000,-648.328369140625
9380000,-639.4127807617188
9540000,-633.9089965820312
9720000,-617.8934326171875
9890000,-634.3661499023438
10060000,-651.7529907226562
10240000,-647.2324829101562
10390000,-614.6187133789062
10550000,-656.1367797851562
10740000,-693.8831176757812
10890000,-636.7509765625
11060000,-604.7879028320312
11250000,-637.2933349609375
11420000,-654.7227783203125
11580000,-666.51513671875
11770000,-664.2930908203125
11960000,-623.8477172851562
12150000,-668.7349853515625
12310000,-645.9542846679688
12490000,-639.683837890625
12680000,-670.8153686523438
12870000,-648.6832275390625
13060000,-621.8101196289062
13250000,-677.4766845703125
13440000,-621.4559936523438
13630000,-641.65234375
13820000,-650.939453125
14000000,-677.770263671875
14190000,-609.105224609375
14370000,-705.1600341796875
14560000,-659.7035522460938
14740000,-648.4342041015625
14920000,-673.5248413085938
15110000,-629.129638671875
15300000,-654.6813354492188
15490000,-607.9172973632812
15660000,-666.8306884765625
15850000,-636.6996459960938
16040000,-642.9854125976562
16220000,-637.1057739257812
16390000,-651.5342407226562
16580000,-630.9909057617188
16770000,-634.659912109375
16960000,-643.361083984375
17140000,-677.9253540039062
17330000,-652.7533569335938
17510000,-580.2601318359375
17680000,-640.6675415039062
17870000,-651.04296875
18040000,-661.444091796875
18230000,-638.5463256835938
18400000,-645.7108764648438
18570000,-717.8477783203125
18730000,-688.88623046875
18920000,-647.048583984375
19090000,-644.00048828125
19260000,-636.2838745117188
19450000,-651.8856201171875
19610000,-586.08154296875
19790000,-657.455322265625
19980000,-666.7611083984375
