step,reward
10000,-66.59040832519531
20000,-63.554656982421875
30000,-48.529815673828125
40000,-53.093563079833984
50000,-48.94646453857422
60000,-82.13583374023438
70000,-79.68573760986328
80000,-85.40896606445312
90000,-42.72334289550781
100000,-70.8946762084961
110000,-54.26066207885742
120000,-94.77900695800781
130000,-42.43578338623047
140000,-95.04203796386719
150000,-85.20279693603516
160000,-58.348934173583984
170000,-63.78129577636719
180000,-97.82057189941406
190000,-66.75019073486328
200000,-47.492801666259766
210000,-53.794132232666016
220000,-77.30934143066406
230000,-54.15441131591797
240000,-58.44765853881836
250000,-48.57550811767578
260000,-65.27424621582031
270000,-51.41738510131836
280000,-63.296287536621094
290000,-66.61965942382812
300000,-67.4371337890625
310000,-36.098262786865234
320000,-79.21968078613281
330000,-52.017642974853516
340000,-51.478599548339844
350000,-57.296504974365234
360000,-63.057430267333984
370000,-42.38372039794922
380000,-42.27932357788086
390000,-45.69048309326172
400000,-26.77081871032715
410000,-54.916290283203125
420000,-56.60001754760742
430000,-73.86917877197266
440000,-67.08271789550781
450000,-36.66702651977539
460000,-78.4509048461914
470000,-47.5244140625
480000,-62.0486946105957
490000,-46.007102966308594
500000,-40.9352912902832
510000,-68.43812561035156
520000,-53.49820327758789
530000,-47.781715393066406
540000,-47.71186828613281
550000,-55.968570709228516
560000,-65.2770004272461
570000,-44.7506217956543
580000,-76.19226837158203
590000,-55.73137283325195
600000,-44.9435920715332
610000,-59.141944885253906
620000,-53.94232177734375
630000,-51.27482986450195
640000,-66.85078430175781
650000,-29.4498291015625
660000,-36.36109924316406
670000,-50.08616256713867
680000,-40.44216537475586
690000,-57.120384216308594
700000,-44.832706451416016
710000,-61.24742126464844
720000,-68.02188873291016
730000,-53.12705993652344
740000,-49.32603073120117
750000,-62.18292999267578
760000,-49.33230209350586
770000,-56.43006896972656
780000,-43.0706672668457
790000,-50.6894645690918
800000,-53.44571304321289
810000,-43.82269287109375
820000,-54.76377868652344
830000,-57.29944610595703
840000,-20.15669059753418
850000,-71.35775756835938
860000,-60.33799362182617
870000,-78.46855926513672
880000,-49.99024963378906
890000,-63.65254211425781
900000,-41.771400451660156
910000,-29.188533782958984
920000,-34.375885009765625
930000,-36.53739929199219
940000,-31.059749603271484
950000,-37.015281677246094
960000,-33.86932373046875
970000,-68.6274642944336
980000,-32.10274887084961
990000,-38.89292907714844
1000000,-39.14608383178711
1010000,-48.75275802612305
1020000,-35.45624542236328
1030000,-52.886375427246094
1040000,-38.65188980102539
1050000,-22.837438583374023
1060000,-57.63518524169922
1070000,-45.586944580078125
1080000,-75.90203094482422
1090000,-42.52128982543945
1100000,-60.934146881103516
1110000,-69.21878051757812
1120000,-38.01356887817383
1130000,-36.90001678466797
1140000,-36.921165466308594
1150000,-59.01640319824219
1160000,-35.433448791503906
1170000,-70.05442810058594
1180000,-27.730905532836914
1190000,-54.350433349609375
1200000,-67.58377838134766
1210000,-48.37053680419922
1220000,-62.75963592529297
1230000,-43.8622932434082
1240000,-44.54414367675781
1250000,-50.19451141357422
1260000,-65.98990631103516
1270000,-38.244384765625
1280000,-41.61048889160156
1290000,-75.6917724609375
1300000,-46.758872985839844
1310000,-33.80719757080078
1320000,-62.620094299316406
1330000,-25.4036865234375
1340000,-39.43355178833008
1350000,-40.303466796875
1360000,-50.858036041259766
1370000,-32.28955078125
1380000,-36.77347183227539
1390000,-30.889156341552734
1400000,-36.84201431274414
1410000,-55.52614974975586
1420000,-47.431739807128906
1430000,-35.057857513427734
1440000,-42.74406433105469
1450000,-38.63915252685547
1460000,-26.432727813720703
1470000,-37.02248001098633
1480000,-38.115665435791016
1490000,-50.8720588684082
1500000,-54.259918212890625
1510000,-33.94868850708008
1520000,-24.778575897216797
1530000,-49.62666702270508
1540000,-35.40317153930664
1550000,-40.1661262512207
1560000,-85.55583190917969
1570000,-51.62899398803711
1580000,-23.78489112854004
1590000,-34.084415435791016
1600000,-45.63068771362305
1610000,-28.464542388916016
1620000,-43.02739334106445
1630000,-22.75187873840332
1640000,-25.515779495239258
1650000,-57.405704498291016
1660000,-34.36907958984375
1670000,-36.28832244873047
1680000,-34.540069580078125
1690000,-34.48628616333008
1700000,-37.07310485839844
1710000,-41.794456481933594
1720000,-57.842586517333984
1730000,-35.46056365966797
1740000,-51.534629821777344
1750000,-27.41992950439453
1760000,-26.141597747802734
1770000,-53.34787368774414
1780000,-38.10744857788086
1790000,-33.74143600463867
1800000,-28.777889251708984
1810000,-58.27920150756836
1820000,-49.758121490478516
1830000,-31.297075271606445
1840000,-50.342750549316406
1850000,-27.823881149291992
1860000,-69.04350280761719
1870000,-33.397056579589844
1880000,-33.167842864990234
1890000,-52.61578369140625
1900000,-47.60673522949219
1910000,-41.334293365478516
1920000,-38.93259811401367
1930000,-36.365474700927734
1940000,-50.754051208496094
1950000,-67.01564025878906
1960000,-57.8365364074707
1970000,-33.4864616394043
1980000,-38.054080963134766
1990000,-49.31611251831055
2000000,-55.968326568603516
