step,reward
20000,-25.423067092895508
40000,-28.187742233276367
60000,-31.612565994262695
80000,-35.0389518737793
100000,-22.34134864807129
120000,-41.85123825073242
140000,-46.71073913574219
160000,-31.784208297729492
180000,-182.04098510742188
200000,-206.63624572753906
220000,-180.06063842773438
240000,-196.3470458984375
260000,-153.50962829589844
280000,-151.14337158203125
300000,-250.60731506347656
320000,-204.16409301757812
340000,-92.05493927001953
360000,-147.5009765625
380000,-168.17498779296875
400000,-175.4196014404297
420000,-174.31063842773438
440000,-188.4283905029297
460000,-196.6451416015625
480000,-162.2618408203125
500000,-210.40858459472656
520000,-173.5458984375
540000,-209.37124633789062
560000,-185.85693359375
580000,-196.3543701171875
600000,-195.34588623046875
620000,-169.00808715820312
640000,-170.89352416992188
660000,-202.61532592773438
680000,-178.66152954101562
700000,-173.32025146484375
720000,-175.09124755859375
740000,-174.27859497070312
760000,-196.71524047851562
780000,-172.0698699951172
800000,-151.29400634765625
820000,-168.6682586669922
840000,-232.91970825195312
860000,-187.05923461914062
880000,-198.7923583984375
900000,-210.81777954101562
920000,-226.96847534179688
940000,-186.25314331054688
960000,-170.65977478027344
980000,-165.91722106933594
1000000,-233.1504669189453
1020000,-167.29025268554688
1040000,-188.9143524169922
1060000,-202.56610107421875
1080000,-153.7306671142578
1100000,-165.4041748046875
1120000,-192.1720733642578
1140000,-152.53067016601562
1160000,-149.41896057128906
1180000,-167.5408172607422
1200000,-243.03187561035156
1220000,-208.92996215820312
1240000,-195.65350341796875
1260000,-125.013427734375
1280000,-178.9192352294922
1300000,-147.2416534423828
1320000,-108.0481948852539
1340000,-172.37240600585938
1360000,-168.8014678955078
1380000,-207.12518310546875
1400000,-166.82215881347656
1420000,-153.10731506347656
1440000,-172.58279418945312
1460000,-180.40817260742188
1480000,-178.82492065429688
1500000,-201.96885681152344
1520000,-188.6494140625
1540000,-200.62258911132812
1560000,-161.74581909179688
1580000,-153.12808227539062
1600000,-186.32351684570312
1620000,-188.84445190429688
1640000,-160.6224822998047
1660000,-211.28005981445312
1680000,-186.80325317382812
1700000,-144.54293823242188
1720000,-156.7921142578125
1740000,-205.2130126953125
1760000,-175.63052368164062
1780000,-153.93728637695312
1800000,-190.79071044921875
1820000,-189.25721740722656
1840000,-226.74801635742188
1860000,-157.14393615722656
1880000,-171.54750061035156
1900000,-258.37176513671875
1920000,-174.03549194335938
1940000,-212.4037628173828
1960000,-220.6201934814453
1980000,-161.47256469726562
2000000,-244.32823181152344
2020000,-212.55970764160156
2040000,-190.3812713623047
2060000,-195.46395874023438
2080000,-175.0358123779297
2100000,-210.1102752685547
2120000,-169.8491973876953
2140000,-182.48208618164062
2160000,-175.93988037109375
2180000,-155.67835998535156
2200000,-155.16433715820312
2220000,-180.49400329589844
2240000,-286.61376953125
2260000,-199.96812438964844
2280000,-217.06163024902344
2300000,-203.64013671875
2320000,-238.2069091796875
2340000,-175.31008911132812
2360000,-240.49505615234375
2380000,-162.56753540039062
2400000,-245.2577362060547
2420000,-180.7712860107422
2440000,-178.2368621826172
2460000,-223.11135864257812
2480000,-194.4859161376953
2500000,-208.83468627929688
2520000,-159.5323486328125
2540000,-175.35958862304688
2560000,-221.87669372558594
2580000,-212.82789611816406
2600000,-179.17868041992188
2620000,-198.36825561523438
2640000,-195.53897094726562
2660000,-153.83717346191406
2680000,-227.9524383544922
2700000,-141.96713256835938
2720000,-184.17092895507812
2740000,-235.01307678222656
2760000,-163.9906768798828
2780000,-193.28370666503906
2800000,-176.89486694335938
2820000,-159.37477111816406
2840000,-158.91506958007812
2860000,-170.7050323486328
2880000,-227.13648986816406
2900000,-158.32411193847656
2920000,-155.98509216308594
2940000,-235.3372344970703
2960000,-214.6392364501953
2980000,-183.019287109375
3000000,-200.69378662109375
3020000,-198.2351837158203
3040000,-201.4663543701172
3060000,-193.4523162841797
3080000,-256.9347839355469
3100000,-184.76260375976562
3120000,-224.6979217529297
3140000,-240.13616943359375
3160000,-170.79664611816406
3180000,-165.6764373779297
3200000,-204.9753875732422
3220000,-162.74620056152344
3240000,-160.33782958984375
3260000,-172.7005615234375
3280000,-173.4530792236328
3300000,-218.02357482910156
3320000,-200.0194091796875
3340000,-162.11756896972656
3360000,-187.79214477539062
3380000,-195.65200805664062
3400000,-180.30450439453125
3420000,-191.36180114746094
3440000,-174.16058349609375
3460000,-192.5135498046875
3480000,-154.44654846191406
3500000,-183.11874389648438
3520000,-172.81373596191406
3540000,-169.6980743408203
3560000,-174.91928100585938
3580000,-230.7479705810547
3600000,-159.43699645996094
3620000,-195.6971435546875
3640000,-154.1822967529297
3660000,-179.26527404785156
3680000,-211.6685333251953
3700000,-159.94680786132812
3720000,-192.51571655273438
3740000,-217.687255859375
3760000,-169.34556579589844
3780000,-144.21885681152344
3800000,-207.93081665039062
3820000,-192.1510009765625
3840000,-173.87698364257812
3860000,-161.44625854492188
3880000,-171.3031768798828
3900000,-235.85708618164062
3920000,-237.8344268798828
3940000,-163.00650024414062
3960000,-190.8803253173828
3980000,-200.3410186767578
4000000,-227.4573211669922
4020000,-158.8745574951172
4040000,-179.10987854003906
4060000,-174.35855102539062
4080000,-168.03929138183594
4100000,-213.87818908691406
4120000,-171.47125244140625
4140000,-185.9116668701172
4160000,-155.38429260253906
4180000,-217.38674926757812
4200000,-166.4740753173828
4220000,-177.23516845703125
4240000,-178.90907287597656
4260000,-167.89767456054688
4280000,-130.53713989257812
4300000,-189.4512176513672
4320000,-152.72946166992188
4340000,-183.30841064453125
4360000,-195.02749633789062
4380000,-155.02993774414062
4400000,-166.59202575683594
4420000,-206.9138946533203
4440000,-169.72572326660156
4460000,-221.38954162597656
4480000,-145.12033081054688
4500000,-154.2910614013672
4520000,-185.48529052734375
4540000,-206.61488342285156
4560000,-168.42288208007812
4580000,-159.35818481445312
4600000,-172.8871307373047
4620000,-206.0638885498047
4640000,-195.78457641601562
4660000,-224.18138122558594
4680000,-182.2163543701172
4700000,-190.81752014160156
4720000,-147.3890380859375
4740000,-165.0684356689453
4760000,-191.73928833007812
4780000,-204.54208374023438
4800000,-163.24867248535156
4820000,-163.7963409423828
4840000,-193.34823608398438
4860000,-216.5074005126953
4880000,-173.58509826660156
4900000,-180.7947235107422
4920000,-192.16787719726562
4940000,-157.23751831054688
4960000,-191.0489959716797
4980000,-185.7106475830078
5000000,-222.12210083007812
5020000,-207.34693908691406
5040000,-139.80812072753906
5060000,-205.26553344726562
5080000,-234.5336151123047
5100000,-209.2434844970703
5120000,-185.53216552734375
5140000,-133.97607421875
5160000,-255.61871337890625
5180000,-186.71646118164062
5200000,-160.7370147705078
5220000,-203.25970458984375
5240000,-206.66744995117188
5260000,-207.7364959716797
5280000,-172.38101196289062
5300000,-204.4160919189453
5320000,-148.8261260986328
5340000,-171.83123779296875
5360000,-211.8571014404297
5380000,-188.1420135498047
5400000,-152.1060028076172
5420000,-200.20579528808594
5440000,-179.05538940429688
5460000,-163.86898803710938
5480000,-156.80308532714844
5500000,-179.65505981445312
5520000,-200.57276916503906
5540000,-224.58624267578125
5560000,-169.05838012695312
5580000,-182.0367889404297
5600000,-190.3712615966797
5620000,-176.6387939453125
5640000,-205.54002380371094
5660000,-129.46681213378906
5680000,-199.89645385742188
5700000,-139.4321746826172
5720000,-179.66844177246094
5740000,-209.029296875
5760000,-207.1273651123047
5780000,-142.59207153320312
5800000,-202.48751831054688
5820000,-203.88795471191406
5840000,-174.1360321044922
5860000,-133.0376739501953
5880000,-154.22457885742188
5900000,-179.11300659179688
5920000,-192.3140106201172
5940000,-188.77618408203125
5960000,-200.32981872558594
5980000,-166.93670654296875
6000000,-161.6654052734375
6020000,-173.30685424804688
6040000,-194.37042236328125
6060000,-168.8786163330078
6080000,-211.9838409423828
6100000,-154.27908325195312
6120000,-198.80142211914062
6140000,-163.6298370361328
6160000,-194.21621704101562
6180000,-193.11424255371094
6200000,-188.78013610839844
6220000,-182.62579345703125
6240000,-175.3414764404297
6260000,-197.3311767578125
6280000,-202.49510192871094
6300000,-213.41246032714844
6320000,-226.37904357910156
6340000,-130.7346649169922
6360000,-182.82188415527344
6380000,-147.57595825195312
6400000,-174.22959899902344
6420000,-204.6645050048828
6440000,-175.83151245117188
6460000,-183.70152282714844
6480000,-180.94175720214844
6500000,-168.83273315429688
6520000,-231.2661895751953
6540000,-207.89646911621094
6560000,-235.28677368164062
6580000,-155.01309204101562
6600000,-155.791748046875
6620000,-151.31805419921875
6640000,-172.44586181640625
6660000,-171.38787841796875
6680000,-186.2456512451172
6700000,-202.42926025390625
6720000,-175.0192108154297
6740000,-168.5577850341797
6760000,-128.04110717773438
6780000,-241.7407684326172
6800000,-214.69444274902344
6820000,-180.65476989746094
6840000,-149.11761474609375
6860000,-162.543212890625
6880000,-202.08590698242188
6900000,-202.4565887451172
6920000,-209.0293731689453
6940000,-192.48829650878906
6960000,-160.95205688476562
6980000,-142.848388671875
7000000,-144.43637084960938
7020000,-201.11776733398438
7040000,-229.95237731933594
7060000,-246.28204345703125
7080000,-183.8874053955078
7100000,-169.71493530273438
7120000,-169.14971923828125
7140000,-162.75357055664062
7160000,-179.8876495361328
7180000,-163.13148498535156
7200000,-180.164306640625
7220000,-187.7388458251953
7240000,-187.21636962890625
7260000,-203.18682861328125
7280000,-193.82296752929688
7300000,-194.2290496826172
7320000,-206.7373809814453
7340000,-166.41909790039062
7360000,-239.73463439941406
7380000,-245.0912628173828
7400000,-175.99685668945312
7420000,-181.78726196289062
7440000,-179.39743041992188
7460000,-169.98548889160156
7480000,-217.06471252441406
7500000,-183.71096801757812
7520000,-34.36771774291992
7540000,-42.9066276550293
7560000,-33.47669982910156
7580000,-35.90778350830078
7600000,-27.648500442504883
7620000,-33.355770111083984
7640000,-23.12866973876953
7660000,-40.75327682495117
7680000,-34.648590087890625
7700000,-35.11417007446289
7720000,-35.4931755065918
7740000,-21.8944149017334
7760000,-32.5001335144043
7780000,-25.27466583251953
7800000,-11.570188522338867
7820000,-34.4541015625
7840000,-33.541038513183594
7860000,-41.56925964355469
7880000,-30.223154067993164
7900000,-45.297332763671875
7920000,-34.46160888671875
7940000,-30.654266357421875
7960000,-27.557893753051758
7980000,-37.99803924560547
8000000,-53.62188720703125
8020000,-22.375967025756836
8040000,-32.2973747253418
8060000,-41.26914596557617
8080000,-24.168651580810547
8100000,-39.4107666015625
8120000,-25.8480167388916
8140000,-34.83712387084961
8160000,-171.72634887695312
8180000,-220.0767364501953
8200000,-182.27322387695312
8220000,-189.44281005859375
8240000,-236.5563507080078
8260000,-151.001953125
8280000,-198.72886657714844
8300000,-204.1180877685547
8320000,-191.1714324951172
8340000,-193.261962890625
8360000,-226.28900146484375
8380000,-186.55093383789062
8400000,-154.2131805419922
8420000,-188.003173828125
8440000,-146.35293579101562
8460000,-240.4275360107422
8480000,-158.88119506835938
8500000,-159.80242919921875
8520000,-176.1947479248047
8540000,-213.2504425048828
8560000,-185.2698516845703
8580000,-188.0137176513672
8600000,-186.4348602294922
8620000,-178.19789123535156
8640000,-171.7978057861328
8660000,-191.44825744628906
8680000,-212.03440856933594
8700000,-176.36465454101562
8720000,-169.86915588378906
8740000,-196.20782470703125
8760000,-141.19100952148438
8780000,-218.9652557373047
8800000,-165.25758361816406
8820000,-202.2672882080078
8840000,-204.16537475585938
8860000,-171.0537872314453
8880000,-179.89662170410156
8900000,-180.9581756591797
8920000,-166.96531677246094
8940000,-177.44149780273438
8960000,-215.934326171875
8980000,-192.4363250732422
9000000,-240.9169158935547
9020000,-209.21810913085938
9040000,-245.08990478515625
9060000,-153.89195251464844
9080000,-166.3656768798828
9100000,-181.6487274169922
9120000,-188.46170043945312
9140000,-189.1372528076172
9160000,-230.02255249023438
9180000,-187.25506591796875
9200000,-156.57167053222656
9220000,-210.55978393554688
9240000,-241.5919952392578
9260000,-128.03915405273438
9280000,-169.41395568847656
9300000,-178.8584747314453
9320000,-177.08697509765625
9340000,-202.86102294921875
9360000,-171.0654754638672
9380000,-170.8060302734375
9400000,-165.5245361328125
9420000,-204.32073974609375
9440000,-178.80374145507812
9460000,-151.4253692626953
9480000,-159.7725372314453
9500000,-179.90847778320312
9520000,-163.76385498046875
9540000,-242.6404571533203
9560000,-178.0242462158203
9580000,-224.84939575195312
9600000,-159.24513244628906
9620000,-238.1861114501953
9640000,-176.53277587890625
9660000,-197.91798400878906
9680000,-205.85751342773438
9700000,-202.42955017089844
9720000,-186.11598205566406
9740000,-150.61500549316406
9760000,-258.989501953125
9780000,-229.12315368652344
9800000,-141.7384490966797
9820000,-255.16464233398438
9840000,-180.96322631835938
9860000,-184.2199249267578
9880000,-167.80767822265625
9900000,-164.2980194091797
9920000,-181.09922790527344
9940000,-180.49331665039062
9960000,-189.91770935058594
9980000,-160.36875915527344
10000000,-224.4717254638672
10020000,-180.05291748046875
10040000,-167.859130859375
10060000,-187.31085205078125
10080000,-190.1078338623047
10100000,-181.60215759277344
10120000,-192.3087158203125
10140000,-153.4723358154297
10160000,-200.16348266601562
10180000,-172.9354248046875
