step,reward
20000,-34.12220001220703
40000,-43.70631790161133
60000,-32.314029693603516
80000,-44.45487976074219
100000,-33.370182037353516
120000,-35.08472442626953
140000,-36.42164993286133
160000,-49.771820068359375
180000,-31.020034790039062
200000,-168.22076416015625
220000,-171.37620544433594
240000,-160.788330078125
260000,-146.6191864013672
280000,-213.20962524414062
300000,-199.4998016357422
320000,-227.24290466308594
340000,-207.20980834960938
360000,-171.44105529785156
380000,-158.5281219482422
400000,-207.40841674804688
420000,-181.91477966308594
440000,-206.25709533691406
460000,-222.78793334960938
480000,-249.73739624023438
500000,-173.6361083984375
520000,-148.8860321044922
540000,-181.52670288085938
560000,-199.11135864257812
580000,-238.5005340576172
600000,-153.97769165039062
620000,-183.23313903808594
640000,-193.46910095214844
660000,-163.81756591796875
680000,-225.12416076660156
700000,-211.4694366455078
720000,-188.42221069335938
740000,-180.63699340820312
760000,-170.33950805664062
780000,-187.6475067138672
800000,-194.99021911621094
820000,-190.9535369873047
840000,-183.60658264160156
860000,-186.4146270751953
880000,-162.5639190673828
900000,-148.49111938476562
920000,-155.06321716308594
940000,-188.22747802734375
960000,-194.54205322265625
980000,-163.25807189941406
1000000,-199.19593811035156
1020000,-224.8944549560547
1040000,-232.5883026123047
1060000,-219.51263427734375
1080000,-174.02037048339844
1100000,-239.8748016357422
1120000,-160.06838989257812
1140000,-174.60789489746094
1160000,-187.79983520507812
1180000,-151.48788452148438
1200000,-189.1612091064453
1220000,-166.86770629882812
1240000,-171.80471801757812
1260000,-175.01593017578125
1280000,-179.70863342285156
1300000,-184.82322692871094
1320000,-182.04217529296875
1340000,-130.0121307373047
1360000,-141.1570281982422
1380000,-132.04733276367188
1400000,-155.51467895507812
1420000,-140.94081115722656
1440000,-123.87339782714844
1460000,-171.7337646484375
1480000,-180.94151306152344
1500000,-126.09666442871094
1520000,-143.68429565429688
1540000,-145.37762451171875
1560000,-133.65408325195312
1580000,-136.0384979248047
1600000,-156.8763885498047
1620000,-138.60275268554688
1640000,-169.68212890625
1660000,-109.51274108886719
1680000,-121.47074127197266
1700000,-139.22962951660156
1720000,-141.39923095703125
1740000,-157.63372802734375
1760000,-156.64056396484375
