step,reward
10000,-329.2969665527344
20000,-294.45263671875
30000,-328.7428283691406
40000,-280.8091125488281
50000,-294.60479736328125
60000,-301.33282470703125
70000,-292.60888671875
80000,-259.8191223144531
90000,-261.2991027832031
100000,-241.57093811035156
110000,-274.71954345703125
120000,-262.2934265136719
130000,-269.6935729980469
140000,-265.1229248046875
150000,-232.71322631835938
160000,-261.68927001953125
170000,-259.8475036621094
180000,-239.8885040283203
190000,-266.58441162109375
200000,-244.06210327148438
210000,-248.67474365234375
220000,-250.99916076660156
230000,-233.06924438476562
240000,-256.02471923828125
250000,-221.69149780273438
260000,-232.94049072265625
270000,-278.3304443359375
280000,-245.8009796142578
290000,-228.209716796875
300000,-239.2303466796875
310000,-227.20477294921875
320000,-229.9129180908203
330000,-257.4715270996094
340000,-234.5093536376953
350000,-224.28065490722656
360000,-236.45619201660156
370000,-235.9939727783203
380000,-226.88409423828125
390000,-226.8949737548828
400000,-215.0100555419922
410000,-228.22787475585938
420000,-214.9762725830078
430000,-231.22613525390625
440000,-209.217041015625
450000,-213.0028839111328
460000,-229.02301025390625
470000,-244.63619995117188
480000,-208.39434814453125
490000,-200.4311981201172
500000,-208.55694580078125
510000,-220.60853576660156
520000,-189.29786682128906
530000,-208.81446838378906
540000,-221.7559814453125
550000,-219.93080139160156
560000,-209.97662353515625
570000,-206.87765502929688
580000,-205.84800720214844
590000,-194.21307373046875
600000,-219.47264099121094
610000,-205.88084411621094
620000,-213.02032470703125
630000,-210.5897216796875
640000,-215.190673828125
650000,-216.21527099609375
660000,-212.54551696777344
670000,-187.13172912597656
680000,-196.03082275390625
690000,-203.8111114501953
700000,-198.54112243652344
710000,-200.18592834472656
720000,-189.06863403320312
730000,-217.79446411132812
740000,-220.27769470214844
750000,-209.39076232910156
760000,-186.24765014648438
770000,-204.74449157714844
780000,-193.6872100830078
790000,-209.4832305908203
800000,-210.35336303710938
810000,-204.0309295654297
820000,-206.32666015625
830000,-199.0828094482422
840000,-202.6352081298828
850000,-192.05453491210938
860000,-208.25518798828125
870000,-202.88912963867188
880000,-193.62802124023438
890000,-192.30593872070312
900000,-217.74009704589844
910000,-194.49752807617188
920000,-192.25283813476562
930000,-218.7742156982422
940000,-190.65298461914062
950000,-193.04286193847656
960000,-181.3666229248047
970000,-200.79409790039062
980000,-202.67152404785156
990000,-191.79144287109375
1000000,-188.10914611816406
1010000,-195.62152099609375
1020000,-190.0176544189453
1030000,-200.23745727539062
1040000,-200.6135711669922
1050000,-184.83901977539062
1060000,-191.3314666748047
1070000,-200.84303283691406
1080000,-184.75698852539062
1090000,-184.5207977294922
1100000,-207.68563842773438
1110000,-207.8182830810547
1120000,-197.26002502441406
1130000,-195.68072509765625
1140000,-208.267578125
1150000,-188.43548583984375
1160000,-196.62081909179688
1170000,-204.90847778320312
1180000,-192.04763793945312
1190000,-199.64942932128906
1200000,-187.63755798339844
1210000,-188.35928344726562
1220000,-189.81564331054688
1230000,-196.396728515625
1240000,-179.54486083984375
1250000,-205.69383239746094
1260000,-192.24916076660156
1270000,-201.71194458007812
1280000,-194.5552215576172
1290000,-206.92941284179688
1300000,-204.63754272460938
1310000,-184.62860107421875
1320000,-189.73684692382812
1330000,-176.78765869140625
1340000,-207.92527770996094
1350000,-198.59329223632812
1360000,-189.16592407226562
1370000,-199.0901336669922
1380000,-185.10459899902344
1390000,-200.5318145751953
1400000,-188.5474090576172
1410000,-180.7076873779297
1420000,-191.33067321777344
1430000,-194.05740356445312
1440000,-208.22067260742188
1450000,-184.9216766357422
1460000,-199.56935119628906
1470000,-193.48585510253906
1480000,-200.75338745117188
1490000,-203.38014221191406
1500000,-198.4158935546875
1510000,-184.28350830078125
1520000,-183.3939971923828
1530000,-187.7050018310547
1540000,-188.9208984375
1550000,-205.66549682617188
1560000,-180.67616271972656
1570000,-177.2110595703125
1580000,-192.8773193359375
1590000,-189.15086364746094
1600000,-191.37493896484375
1610000,-186.6055450439453
1620000,-187.2220916748047
1630000,-195.7383575439453
1640000,-192.42111206054688
1650000,-197.05429077148438
1660000,-182.88990783691406
1670000,-181.87179565429688
1680000,-207.38650512695312
1690000,-176.9546661376953
1700000,-179.15440368652344
1710000,-204.08778381347656
1720000,-191.8744354248047
1730000,-177.72274780273438
1740000,-195.73414611816406
1750000,-176.14537048339844
1760000,-188.8943634033203
1770000,-189.1842803955078
1780000,-192.68594360351562
1790000,-180.72598266601562
1800000,-197.58287048339844
1810000,-191.38487243652344
1820000,-189.00888061523438
1830000,-194.0842742919922
1840000,-187.1732177734375
1850000,-194.5962677001953
1860000,-196.31793212890625
1870000,-211.54742431640625
1880000,-188.35577392578125
1890000,-186.57630920410156
1900000,-186.5981903076172
1910000,-184.03146362304688
1920000,-184.8415069580078
1930000,-194.44459533691406
1940000,-188.2337188720703
1950000,-177.6793670654297
1960000,-194.41383361816406
1970000,-214.82691955566406
1980000,-179.63156127929688
1990000,-169.33522033691406
2000000,-193.85751342773438
