step,reward
61250,-27.2085018157959
128750,-31.177820205688477
186750,-24.91710090637207
252000,-23.83492088317871
319000,-23.908559799194336
380250,-26.616403579711914
449000,-25.284114837646484
496000,-26.12471580505371
560250,-22.362459182739258
626500,-24.156272888183594
689000,-23.6563777923584
757500,-25.53274154663086
823250,-25.865583419799805
880250,-23.828100204467773
944250,-26.70110321044922
1004250,-28.391393661499023
1069750,-28.708904266357422
1137250,-22.229930877685547
1199000,-26.337249755859375
1260250,-27.034517288208008
1325750,-26.261131286621094
1387500,-24.88799476623535
1454250,-27.686946868896484
1521000,-27.105077743530273
1573750,-25.787492752075195
1640000,-30.49561882019043
1707500,-30.920989990234375
1766000,-29.22692108154297
1832250,-26.03544807434082
1898250,-20.196455001831055
1956250,-22.78632926940918
2023000,-32.322505950927734
2083750,-28.987197875976562
2146250,-20.34185028076172
2212250,-17.886085510253906
2279000,-19.041015625
2330000,-17.822599411010742
2382750,-19.90665054321289
2427750,-17.784221649169922
2481500,-17.619611740112305
2530750,-18.34219741821289
2578750,-20.072341918945312
2628000,-19.746782302856445
2679000,-17.93909454345703
2722000,-19.130210876464844
2774000,-17.768230438232422
2823750,-16.71535301208496
2871500,-17.908178329467773
2921750,-17.594738006591797
2974500,-17.018518447875977
3015750,-19.366971969604492
3067000,-20.65631103515625
3125500,-14.835108757019043
3183750,-21.46687889099121
3248750,-17.947059631347656
3313250,-15.313334465026855
3368750,-18.063711166381836
3436500,-17.569984436035156
3493750,-19.438232421875
3562250,-20.12070083618164
3628500,-18.573551177978516
3690750,-21.138042449951172
3758000,-19.424224853515625
3833500,-17.536792755126953
3893750,-21.045654296875
3969750,-18.56052017211914
4041500,-16.073022842407227
4106250,-19.99647331237793
4178000,-15.773567199707031
4253250,-15.779924392700195
4314750,-19.346023559570312
4390250,-17.855329513549805
4462500,-21.92494010925293
4524250,-15.035928726196289
4595750,-16.295856475830078
4671000,-17.415569305419922
4732500,-17.69861602783203
4807250,-20.400615692138672
4873250,-16.97154426574707
4946000,-20.663524627685547
5017500,-18.438926696777344
5092250,-21.603322982788086
5151500,-17.32073402404785
5227250,-17.989734649658203
5286250,-20.027936935424805
5361000,-17.487468719482422
5433250,-19.96515464782715
5506250,-16.48230743408203
5571250,-18.00611114501953
5646250,-18.59144401550293
5706000,-15.082711219787598
5780750,-18.519115447998047
5852250,-20.66320037841797
5922250,-18.942625045776367
5990500,-17.785825729370117
6065250,-14.654142379760742
6124250,-21.720151901245117
6198250,-17.495098114013672
6270250,-16.750640869140625
6336750,-17.171058654785156
6407000,-22.52756118774414
6482250,-15.56307601928711
6541250,-19.941884994506836
6614500,-16.680274963378906
6687500,-17.244003295898438
6749500,-17.006412506103516
6823000,-14.691744804382324
6896750,-14.269133567810059
6957000,-20.403602600097656
7030500,-17.410608291625977
7105500,-20.66318130493164
7170000,-19.537429809570312
7243250,-16.220659255981445
7316250,-16.61603546142578
7382000,-16.501407623291016
7454750,-19.171430587768555
7528000,-17.97816276550293
7590750,-19.546083450317383
7664500,-20.396272659301758
7737000,-17.153417587280273
7801250,-17.842166900634766
7873500,-17.489334106445312
7948000,-20.44281768798828
8010250,-16.878618240356445
8084250,-18.698579788208008
8153000,-15.520110130310059
8219000,-15.852285385131836
8291000,-15.722990036010742
8367500,-18.921903610229492
8429500,-15.28569221496582
8504000,-16.475828170776367
8569250,-16.19599151611328
8643750,-16.825101852416992
8717250,-16.209707260131836
8789250,-18.257658004760742
8853250,-14.805861473083496
8928250,-14.485533714294434
8986250,-18.451622009277344
9061500,-16.923526763916016
9133500,-19.271059036254883
9203000,-17.542940139770508
9272000,-19.79452133178711
