step,reward
20000,-27.73897361755371
40000,-31.651220321655273
60000,-29.4696102142334
80000,-24.92517852783203
100000,-30.579978942871094
120000,-30.331043243408203
140000,-26.6633358001709
160000,-21.861677169799805
180000,-25.159757614135742
200000,-24.550312042236328
220000,-30.887958526611328
240000,-26.422908782958984
260000,-30.482168197631836
280000,-28.6464786529541
300000,-26.428142547607422
320000,-30.203012466430664
340000,-22.880447387695312
360000,-20.92662239074707
380000,-28.093067169189453
400000,-21.81248664855957
420000,-23.579261779785156
440000,-28.366546630859375
460000,-21.085664749145508
480000,-24.769947052001953
500000,-21.46895980834961
520000,-24.939451217651367
540000,-25.691781997680664
560000,-26.444133758544922
580000,-21.213388442993164
600000,-24.500886917114258
620000,-27.688167572021484
640000,-21.391572952270508
660000,-20.369369506835938
680000,-23.36672019958496
700000,-22.157129287719727
720000,-23.369159698486328
740000,-24.691484451293945
760000,-26.2843017578125
780000,-28.30121421813965
800000,-24.958635330200195
820000,-22.029035568237305
840000,-21.997737884521484
860000,-21.429302215576172
880000,-25.350786209106445
900000,-19.170814514160156
920000,-24.224170684814453
940000,-21.890296936035156
960000,-25.966794967651367
980000,-21.281963348388672
1000000,-21.28788948059082
1020000,-18.98446273803711
1040000,-24.114871978759766
1060000,-20.354873657226562
1080000,-20.808568954467773
1100000,-18.604835510253906
1120000,-22.101598739624023
1140000,-19.33481788635254
1160000,-22.697792053222656
1180000,-20.416948318481445
1200000,-22.095596313476562
1220000,-21.082183837890625
1240000,-20.057493209838867
1260000,-20.25290298461914
1280000,-18.701152801513672
1300000,-23.179960250854492
1320000,-19.8826847076416
1340000,-21.114084243774414
1360000,-23.05262565612793
1380000,-19.737884521484375
1400000,-19.27278709411621
1420000,-19.087203979492188
1440000,-24.666322708129883
1460000,-27.89493751525879
1480000,-17.728723526000977
1500000,-17.690155029296875
1520000,-20.275413513183594
1540000,-19.839157104492188
1560000,-20.42220687866211
1580000,-17.375446319580078
1600000,-16.988771438598633
1620000,-26.64182472229004
1640000,-17.699172973632812
1660000,-19.683351516723633
1680000,-17.6395320892334
1700000,-22.406301498413086
1720000,-24.173128128051758
1740000,-20.332704544067383
1760000,-19.59241485595703
1780000,-17.319293975830078
1800000,-21.273963928222656
1820000,-22.338436126708984
1840000,-22.880199432373047
1860000,-20.01282501220703
1880000,-19.92179298400879
1900000,-21.167367935180664
1920000,-20.944896697998047
1940000,-21.550682067871094
1960000,-19.236919403076172
1980000,-17.71670150756836
2000000,-20.69715118408203
2020000,-21.05291175842285
2040000,-19.2999324798584
2060000,-25.709827423095703
2080000,-25.268539428710938
2100000,-22.108083724975586
2120000,-21.852293014526367
2140000,-24.130821228027344
2160000,-24.71394157409668
2180000,-20.945281982421875
2200000,-18.287153244018555
2220000,-19.530529022216797
2240000,-20.169052124023438
2260000,-19.3362979888916
2280000,-18.822765350341797
2300000,-21.134323120117188
2320000,-19.994169235229492
2340000,-17.004961013793945
2360000,-19.375043869018555
2380000,-19.337038040161133
2400000,-19.04918670654297
2420000,-21.01668357849121
2440000,-23.060836791992188
2460000,-20.79071044921875
2480000,-17.972898483276367
2500000,-17.583471298217773
2520000,-17.510854721069336
2540000,-17.10376739501953
2560000,-16.050092697143555
2580000,-18.22067642211914
2600000,-19.54671287536621
2620000,-16.416776657104492
2640000,-19.226055145263672
2660000,-19.756607055664062
2680000,-19.867637634277344
2700000,-17.266681671142578
2720000,-18.19696044921875
2740000,-19.481000900268555
2760000,-19.216814041137695
2780000,-19.181203842163086
2800000,-17.98184585571289
2820000,-18.09741973876953
2840000,-16.402381896972656
2860000,-19.72708511352539
2880000,-21.654632568359375
2900000,-19.283117294311523
2920000,-24.77631187438965
2940000,-19.679035186767578
2960000,-17.819307327270508
2980000,-19.99337387084961
3000000,-17.768815994262695
3020000,-15.886367797851562
3040000,-18.77261734008789
3060000,-24.05739402770996
