step,reward
2500,-32.59088134765625
5000,-30.202482223510742
7500,-29.66333770751953
10000,-30.4816951751709
12500,-29.597780227661133
15000,-32.33240509033203
17500,-27.225849151611328
20000,-27.055612564086914
22500,-29.569612503051758
25000,-27.93500328063965
27500,-24.845251083374023
30000,-25.499088287353516
32500,-24.67314338684082
35000,-25.10173225402832
37500,-25.648235321044922
40000,-26.505773544311523
42500,-30.161117553710938
45000,-30.706253051757812
47500,-30.391399383544922
50000,-31.904998779296875
52500,-27.72834014892578
55000,-30.67338752746582
57500,-26.70758628845215
60000,-21.513032913208008
62500,-18.04517936706543
65000,-24.045930862426758
67500,-21.954139709472656
70000,-21.5733699798584
72500,-29.502330780029297
75000,-23.80401039123535
77500,-23.327831268310547
80000,-23.78617286682129
82500,-23.521183013916016
85000,-27.210933685302734
87500,-26.75714683532715
90000,-26.639802932739258
92500,-29.870126724243164
95000,-25.2751522064209
97500,-24.72614860534668
100000,-27.019256591796875
102500,-24.904733657836914
105000,-28.568540573120117
107500,-28.072904586791992
110000,-16.673486709594727
112500,-23.342458724975586
115000,-25.563762664794922
117500,-21.500486373901367
120000,-21.998661041259766
122500,-25.65353012084961
125000,-27.070613861083984
127500,-23.698606491088867
130000,-20.60323143005371
132500,-23.51125717163086
135000,-25.531461715698242
137500,-22.249412536621094
140000,-24.553874969482422
142500,-23.495969772338867
145000,-22.628589630126953
147500,-23.857667922973633
150000,-22.499412536621094
152500,-20.578582763671875
155000,-22.992069244384766
157500,-23.067049026489258
160000,-26.227270126342773
162500,-20.55192756652832
165000,-22.085683822631836
167500,-23.31328773498535
170000,-16.79298973083496
172500,-21.20658302307129
175000,-23.072298049926758
177500,-22.328733444213867
180000,-24.997156143188477
182500,-20.115602493286133
185000,-20.791969299316406
187500,-23.85674476623535
190000,-23.036054611206055
192500,-23.251651763916016
195000,-21.07066535949707
197500,-19.63604736328125
200000,-25.25112533569336
202500,-25.195079803466797
205000,-22.89240264892578
207500,-27.76841926574707
210000,-26.840290069580078
212500,-23.66395378112793
215000,-26.919307708740234
217500,-24.726613998413086
220000,-23.085229873657227
222500,-28.075407028198242
225000,-22.85162353515625
227500,-21.173690795898438
230000,-23.635238647460938
232500,-32.65841293334961
235000,-21.53566551208496
237500,-22.29080581665039
240000,-22.487167358398438
242500,-22.655277252197266
245000,-21.563684463500977
247500,-21.293405532836914
250000,-19.896486282348633
252500,-19.68397331237793
255000,-22.71617317199707
257500,-19.912864685058594
260000,-22.322580337524414
262500,-20.251184463500977
265000,-21.855825424194336
267500,-21.165132522583008
270000,-19.88524055480957
272500,-21.206892013549805
275000,-22.985700607299805
277500,-18.211118698120117
280000,-18.279834747314453
282500,-19.449819564819336
285000,-17.6198787689209
287500,-18.534442901611328
290000,-15.373663902282715
