step,reward
2500,-30.56629753112793
5000,-30.81288719177246
7500,-26.353235244750977
10000,-29.317800521850586
12500,-30.610136032104492
15000,-33.5268440246582
17500,-30.22199058532715
20000,-27.71115493774414
22500,-25.091869354248047
25000,-23.62384033203125
27500,-25.68445587158203
30000,-22.619609832763672
32500,-28.287490844726562
35000,-24.09794044494629
37500,-27.006786346435547
40000,-22.197309494018555
42500,-28.37037467956543
45000,-22.99640655517578
47500,-22.719778060913086
50000,-22.524425506591797
52500,-21.019742965698242
55000,-24.976762771606445
57500,-20.27419090270996
60000,-21.428714752197266
62500,-21.181737899780273
65000,-23.9179630279541
67500,-22.01607322692871
70000,-24.497196197509766
72500,-23.674373626708984
75000,-26.997411727905273
77500,-22.634592056274414
80000,-23.896255493164062
82500,-20.625606536865234
85000,-21.462942123413086
87500,-23.357309341430664
90000,-27.149812698364258
92500,-25.206464767456055
95000,-23.94361114501953
97500,-23.356002807617188
100000,-22.9310359954834
102500,-25.498823165893555
105000,-23.57774543762207
107500,-27.926271438598633
110000,-22.596445083618164
112500,-28.581619262695312
115000,-22.198366165161133
117500,-21.960765838623047
120000,-26.510208129882812
122500,-25.666391372680664
125000,-24.887834548950195
127500,-23.26939582824707
130000,-28.743408203125
132500,-20.138534545898438
135000,-24.005245208740234
137500,-24.954627990722656
140000,-18.91096305847168
142500,-25.5573673248291
145000,-22.410390853881836
147500,-25.206205368041992
150000,-23.154991149902344
152500,-22.094839096069336
155000,-22.90053939819336
157500,-25.241378784179688
160000,-19.552698135375977
162500,-21.415233612060547
165000,-26.940181732177734
167500,-26.93946647644043
170000,-23.218402862548828
172500,-25.049867630004883
175000,-22.496999740600586
177500,-28.551481246948242
180000,-27.76667594909668
182500,-26.664640426635742
185000,-21.563556671142578
187500,-27.51236915588379
190000,-23.72720718383789
192500,-28.48068618774414
195000,-27.56133270263672
197500,-29.73115348815918
200000,-21.926694869995117
202500,-21.469093322753906
205000,-28.23615264892578
207500,-26.4979305267334
210000,-23.5720272064209
212500,-30.24565887451172
215000,-28.197223663330078
217500,-27.066606521606445
220000,-30.035470962524414
222500,-28.51177978515625
225000,-25.754682540893555
227500,-30.341421127319336
230000,-27.055768966674805
232500,-27.989744186401367
235000,-29.539878845214844
237500,-26.419965744018555
240000,-27.487857818603516
242500,-28.72754669189453
245000,-29.46389389038086
247500,-27.469852447509766
250000,-27.17356300354004
252500,-31.55347442626953
255000,-34.53396224975586
257500,-29.634056091308594
260000,-29.97847557067871
262500,-27.60218620300293
265000,-32.802406311035156
267500,-36.032752990722656
270000,-35.241600036621094
272500,-33.011756896972656
275000,-36.186729431152344
277500,-35.36692810058594
280000,-31.693124771118164
282500,-33.01209259033203
285000,-35.688941955566406
287500,-31.23187828063965
290000,-40.72390365600586
292500,-35.38256072998047
295000,-37.99248123168945
297500,-32.06610870361328
300000,-32.121131896972656
302500,-37.67411422729492
305000,-31.949119567871094
307500,-30.995452880859375
310000,-23.620656967163086
312500,-32.99127960205078
315000,-28.31684684753418
317500,-31.542373657226562
320000,-33.344234466552734
322500,-30.53054428100586
325000,-34.604740142822266
327500,-27.33256721496582
330000,-31.895591735839844
332500,-27.956941604614258
335000,-33.09638977050781
337500,-29.463905334472656
340000,-28.583005905151367
342500,-38.43504333496094
345000,-34.626583099365234
347500,-30.60810661315918
350000,-32.03398513793945
352500,-33.26179504394531
355000,-33.39862060546875
357500,-35.16554641723633
360000,-33.23146057128906
362500,-33.456382751464844
365000,-35.305030822753906
367500,-32.01249313354492
370000,-36.48537826538086
372500,-34.61572265625
375000,-38.43305206298828
377500,-36.79315185546875
380000,-25.17882537841797
382500,-26.719886779785156
385000,-26.172700881958008
387500,-25.264415740966797
390000,-28.48518180847168
392500,-29.19138526916504
395000,-29.458065032958984
397500,-30.54703712463379
400000,-32.09260940551758
402500,-27.8248233795166
405000,-29.506580352783203
407500,-31.201213836669922
410000,-34.14569091796875
412500,-31.59752655029297
415000,-41.87141418457031
417500,-28.369638442993164
420000,-29.936132431030273
422500,-29.560556411743164
425000,-29.29555892944336
427500,-29.426807403564453
430000,-24.711973190307617
432500,-34.57502746582031
435000,-25.645709991455078
437500,-31.72736930847168
440000,-28.813371658325195
442500,-32.46547317504883
445000,-26.55632781982422
447500,-29.080015182495117
450000,-29.01054573059082
452500,-28.746091842651367
455000,-24.836566925048828
457500,-25.12392807006836
460000,-33.94644546508789
462500,-32.324607849121094
465000,-32.73180389404297
467500,-24.629005432128906
470000,-25.427278518676758
472500,-26.470195770263672
475000,-22.540058135986328
477500,-23.27789878845215
480000,-26.007902145385742
482500,-33.629878997802734
485000,-20.503477096557617
487500,-20.135251998901367
490000,-22.989500045776367
492500,-20.981842041015625
495000,-22.42420196533203
497500,-27.499324798583984
500000,-21.964750289916992
502500,-22.97006607055664
505000,-24.938674926757812
507500,-25.87605094909668
510000,-21.640947341918945
512500,-29.843053817749023
515000,-26.07231903076172
