step,reward
10000,-94.68408203125
20000,-96.33523559570312
30000,-61.97020721435547
40000,-67.57669067382812
50000,-83.28141021728516
60000,-87.6975326538086
70000,-66.40865325927734
80000,-62.46923065185547
90000,-67.65193176269531
100000,-73.80583953857422
110000,-60.55873489379883
120000,-60.297515869140625
130000,-73.8831558227539
140000,-68.32579803466797
150000,-70.98579406738281
160000,-68.57109069824219
170000,-69.21031951904297
180000,-76.32421875
190000,-65.59312438964844
200000,-84.98176574707031
210000,-65.48278045654297
220000,-66.59778594970703
230000,-94.15170288085938
240000,-75.70634460449219
250000,-62.85286331176758
260000,-69.8396224975586
270000,-75.05703735351562
280000,-81.68992614746094
290000,-70.82573699951172
300000,-71.17088317871094
310000,-72.7376480102539
320000,-81.38483428955078
330000,-70.6650619506836
340000,-70.3641128540039
350000,-66.01671600341797
360000,-78.95285034179688
370000,-77.02449798583984
380000,-77.47150421142578
390000,-76.33952331542969
400000,-62.35007095336914
410000,-82.94649505615234
420000,-87.7858657836914
430000,-68.12284851074219
440000,-71.507080078125
450000,-78.8817138671875
460000,-69.87333679199219
470000,-74.19623565673828
480000,-65.1542739868164
490000,-63.20578384399414
500000,-68.61437225341797
510000,-64.79930114746094
520000,-74.71721649169922
530000,-83.3874282836914
540000,-68.60309600830078
550000,-66.36970520019531
560000,-67.96479034423828
570000,-71.07000732421875
580000,-62.21659851074219
590000,-64.90782165527344
600000,-68.64473724365234
610000,-81.68682098388672
620000,-73.12171936035156
630000,-73.150634765625
640000,-64.0343017578125
650000,-67.1509017944336
660000,-70.98422241210938
670000,-94.96729278564453
680000,-70.6950454711914
690000,-81.40035247802734
700000,-69.94647979736328
710000,-80.60623168945312
720000,-58.13616180419922
730000,-76.82122039794922
740000,-63.45362854003906
750000,-78.62171173095703
760000,-76.9782485961914
770000,-61.7749137878418
780000,-75.64956665039062
790000,-67.84459686279297
800000,-66.00711059570312
810000,-84.29879760742188
820000,-65.72928619384766
830000,-64.17544555664062
840000,-79.15936279296875
850000,-80.09506225585938
860000,-89.21578216552734
870000,-60.68281555175781
880000,-62.523048400878906
890000,-70.72895050048828
900000,-64.54217529296875
910000,-76.88687896728516
920000,-81.71703338623047
930000,-62.179954528808594
940000,-74.3563232421875
950000,-79.19950103759766
960000,-68.15542602539062
970000,-75.37966918945312
980000,-72.27993774414062
990000,-72.57097625732422
1000000,-81.8759765625
1010000,-65.39910125732422
1020000,-76.43065643310547
1030000,-82.16999053955078
1040000,-69.02503967285156
1050000,-69.4023208618164
1060000,-84.35399627685547
1070000,-67.46641540527344
1080000,-65.7850570678711
1090000,-72.0572738647461
1100000,-75.3306655883789
1110000,-76.28256225585938
1120000,-64.05989837646484
1130000,-71.80116271972656
1140000,-64.03324127197266
1150000,-75.69701385498047
1160000,-64.88897705078125
1170000,-85.92155456542969
1180000,-65.08971405029297
1190000,-73.9155044555664
1200000,-60.66696548461914
1210000,-66.65178680419922
1220000,-85.76718139648438
1230000,-73.92728424072266
1240000,-81.3201675415039
1250000,-70.53800201416016
1260000,-86.9443359375
1270000,-82.9420394897461
1280000,-76.76927947998047
1290000,-81.44127655029297
1300000,-72.3777847290039
1310000,-75.33509063720703
1320000,-77.16609191894531
1330000,-73.72196197509766
1340000,-75.58546447753906
1350000,-64.79110717773438
1360000,-72.59249114990234
1370000,-74.63646697998047
1380000,-67.33333587646484
1390000,-88.93888092041016
1400000,-75.54264831542969
1410000,-70.3035888671875
1420000,-70.16192626953125
1430000,-82.39846801757812
1440000,-75.02918243408203
1450000,-68.91921997070312
1460000,-64.40840148925781
1470000,-77.66313934326172
1480000,-81.06541442871094
1490000,-70.23690795898438
1500000,-56.88397216796875
1510000,-67.03834533691406
1520000,-70.42404174804688
1530000,-71.63202667236328
1540000,-63.18769073486328
1550000,-65.44479370117188
1560000,-90.4321060180664
1570000,-71.46238708496094
1580000,-81.18576049804688
1590000,-84.4105224609375
1600000,-78.44744110107422
1610000,-67.810546875
1620000,-79.03280639648438
1630000,-80.41120147705078
1640000,-70.64421081542969
1650000,-75.7607650756836
1660000,-64.74231719970703
1670000,-60.40296936035156
1680000,-67.80425262451172
1690000,-66.8988265991211
1700000,-63.986053466796875
1710000,-69.47443389892578
1720000,-69.9464340209961
1730000,-71.52979278564453
1740000,-73.03199005126953
1750000,-76.90087127685547
1760000,-56.11655807495117
1770000,-77.33576965332031
1780000,-72.78064727783203
1790000,-63.58810806274414
1800000,-70.84386444091797
1810000,-79.4747543334961
1820000,-65.46866607666016
1830000,-69.73304748535156
1840000,-78.31459045410156
1850000,-63.97675323486328
1860000,-75.7223129272461
1870000,-65.5528335571289
1880000,-64.47832489013672
1890000,-72.639892578125
1900000,-67.05130004882812
1910000,-74.47283172607422
1920000,-71.82234191894531
1930000,-76.56341552734375
1940000,-69.40170288085938
1950000,-61.80293273925781
1960000,-58.01148986816406
1970000,-67.45578002929688
1980000,-65.67220306396484
1990000,-75.1762924194336
2000000,-79.91429901123047
