step,reward
57000,-12.822649955749512
121750,-15.442148208618164
189250,-11.344544410705566
253750,-18.713977813720703
313500,-11.652810096740723
373250,-11.967289924621582
435250,-15.398621559143066
497750,-16.701595306396484
562250,-14.284159660339355
627000,-11.323592185974121
684250,-20.841060638427734
743250,-7.535546779632568
806500,-15.427143096923828
871250,-17.357704162597656
935250,-13.284171104431152
1002250,-13.359569549560547
1060000,-17.936120986938477
1121500,-12.852259635925293
1185500,-16.87141990661621
1252250,-20.896093368530273
1317750,-17.245254516601562
1382000,-14.316967010498047
1438500,-19.590423583984375
1500250,-17.973825454711914
1564500,-16.276906967163086
1631000,-14.148787498474121
1696500,-18.55211639404297
1752250,-23.373994827270508
1813000,-13.58501148223877
1877250,-19.01805877685547
1943000,-16.333824157714844
2006750,-15.36521053314209
2073750,-20.090002059936523
2134500,-18.428342819213867
2193500,-21.212379455566406
2258250,-17.266307830810547
2324000,-14.761079788208008
2388250,-20.249530792236328
2454750,-13.802420616149902
2509250,-17.52216911315918
2569500,-14.230592727661133
2633750,-11.442776679992676
2700000,-15.973344802856445
2763750,-14.834661483764648
2822750,-11.420143127441406
2885750,-16.276945114135742
2949750,-14.702330589294434
3013250,-16.073001861572266
3080250,-18.317916870117188
3145750,-11.253044128417969
3200500,-22.486997604370117
3262250,-11.482185363769531
3327250,-12.349798202514648
3391750,-11.66088581085205
3458500,-11.342660903930664
3520500,-14.983943939208984
3567500,-15.05005931854248
3619750,-15.327906608581543
3675250,-13.640069961547852
3735500,-26.068246841430664
3796250,-13.425079345703125
3855000,-12.768364906311035
3899000,-28.67100715637207
3953750,-13.056872367858887
4011750,-7.764865875244141
4068250,-14.095755577087402
4125500,-19.39687728881836
4172500,-18.499897003173828
4226500,-14.091485023498535
4284750,-18.884109497070312
4341750,-15.25774097442627
4399750,-11.269372940063477
4456500,-23.541345596313477
4501250,-19.286075592041016
4556750,-8.844101905822754
4614250,-15.639199256896973
4672250,-17.020021438598633
4730500,-16.504966735839844
4787500,-18.16080093383789
4840250,-11.26733684539795
4891000,-18.19124412536621
4947750,-15.044108390808105
5005750,-14.423778533935547
5062750,-14.035443305969238
5116250,-10.333614349365234
5169750,-14.226460456848145
5225500,-14.740644454956055
5282000,-16.555673599243164
5339750,-12.514638900756836
5396500,-14.066492080688477
5447500,-16.48236656188965
5504500,-15.754608154296875
5556750,-16.18902015686035
5614500,-11.178596496582031
5674500,-9.571824073791504
5733500,-16.04399299621582
5779250,-12.095908164978027
5832250,-21.751741409301758
5891250,-13.412309646606445
5949000,-12.377761840820312
6009750,-20.709484100341797
6067500,-15.07575511932373
6119500,-11.576875686645508
6173750,-13.77880573272705
6232000,-15.957701683044434
6291750,-12.38580322265625
6350250,-15.62540054321289
6408750,-16.95069694519043
6460250,-13.195880889892578
6514750,-10.77871322631836
6573250,-12.315240859985352
6633000,-13.202995300292969
6690000,-20.126462936401367
6743250,-21.283430099487305
6789250,-14.737459182739258
6843750,-13.083540916442871
6892250,-14.099824905395508
6934750,-12.195564270019531
