step,reward
56000,-21.55044937133789
119000,-17.825279235839844
184250,-21.960927963256836
246750,-16.52232551574707
305250,-13.880664825439453
363250,-19.91827392578125
423250,-11.125933647155762
485250,-9.70009994506836
547500,-11.237252235412598
611000,-13.65430736541748
670000,-13.513160705566406
727250,-17.80715560913086
789750,-16.597244262695312
854000,-11.417457580566406
916500,-14.366785049438477
979750,-19.171838760375977
1035500,-16.680208206176758
1095750,-12.712234497070312
1158500,-17.93387222290039
1222250,-14.658590316772461
1286750,-12.548792839050293
1349250,-16.252147674560547
1402000,-21.256628036499023
1462000,-19.21600914001465
1525500,-12.17565631866455
1588250,-11.276738166809082
1653000,-13.85079288482666
1708250,-9.845765113830566
1766750,-21.67632484436035
1830250,-16.362152099609375
1894750,-11.47288990020752
1957000,-16.256349563598633
2022000,-19.889720916748047
2080500,-11.656991958618164
2138750,-15.228260040283203
2201500,-20.318632125854492
2265500,-13.008445739746094
2328000,-14.352717399597168
2390250,-12.351065635681152
2444000,-10.587320327758789
2503500,-12.019288063049316
2566000,-13.162976264953613
2630750,-15.805418014526367
2694250,-24.453927993774414
2752250,-17.308639526367188
2810250,-18.522197723388672
2875000,-16.1444091796875
2937750,-21.172569274902344
3000750,-13.701568603515625
3065500,-18.942081451416016
3117000,-15.933475494384766
3176000,-15.33368968963623
3240500,-17.727020263671875
3303000,-9.203392028808594
3367500,-17.021745681762695
3428250,-12.936656951904297
3476750,-11.513779640197754
3526250,-13.605072021484375
3582500,-13.987624168395996
3640500,-15.46025562286377
3700000,-20.28009033203125
3757250,-17.418733596801758
3804750,-19.4298095703125
3860250,-10.648643493652344
3915750,-17.209516525268555
3972250,-21.507808685302734
4027500,-9.984864234924316
4074750,-13.500419616699219
4125250,-11.924964904785156
4182500,-8.851844787597656
4239250,-21.890419006347656
4295000,-20.222898483276367
4349250,-15.82303524017334
4400750,-14.972395896911621
4455500,-16.628263473510742
4512250,-17.695497512817383
4569750,-11.034637451171875
4626750,-12.050745964050293
4676750,-15.559133529663086
4729750,-17.747920989990234
4783250,-14.370094299316406
4840250,-11.572943687438965
4896500,-16.122865676879883
4952000,-15.722533226013184
5000500,-16.783727645874023
5052000,-11.24135971069336
5109000,-16.17068099975586
5165000,-16.577478408813477
5218750,-11.083724021911621
5277000,-18.158355712890625
5328000,-13.614171028137207
5382000,-13.584060668945312
5433250,-19.99932289123535
5491250,-10.573020935058594
5549500,-13.067036628723145
5608250,-17.331022262573242
5654000,-23.66194725036621
5710000,-12.952995300292969
5767000,-9.339771270751953
5825250,-16.139747619628906
5882750,-9.800392150878906
5931500,-12.093438148498535
5987000,-10.734189987182617
6041000,-24.50771141052246
6098000,-13.503599166870117
6156750,-11.868535995483398
6212750,-13.071808815002441
6263000,-13.863882064819336
6316750,-20.531267166137695
6373750,-14.454048156738281
6431750,-17.80841064453125
6489250,-19.969470977783203
6546000,-13.347814559936523
6594000,-14.50631332397461
6641250,-14.620743751525879
6694000,-9.461335182189941
6737250,-7.750490188598633
6779500,-13.105908393859863
6820500,-18.720121383666992
6860000,-19.39495849609375
6900000,-15.321515083312988
6943000,-19.036643981933594
6987500,-16.043960571289062
7033250,-10.231228828430176
7075250,-10.9712553024292
7118500,-21.919506072998047
7168250,-17.800987243652344
7217500,-11.364192962646484
7267750,-18.039928436279297
7318750,-13.459258079528809
7358250,-11.368237495422363
7405000,-8.911385536193848
7457250,-11.264348030090332
7505750,-14.4874906539917
7554250,-7.992036819458008
7605750,-12.664443016052246
7649500,-17.44841766357422
7698250,-11.705829620361328
7749250,-18.905622482299805
7799750,-17.31627655029297
7852750,-14.01343822479248
7903750,-11.501421928405762
7949750,-17.797494888305664
7998500,-17.497594833374023
8049750,-13.076720237731934
8101000,-14.951860427856445
8151500,-12.300386428833008
8201500,-12.417502403259277
8246000,-17.861263275146484
8294250,-9.697612762451172
8344250,-13.070417404174805
8395750,-14.692530632019043
8446250,-13.575040817260742
8493750,-21.224822998046875
8543250,-13.512889862060547
8592250,-15.755148887634277
8642750,-21.348493576049805
