step,reward
40250,-26.316991806030273
85000,-68.56981658935547
130000,-140.5214080810547
173250,-168.7068634033203
213000,-175.33218383789062
252750,-23.981689453125
296750,-33.347591400146484
342000,-30.908903121948242
386250,-37.512088775634766
431750,-36.824989318847656
472000,-42.556549072265625
513000,-47.59342956542969
560250,-38.6004638671875
605500,-28.921152114868164
650750,-28.525190353393555
697750,-36.70845413208008
742000,-22.787670135498047
783000,-13.901101112365723
832000,-22.520931243896484
878500,-21.877708435058594
926500,-32.28608703613281
967250,-37.47998809814453
1012750,-46.427547454833984
1056250,-51.64531707763672
1104250,-34.17996597290039
1151000,-32.75742721557617
1199750,-31.122228622436523
1238750,-36.949954986572266
1279750,-27.934486389160156
1328750,-33.145301818847656
1375750,-29.523221969604492
1423750,-46.14985275268555
1472000,-32.64006805419922
1511500,-29.02885627746582
1552750,-32.03913116455078
1599500,-17.773855209350586
1648000,-36.32099914550781
1696000,-31.935134887695312
1743500,-35.998451232910156
1782250,-41.8056755065918
1822500,-30.330852508544922
1869250,-31.272293090820312
1917500,-25.203702926635742
1965250,-22.31932258605957
2009500,-29.33759307861328
2055000,-23.010374069213867
2095000,-32.80707931518555
2143250,-31.547870635986328
2190000,-33.38009262084961
2237000,-30.209671020507812
2273250,-26.878629684448242
2317250,-27.92392349243164
2359750,-37.863121032714844
2407250,-33.61440658569336
2452000,-26.07960319519043
2498250,-43.70685958862305
2537250,-25.919857025146484
2576750,-45.03897476196289
2623500,-26.321670532226562
2671250,-18.473527908325195
2716250,-30.06595802307129
2762250,-32.82179641723633
2803000,-24.04316520690918
2842750,-20.77280616760254
2889500,-31.601499557495117
2936000,-25.3691349029541
2982750,-23.351669311523438
3029250,-43.896629333496094
3067250,-26.283693313598633
3109500,-37.219573974609375
3157000,-40.897789001464844
3202250,-42.09000778198242
3249500,-51.145931243896484
3295000,-44.713661193847656
3337000,-35.26192855834961
3378250,-27.323848724365234
3425250,-44.717830657958984
3471000,-20.333690643310547
3518500,-30.679462432861328
3559750,-37.537384033203125
3606000,-22.397485733032227
3647750,-42.20936965942383
3694500,-37.23103713989258
3741250,-21.754375457763672
3789000,-43.29161834716797
3830000,-33.38132858276367
3872500,-37.590972900390625
3919500,-31.824901580810547
3965000,-59.71559524536133
4011750,-30.279062271118164
4059750,-41.21613311767578
4099250,-22.5942440032959
4139000,-36.605430603027344
4186750,-32.83771896362305
4232250,-30.866802215576172
4279000,-30.968053817749023
4326250,-24.61056137084961
4365250,-22.160350799560547
4405000,-26.82123374938965
4451750,-24.911273956298828
4498250,-21.79298210144043
4544000,-33.17938995361328
4591250,-42.76176834106445
4630250,-43.94414138793945
4670500,-52.11050796508789
4717250,-27.36241912841797
4764750,-29.41297149658203
4812250,-34.114723205566406
4856250,-35.93577575683594
4900750,-18.611289978027344
4940750,-36.877140045166016
4987000,-39.43207931518555
5034750,-22.823341369628906
5082750,-26.757184982299805
5122750,-27.103525161743164
5167500,-30.350936889648438
5210250,-31.855661392211914
5258250,-43.41106414794922
5305500,-31.8968505859375
5351750,-38.73891830444336
5392250,-16.486764907836914
5433250,-45.45010757446289
5478500,-39.78925704956055
5525750,-56.251060485839844
5572750,-36.61984634399414
5618250,-27.293134689331055
5661000,-30.14579963684082
5702500,-40.651424407958984
5748000,-29.78277587890625
5794000,-33.610294342041016
5839750,-26.24778938293457
5886000,-39.553897857666016
5926000,-35.45347213745117
5966000,-22.43381118774414
6011000,-24.986520767211914
6057000,-29.981355667114258
6101250,-34.827537536621094
6145250,-48.20691680908203
6189500,-43.93906784057617
6228250,-34.221675872802734
6274750,-61.57511520385742
6322500,-31.04115867614746
6367250,-43.048763275146484
6407000,-39.78062438964844
6454000,-34.94509506225586
6493250,-57.754032135009766
6539250,-33.34961700439453
6586250,-35.84267807006836
6632000,-40.00309371948242
6671750,-42.11137390136719
6714500,-29.56390380859375
6759250,-39.01936721801758
6806500,-31.789356231689453
6852000,-36.049583435058594
6899250,-39.25676345825195
6939000,-22.36614990234375
6979000,-28.95983123779297
7025500,-54.81031036376953
7073000,-29.68170928955078
7118750,-43.66114044189453
7165500,-28.834531784057617
7206500,-19.60053253173828
7246250,-20.465333938598633
7293000,-11.269951820373535
7340000,-46.73086929321289
7385000,-20.97150421142578
7432000,-24.434795379638672
7474500,-24.701810836791992
