step,reward
10000,-106.8669204711914
20000,-84.70072937011719
30000,-49.81855010986328
40000,-48.234283447265625
50000,-70.4181900024414
60000,-64.2402114868164
70000,-45.31852722167969
80000,-76.40911865234375
90000,-64.74002838134766
100000,-49.63748550415039
110000,-45.306541442871094
120000,-76.73339080810547
130000,-82.60318756103516
140000,-69.65802764892578
150000,-62.833251953125
160000,-47.70254898071289
170000,-75.71866607666016
180000,-36.18784713745117
190000,-42.62406921386719
200000,-64.45585632324219
210000,-47.36048126220703
220000,-40.07158279418945
230000,-61.54498291015625
240000,-59.865203857421875
250000,-72.00370025634766
260000,-44.88602828979492
270000,-44.31884002685547
280000,-57.866024017333984
290000,-36.96503829956055
300000,-56.402950286865234
310000,-59.61436462402344
320000,-42.55514144897461
330000,-55.32469940185547
340000,-48.837188720703125
350000,-52.849517822265625
360000,-44.3956184387207
370000,-70.8471908569336
380000,-40.54631805419922
390000,-43.350616455078125
400000,-64.37354278564453
410000,-47.59260940551758
420000,-44.47880935668945
430000,-54.02870178222656
440000,-22.815074920654297
450000,-60.20322036743164
460000,-35.715328216552734
470000,-59.2181282043457
480000,-55.58145523071289
490000,-62.24007034301758
500000,-40.7342643737793
510000,-44.356910705566406
520000,-48.149444580078125
530000,-39.208335876464844
540000,-49.27383804321289
550000,-42.17201232910156
560000,-44.652427673339844
570000,-38.99244689941406
580000,-25.931964874267578
590000,-23.254247665405273
600000,-28.83944320678711
610000,-61.35577392578125
620000,-50.12883758544922
630000,-45.76892852783203
640000,-41.58941650390625
650000,-42.9038200378418
660000,-42.60755157470703
670000,-38.83802032470703
680000,-32.64419937133789
690000,-47.25688934326172
700000,-23.772483825683594
710000,-55.006256103515625
720000,-32.41889953613281
730000,-21.062623977661133
740000,-38.87149429321289
750000,-41.79804992675781
760000,-65.3635482788086
770000,-19.81780433654785
780000,-51.201515197753906
790000,-43.49213409423828
800000,-51.02354049682617
810000,-80.63969421386719
820000,-30.095762252807617
830000,-41.01261520385742
840000,-29.545625686645508
850000,-49.45005416870117
860000,-37.349082946777344
870000,-96.8639144897461
880000,-78.38818359375
890000,-47.38410949707031
900000,-48.2205810546875
910000,-54.24596405029297
920000,-65.59322357177734
930000,-56.66755294799805
940000,-42.33282470703125
950000,-44.26447296142578
960000,-60.32746505737305
970000,-69.94075012207031
980000,-83.41780090332031
990000,-51.27927780151367
1000000,-62.6418342590332
1010000,-44.15364074707031
1020000,-45.9830207824707
1030000,-25.53470230102539
1040000,-33.79288101196289
1050000,-50.914337158203125
1060000,-53.390716552734375
1070000,-49.97956848144531
1080000,-45.20083999633789
1090000,-37.222564697265625
1100000,-61.72617721557617
1110000,-45.14634323120117
1120000,-29.26313018798828
1130000,-44.731117248535156
1140000,-52.210479736328125
1150000,-51.79666519165039
1160000,-50.76927947998047
1170000,-52.039676666259766
1180000,-46.986968994140625
1190000,-40.07415008544922
1200000,-45.78479766845703
1210000,-34.014198303222656
1220000,-37.5566291809082
1230000,-37.28830337524414
1240000,-44.59429931640625
1250000,-35.90308380126953
1260000,-44.993778228759766
1270000,-40.89589309692383
1280000,-29.451080322265625
1290000,-55.870853424072266
1300000,-50.3521614074707
1310000,-38.489013671875
1320000,-42.32359313964844
1330000,-59.37160110473633
1340000,-27.92338752746582
1350000,-48.91170120239258
1360000,-55.00504684448242
1370000,-61.01902770996094
1380000,-55.230777740478516
1390000,-47.381690979003906
1400000,-50.026763916015625
1410000,-53.48617172241211
1420000,-37.39867401123047
1430000,-33.646461486816406
1440000,-79.35753631591797
1450000,-49.6232795715332
1460000,-37.90077209472656
1470000,-28.182058334350586
1480000,-38.525943756103516
1490000,-60.9751091003418
1500000,-51.31207275390625
1510000,-43.53142547607422
1520000,-64.7228012084961
1530000,-51.20360565185547
1540000,-45.188602447509766
1550000,-38.331695556640625
1560000,-34.24513626098633
1570000,-39.21201705932617
1580000,-46.01790237426758
1590000,-49.53907775878906
1600000,-57.924774169921875
1610000,-45.739013671875
1620000,-44.68116760253906
1630000,-35.35641860961914
1640000,-44.34253692626953
1650000,-26.940359115600586
1660000,-45.146270751953125
1670000,-48.94108581542969
1680000,-44.9761848449707
1690000,-41.744598388671875
1700000,-38.72856521606445
1710000,-51.79427719116211
1720000,-44.84321212768555
1730000,-29.94340705871582
1740000,-40.57215118408203
1750000,-30.616769790649414
1760000,-54.45685958862305
1770000,-40.5240364074707
1780000,-22.28919792175293
1790000,-39.89655685424805
1800000,-16.32509994506836
1810000,-33.07965087890625
1820000,-31.473773956298828
1830000,-68.11649322509766
1840000,-37.654483795166016
1850000,-48.38990020751953
1860000,-36.34032440185547
1870000,-33.25838088989258
1880000,-35.93034362792969
1890000,-38.80294418334961
1900000,-28.598901748657227
1910000,-29.493059158325195
1920000,-26.440439224243164
1930000,-44.94983673095703
1940000,-38.03715515136719
1950000,-33.25263977050781
1960000,-36.071380615234375
1970000,-35.32791519165039
1980000,-62.02472686767578
1990000,-50.46555709838867
2000000,-35.48621368408203
