step,reward
60750,-10.904398918151855
127500,-14.675098419189453
195500,-14.606865882873535
260250,-16.998817443847656
325250,-15.386597633361816
386750,-15.467741012573242
454000,-11.596404075622559
520500,-22.557016372680664
588250,-16.8835506439209
656000,-11.941411018371582
714000,-8.196434020996094
774750,-17.712604522705078
842750,-17.080232620239258
909750,-10.969316482543945
977500,-15.873198509216309
1044500,-22.820837020874023
1106750,-9.823616981506348
1164750,-14.648509979248047
1231250,-16.112987518310547
1298750,-13.753173828125
1365250,-15.714006423950195
1432000,-12.25434684753418
1491500,-11.456446647644043
1554000,-18.867761611938477
1621500,-16.09700584411621
1689250,-16.8681583404541
1756250,-13.717090606689453
1823750,-11.16479778289795
1877750,-18.69417381286621
1944750,-8.447775840759277
2012250,-17.12722396850586
2079750,-13.897543907165527
2146250,-18.295936584472656
2212500,-13.108678817749023
2269500,-14.086540222167969
2335750,-13.038817405700684
2402000,-12.571907043457031
2469250,-21.70928382873535
2536500,-15.320693969726562
2598750,-17.819795608520508
2660500,-13.031929969787598
2726250,-20.5292911529541
2793500,-16.157957077026367
2860750,-15.950112342834473
2928500,-13.675748825073242
2988000,-18.453264236450195
3048750,-14.953709602355957
3116500,-12.846564292907715
3184000,-14.501460075378418
3251500,-13.172334671020508
3318250,-11.400313377380371
3379250,-17.731157302856445
3443250,-14.834033966064453
3510250,-11.386436462402344
3577000,-12.524723052978516
3644000,-10.497966766357422
3711500,-9.412031173706055
3773500,-17.898082733154297
3833750,-16.530811309814453
3901000,-14.127693176269531
3967500,-11.951574325561523
4034500,-10.932940483093262
4100500,-9.637531280517578
4157500,-18.827442169189453
4225250,-14.961625099182129
4292250,-19.06804084777832
4359750,-18.1497802734375
4425250,-9.260906219482422
4491750,-17.45134162902832
4549250,-25.218721389770508
4616750,-10.619109153747559
4684500,-20.146459579467773
4753000,-20.617341995239258
4820000,-16.492752075195312
4885000,-14.051015853881836
4942500,-14.251151084899902
5009500,-11.001368522644043
5076500,-18.485227584838867
5143250,-18.522308349609375
5210250,-25.520294189453125
5270250,-14.759727478027344
5331000,-11.030078887939453
5398000,-15.216854095458984
5465500,-10.328697204589844
5532250,-20.044092178344727
5600000,-7.675232887268066
5662500,-19.44803237915039
5723250,-15.22828197479248
5790250,-14.964217185974121
5857250,-16.03270149230957
5925250,-18.834678649902344
5991500,-21.21106719970703
6056000,-16.731996536254883
6115750,-12.111074447631836
6182750,-18.37286376953125
6249000,-14.126352310180664
6316000,-8.21782398223877
6383000,-17.157756805419922
6437500,-16.02960205078125
6501000,-17.427804946899414
6569250,-15.17696762084961
6635000,-15.555352210998535
6702250,-16.396060943603516
6770250,-17.748886108398438
6820000,-11.914826393127441
6887250,-20.724573135375977
6954750,-12.851333618164062
7022750,-20.274991989135742
7089250,-14.138507843017578
7155000,-14.272016525268555
7214250,-13.272857666015625
7281500,-15.296900749206543
7348000,-12.049052238464355
7416000,-18.921804428100586
7484000,-10.224961280822754
7545500,-13.372514724731445
7608000,-14.256904602050781
7675750,-15.30508804321289
7742000,-6.451778888702393
7809500,-12.941681861877441
7877250,-16.02424430847168
7935250,-14.645804405212402
7996500,-21.99957275390625
8064000,-14.107036590576172
8130250,-13.52968692779541
8197000,-12.627705574035645
8264000,-12.255078315734863
8325500,-13.023968696594238
8388000,-18.152578353881836
8455250,-14.094123840332031
8523000,-15.38110065460205
8590000,-15.007452011108398
8657000,-12.642282485961914
8716000,-17.273542404174805
8778250,-11.407211303710938
8845000,-22.590370178222656
8912250,-10.777555465698242
8979500,-21.255252838134766
9046000,-16.70732879638672
9098750,-11.091070175170898
9165500,-17.40390968322754
9232500,-11.618630409240723
9300250,-16.667098999023438
9365750,-13.276073455810547
9431500,-17.458045959472656
9485750,-17.25377655029297
9552250,-13.143783569335938
9619000,-19.742040634155273
9686500,-10.33596420288086
9753500,-15.679850578308105
9820250,-10.493298530578613
9874750,-10.413461685180664
9942250,-14.211870193481445
10009750,-13.851346015930176
10077250,-12.913352012634277
10145250,-21.93844223022461
10207250,-12.424630165100098
10268750,-18.646408081054688
10334250,-15.106101036071777
10401000,-13.176923751831055
10468000,-16.63411521911621
10535000,-17.551671981811523
10594750,-8.374361038208008
10655750,-15.83354663848877
10723500,-14.425097465515137
10790500,-14.878472328186035
10858250,-19.0509033203125
10925500,-14.802691459655762
10986000,-14.83871841430664
11046250,-14.770381927490234
11113750,-16.2351131439209
11179500,-12.172271728515625
11247250,-15.335762977600098
11313250,-15.783676147460938
11368250,-13.69240951538086
11426750,-13.927180290222168
11494250,-10.48355484008789
11561750,-11.805423736572266
11628250,-12.822256088256836
11695250,-18.423728942871094
11753750,-13.294416427612305
11820500,-10.634315490722656
11887500,-14.186470985412598
11954500,-19.55132293701172
12021000,-13.461128234863281
12087750,-11.577369689941406
12140000,-18.81913185119629
12207750,-18.735279083251953
12276000,-19.945938110351562
12343500,-21.55585479736328
12411000,-11.055525779724121
12478750,-13.70671558380127
12535250,-8.960204124450684
12602750,-16.551876068115234
12670000,-12.923428535461426
12737750,-18.632328033447266
12805750,-6.392224311828613
12867250,-19.276992797851562
12928750,-16.153104782104492
12996750,-20.045612335205078
13064250,-15.402143478393555
13129250,-18.739425659179688
13196250,-14.3381929397583
13261000,-10.57432746887207
13323250,-12.803352355957031
13390500,-14.276692390441895
