step,reward
61250,-21.679311752319336
128750,-22.126951217651367
197000,-15.872937202453613
263250,-20.266857147216797
325000,-21.3729305267334
385250,-22.330219268798828
452250,-12.53278636932373
520250,-16.33020782470703
588250,-16.716026306152344
655750,-21.508291244506836
717500,-19.606887817382812
776000,-16.872194290161133
844250,-16.949201583862305
912250,-12.226129531860352
980250,-11.613614082336426
1045250,-14.640539169311523
1103750,-13.462248802185059
1167000,-19.44147300720215
1234250,-11.043281555175781
1301500,-10.4277925491333
1370000,-12.318889617919922
1437500,-19.635517120361328
1494750,-18.647796630859375
1558250,-11.547333717346191
1625500,-19.789085388183594
1693000,-16.23196792602539
1760000,-12.027717590332031
1827250,-12.967150688171387
1884750,-16.77253532409668
1953000,-13.123236656188965
2020000,-12.914589881896973
2087750,-11.629456520080566
2155750,-14.635054588317871
2224250,-14.057365417480469
2275750,-15.944297790527344
2343000,-15.925698280334473
2409500,-18.295574188232422
2476000,-19.629623413085938
2543000,-13.949355125427246
2606750,-12.980708122253418
2664500,-11.614917755126953
2731750,-17.817703247070312
2799250,-12.677071571350098
2867500,-22.124797821044922
2935000,-14.146540641784668
2996750,-12.727405548095703
3056500,-18.031644821166992
3125250,-15.678245544433594
3193750,-11.795639991760254
3261500,-9.227494239807129
3329000,-18.92218017578125
3392000,-13.952500343322754
3452750,-15.647566795349121
3520000,-22.54556655883789
3587500,-9.509126663208008
3655250,-22.30963134765625
3723000,-15.748479843139648
3784000,-14.68465805053711
3847500,-13.808272361755371
3915750,-14.174001693725586
3983000,-16.677690505981445
4050000,-17.636045455932617
4116000,-15.522674560546875
4172750,-14.451996803283691
4236250,-19.71747398376465
4303750,-12.4631929397583
4372000,-9.260986328125
4438250,-16.222339630126953
4506250,-17.201148986816406
4561750,-14.612715721130371
4630750,-9.650469779968262
4699250,-11.480934143066406
4767000,-19.55880355834961
4834000,-19.466678619384766
4902250,-12.363475799560547
4960250,-10.576913833618164
5027500,-13.856837272644043
5095250,-17.813220977783203
5162750,-12.955296516418457
5229500,-16.64150047302246
5295250,-16.912172317504883
5350500,-14.037535667419434
5416500,-13.171659469604492
5484500,-14.263962745666504
5551500,-18.35919761657715
5618500,-16.116561889648438
5679250,-15.315705299377441
5740750,-9.453275680541992
5808000,-11.037063598632812
5875500,-17.69985008239746
5943000,-9.518474578857422
6010000,-16.503820419311523
6068750,-11.26209831237793
