step,reward
42500,-37.16633224487305
85250,-33.854427337646484
131750,-32.40272903442383
176500,-21.450969696044922
221500,-38.801204681396484
266000,-31.753963470458984
309500,-18.88208770751953
353250,-32.487571716308594
399000,-32.368690490722656
443250,-36.42747116088867
488750,-25.808286666870117
533000,-28.577342987060547
576500,-26.052322387695312
620500,-29.96586036682129
666500,-36.65848922729492
711500,-35.050514221191406
756000,-32.70452117919922
801500,-35.08134841918945
845000,-33.091697692871094
889000,-37.161006927490234
935250,-29.798463821411133
980500,-31.693073272705078
1025000,-48.82464599609375
1069250,-28.198619842529297
1113000,-31.917200088500977
1157750,-30.490249633789062
1203500,-22.274883270263672
1248000,-20.778226852416992
1291750,-26.861095428466797
1337750,-25.391063690185547
1381500,-26.360721588134766
1425750,-24.30662727355957
1472500,-32.70284652709961
1516250,-35.915748596191406
1559750,-23.9074764251709
1605500,-47.15510940551758
1647250,-29.792394638061523
1693750,-38.35015869140625
1739750,-26.762611389160156
1784500,-27.991077423095703
1828750,-36.357303619384766
1873250,-35.269657135009766
1917000,-30.02446746826172
1963000,-15.626368522644043
2008500,-33.38624572753906
2052500,-31.78372573852539
2097500,-43.27151870727539
2141750,-25.698793411254883
2184750,-27.181224822998047
2230000,-26.72694206237793
2275750,-27.181259155273438
2318750,-25.664167404174805
2362750,-10.723387718200684
2407000,-29.65669822692871
2449000,-24.71616554260254
2493250,-32.94630813598633
2538250,-23.194507598876953
2582750,-26.574298858642578
2627000,-28.817781448364258
2670750,-35.892967224121094
2713750,-30.88062858581543
2759500,-33.579872131347656
2805250,-36.624420166015625
2850000,-34.3089599609375
2897000,-30.81838607788086
2940500,-36.46772766113281
2984250,-30.96539878845215
3030000,-28.111501693725586
3076250,-26.665422439575195
3121000,-32.78652572631836
3168250,-32.344757080078125
3211250,-35.09938430786133
3255250,-25.76595115661621
3301250,-35.93858337402344
3345500,-25.714122772216797
3387750,-17.638416290283203
3433750,-35.984222412109375
3476250,-29.237102508544922
3520500,-24.966028213500977
3566000,-22.807767868041992
3610250,-29.835769653320312
3653500,-29.47607421875
3698750,-36.8972282409668
3741750,-27.647714614868164
3786750,-29.17302894592285
3833000,-20.456159591674805
3876750,-28.480321884155273
3920750,-29.568683624267578
3965000,-31.586706161499023
4007000,-19.141447067260742
4051250,-33.893959045410156
4096750,-25.1669864654541
4139750,-25.314722061157227
4184000,-40.23891067504883
4229250,-41.517032623291016
4272500,-27.679035186767578
4317250,-20.880287170410156
4363250,-33.85127258300781
4405250,-33.315738677978516
4450000,-26.781787872314453
4494250,-38.162437438964844
4537500,-34.434967041015625
4582500,-23.727624893188477
4628000,-25.264129638671875
4669500,-26.841529846191406
4714500,-24.433414459228516
4757500,-36.51939010620117
4801250,-27.747982025146484
4846750,-31.81034278869629
4892500,-16.211851119995117
4935250,-23.998027801513672
4980500,-32.787906646728516
5024500,-31.579710006713867
5069000,-31.43246078491211
5114000,-32.94293212890625
5157750,-20.275386810302734
5200000,-20.729265213012695
5244250,-18.834915161132812
5288750,-24.456310272216797
5333250,-33.52908706665039
5377750,-23.155460357666016
5423250,-29.056934356689453
5466000,-28.135778427124023
5510500,-23.145919799804688
5554250,-27.416555404663086
5597500,-30.57672119140625
5642250,-25.569400787353516
5687000,-17.489665985107422
5729250,-38.902427673339844
5773500,-23.58915901184082
5817250,-32.16384506225586
5861000,-23.60898780822754
5905750,-19.443252563476562
5949750,-32.65605163574219
5994000,-22.63350486755371
6037750,-31.305641174316406
6082250,-22.449432373046875
6126250,-26.801776885986328
6172250,-34.45677947998047
6214750,-24.70354652404785
6258000,-24.893796920776367
6301500,-33.602394104003906
6346000,-32.2144775390625
6389750,-28.95608139038086
6435250,-33.22178649902344
6477250,-37.04884338378906
6521000,-21.771636962890625
6564250,-27.968957901000977
6609000,-24.68375587463379
6652750,-23.722970962524414
6698500,-26.396116256713867
6741000,-24.769128799438477
6783750,-30.286211013793945
6827750,-30.275548934936523
6872500,-23.689441680908203
6916750,-26.59442710876465
6963000,-23.426376342773438
7005500,-20.186729431152344
7049250,-35.955596923828125
7093250,-39.951961517333984
7137500,-27.660852432250977
7182750,-31.910877227783203
7228000,-29.32221221923828
7271500,-24.767427444458008
7314500,-28.182605743408203
7358500,-43.11302185058594
7402500,-25.272972106933594
7446500,-33.33230972290039
7492250,-25.450727462768555
7534500,-38.286048889160156
7578250,-33.49065399169922
7622000,-33.98416519165039
7666000,-29.393701553344727
7710750,-23.826452255249023
7755000,-17.257802963256836
7799500,-31.107881546020508
7842500,-41.84843444824219
7888500,-28.85474967956543
7932000,-30.257488250732422
7976250,-30.68916893005371
8021500,-29.208070755004883
8066000,-23.663301467895508
8108250,-29.233558654785156
8154000,-29.650157928466797
8197750,-42.23306655883789
8242500,-37.58570861816406
8287000,-41.054893493652344
8330000,-35.5405158996582
8373250,-28.964820861816406
8419500,-25.504409790039062
8463250,-30.175704956054688
8507750,-39.45273971557617
8552250,-18.79062271118164
8595000,-24.066556930541992
8638000,-36.452735900878906
8683500,-28.553022384643555
8728250,-23.16855812072754
8772500,-37.88104248046875
8816500,-22.606304168701172
8859250,-22.158477783203125
8903500,-30.796384811401367
8948750,-37.6972770690918
8993000,-31.4494571685791
9037250,-37.711692810058594
9081250,-26.962928771972656
9122250,-29.221960067749023
9165750,-42.602195739746094
9210750,-34.5884895324707
9254750,-27.500024795532227
9297750,-35.0980339050293
9342750,-30.844860076904297
9384750,-31.32211685180664
9429250,-28.3900089263916
9474750,-35.81069564819336
9519000,-50.760868072509766
9563500,-30.622888565063477
9609000,-35.41858673095703
9650750,-32.49249267578125
9694750,-30.676712036132812
9739500,-24.12098503112793
9783750,-35.18132781982422
9824500,-30.903886795043945
9862000,-36.572269439697266
9892250,-18.74447250366211
9921250,-25.854951858520508
9955000,-23.3823184967041
9989000,-30.240922927856445
10022500,-32.788002014160156
10057500,-24.74346923828125
10092250,-42.23381042480469
10129000,-31.262319564819336
10166750,-24.881118774414062
10201500,-28.20768928527832
10237000,-29.61884117126465
10274000,-28.39577865600586
10308750,-26.086965560913086
10345000,-34.526954650878906
10382000,-15.55042839050293
10416000,-27.165712356567383
10453000,-27.85469627380371
10489000,-31.42958641052246
10524750,-24.197038650512695
10561000,-24.61209487915039
10598500,-39.240013122558594
10634250,-32.19083023071289
10669500,-26.466201782226562
10705000,-24.94944190979004
10741500,-34.67753219604492
10777750,-29.95853614807129
10816000,-34.26502227783203
10851000,-27.78302001953125
10884500,-33.105098724365234
10919750,-27.598106384277344
10953750,-27.110939025878906
10987750,-17.695419311523438
11020000,-29.521240234375
11055000,-25.856182098388672
11089500,-36.758522033691406
11126750,-30.405115127563477
11164750,-29.607725143432617
11201500,-24.46345329284668
11240000,-27.881114959716797
11277250,-33.14242935180664
11314250,-19.609500885009766
11353250,-28.993270874023438
11391750,-32.88042068481445
11429750,-44.13656997680664
11467750,-23.34662628173828
11505250,-41.258888244628906
11541750,-37.575164794921875
11580750,-51.01845932006836
11619750,-19.012941360473633
11657750,-29.40039825439453
11696000,-26.42213249206543
11734500,-40.22288513183594
11770500,-17.74549674987793
11809500,-26.696279525756836
11847750,-23.67920684814453
11885500,-29.174726486206055
11923750,-24.756092071533203
