step,reward
42250,-43.041961669921875
85500,-35.11867904663086
132000,-29.69264030456543
177000,-33.70173263549805
222500,-28.504331588745117
266750,-28.088611602783203
310500,-26.491121292114258
354500,-13.82271671295166
400250,-20.393281936645508
445250,-36.3551139831543
490750,-29.034038543701172
535500,-25.75020408630371
579500,-35.9028205871582
622500,-39.18528366088867
669000,-38.438446044921875
713750,-26.98248291015625
757500,-43.03977584838867
803000,-35.246910095214844
845750,-16.616233825683594
890500,-33.11188507080078
937000,-39.13697814941406
981500,-29.55731964111328
1026500,-42.48542785644531
1071750,-40.73882293701172
1115500,-20.144811630249023
1160250,-22.166839599609375
1206500,-24.13591957092285
1251250,-22.277864456176758
1296500,-44.37345886230469
1343000,-34.72550964355469
1387000,-20.133577346801758
1431500,-34.386680603027344
1477500,-30.828807830810547
1522000,-33.78092956542969
1565500,-19.602052688598633
1611500,-33.46267318725586
1653750,-34.63190460205078
1699000,-36.19322204589844
1745000,-32.470890045166016
1790000,-13.400797843933105
1833750,-21.54030990600586
1878250,-33.129356384277344
1922250,-30.47109031677246
1968000,-30.062091827392578
2014250,-30.457420349121094
2058500,-24.243389129638672
2102000,-39.77857971191406
2146000,-24.104209899902344
2189000,-25.19670867919922
2234500,-26.260995864868164
2280500,-24.870786666870117
2324250,-23.716259002685547
2368500,-27.441587448120117
2414250,-33.86205291748047
2458500,-29.296607971191406
2503500,-41.73773956298828
2549500,-19.129730224609375
2593000,-30.5118350982666
2636750,-36.14545440673828
2680750,-32.66823196411133
2724750,-44.88775634765625
2769750,-25.99032211303711
2815750,-38.8686637878418
2861000,-28.10127067565918
2908000,-30.1899471282959
2953000,-24.807662963867188
2996500,-22.52878761291504
3042500,-17.840892791748047
3089500,-27.687545776367188
3133000,-22.928260803222656
3180250,-28.34412384033203
3223500,-22.951871871948242
3267750,-25.64701271057129
3314000,-28.001331329345703
3358750,-45.27899932861328
3400500,-28.091222763061523
3446500,-32.32959747314453
3487750,-32.33236312866211
3533500,-45.05345916748047
3579000,-28.90851593017578
3624250,-35.97771453857422
3667000,-35.058250427246094
3710750,-26.81168556213379
3755500,-23.383663177490234
3800250,-22.494468688964844
3847000,-20.17332649230957
3891750,-38.22652816772461
3934500,-26.283203125
3979000,-31.303817749023438
4022500,-27.570266723632812
4067250,-20.41609001159668
4113250,-35.513763427734375
4157250,-32.4862174987793
4201750,-23.84200668334961
4247750,-44.58693313598633
4292500,-34.14510726928711
4337250,-33.664451599121094
4383750,-32.788787841796875
4426500,-27.553985595703125
4471250,-34.115814208984375
4516000,-34.160728454589844
4559250,-38.347984313964844
4603750,-19.38450050354004
4649500,-31.685916900634766
4692000,-25.64501190185547
4736750,-29.01605796813965
4780500,-39.0623779296875
4824750,-28.07583236694336
4869250,-34.7060661315918
4915500,-34.45784378051758
4958000,-31.295862197875977
5003250,-36.54011917114258
5047000,-31.194656372070312
5090750,-35.766700744628906
5136500,-39.618019104003906
5182000,-23.866586685180664
5224000,-20.590492248535156
5269000,-31.316387176513672
5314250,-24.991125106811523
5359000,-35.89370346069336
5404250,-32.222713470458984
5449000,-32.31745910644531
5492750,-20.484622955322266
5537000,-22.969722747802734
5582000,-39.29262924194336
5625750,-33.63636779785156
5670000,-28.890504837036133
5714750,-29.317005157470703
5757500,-36.70656967163086
5801750,-24.07650375366211
5845750,-21.38478660583496
5889500,-43.981807708740234
5935500,-43.0389404296875
5979000,-33.143211364746094
6023750,-25.226022720336914
6067750,-25.57411766052246
6111750,-27.646278381347656
6155500,-37.77274703979492
6201000,-41.55037307739258
6244500,-35.58353805541992
6289500,-35.86665725708008
6332500,-15.323689460754395
6377750,-38.76341247558594
6422250,-22.49138832092285
6468000,-30.759695053100586
6511750,-36.21260452270508
6554750,-25.89463996887207
6598500,-21.869047164916992
6644000,-23.649904251098633
6688000,-25.66112518310547
6732750,-37.91698455810547
6775750,-26.487218856811523
6819750,-33.24633026123047
6864000,-30.033504486083984
6910000,-35.84037399291992
6954000,-24.3310546875
6999000,-26.077232360839844
7042750,-41.65017318725586
7086250,-23.668140411376953
7130250,-31.707414627075195
7175750,-30.598726272583008
7220250,-33.884681701660156
7265750,-37.495121002197266
7310000,-35.28012466430664
7353500,-41.492881774902344
7398250,-31.21000099182129
7443500,-29.53832244873047
7487750,-34.12828063964844
7531250,-26.5350341796875
7576000,-30.402658462524414
7619250,-22.616741180419922
7663500,-19.557819366455078
7708750,-48.161922454833984
7752750,-45.50031280517578
7796750,-33.29421615600586
7842000,-24.591079711914062
7884750,-29.01136016845703
7931000,-32.1562614440918
7976250,-23.33600425720215
8019750,-21.582338333129883
8064250,-24.624958038330078
8108500,-27.89101791381836
8150500,-46.96907043457031
8196250,-26.888151168823242
8241250,-32.0146598815918
8286000,-28.377140045166016
8329250,-17.884838104248047
8373500,-28.709762573242188
8416500,-29.814828872680664
8462000,-28.426549911499023
8506000,-28.065467834472656
8549500,-20.9956111907959
8594750,-26.667835235595703
8638500,-25.930509567260742
8682250,-39.092769622802734
8728250,-35.30873489379883
8773750,-27.262779235839844
8817500,-23.54425621032715
8862500,-18.06610679626465
8906000,-29.009868621826172
8949500,-34.7297477722168
8996500,-43.32981872558594
9041000,-28.53067970275879
9083500,-25.00580406188965
9129000,-24.22138214111328
9171500,-21.079927444458008
9214500,-32.785682678222656
9261000,-43.92107391357422
9305750,-36.41530227661133
9348000,-31.16349220275879
9394500,-42.3279914855957
9436500,-19.550596237182617
9480500,-28.384742736816406
9526250,-29.152738571166992
9571000,-26.447574615478516
9614250,-31.26626205444336
9660750,-45.420467376708984
9703250,-28.678085327148438
9748250,-17.58327293395996
9794000,-29.160785675048828
9837750,-33.308349609375
9878000,-43.91445541381836
9916500,-35.0938606262207
9946000,-39.54633712768555
9974750,-22.000261306762695
10009000,-35.332210540771484
10043000,-23.729389190673828
10076500,-34.67037582397461
10112250,-23.772663116455078
10147750,-45.44382095336914
10184250,-22.636680603027344
10222000,-28.1630859375
10258250,-46.20875549316406
10293250,-24.318193435668945
10330500,-32.86424255371094
10366250,-33.845115661621094
10402000,-28.980241775512695
10439750,-24.924257278442383
