step,reward
43750,-25.773897171020508
89000,-40.755943298339844
135500,-40.64668273925781
181250,-31.66196632385254
228500,-26.040119171142578
276750,-28.289796829223633
324000,-48.28532409667969
368500,-47.13492202758789
416750,-26.482789993286133
462500,-28.872419357299805
512750,-28.745344161987305
569750,-29.9537296295166
615500,-42.33943557739258
658750,-25.049531936645508
704750,-23.98879623413086
749750,-26.99282455444336
795750,-36.581565856933594
840500,-30.866395950317383
885000,-36.022552490234375
929750,-37.277278900146484
976250,-31.07301902770996
1021750,-39.2535514831543
1067750,-32.139320373535156
1112000,-23.633516311645508
1155750,-30.0953426361084
1200000,-27.75398826599121
1246500,-15.118839263916016
1291000,-35.67950439453125
1336250,-24.92595863342285
1381750,-35.60301208496094
1425500,-21.574962615966797
1469250,-31.946685791015625
1515250,-42.02570343017578
1560000,-23.55425453186035
1604750,-34.888004302978516
1649750,-25.25204086303711
1694000,-25.069509506225586
1738750,-20.152925491333008
1785000,-29.162532806396484
1829250,-37.63679122924805
1872750,-33.7948112487793
1919000,-18.645580291748047
1962500,-20.980649948120117
2007500,-23.614913940429688
2053750,-29.49496078491211
2098500,-33.281471252441406
2143250,-34.93018341064453
2189750,-25.80512237548828
2231500,-31.28415870666504
2276500,-24.752952575683594
2322750,-30.317981719970703
2367500,-20.79785919189453
2411250,-20.60529136657715
2455750,-34.07430648803711
2499500,-24.054872512817383
2544250,-31.54118537902832
2589750,-26.601226806640625
2633500,-33.95170211791992
2676750,-35.51642990112305
2721500,-31.051206588745117
2765000,-33.456642150878906
2809500,-24.297075271606445
2854500,-23.293107986450195
2897750,-31.36502456665039
2942750,-38.32183074951172
2987000,-37.858455657958984
3031000,-32.946231842041016
3076250,-20.239906311035156
3121000,-51.03831481933594
3164000,-36.95095443725586
3208500,-30.38870620727539
3252250,-34.73682403564453
3295250,-25.625858306884766
3340750,-32.17514419555664
3385500,-44.70685577392578
3429750,-20.698549270629883
3476750,-30.795082092285156
3520750,-24.622238159179688
3564500,-34.0815315246582
3610500,-25.397602081298828
3657000,-15.197129249572754
3702250,-21.091516494750977
3749250,-41.00905990600586
3792750,-28.997678756713867
3837500,-32.90401077270508
3883250,-26.8446044921875
3927000,-37.92203903198242
3969500,-23.78227424621582
4014750,-25.31669807434082
4055750,-23.984973907470703
4100250,-34.18723678588867
4146250,-31.58966827392578
4190250,-28.071868896484375
4233250,-37.633018493652344
4277500,-35.78410720825195
4320500,-36.73041534423828
4365250,-33.2747917175293
4411250,-23.243776321411133
4455000,-35.629886627197266
4498250,-33.342674255371094
4542250,-20.343875885009766
4584500,-25.355619430541992
4629000,-38.55130386352539
4674750,-27.257509231567383
4717750,-29.7980899810791
4761750,-25.91891098022461
4806750,-27.00962257385254
4851000,-23.67108154296875
4896250,-27.993820190429688
4942250,-27.32411003112793
4985250,-30.480737686157227
5030500,-29.927608489990234
5075250,-25.595504760742188
5117750,-37.68155288696289
5162750,-33.15744400024414
5208250,-11.93120288848877
5250000,-28.820358276367188
5295250,-35.248783111572266
5338250,-34.04765701293945
5382000,-29.184913635253906
5427500,-29.511781692504883
5473000,-50.326873779296875
5515250,-27.901277542114258
5560750,-33.58222198486328
5603750,-30.54220962524414
5648500,-20.975425720214844
5693250,-30.704618453979492
5737250,-29.610891342163086
5779750,-31.766080856323242
5823750,-22.254892349243164
5867000,-34.081932067871094
5911250,-22.10222053527832
5956500,-32.861270904541016
6000250,-20.078739166259766
6043250,-32.361610412597656
6087750,-19.86116600036621
6131750,-32.396514892578125
6175500,-23.06441879272461
6221000,-28.836505889892578
6265250,-42.94438934326172
6308000,-28.917510986328125
6352500,-36.60017395019531
6396750,-39.82928466796875
6441000,-30.370229721069336
6486500,-30.28743553161621
6529750,-33.36227035522461
6572750,-40.640037536621094
6616500,-14.5198335647583
6659500,-26.455928802490234
6704250,-21.345701217651367
6750250,-24.668489456176758
6793500,-22.91982078552246
6838000,-24.994050979614258
6882500,-35.3372802734375
6926250,-30.02137565612793
6970500,-28.107776641845703
7016000,-29.024822235107422
7058250,-28.805631637573242
7103000,-25.538454055786133
7147000,-26.705364227294922
7190750,-29.876270294189453
7235000,-37.024593353271484
7280000,-29.936925888061523
7321750,-33.83586883544922
7366000,-25.654237747192383
7410750,-35.48398208618164
7454750,-28.501245498657227
7499750,-33.0990104675293
7545500,-38.03152847290039
7588750,-25.284854888916016
7632500,-24.719276428222656
7677250,-43.893028259277344
7721250,-27.482059478759766
7766250,-32.300437927246094
7811250,-26.15583038330078
7855000,-33.96922302246094
7898500,-41.51087951660156
7943250,-28.44138526916504
7986500,-16.816394805908203
8031250,-29.273719787597656
8076250,-23.38540267944336
8119000,-35.83871841430664
8162250,-32.53730392456055
8206750,-41.245758056640625
8250500,-31.545108795166016
8296000,-20.96113395690918
8340500,-27.525732040405273
8385000,-24.564464569091797
8428250,-24.888530731201172
8474250,-29.1090030670166
8517500,-34.78977584838867
8561500,-28.30013084411621
8606000,-27.964086532592773
8650250,-43.456966400146484
8692250,-23.476186752319336
8737500,-32.45102310180664
8781250,-40.12207794189453
8825250,-32.49147033691406
8868750,-31.022336959838867
8912000,-26.15604019165039
8956000,-26.808643341064453
9002000,-18.132413864135742
9046000,-31.363595962524414
9091000,-33.925132751464844
9135000,-27.111446380615234
9178250,-36.37507247924805
9222500,-35.42028045654297
9268000,-29.94709014892578
9312000,-30.549114227294922
9356000,-30.872573852539062
9400500,-31.409774780273438
9443750,-30.705636978149414
9487750,-30.086027145385742
9533250,-23.982791900634766
9577500,-42.746910095214844
9621500,-15.59330940246582
9666250,-37.295875549316406
9708750,-26.673948287963867
9751500,-32.634803771972656
9796750,-27.782760620117188
9841250,-26.251365661621094
9884750,-30.324636459350586
9929500,-31.78253936767578
9971500,-27.889720916748047
10015500,-28.64118766784668
10061000,-30.453475952148438
10104750,-25.005176544189453
10149000,-24.977426528930664
10193750,-34.36946105957031
10235250,-21.90673065185547
10280750,-42.38615798950195
10325250,-25.891597747802734
10369750,-34.30396270751953
10411250,-26.580642700195312
10448500,-34.896968841552734
10479000,-29.081527709960938
10507500,-22.484365463256836
10541500,-28.881662368774414
10575750,-23.708003997802734
10610500,-20.64889144897461
10644500,-40.556182861328125
10679250,-39.9197883605957
10716750,-32.1436653137207
10753500,-35.874244689941406
10789250,-36.433589935302734
10825500,-29.959247589111328
10860750,-20.56711196899414
10895750,-27.164758682250977
10933250,-23.377058029174805
10969500,-31.061017990112305
11003500,-24.456899642944336
11041500,-22.209199905395508
11077250,-21.92019271850586
11112750,-30.21621322631836
11149750,-20.916013717651367
11187000,-22.31279945373535
11221000,-25.590452194213867
11256750,-30.856969833374023
11291500,-36.73081970214844
11328250,-22.901840209960938
11365250,-27.082162857055664
11402250,-26.34063148498535
11437250,-22.824176788330078
11472500,-29.780052185058594
11505750,-28.90606117248535
11540000,-32.47095489501953
11575000,-27.108985900878906
11606500,-27.715351104736328
11641000,-25.888090133666992
11677000,-26.657161712646484
11713000,-33.752830505371094
11751250,-23.363054275512695
11789500,-28.071914672851562
11827750,-22.350906372070312
11864500,-47.43916320800781
11902250,-27.395126342773438
11941000,-35.03993225097656
11978250,-25.6456298828125
12017250,-30.60195541381836
12054750,-34.5898323059082
12092000,-24.528589248657227
12129250,-30.62557029724121
12167500,-28.961484909057617
12205500,-35.619049072265625
12244250,-20.075361251831055
12282000,-21.62742805480957
12319500,-20.836078643798828
12357500,-17.5542049407959
12396250,-31.729093551635742
12434000,-26.16387939453125
12472000,-37.66880416870117
12510250,-31.620983123779297
12547250,-22.141443252563477
12583250,-31.299610137939453
12622500,-25.164615631103516
12659500,-26.4710636138916
12698250,-26.12112045288086
12736000,-19.40730094909668
12772750,-32.060184478759766
12810250,-30.021610260009766
12849750,-18.635435104370117
12888000,-34.44873046875
12926000,-31.411136627197266
12964750,-28.57124137878418
13002000,-31.735549926757812
13038000,-26.397825241088867
13076500,-32.30264663696289
13114250,-30.82417869567871
13151250,-25.392059326171875
13190250,-27.817583084106445
13226500,-28.63270378112793
13263750,-29.5970516204834
13303250,-34.64399719238281
13341250,-22.770132064819336
13376750,-35.78041458129883
13415250,-37.270652770996094
13450250,-32.67009353637695
13487500,-36.91341781616211
13526500,-30.60614013671875
13565000,-30.976932525634766
13602500,-33.08039093017578
13641000,-24.720396041870117
13679250,-36.13926315307617
13717250,-24.35400390625
13755500,-30.995452880859375
13794750,-28.46787452697754
13825000,-22.564781188964844
13850250,-38.302730560302734
13879000,-33.17304229736328
13909000,-37.167606353759766
13945000,-27.845924377441406
13981250,-23.16285514831543
14015500,-21.022001266479492
14050500,-26.5368595123291
14087000,-33.35688400268555
14121000,-35.51777267456055
14156000,-25.431074142456055
14192500,-35.962162017822266
14229750,-31.472427368164062
14267500,-30.852628707885742
14305250,-26.689041137695312
14342250,-27.811826705932617
14380000,-35.98870849609375
14417500,-20.696043014526367
14454000,-27.424745559692383
14489500,-22.569509506225586
14528000,-39.084381103515625
14565250,-21.786909103393555
14603250,-37.66505813598633
14640250,-13.533238410949707
14675250,-22.755088806152344
14710750,-33.76565170288086
14749500,-30.08538055419922
14786750,-39.565032958984375
14824750,-37.498741149902344
14862500,-21.174667358398438
14899000,-21.91036033630371
14936250,-29.853681564331055
14972500,-29.8631591796875
15006000,-22.784385681152344
15046250,-25.094518661499023
15090750,-18.330663681030273
15133250,-29.620969772338867
15176000,-37.35049819946289
15221250,-38.226905822753906
15264000,-17.530139923095703
15307750,-43.60569763183594
15357250,-17.656635284423828
15403250,-38.66337966918945
15450250,-38.7148551940918
15501250,-35.97484588623047
15550500,-38.764034271240234
15597750,-29.75611686706543
15649500,-32.605918884277344
15696250,-17.643329620361328
15744750,-33.059532165527344
15796500,-30.57149887084961
15845250,-25.64548683166504
15892500,-35.01869583129883
15943500,-27.041540145874023
15990000,-21.273815155029297
16040250,-25.174827575683594
16095500,-34.96173095703125
16149250,-29.93561553955078
16199000,-24.142539978027344
16253250,-25.27680206298828
16303750,-28.42296600341797
16353500,-30.453081130981445
16405500,-26.459104537963867
16455500,-29.920854568481445
16503250,-24.034013748168945
16554250,-24.170934677124023
16604250,-24.239953994750977
16653000,-24.416154861450195
16701750,-22.395872116088867
16751000,-33.43189239501953
16796000,-31.110408782958984
16846250,-33.378746032714844
16896750,-42.88404846191406
16941750,-25.67176628112793
16987000,-30.132251739501953
17037750,-30.066349029541016
17085500,-30.53995704650879
17134250,-34.74965286254883
17184250,-29.74605369567871
17233500,-41.98615646362305
17283750,-52.60478210449219
17331750,-24.86673355102539
17380000,-41.764286041259766
17429750,-39.23686981201172
17478750,-34.521141052246094
17527750,-39.01640319824219
17578250,-29.085235595703125
17626750,-17.844152450561523
17676250,-44.62033462524414
17724500,-38.30158615112305
17777250,-36.13601303100586
17827500,-23.03520965576172
17878000,-36.79478454589844
17927250,-45.15917205810547
17976000,-28.092369079589844
18023500,-36.62218475341797
18075250,-26.419845581054688
18124000,-26.605093002319336
18173000,-28.425260543823242
18217250,-42.83312225341797
18259750,-27.561492919921875
18305000,-32.874534606933594
18349500,-22.900348663330078
18391500,-28.551799774169922
18436000,-34.40776824951172
18480000,-27.81078338623047
18522250,-35.6220588684082
18568500,-33.33778381347656
18617750,-15.870295524597168
18666000,-30.533653259277344
18713250,-33.63579559326172
18761750,-21.495040893554688
18806750,-28.046369552612305
18852750,-21.14414405822754
18903000,-41.63861083984375
18950750,-34.1891975402832
18996000,-24.54064178466797
19046250,-27.450288772583008
19094000,-24.69077491760254
19141250,-26.313634872436523
19193000,-31.370594024658203
19243250,-26.442087173461914
19287000,-34.33029556274414
19335750,-19.550859451293945
19382750,-37.978477478027344
19429250,-30.380451202392578
19477500,-22.25255584716797
19528250,-38.34748458862305
19574250,-27.767431259155273
19622000,-37.86283874511719
19668000,-29.67253303527832
19714750,-31.708890914916992
19762500,-33.888633728027344
19818250,-23.73126983642578
19872000,-35.98954391479492
19928000,-29.574228286743164
19983750,-20.945032119750977
