step,reward
10000,-243.42523193359375
20000,-54.9361457824707
30000,-68.03369903564453
40000,-59.745933532714844
50000,-42.37150955200195
60000,-49.721160888671875
70000,-45.938209533691406
80000,-43.11171340942383
90000,-56.3994255065918
100000,-57.05418395996094
110000,-75.68588256835938
120000,-58.981388092041016
130000,-56.70321273803711
140000,-76.43246459960938
150000,-55.97707748413086
160000,-64.3649673461914
170000,-49.32731628417969
180000,-88.54742431640625
190000,-86.50428771972656
200000,-58.208221435546875
210000,-85.47515106201172
220000,-71.94847106933594
230000,-50.52162551879883
240000,-67.01213836669922
250000,-35.58718490600586
260000,-78.0147705078125
270000,-72.78592681884766
280000,-37.278472900390625
290000,-53.57188034057617
300000,-42.91995620727539
310000,-77.46442413330078
320000,-62.388607025146484
330000,-88.77263641357422
340000,-50.32109451293945
350000,-48.130977630615234
360000,-62.930519104003906
370000,-73.59776306152344
380000,-53.82359313964844
390000,-44.604530334472656
400000,-66.70377349853516
410000,-62.611793518066406
420000,-39.91126251220703
430000,-33.966552734375
440000,-69.45469665527344
450000,-36.176334381103516
460000,-39.70501708984375
470000,-41.642845153808594
480000,-68.08830261230469
490000,-53.034664154052734
500000,-55.60361099243164
510000,-36.33414840698242
520000,-31.979976654052734
530000,-63.17833709716797
540000,-105.80294036865234
550000,-62.455047607421875
560000,-77.38795471191406
570000,-51.26559066772461
580000,-21.430099487304688
590000,-56.24226760864258
600000,-48.10931396484375
610000,-69.27837371826172
620000,-48.52820587158203
630000,-56.43449401855469
640000,-43.58605194091797
650000,-66.71553039550781
660000,-54.719810485839844
670000,-38.07316589355469
680000,-39.787715911865234
690000,-46.892822265625
700000,-60.87684631347656
710000,-48.82988357543945
720000,-39.259056091308594
730000,-56.04079055786133
740000,-40.06303787231445
750000,-71.09745788574219
760000,-48.590965270996094
770000,-29.17801856994629
780000,-35.01557540893555
790000,-36.83121871948242
800000,-35.558998107910156
810000,-35.59813690185547
820000,-46.26508331298828
830000,-73.88310241699219
840000,-58.321128845214844
850000,-53.54304122924805
860000,-60.12111282348633
870000,-49.550933837890625
880000,-57.249664306640625
890000,-60.7483024597168
900000,-37.51472091674805
910000,-80.28521728515625
920000,-91.85795593261719
930000,-54.59831619262695
940000,-78.99095153808594
950000,-59.2404670715332
960000,-48.91463088989258
970000,-39.485321044921875
980000,-42.32294845581055
990000,-38.59746170043945
1000000,-49.159996032714844
1010000,-53.445350646972656
1020000,-84.1785888671875
1030000,-48.480533599853516
1040000,-49.454315185546875
1050000,-56.19023513793945
1060000,-43.098751068115234
1070000,-36.78999710083008
1080000,-31.61420440673828
1090000,-28.28926658630371
1100000,-35.81902313232422
1110000,-39.25135040283203
1120000,-55.644596099853516
1130000,-41.653907775878906
1140000,-35.5251350402832
1150000,-27.09632682800293
1160000,-50.9549560546875
1170000,-43.74311065673828
1180000,-37.48157501220703
1190000,-61.1494140625
1200000,-42.962432861328125
1210000,-46.843894958496094
1220000,-26.39436912536621
1230000,-58.92864990234375
1240000,-35.18149948120117
1250000,-44.29995346069336
1260000,-37.580196380615234
1270000,-52.69280242919922
1280000,-36.63125228881836
1290000,-24.93380355834961
1300000,-31.983827590942383
1310000,-37.960723876953125
1320000,-26.469087600708008
1330000,-46.85248947143555
1340000,-37.42844009399414
1350000,-38.06309127807617
1360000,-33.78627014160156
1370000,-27.36952018737793
1380000,-67.19232177734375
1390000,-14.506669044494629
1400000,-16.98960304260254
1410000,-21.37135887145996
1420000,-25.058940887451172
1430000,-21.82596206665039
1440000,-39.155067443847656
1450000,-39.72639083862305
1460000,-46.37298583984375
1470000,-36.653900146484375
1480000,-42.111873626708984
1490000,-57.75114059448242
1500000,-34.802940368652344
1510000,-43.79582595825195
1520000,-28.512569427490234
1530000,-28.27167320251465
1540000,-22.40321922302246
1550000,-42.78123092651367
1560000,-27.49942970275879
1570000,-38.982398986816406
1580000,-41.49909973144531
1590000,-33.15749740600586
1600000,-27.732065200805664
1610000,-37.1922607421875
1620000,-30.500755310058594
1630000,-36.91194152832031
1640000,-51.69924545288086
1650000,-51.8570556640625
1660000,-30.334049224853516
1670000,-22.030895233154297
1680000,-30.27457046508789
1690000,-23.160520553588867
1700000,-29.4987850189209
1710000,-27.51291847229004
1720000,-34.58047866821289
1730000,-36.82883834838867
1740000,-31.052839279174805
1750000,-38.93877029418945
1760000,-35.602256774902344
1770000,-24.879222869873047
1780000,-22.830589294433594
1790000,-28.669448852539062
1800000,-49.464111328125
1810000,-44.82253646850586
1820000,-30.085023880004883
1830000,-38.2149658203125
1840000,-19.27089500427246
1850000,-35.37206268310547
1860000,-19.424732208251953
1870000,-53.643428802490234
1880000,-25.775922775268555
1890000,-32.449459075927734
1900000,-30.16693878173828
1910000,-31.73749351501465
1920000,-17.356168746948242
1930000,-34.279052734375
1940000,-42.466495513916016
1950000,-15.849635124206543
1960000,-28.589542388916016
1970000,-36.56962966918945
1980000,-40.15167236328125
1990000,-28.776521682739258
2000000,-28.069171905517578
