step,reward
78250,-34.591209411621094
155000,-38.98941421508789
241500,-38.26183319091797
322750,-34.686519622802734
406500,-34.571266174316406
475750,-34.1556510925293
557000,-32.3471794128418
637000,-35.4157600402832
721250,-33.59519577026367
803000,-32.200958251953125
884750,-36.152931213378906
957500,-34.675777435302734
1034500,-32.065425872802734
1116000,-33.9007453918457
1199500,-31.90921401977539
1283000,-30.42274284362793
1358250,-34.98470687866211
1438500,-38.62919235229492
1517250,-31.778911590576172
1598500,-35.137229919433594
1681250,-36.03142547607422
1766250,-36.61585235595703
1843750,-37.36817932128906
1920500,-33.439048767089844
2001250,-30.369125366210938
2084250,-35.86891174316406
2166500,-35.170440673828125
2251250,-36.227989196777344
2326500,-31.988971710205078
2401750,-32.718849182128906
2484750,-34.17470169067383
2568500,-35.39855194091797
2650500,-36.986690521240234
2729000,-35.01167297363281
2813750,-33.24551773071289
2889000,-32.43122100830078
2973000,-38.721290588378906
3059250,-35.11204528808594
3141250,-35.05995559692383
3218750,-33.913978576660156
3299750,-31.385608673095703
3379750,-35.29349136352539
3461500,-35.035736083984375
3548000,-35.14842224121094
3630500,-34.43898010253906
3706250,-34.456520080566406
3784250,-34.27238464355469
3870000,-34.35076141357422
3952000,-39.1143798828125
4036250,-37.730445861816406
4114000,-33.04595947265625
4196250,-33.887306213378906
4272750,-32.45842361450195
4360000,-37.752113342285156
4441500,-36.2448844909668
4524750,-32.744178771972656
4593750,-33.270389556884766
4674500,-37.87561798095703
4753500,-34.18818664550781
4836000,-33.43832778930664
4918000,-37.583518981933594
5003000,-33.80128479003906
5073000,-33.5191764831543
5156000,-31.712373733520508
5234250,-33.00262451171875
5315500,-34.63396453857422
5400000,-34.172630310058594
5483000,-33.014469146728516
5552250,-34.33426284790039
5637750,-32.72177505493164
5710750,-32.307979583740234
5792750,-34.2551383972168
5876000,-32.219024658203125
5956750,-32.95936965942383
6029000,-35.25748062133789
6111500,-35.10387420654297
6190500,-36.754722595214844
6273250,-35.811824798583984
6358750,-35.6453742980957
6441000,-38.61604690551758
6511000,-35.819271087646484
6588500,-35.8917121887207
6669000,-37.214271545410156
6753500,-31.090347290039062
6835000,-34.93946838378906
6916500,-32.73775100708008
6992000,-35.289306640625
7067000,-38.8532829284668
7151000,-33.352203369140625
7235000,-39.130985260009766
7316750,-39.4417724609375
7391750,-34.83646774291992
7478250,-34.4616813659668
7555250,-35.492496490478516
7640250,-29.94489097595215
7725500,-36.578941345214844
7808250,-37.581661224365234
7881000,-36.53245544433594
7964750,-37.452152252197266
8041250,-34.87508773803711
8128000,-33.30827331542969
8210750,-36.22988510131836
8296500,-30.81336212158203
8372500,-34.94124984741211
8456000,-31.44487190246582
8535750,-35.12271499633789
8621750,-32.70814895629883
8706500,-34.44765090942383
8789500,-38.2490348815918
8863000,-31.279325485229492
8944250,-30.828521728515625
9025750,-37.8546028137207
9113250,-32.55415725708008
9196500,-30.280786514282227
9282500,-35.171485900878906
9350750,-32.121376037597656
9427500,-34.43805694580078
9514500,-33.82839584350586
9599000,-31.413347244262695
9683000,-32.32339096069336
9766000,-32.528472900390625
9840000,-34.94578170776367
9917000,-34.936214447021484
10005000,-36.46242141723633
10088250,-35.67657470703125
10172500,-34.517913818359375
10244000,-37.104373931884766
10325500,-36.82872009277344
10405500,-32.437870025634766
10490500,-35.90962219238281
10574750,-39.76179885864258
10662250,-39.1942138671875
10736500,-36.39204025268555
10819500,-40.055564880371094
10899250,-36.01251220703125
10983750,-36.1513671875
11067750,-36.30284881591797
11154500,-34.39539337158203
11226250,-39.00735092163086
11307750,-34.73724365234375
11391750,-34.86172866821289
11474000,-34.67831039428711
11559250,-34.98906326293945
11645750,-37.018611907958984
11713500,-35.12797546386719
11796750,-36.485050201416016
11879250,-33.17232131958008
11962250,-36.79123306274414
12048750,-32.459564208984375
12132000,-34.25773239135742
12204500,-31.670686721801758
12286250,-36.50069808959961
12368750,-34.15391540527344
12453750,-35.604896545410156
12541250,-37.00933837890625
12622250,-38.42654037475586
12695500,-35.15998077392578
12774750,-40.793365478515625
12858000,-37.304786682128906
12945500,-35.40972900390625
13029750,-35.09377670288086
13107000,-40.740753173828125
13192500,-36.605377197265625
13270750,-34.92800521850586
13354000,-33.92361068725586
13441500,-36.373355865478516
13525500,-34.80596923828125
13594000,-39.26470947265625
13680750,-36.67809295654297
13758500,-32.62986755371094
13844000,-34.485313415527344
13929500,-35.77973937988281
14013250,-34.46152877807617
14086500,-33.229373931884766
14170750,-36.319095611572266
14248500,-32.927818298339844
14336250,-31.201833724975586
14420250,-30.496139526367188
14505500,-33.107337951660156
14580500,-28.898035049438477
14662250,-31.728309631347656
14742750,-33.71728515625
14829750,-31.088638305664062
14912500,-31.14104461669922
14997500,-32.09778594970703
15071250,-32.178401947021484
15151250,-32.67966842651367
15234250,-32.35114669799805
15319250,-33.36097717285156
15402250,-30.817928314208984
15489250,-32.104366302490234
15562750,-30.93156623840332
15639500,-30.498842239379883
15727500,-32.31859588623047
15809750,-32.30472183227539
