step,reward
10000,-368.2743835449219
20000,-320.3754577636719
30000,-298.43951416015625
40000,-292.0294189453125
50000,-315.9214172363281
60000,-321.88641357421875
70000,-244.88414001464844
80000,-286.8879699707031
90000,-254.07655334472656
100000,-270.1262512207031
110000,-297.8137512207031
120000,-314.72369384765625
130000,-263.013916015625
140000,-272.3218688964844
150000,-285.4497375488281
160000,-284.6796875
170000,-284.961669921875
180000,-248.6839599609375
190000,-271.0841369628906
200000,-281.5980529785156
210000,-279.43035888671875
220000,-260.6667175292969
230000,-270.9938049316406
240000,-260.8636169433594
250000,-272.0122375488281
260000,-244.70883178710938
270000,-274.2740478515625
280000,-272.7186584472656
290000,-247.33349609375
300000,-241.2779083251953
310000,-237.379150390625
320000,-242.06451416015625
330000,-277.0362854003906
340000,-270.4054870605469
350000,-251.92721557617188
360000,-265.72796630859375
370000,-257.18975830078125
380000,-234.98361206054688
390000,-253.59751892089844
400000,-256.7767639160156
410000,-265.893310546875
420000,-224.79916381835938
430000,-257.01141357421875
440000,-251.92491149902344
450000,-263.63385009765625
460000,-244.50892639160156
470000,-249.8084716796875
480000,-232.77284240722656
490000,-242.61366271972656
500000,-233.72877502441406
510000,-220.4382781982422
520000,-250.7269744873047
530000,-246.05865478515625
540000,-234.97586059570312
550000,-223.0604705810547
560000,-270.4817199707031
570000,-237.30995178222656
580000,-260.3797302246094
590000,-229.097412109375
600000,-240.80026245117188
610000,-234.9235382080078
620000,-228.1951141357422
630000,-232.5660858154297
640000,-247.47402954101562
650000,-256.3031921386719
660000,-227.93101501464844
670000,-242.584716796875
680000,-233.1609344482422
690000,-238.93894958496094
700000,-217.78274536132812
710000,-224.40658569335938
720000,-220.01913452148438
730000,-230.8751220703125
740000,-221.04974365234375
750000,-218.5799102783203
760000,-212.15782165527344
770000,-225.60142517089844
780000,-208.2309112548828
790000,-226.7353057861328
800000,-240.7234344482422
810000,-222.70802307128906
820000,-209.4105987548828
830000,-230.00572204589844
840000,-218.32232666015625
850000,-233.90292358398438
860000,-228.91278076171875
870000,-243.59036254882812
880000,-220.7551727294922
890000,-242.00502014160156
900000,-223.64077758789062
910000,-207.06080627441406
920000,-217.7657928466797
930000,-215.71775817871094
940000,-225.8287353515625
950000,-220.2025146484375
960000,-221.3653106689453
970000,-230.1573486328125
980000,-225.00186157226562
990000,-223.18600463867188
1000000,-213.07127380371094
1010000,-245.88954162597656
1020000,-206.91624450683594
1030000,-212.24267578125
1040000,-219.1403350830078
1050000,-200.67689514160156
1060000,-206.2209930419922
1070000,-231.01004028320312
1080000,-201.1055908203125
1090000,-220.5429229736328
1100000,-219.76480102539062
1110000,-212.31915283203125
1120000,-204.61074829101562
1130000,-209.32000732421875
1140000,-195.01260375976562
1150000,-200.5968475341797
1160000,-206.11708068847656
1170000,-213.48414611816406
1180000,-224.13784790039062
1190000,-208.4237518310547
1200000,-206.8627166748047
1210000,-222.28086853027344
1220000,-205.90158081054688
1230000,-220.53395080566406
1240000,-209.83087158203125
1250000,-215.74990844726562
1260000,-213.20217895507812
1270000,-211.40919494628906
1280000,-219.3087158203125
1290000,-194.25033569335938
1300000,-226.49314880371094
1310000,-210.53717041015625
1320000,-204.23658752441406
1330000,-224.02513122558594
1340000,-198.79684448242188
1350000,-215.7821044921875
1360000,-203.34811401367188
1370000,-209.34750366210938
1380000,-196.1378936767578
1390000,-205.70872497558594
1400000,-214.60699462890625
1410000,-201.84434509277344
1420000,-193.7207794189453
1430000,-222.32781982421875
1440000,-209.1897735595703
1450000,-197.10623168945312
1460000,-205.1307830810547
1470000,-208.97909545898438
1480000,-197.6412353515625
1490000,-190.3869171142578
1500000,-214.21188354492188
1510000,-209.3599395751953
1520000,-211.68316650390625
1530000,-208.2509002685547
1540000,-209.8332061767578
1550000,-198.33119201660156
1560000,-209.485107421875
1570000,-214.7825164794922
1580000,-200.224853515625
1590000,-207.03944396972656
1600000,-218.24537658691406
1610000,-192.69935607910156
1620000,-193.76541137695312
1630000,-202.88137817382812
1640000,-203.95077514648438
1650000,-216.23333740234375
1660000,-192.8457794189453
1670000,-218.80384826660156
1680000,-203.28358459472656
1690000,-190.7516632080078
1700000,-207.58621215820312
1710000,-194.50279235839844
1720000,-194.59117126464844
1730000,-215.5321807861328
1740000,-199.4113006591797
1750000,-210.06927490234375
1760000,-192.61314392089844
1770000,-203.94277954101562
1780000,-198.38702392578125
1790000,-193.49398803710938
1800000,-204.67636108398438
1810000,-199.2856903076172
1820000,-246.25503540039062
1830000,-199.5452117919922
1840000,-195.3107147216797
1850000,-206.77362060546875
1860000,-193.444580078125
1870000,-201.5218048095703
1880000,-194.4745330810547
1890000,-198.4846954345703
1900000,-210.3004608154297
1910000,-207.3335723876953
1920000,-197.05714416503906
1930000,-211.99099731445312
1940000,-201.63368225097656
1950000,-186.67237854003906
1960000,-193.11277770996094
1970000,-200.77894592285156
1980000,-214.68228149414062
1990000,-188.4053497314453
2000000,-207.3603515625
