step,reward
10000,-319.4162292480469
20000,-318.9043273925781
30000,-308.4732971191406
40000,-272.00531005859375
50000,-287.4590148925781
60000,-283.04150390625
70000,-274.77008056640625
80000,-285.1307067871094
90000,-300.5509338378906
100000,-285.7925720214844
110000,-279.69525146484375
120000,-270.85711669921875
130000,-274.9064636230469
140000,-291.6091003417969
150000,-318.42864990234375
160000,-282.3258056640625
170000,-282.036865234375
180000,-293.3758239746094
190000,-267.3135681152344
200000,-300.3021545410156
210000,-236.98826599121094
220000,-261.9229431152344
230000,-276.1596984863281
240000,-239.38905334472656
250000,-287.6842346191406
260000,-287.8728332519531
270000,-275.904541015625
280000,-282.3085021972656
290000,-281.4886169433594
300000,-243.70480346679688
310000,-260.5341491699219
320000,-254.2203826904297
330000,-235.6340789794922
340000,-260.5279541015625
350000,-257.94635009765625
360000,-241.91786193847656
370000,-247.85711669921875
380000,-249.27320861816406
390000,-243.8628692626953
400000,-230.73631286621094
410000,-241.3195343017578
420000,-242.38514709472656
430000,-258.781494140625
440000,-233.97750854492188
450000,-243.69418334960938
460000,-226.51077270507812
470000,-235.76019287109375
480000,-268.7397155761719
490000,-230.84951782226562
500000,-236.67507934570312
510000,-251.41851806640625
520000,-260.222900390625
530000,-219.75660705566406
540000,-248.66871643066406
550000,-233.39804077148438
560000,-230.79153442382812
570000,-222.9196014404297
580000,-234.71775817871094
590000,-231.03363037109375
600000,-243.20269775390625
610000,-213.87481689453125
620000,-241.86831665039062
630000,-221.86904907226562
640000,-229.1407928466797
650000,-231.67723083496094
660000,-220.44219970703125
670000,-228.4802703857422
680000,-219.89292907714844
690000,-251.30079650878906
700000,-250.01773071289062
710000,-229.46456909179688
720000,-220.4099884033203
730000,-216.52572631835938
740000,-216.96673583984375
750000,-218.1798095703125
760000,-223.58946228027344
770000,-219.3370819091797
780000,-203.2084503173828
790000,-226.48545837402344
800000,-227.79661560058594
810000,-214.14398193359375
820000,-216.59413146972656
830000,-210.0348358154297
840000,-206.5624237060547
850000,-213.56494140625
860000,-222.2640838623047
870000,-213.77735900878906
880000,-224.8155059814453
890000,-219.8932647705078
900000,-206.14993286132812
910000,-227.48480224609375
920000,-221.3726806640625
930000,-223.20870971679688
940000,-217.8726043701172
950000,-211.41513061523438
960000,-226.09547424316406
970000,-202.91009521484375
980000,-221.970947265625
990000,-211.3014678955078
1000000,-209.51219177246094
1010000,-221.29095458984375
1020000,-212.4844970703125
1030000,-209.175537109375
1040000,-218.63023376464844
1050000,-214.21998596191406
1060000,-228.61778259277344
1070000,-213.35243225097656
1080000,-208.85263061523438
1090000,-204.3834228515625
1100000,-226.28700256347656
1110000,-219.8302459716797
1120000,-214.98265075683594
1130000,-206.380859375
1140000,-222.00433349609375
1150000,-210.82687377929688
1160000,-203.84906005859375
1170000,-204.0472412109375
1180000,-202.62454223632812
1190000,-210.3506622314453
1200000,-210.2208251953125
1210000,-205.96609497070312
1220000,-222.69566345214844
1230000,-212.6518096923828
1240000,-209.60023498535156
1250000,-198.8551025390625
1260000,-197.6643524169922
1270000,-200.91705322265625
1280000,-194.46759033203125
1290000,-207.86773681640625
1300000,-213.76458740234375
1310000,-197.35247802734375
1320000,-204.58642578125
1330000,-208.7380828857422
1340000,-199.01336669921875
1350000,-200.53163146972656
1360000,-206.5882110595703
1370000,-188.64694213867188
1380000,-203.753662109375
1390000,-209.6460418701172
1400000,-203.2802734375
1410000,-185.4882354736328
1420000,-195.15289306640625
1430000,-191.82901000976562
1440000,-196.4830322265625
1450000,-196.4973907470703
1460000,-203.1321258544922
1470000,-199.6776885986328
1480000,-195.35009765625
1490000,-195.52166748046875
1500000,-206.02406311035156
1510000,-209.42483520507812
1520000,-189.48709106445312
1530000,-204.5869140625
1540000,-210.11376953125
1550000,-198.51866149902344
1560000,-202.9397430419922
1570000,-194.67686462402344
1580000,-198.96661376953125
1590000,-198.11241149902344
1600000,-201.34573364257812
1610000,-193.85096740722656
1620000,-223.91510009765625
1630000,-202.73321533203125
1640000,-191.03924560546875
1650000,-188.41880798339844
1660000,-189.6501922607422
1670000,-197.18408203125
1680000,-195.39813232421875
1690000,-210.9123992919922
1700000,-199.5986785888672
1710000,-191.1857147216797
1720000,-194.70364379882812
1730000,-207.77757263183594
1740000,-182.05111694335938
1750000,-202.11524963378906
1760000,-195.1881103515625
1770000,-199.09739685058594
1780000,-195.9187469482422
1790000,-191.29054260253906
1800000,-198.47109985351562
1810000,-213.0661163330078
1820000,-204.2831268310547
1830000,-196.06875610351562
1840000,-201.61361694335938
1850000,-188.9456024169922
1860000,-200.72438049316406
1870000,-216.06732177734375
1880000,-199.3526153564453
1890000,-194.3513641357422
1900000,-205.19647216796875
1910000,-207.5775604248047
1920000,-209.20872497558594
1930000,-194.15817260742188
1940000,-201.5211944580078
1950000,-194.4934539794922
1960000,-197.90089416503906
1970000,-198.79409790039062
1980000,-193.88296508789062
1990000,-187.15878295898438
2000000,-193.28741455078125
