step,reward
2500,-39.95680236816406
5000,-41.40800476074219
7500,-43.928062438964844
10000,-35.395687103271484
12500,-40.782264709472656
15000,-39.589927673339844
17500,-38.88661575317383
20000,-36.36662673950195
22500,-34.578731536865234
25000,-35.466896057128906
27500,-33.72727584838867
30000,-33.47429275512695
32500,-34.491973876953125
35000,-36.19084930419922
37500,-39.49058151245117
40000,-33.754493713378906
42500,-36.13870620727539
45000,-34.04338073730469
47500,-33.52603530883789
50000,-37.740779876708984
52500,-41.67304229736328
55000,-38.374412536621094
57500,-36.5507698059082
60000,-34.16729736328125
62500,-36.135379791259766
65000,-37.338844299316406
67500,-39.74497604370117
70000,-39.05098342895508
72500,-35.93068313598633
75000,-38.053951263427734
77500,-34.668968200683594
80000,-36.702484130859375
82500,-41.37069320678711
85000,-35.33180618286133
87500,-36.27858352661133
90000,-40.713714599609375
92500,-37.4753532409668
95000,-38.193721771240234
97500,-40.95121765136719
100000,-35.73575210571289
102500,-37.2850456237793
105000,-37.400691986083984
107500,-41.73868179321289
110000,-37.922080993652344
112500,-36.7890625
115000,-37.24785614013672
117500,-40.189125061035156
120000,-38.024757385253906
122500,-40.509368896484375
125000,-39.17987823486328
127500,-41.798919677734375
130000,-35.04414367675781
132500,-37.3145637512207
135000,-39.80683517456055
137500,-33.173500061035156
140000,-37.397132873535156
142500,-33.03443145751953
145000,-34.501216888427734
147500,-34.62482452392578
150000,-34.023887634277344
152500,-35.89899826049805
155000,-45.1866569519043
157500,-38.32579040527344
160000,-39.99427795410156
162500,-41.53063201904297
165000,-37.510990142822266
167500,-36.57259750366211
170000,-39.589149475097656
172500,-37.650413513183594
175000,-44.18613815307617
177500,-37.37998580932617
180000,-41.12919616699219
182500,-38.81511306762695
185000,-42.13764572143555
187500,-42.95863723754883
190000,-32.492862701416016
192500,-33.14497375488281
195000,-40.087711334228516
197500,-39.94779586791992
200000,-37.910152435302734
202500,-39.15859603881836
205000,-36.229129791259766
207500,-37.38737869262695
210000,-38.01582336425781
212500,-36.75814437866211
215000,-39.33442687988281
217500,-39.36025619506836
220000,-38.804779052734375
222500,-42.06266784667969
225000,-40.91976547241211
227500,-39.12661361694336
230000,-37.765262603759766
232500,-40.50252914428711
235000,-44.75022888183594
237500,-35.61945724487305
240000,-35.73213195800781
242500,-46.79326629638672
245000,-35.83504867553711
247500,-37.632572174072266
250000,-40.1849479675293
252500,-41.13033676147461
255000,-39.65005111694336
257500,-34.26309585571289
260000,-40.05717849731445
262500,-38.308135986328125
265000,-37.908504486083984
267500,-38.67116165161133
270000,-37.383548736572266
272500,-36.043006896972656
275000,-36.973487854003906
277500,-33.202030181884766
280000,-34.16831970214844
282500,-35.70768356323242
285000,-36.098594665527344
287500,-36.43114471435547
290000,-35.86460494995117
292500,-44.41350555419922
295000,-36.6612663269043
297500,-37.4916877746582
300000,-42.34834671020508
302500,-37.40883255004883
305000,-43.22634506225586
307500,-39.52500915527344
310000,-32.00743103027344
312500,-38.33199691772461
315000,-38.56205749511719
317500,-35.87778854370117
320000,-33.89099884033203
322500,-40.371585845947266
325000,-36.2303466796875
327500,-35.43434143066406
330000,-36.777652740478516
332500,-42.419490814208984
335000,-42.7828369140625
337500,-41.682167053222656
340000,-32.48041534423828
342500,-39.68880844116211
345000,-35.25153350830078
347500,-37.79780197143555
350000,-36.86090850830078
352500,-35.255165100097656
355000,-35.20379638671875
357500,-41.234073638916016
360000,-40.11851501464844
362500,-37.54882049560547
365000,-36.60468292236328
367500,-38.120628356933594
370000,-42.908172607421875
372500,-37.74916458129883
375000,-41.758995056152344
377500,-37.488014221191406
380000,-36.861507415771484
382500,-31.9505558013916
385000,-32.842437744140625
387500,-39.89731979370117
390000,-33.3339729309082
392500,-34.66584396362305
395000,-37.716705322265625
397500,-40.95705032348633
400000,-36.15117645263672
402500,-45.899410247802734
405000,-36.42775344848633
407500,-35.74130630493164
410000,-50.14202880859375
412500,-40.471412658691406
415000,-41.08238983154297
417500,-40.55139923095703
420000,-38.67274856567383
422500,-51.381988525390625
425000,-36.66496658325195
427500,-40.34083938598633
430000,-36.32063293457031
432500,-38.52522277832031
435000,-40.62393569946289
437500,-38.1407356262207
440000,-41.43170166015625
442500,-34.52925491333008
445000,-45.64691925048828
447500,-49.682777404785156
450000,-45.47797775268555
452500,-38.27554702758789
455000,-39.5588493347168
457500,-34.926753997802734
460000,-38.928279876708984
462500,-35.09050750732422
465000,-37.864723205566406
467500,-42.42628479003906
470000,-30.145389556884766
472500,-41.81766128540039
475000,-35.88679122924805
477500,-36.09521484375
480000,-37.84294509887695
482500,-35.31040954589844
485000,-35.029701232910156
487500,-33.999027252197266
490000,-39.089813232421875
492500,-31.314334869384766
495000,-41.67384719848633
497500,-42.679386138916016
500000,-44.667972564697266
502500,-42.92478942871094
505000,-43.91550827026367
507500,-39.92681121826172
510000,-45.03804016113281
512500,-39.01741409301758
515000,-35.693450927734375
517500,-40.810638427734375
520000,-35.16511154174805
522500,-40.350196838378906
525000,-39.98154067993164
527500,-37.28672790527344
530000,-41.486351013183594
532500,-37.86659622192383
535000,-37.05675506591797
537500,-39.26335525512695
540000,-37.45301055908203
542500,-45.38754653930664
545000,-38.64628219604492
547500,-38.930442810058594
550000,-35.774208068847656
552500,-38.169227600097656
555000,-38.85679244995117
557500,-35.97157669067383
560000,-35.91061019897461
562500,-35.38454818725586
565000,-38.67058181762695
567500,-36.616634368896484
570000,-38.89008712768555
572500,-36.17057418823242
575000,-33.868263244628906
577500,-40.75984573364258
580000,-38.42512130737305
582500,-35.01072692871094
585000,-36.46923065185547
587500,-35.376922607421875
590000,-34.886573791503906
592500,-34.82145309448242
595000,-36.0743293762207
597500,-35.481239318847656
600000,-34.59877014160156
602500,-37.53485870361328
605000,-38.0805778503418
607500,-38.61395263671875
610000,-35.201229095458984
612500,-38.49210739135742
615000,-37.15086364746094
617500,-37.70651626586914
620000,-36.23807907104492
622500,-37.063663482666016
625000,-36.66462326049805
627500,-37.50239181518555
630000,-31.083765029907227
632500,-35.84300231933594
635000,-33.742435455322266
637500,-35.28509521484375
640000,-34.13187026977539
642500,-34.481327056884766
645000,-36.23322296142578
647500,-36.00807571411133
650000,-40.697322845458984
652500,-36.11299133300781
655000,-53.50505447387695
657500,-31.719768524169922
660000,-36.11814498901367
662500,-39.51031494140625
665000,-39.89121627807617
667500,-32.42698287963867
670000,-35.6862678527832
672500,-35.26212692260742
675000,-36.0041618347168
677500,-33.64649963378906
680000,-35.100914001464844
682500,-33.59681701660156
685000,-40.47150802612305
687500,-38.37353515625
690000,-34.82850646972656
692500,-43.05628967285156
695000,-37.69852066040039
697500,-31.77363395690918
700000,-31.841291427612305
702500,-37.575439453125
705000,-35.322349548339844
707500,-30.8494815826416
710000,-36.28887176513672
712500,-38.99412536621094
715000,-36.45978927612305
717500,-34.915164947509766
720000,-37.19750213623047
722500,-37.2116584777832
725000,-37.5955810546875
727500,-33.54468536376953
730000,-34.692569732666016
732500,-35.23794937133789
735000,-34.12157440185547
737500,-35.70171356201172
740000,-33.363529205322266
742500,-37.52789306640625
745000,-35.976959228515625
747500,-34.04548263549805
750000,-32.25819778442383
752500,-40.754520416259766
755000,-38.561073303222656
757500,-37.11928176879883
760000,-37.422828674316406
762500,-46.0385856628418
765000,-43.49540328979492
767500,-31.977367401123047
770000,-35.496158599853516
772500,-33.70638656616211
775000,-36.6173210144043
777500,-34.0915412902832
780000,-38.883907318115234
782500,-36.303382873535156
785000,-32.91143798828125
787500,-32.14434814453125
790000,-37.33255386352539
792500,-31.326082229614258
795000,-31.763626098632812
797500,-35.899658203125
800000,-37.66292190551758
802500,-38.58405303955078
805000,-36.47358703613281
807500,-36.43844985961914
810000,-35.06864929199219
812500,-41.07429504394531
815000,-37.285186767578125
817500,-44.501800537109375
820000,-33.14527130126953
822500,-40.56551742553711
825000,-37.71240997314453
827500,-37.942527770996094
830000,-37.97233200073242
832500,-33.13776397705078
835000,-40.33952713012695
837500,-33.064857482910156
840000,-40.04206466674805
842500,-37.62794494628906
845000,-41.282901763916016
847500,-35.94331359863281
850000,-36.3004264831543
852500,-36.800262451171875
855000,-44.391624450683594
857500,-40.102088928222656
860000,-36.451377868652344
862500,-40.79261779785156
865000,-45.642032623291016
867500,-41.04806137084961
870000,-35.36886978149414
872500,-34.98934555053711
875000,-39.732181549072266
877500,-36.33687973022461
880000,-34.76270294189453
882500,-43.06150436401367
885000,-40.122833251953125
887500,-33.39623260498047
890000,-36.4737548828125
892500,-32.70737075805664
895000,-36.07850646972656
897500,-41.17073059082031
900000,-37.73178482055664
902500,-37.471317291259766
905000,-34.95669937133789
907500,-37.13591384887695
910000,-37.77874755859375
912500,-38.88721466064453
915000,-45.893917083740234
917500,-34.27100372314453
920000,-48.60004425048828
922500,-41.14094924926758
925000,-36.11492156982422
927500,-37.67645263671875
930000,-35.53524398803711
932500,-38.37131118774414
935000,-33.764835357666016
937500,-33.37210464477539
940000,-37.082130432128906
942500,-42.487979888916016
945000,-41.38569641113281
947500,-40.62647247314453
950000,-34.122039794921875
952500,-37.187591552734375
955000,-38.34040451049805
957500,-38.0748405456543
960000,-37.18380355834961
962500,-39.12874984741211
965000,-36.186439514160156
967500,-42.40639877319336
970000,-37.923885345458984
972500,-40.02320861816406
975000,-35.161251068115234
977500,-33.6896858215332
980000,-38.05017852783203
982500,-34.53013610839844
985000,-34.97661209106445
987500,-40.308387756347656
990000,-32.893218994140625
992500,-39.77828598022461
995000,-37.9775505065918
997500,-38.79445266723633
1000000,-37.1320915222168
1002500,-37.812904357910156
1005000,-36.06131362915039
1007500,-37.33853530883789
1010000,-41.07118606567383
1012500,-38.80667495727539
1015000,-37.694366455078125
1017500,-34.73665237426758
1020000,-37.439884185791016
1022500,-37.56180953979492
1025000,-35.052642822265625
1027500,-37.966468811035156
1030000,-44.060272216796875
1032500,-39.85673522949219
1035000,-49.371421813964844
1037500,-41.93587112426758
1040000,-43.769126892089844
1042500,-36.24361801147461
1045000,-35.58201217651367
1047500,-35.93595886230469
1050000,-54.335060119628906
1052500,-45.5605354309082
1055000,-39.43970489501953
1057500,-44.431312561035156
1060000,-70.4112319946289
1062500,-38.9528923034668
1065000,-51.99251174926758
1067500,-37.386592864990234
1070000,-35.188636779785156
1072500,-39.10166549682617
1075000,-36.908836364746094
1077500,-38.2933349609375
1080000,-39.80228805541992
1082500,-39.59873580932617
1085000,-39.25019454956055
1087500,-42.28532028198242
1090000,-33.49131774902344
1092500,-44.05594253540039
1095000,-37.77622604370117
1097500,-41.28066635131836
1100000,-41.21030807495117
1102500,-37.47517776489258
1105000,-34.193115234375
1107500,-43.179786682128906
1110000,-38.7350959777832
1112500,-34.90435791015625
1115000,-56.385284423828125
1117500,-35.54166030883789
1120000,-43.3826904296875
1122500,-37.90361785888672
1125000,-34.84074401855469
1127500,-34.898258209228516
1130000,-34.74980926513672
1132500,-37.05840301513672
1135000,-36.33045959472656
