step,reward
10000,-618.367431640625
20000,-636.0884399414062
30000,-774.3170776367188
40000,-746.1301879882812
50000,-724.354736328125
60000,-791.9805908203125
70000,-804.18408203125
80000,-692.7359008789062
90000,-707.8753051757812
100000,-771.9432983398438
110000,-715.7315063476562
120000,-679.4470825195312
130000,-593.1382446289062
140000,-616.2222290039062
150000,-582.6262817382812
160000,-638.5662231445312
170000,-469.18414306640625
180000,-423.9273681640625
190000,-359.83349609375
200000,-356.23114013671875
210000,-409.6340637207031
220000,-462.47735595703125
230000,-386.1825866699219
240000,-306.21588134765625
250000,-326.0555114746094
260000,-331.04656982421875
270000,-305.5295715332031
280000,-337.18878173828125
290000,-317.44293212890625
300000,-285.0782775878906
310000,-341.2731628417969
320000,-300.14007568359375
330000,-311.36236572265625
340000,-293.58648681640625
350000,-273.0669860839844
360000,-284.54620361328125
370000,-288.13311767578125
380000,-283.34637451171875
390000,-277.5668029785156
400000,-289.74761962890625
410000,-288.5425109863281
420000,-271.96875
430000,-229.84872436523438
440000,-250.88046264648438
450000,-287.46051025390625
460000,-272.65130615234375
470000,-274.38787841796875
480000,-258.3367004394531
490000,-254.44290161132812
500000,-244.9813690185547
510000,-267.1231384277344
520000,-238.1409149169922
530000,-243.36769104003906
540000,-243.22337341308594
550000,-238.61480712890625
560000,-236.76368713378906
570000,-250.68849182128906
580000,-252.99215698242188
590000,-245.4346466064453
600000,-227.24163818359375
610000,-226.78269958496094
620000,-232.0166015625
630000,-217.22193908691406
640000,-254.03118896484375
650000,-235.64329528808594
660000,-245.65341186523438
670000,-237.85818481445312
680000,-229.33963012695312
690000,-218.91598510742188
700000,-228.84056091308594
710000,-221.3394775390625
720000,-206.43946838378906
730000,-219.28993225097656
740000,-211.09310913085938
750000,-226.13267517089844
760000,-234.08450317382812
770000,-230.35891723632812
780000,-213.97679138183594
790000,-214.71426391601562
800000,-214.3809814453125
810000,-200.77383422851562
820000,-197.37925720214844
830000,-224.3180389404297
840000,-198.6400909423828
850000,-217.8616943359375
860000,-194.27642822265625
870000,-204.06723022460938
880000,-194.5138702392578
890000,-203.82469177246094
900000,-236.36268615722656
910000,-202.94862365722656
920000,-198.40745544433594
930000,-206.65335083007812
940000,-200.01809692382812
950000,-201.35971069335938
960000,-205.7533416748047
970000,-199.3509521484375
980000,-208.73085021972656
990000,-210.69459533691406
1000000,-207.98483276367188
1010000,-207.5101776123047
1020000,-217.85824584960938
1030000,-191.32521057128906
1040000,-202.6927032470703
1050000,-195.0074920654297
1060000,-199.66172790527344
1070000,-198.86326599121094
1080000,-192.84445190429688
1090000,-191.08705139160156
1100000,-194.84873962402344
1110000,-202.49090576171875
1120000,-200.1854248046875
1130000,-196.33740234375
1140000,-187.8566131591797
1150000,-197.47947692871094
1160000,-214.34689331054688
1170000,-186.6253662109375
1180000,-196.9552459716797
1190000,-204.6147003173828
1200000,-221.5438232421875
1210000,-208.91554260253906
1220000,-188.73316955566406
1230000,-194.9719696044922
1240000,-211.70455932617188
1250000,-209.17637634277344
1260000,-191.46609497070312
1270000,-202.50979614257812
1280000,-187.65399169921875
1290000,-194.76364135742188
1300000,-206.19886779785156
1310000,-189.82041931152344
1320000,-193.54544067382812
1330000,-193.54579162597656
1340000,-182.2727813720703
1350000,-196.19720458984375
1360000,-178.11563110351562
1370000,-188.6372528076172
1380000,-186.98043823242188
1390000,-205.90863037109375
1400000,-192.00225830078125
1410000,-201.55201721191406
1420000,-218.50164794921875
1430000,-202.92262268066406
1440000,-202.18446350097656
1450000,-182.94302368164062
1460000,-188.0374755859375
1470000,-186.723876953125
1480000,-189.8443603515625
1490000,-188.60885620117188
1500000,-186.01287841796875
1510000,-182.6949920654297
1520000,-204.35205078125
1530000,-191.35472106933594
1540000,-217.3305206298828
1550000,-206.64492797851562
1560000,-207.3609619140625
1570000,-187.6811065673828
1580000,-187.64739990234375
1590000,-200.63429260253906
1600000,-196.51976013183594
1610000,-183.4707489013672
1620000,-198.54922485351562
1630000,-189.1670684814453
1640000,-204.02828979492188
1650000,-187.1407012939453
1660000,-197.4884796142578
1670000,-186.31092834472656
1680000,-194.8466033935547
1690000,-197.38153076171875
1700000,-202.16436767578125
1710000,-198.15228271484375
1720000,-191.62149047851562
1730000,-182.4500732421875
1740000,-203.47695922851562
1750000,-206.57333374023438
1760000,-211.84182739257812
1770000,-199.37051391601562
1780000,-189.2737579345703
1790000,-204.37759399414062
1800000,-194.66050720214844
1810000,-182.19729614257812
1820000,-212.09814453125
1830000,-193.3040771484375
1840000,-195.37265014648438
1850000,-203.47052001953125
1860000,-185.3368377685547
1870000,-183.00857543945312
1880000,-184.00814819335938
1890000,-181.75050354003906
1900000,-190.51976013183594
1910000,-186.60426330566406
1920000,-196.0531768798828
1930000,-196.02735900878906
1940000,-192.7214813232422
1950000,-175.69302368164062
1960000,-188.75787353515625
1970000,-187.99356079101562
1980000,-188.08778381347656
1990000,-196.81080627441406
2000000,-184.13433837890625
