step,reward
2500,-38.72189712524414
5000,-37.80187225341797
7500,-35.679779052734375
10000,-38.31325149536133
12500,-40.9300422668457
15000,-39.732234954833984
17500,-40.63081741333008
20000,-36.220977783203125
22500,-45.4141960144043
25000,-45.72835159301758
27500,-39.82301712036133
30000,-38.190834045410156
32500,-32.58467102050781
35000,-41.77744674682617
37500,-40.15425491333008
40000,-37.92816162109375
42500,-36.9971809387207
45000,-37.831214904785156
47500,-44.07096481323242
50000,-37.92191696166992
52500,-40.044185638427734
55000,-33.65837478637695
57500,-32.143619537353516
60000,-37.876319885253906
62500,-36.92051696777344
65000,-40.627689361572266
67500,-38.66203308105469
70000,-41.95249557495117
72500,-42.35045623779297
75000,-47.207576751708984
77500,-41.96747589111328
80000,-45.68259811401367
82500,-38.1090202331543
85000,-49.395362854003906
87500,-52.27604675292969
90000,-49.819435119628906
92500,-40.3044319152832
95000,-44.671051025390625
97500,-43.588375091552734
100000,-50.57707214355469
102500,-42.830867767333984
105000,-44.908302307128906
107500,-34.51438522338867
110000,-34.12483596801758
112500,-39.852664947509766
115000,-44.03736877441406
117500,-41.77043914794922
120000,-37.97502136230469
122500,-37.387290954589844
125000,-43.25505447387695
127500,-38.69679260253906
130000,-34.376243591308594
132500,-38.54469680786133
135000,-39.09191131591797
137500,-37.479766845703125
140000,-39.16178512573242
142500,-40.0423698425293
145000,-36.402042388916016
147500,-37.50762176513672
150000,-35.03830337524414
152500,-36.4329833984375
155000,-37.055458068847656
157500,-33.56849670410156
160000,-36.43911361694336
162500,-33.42882537841797
165000,-32.13826370239258
167500,-38.121585845947266
170000,-34.34627151489258
172500,-36.110965728759766
175000,-37.308231353759766
177500,-39.12753677368164
180000,-39.18989562988281
182500,-35.559303283691406
185000,-37.528778076171875
187500,-33.241119384765625
190000,-33.67529296875
192500,-34.76063537597656
195000,-34.860931396484375
197500,-32.500553131103516
200000,-35.77135467529297
202500,-39.63762283325195
205000,-38.0186882019043
207500,-32.83153533935547
210000,-38.19976043701172
212500,-39.483524322509766
215000,-36.6564826965332
217500,-32.35434341430664
220000,-38.17440414428711
222500,-36.30582046508789
225000,-38.42946243286133
227500,-37.73695755004883
230000,-37.60922622680664
232500,-35.64844512939453
235000,-38.394107818603516
237500,-36.419097900390625
240000,-32.32957458496094
242500,-34.892887115478516
245000,-38.85258865356445
247500,-36.568336486816406
250000,-36.27787780761719
252500,-37.483070373535156
255000,-37.38490676879883
257500,-39.15534973144531
260000,-42.01249694824219
262500,-36.784027099609375
265000,-39.772666931152344
267500,-37.716949462890625
270000,-39.07477569580078
272500,-38.688175201416016
275000,-33.5224723815918
277500,-37.16162872314453
280000,-40.034828186035156
282500,-35.185951232910156
285000,-33.6606330871582
287500,-40.15500259399414
290000,-34.166385650634766
292500,-36.385990142822266
295000,-42.47046661376953
297500,-34.1224479675293
300000,-37.07828903198242
302500,-38.82106399536133
305000,-44.74343490600586
307500,-37.756797790527344
310000,-41.244789123535156
312500,-37.33423614501953
315000,-37.11674880981445
317500,-38.83876037597656
320000,-39.197303771972656
322500,-36.98992156982422
325000,-40.6709098815918
327500,-43.42082214355469
330000,-40.16678237915039
332500,-37.93976974487305
335000,-38.09970474243164
337500,-36.8497200012207
340000,-31.552841186523438
342500,-41.04597473144531
345000,-39.83531951904297
347500,-39.68563461303711
350000,-40.20047378540039
352500,-34.65208053588867
355000,-35.78013610839844
357500,-36.13871383666992
360000,-36.321495056152344
362500,-36.38180160522461
365000,-39.31428146362305
367500,-40.19074630737305
370000,-39.66200637817383
372500,-36.811912536621094
375000,-34.30848693847656
377500,-41.261314392089844
380000,-35.364070892333984
382500,-38.936649322509766
385000,-36.19667053222656
387500,-40.213768005371094
390000,-39.79956817626953
392500,-35.38266372680664
395000,-37.15200424194336
397500,-37.3937873840332
400000,-35.47191619873047
402500,-33.184940338134766
405000,-35.6024055480957
407500,-40.42941665649414
410000,-36.61915588378906
412500,-37.24832534790039
415000,-36.30931091308594
417500,-39.58631134033203
420000,-35.65825271606445
422500,-38.227088928222656
425000,-37.50515365600586
427500,-40.00840377807617
430000,-39.7114372253418
432500,-35.514339447021484
435000,-36.963565826416016
437500,-40.47132873535156
440000,-32.533939361572266
442500,-36.31126403808594
445000,-44.54964065551758
447500,-38.34479904174805
450000,-35.367801666259766
452500,-38.97694778442383
455000,-36.34899139404297
457500,-39.47549057006836
460000,-39.483978271484375
462500,-38.045745849609375
465000,-41.56959915161133
467500,-37.37785720825195
470000,-36.70945739746094
472500,-33.46676254272461
475000,-37.49168395996094
477500,-38.69599151611328
480000,-34.39224624633789
482500,-38.278053283691406
485000,-35.654327392578125
487500,-38.363162994384766
490000,-37.09260177612305
492500,-43.164939880371094
495000,-36.68105697631836
497500,-40.06031799316406
500000,-40.10565185546875
502500,-42.565704345703125
505000,-35.85321044921875
507500,-44.41026306152344
510000,-41.41933822631836
512500,-41.83332061767578
515000,-40.15773010253906
517500,-37.3926887512207
520000,-39.42593765258789
522500,-38.49387741088867
525000,-34.96158218383789
527500,-35.29004669189453
530000,-39.71358871459961
532500,-39.73611831665039
535000,-44.42030334472656
537500,-38.6148567199707
540000,-41.173927307128906
542500,-40.77521896362305
545000,-37.253684997558594
547500,-37.0205078125
550000,-41.33856964111328
552500,-38.38847351074219
555000,-39.21567153930664
557500,-38.730960845947266
560000,-41.40708541870117
562500,-41.01429748535156
565000,-37.10202407836914
567500,-41.12834930419922
570000,-41.21113967895508
572500,-39.57877731323242
575000,-37.80671310424805
577500,-41.58588409423828
580000,-42.718711853027344
582500,-41.498634338378906
585000,-40.30083465576172
587500,-40.683658599853516
590000,-45.83167266845703
592500,-40.085933685302734
595000,-42.49026107788086
597500,-39.778099060058594
600000,-45.48615646362305
602500,-43.54480743408203
605000,-47.337188720703125
607500,-43.65345001220703
610000,-47.593101501464844
612500,-38.07463455200195
615000,-39.66317367553711
617500,-38.89899444580078
620000,-41.61328125
622500,-41.21664047241211
625000,-40.324493408203125
627500,-35.97351837158203
630000,-36.67510223388672
632500,-43.87098693847656
635000,-44.619850158691406
637500,-42.20234680175781
640000,-37.84355163574219
642500,-46.95026779174805
645000,-39.90034866333008
647500,-43.87704849243164
650000,-40.437042236328125
652500,-41.143638610839844
655000,-44.101985931396484
657500,-42.1098747253418
660000,-48.59764099121094
662500,-41.0792121887207
665000,-38.71971893310547
667500,-41.479759216308594
670000,-41.31493377685547
672500,-39.910892486572266
675000,-42.90365219116211
677500,-41.92036437988281
680000,-43.571861267089844
682500,-43.93849563598633
685000,-45.46858596801758
687500,-44.499385833740234
690000,-46.91177749633789
692500,-48.310935974121094
695000,-38.10547637939453
697500,-46.076412200927734
700000,-39.927799224853516
702500,-43.059505462646484
705000,-41.81172561645508
707500,-42.867919921875
710000,-40.735015869140625
712500,-40.359344482421875
715000,-46.91998291015625
717500,-42.07496643066406
720000,-42.66697311401367
722500,-49.95168685913086
725000,-44.70887756347656
727500,-41.68304443359375
730000,-44.973609924316406
732500,-43.72577667236328
735000,-42.74029541015625
737500,-45.96974182128906
740000,-46.594757080078125
742500,-48.0120964050293
745000,-49.63370895385742
747500,-40.62024688720703
750000,-40.83695983886719
752500,-43.83381271362305
755000,-41.435482025146484
757500,-42.36576461791992
760000,-47.10450744628906
762500,-53.57535934448242
765000,-50.79650115966797
767500,-49.0817756652832
770000,-48.16858673095703
772500,-54.36605453491211
775000,-47.7427978515625
777500,-40.40676498413086
780000,-43.672672271728516
782500,-43.647613525390625
785000,-48.18058395385742
787500,-47.60200500488281
790000,-45.80424118041992
792500,-45.15960693359375
795000,-41.573768615722656
797500,-49.97382354736328
800000,-49.55598449707031
802500,-45.468116760253906
805000,-43.64701843261719
807500,-47.66575241088867
810000,-44.91862487792969
812500,-45.01548767089844
815000,-54.92802429199219
817500,-51.16733932495117
820000,-44.398563385009766
822500,-53.193843841552734
825000,-42.46749496459961
827500,-47.1912841796875
830000,-42.16323471069336
832500,-44.56576156616211
835000,-46.367523193359375
837500,-50.04823303222656
840000,-41.59490203857422
842500,-44.89500427246094
845000,-42.49467849731445
847500,-58.786128997802734
850000,-50.69675064086914
852500,-48.57695007324219
855000,-44.61589431762695
857500,-44.38022994995117
860000,-48.12191390991211
862500,-49.5063591003418
865000,-44.058868408203125
867500,-40.44047164916992
870000,-45.97160720825195
872500,-47.7264404296875
875000,-47.119178771972656
877500,-45.0769157409668
880000,-42.87296676635742
882500,-46.115116119384766
885000,-49.45243835449219
887500,-49.3848876953125
890000,-50.77033996582031
892500,-57.5444450378418
895000,-43.470218658447266
897500,-48.60606002807617
900000,-47.54938507080078
902500,-42.57938766479492
905000,-45.42072677612305
907500,-42.4025993347168
910000,-46.63616943359375
912500,-44.1204833984375
915000,-39.535213470458984
917500,-50.59912109375
920000,-44.959075927734375
922500,-50.01164245605469
925000,-48.21736145019531
927500,-51.28700256347656
930000,-45.45502471923828
932500,-54.98366928100586
935000,-44.61187744140625
937500,-40.17313003540039
940000,-47.652183532714844
942500,-49.08306884765625
945000,-45.35403823852539
947500,-41.92346954345703
950000,-48.09426498413086
952500,-49.78055953979492
955000,-45.10785675048828
957500,-53.040287017822266
960000,-45.34278106689453
962500,-43.5892333984375
965000,-46.51499938964844
967500,-48.13776397705078
970000,-58.6688346862793
972500,-44.752628326416016
975000,-46.436798095703125
977500,-43.18171310424805
980000,-44.82794952392578
982500,-46.912086486816406
985000,-50.67524719238281
987500,-48.9395866394043
990000,-45.97023010253906
992500,-47.94823455810547
995000,-58.09293746948242
997500,-51.9760856628418
1000000,-52.194366455078125
1002500,-49.53314208984375
1005000,-46.70026397705078
1007500,-49.931907653808594
1010000,-44.46818542480469
1012500,-44.42772674560547
1015000,-41.582950592041016
1017500,-47.95372772216797
1020000,-49.35727310180664
1022500,-48.136207580566406
1025000,-49.2405891418457
1027500,-50.68537139892578
1030000,-45.32843017578125
1032500,-50.74024963378906
1035000,-52.69341278076172
1037500,-50.4705924987793
1040000,-51.78313446044922
1042500,-43.86466979980469
1045000,-48.930755615234375
1047500,-44.13036346435547
1050000,-41.24408721923828
1052500,-48.951663970947266
1055000,-53.48772430419922
1057500,-56.66665267944336
1060000,-47.23532485961914
1062500,-45.853946685791016
1065000,-49.31179428100586
1067500,-49.92048263549805
1070000,-50.27726745605469
1072500,-48.268680572509766
1075000,-44.341487884521484
1077500,-51.84690856933594
1080000,-48.07291030883789
1082500,-46.91127014160156
1085000,-47.650352478027344
1087500,-47.47311019897461
1090000,-47.362735748291016
1092500,-47.373287200927734
1095000,-50.10816955566406
1097500,-49.44455337524414
1100000,-55.039100646972656
1102500,-46.47103500366211
1105000,-53.19499206542969
1107500,-47.33730697631836
1110000,-47.651206970214844
1112500,-45.05476760864258
1115000,-46.1433219909668
1117500,-45.878726959228516
1120000,-40.789955139160156
1122500,-53.05966567993164
1125000,-43.59377670288086
1127500,-41.02763366699219
1130000,-56.272647857666016
1132500,-46.91084289550781
1135000,-44.9340705871582
1137500,-44.97199249267578
1140000,-49.023231506347656
1142500,-49.69058609008789
1145000,-46.954010009765625
1147500,-46.27079391479492
1150000,-44.73506164550781
1152500,-45.68684768676758
1155000,-46.512916564941406
1157500,-40.892581939697266
1160000,-43.17986297607422
1162500,-48.920257568359375
1165000,-46.10299301147461
1167500,-46.712791442871094
1170000,-49.21267318725586
1172500,-46.65205383300781
1175000,-55.67857360839844
1177500,-41.57086944580078
1180000,-48.44757080078125
1182500,-50.08827590942383
1185000,-42.843910217285156
1187500,-47.360050201416016
1190000,-52.01890563964844
1192500,-49.979862213134766
1195000,-49.985225677490234
1197500,-51.2350959777832
1200000,-45.34870529174805
1202500,-48.54370880126953
1205000,-56.859249114990234
1207500,-46.788238525390625
1210000,-43.92536926269531
1212500,-53.799888610839844
1215000,-43.667572021484375
1217500,-47.68904113769531
1220000,-50.97587203979492
1222500,-54.7180061340332
1225000,-46.676063537597656
1227500,-47.28014373779297
1230000,-44.10564422607422
1232500,-46.942787170410156
1235000,-45.7700309753418
1237500,-45.760562896728516
1240000,-46.016170501708984
1242500,-42.36552429199219
1245000,-48.09223175048828
1247500,-41.38628005981445
1250000,-48.55331802368164
1252500,-48.5189208984375
1255000,-46.05838394165039
1257500,-51.060699462890625
1260000,-47.452293395996094
1262500,-44.12257385253906
1265000,-47.38475036621094
1267500,-52.052188873291016
1270000,-43.024452209472656
1272500,-47.716224670410156
1275000,-47.323768615722656
1277500,-48.30634689331055
1280000,-44.667449951171875
1282500,-50.62562561035156
1285000,-45.749725341796875
1287500,-46.71857833862305
1290000,-44.465267181396484
1292500,-52.195247650146484
1295000,-44.77025604248047
1297500,-49.84899139404297
1300000,-51.775733947753906
1302500,-38.43800354003906
1305000,-48.293922424316406
1307500,-46.2196044921875
1310000,-45.010169982910156
1312500,-47.11433792114258
1315000,-49.210269927978516
1317500,-44.18837356567383
1320000,-44.55301284790039
1322500,-42.99082946777344
1325000,-52.761077880859375
1327500,-44.41869354248047
1330000,-45.66909408569336
1332500,-45.57842254638672
1335000,-45.28005599975586
1337500,-49.45162582397461
1340000,-46.002662658691406
1342500,-50.52103805541992
1345000,-41.95692825317383
1347500,-47.97285461425781
1350000,-42.692710876464844
1352500,-42.62805938720703
1355000,-49.92238235473633
1357500,-45.552764892578125
1360000,-49.89668655395508
1362500,-48.04362487792969
1365000,-49.6151008605957
1367500,-47.31745147705078
1370000,-39.41132736206055
1372500,-47.0145263671875
1375000,-47.602012634277344
1377500,-40.61188888549805
1380000,-44.780364990234375
1382500,-52.83401107788086
1385000,-41.568660736083984
1387500,-42.50799560546875
1390000,-54.8465690612793
1392500,-38.60331344604492
1395000,-50.03722381591797
1397500,-46.70868682861328
1400000,-46.97952651977539
1402500,-51.60781478881836
1405000,-43.29618835449219
1407500,-41.816741943359375
1410000,-42.703155517578125
1412500,-45.03615951538086
1415000,-42.93955612182617
1417500,-39.814048767089844
1420000,-43.209999084472656
1422500,-46.577457427978516
1425000,-40.56650924682617
1427500,-43.74461364746094
1430000,-45.93864822387695
1432500,-52.15110778808594
1435000,-43.1713981628418
1437500,-48.61542510986328
1440000,-42.095252990722656
1442500,-42.012779235839844
1445000,-52.73373794555664
1447500,-49.502769470214844
1450000,-51.537696838378906
1452500,-43.16044998168945
1455000,-55.015716552734375
1457500,-50.180545806884766
1460000,-46.7771110534668
1462500,-49.424293518066406
1465000,-56.34389877319336
1467500,-47.84325408935547
1470000,-46.554141998291016
1472500,-49.895938873291016
1475000,-47.886653900146484
1477500,-51.782466888427734
1480000,-41.3661003112793
1482500,-48.20005798339844
1485000,-44.54153060913086
1487500,-52.82634735107422
1490000,-57.47585678100586
1492500,-51.18592071533203
1495000,-53.00994873046875
1497500,-41.4745979309082
1500000,-44.877010345458984
1502500,-45.24380874633789
1505000,-52.24618148803711
1507500,-48.231101989746094
1510000,-48.619503021240234
1512500,-47.18039321899414
1515000,-49.556640625
1517500,-51.6501350402832
1520000,-41.640533447265625
1522500,-47.31361770629883
1525000,-48.27200698852539
1527500,-53.53675842285156
1530000,-53.51741027832031
1532500,-52.1276969909668
1535000,-44.7797966003418
1537500,-45.864845275878906
1540000,-50.46818542480469
1542500,-48.93944549560547
1545000,-48.272560119628906
1547500,-43.52735137939453
1550000,-50.4964485168457
1552500,-39.88533401489258
1555000,-52.426517486572266
1557500,-44.07231140136719
1560000,-48.602108001708984
1562500,-55.770347595214844
1565000,-58.27814483642578
1567500,-49.39311599731445
1570000,-60.41782760620117
1572500,-41.78566360473633
1575000,-53.377723693847656
1577500,-51.9837646484375
1580000,-51.05153274536133
1582500,-52.19279098510742
1585000,-49.160518646240234
1587500,-44.44558334350586
1590000,-46.319034576416016
1592500,-45.673702239990234
1595000,-56.7364387512207
1597500,-49.069419860839844
1600000,-47.242530822753906
1602500,-43.20575714111328
1605000,-54.58790588378906
1607500,-53.989994049072266
1610000,-47.046138763427734
1612500,-48.815914154052734
1615000,-55.91169738769531
1617500,-47.454063415527344
1620000,-62.6697998046875
1622500,-52.551395416259766
1625000,-47.60416793823242
1627500,-49.59421920776367
1630000,-52.66767120361328
1632500,-48.857322692871094
1635000,-48.033180236816406
1637500,-43.679107666015625
1640000,-46.80392837524414
1642500,-41.6246452331543
1645000,-49.25815200805664
1647500,-48.98256301879883
1650000,-55.79143142700195
1652500,-48.604652404785156
1655000,-48.35927200317383
1657500,-46.0582275390625
1660000,-41.81767654418945
1662500,-50.45909881591797
1665000,-49.8558464050293
1667500,-44.54378128051758
1670000,-47.76325607299805
1672500,-52.49937438964844
1675000,-45.368900299072266
1677500,-48.88187026977539
1680000,-47.778446197509766
1682500,-48.594764709472656
1685000,-50.3353157043457
1687500,-49.406822204589844
1690000,-45.529212951660156
1692500,-47.562530517578125
1695000,-41.56189727783203
1697500,-38.06889343261719
1700000,-50.07036209106445
1702500,-43.193119049072266
1705000,-43.205345153808594
1707500,-42.178123474121094
1710000,-43.77520751953125
1712500,-59.471839904785156
1715000,-54.79819107055664
1717500,-52.24951171875
1720000,-45.501251220703125
1722500,-46.69306564331055
1725000,-53.98699951171875
1727500,-44.396156311035156
1730000,-48.56404113769531
1732500,-49.20404815673828
1735000,-50.96028137207031
1737500,-52.54472732543945
1740000,-40.0979118347168
1742500,-50.74104690551758
1745000,-47.81421661376953
1747500,-50.385650634765625
1750000,-52.38260269165039
1752500,-39.474369049072266
1755000,-47.78220748901367
1757500,-42.41175079345703
1760000,-43.5016975402832
1762500,-50.21150588989258
1765000,-44.073001861572266
1767500,-44.840484619140625
1770000,-50.665000915527344
1772500,-43.07881546020508
