step,reward
55500,-111.52333068847656
106000,-117.48954772949219
152000,-115.84908294677734
195000,-106.15670013427734
238500,-100.3785629272461
283500,-100.12467193603516
325250,-94.7363052368164
369750,-100.9915542602539
418000,-108.0292739868164
469250,-99.1745834350586
516500,-105.68033599853516
557000,-100.29899597167969
599500,-113.2051773071289
644500,-99.69795227050781
689250,-111.08372497558594
734500,-95.51364135742188
784000,-106.20325469970703
833750,-101.10810089111328
878500,-98.939697265625
918250,-101.27764892578125
954750,-114.27344512939453
993750,-104.55115509033203
1032500,-105.59727478027344
1072500,-101.49617004394531
1112500,-112.63748931884766
1155250,-109.770751953125
1196000,-95.91053009033203
1238250,-100.4727783203125
1282500,-97.59056854248047
1327250,-97.52275848388672
1371750,-115.79356384277344
1408250,-96.38882446289062
1454000,-103.10807800292969
1494250,-95.31425476074219
1537750,-101.97543334960938
1575000,-94.6487808227539
1618500,-96.90221405029297
1666000,-102.41191101074219
1712500,-93.0545883178711
1752250,-100.76388549804688
1796500,-92.47299194335938
1840000,-91.99906158447266
1881750,-95.57506561279297
1924500,-100.75602722167969
1966750,-93.2640151977539
2009000,-96.99380493164062
2051750,-92.57795715332031
2096750,-102.20979309082031
2142000,-95.99281311035156
2189250,-91.48268127441406
2236250,-86.49652099609375
2281500,-89.02851867675781
2328500,-100.46273040771484
2376000,-88.60983276367188
2422500,-105.93103790283203
2469500,-102.09247589111328
2515500,-98.30196380615234
2558000,-96.19961547851562
2605250,-89.70496368408203
2657250,-81.45226287841797
2708000,-88.21006774902344
2758250,-84.74903106689453
2808250,-90.77465057373047
2853250,-90.11722564697266
2900500,-92.24266815185547
2948500,-90.91014099121094
2998250,-90.03851318359375
3045250,-95.05235290527344
3085750,-103.42807006835938
3130250,-90.21418762207031
3172000,-90.9225082397461
3213750,-87.89279174804688
3256500,-94.03780364990234
3301250,-92.36469268798828
3346000,-83.61393737792969
3392000,-98.48739624023438
3436000,-93.26969909667969
3480500,-95.91365814208984
3526750,-104.61863708496094
3571750,-89.11116027832031
3616000,-97.09198760986328
3662250,-85.11134338378906
3707500,-99.35721588134766
3751750,-95.28057098388672
3799250,-96.7662582397461
3844500,-91.46372985839844
3884750,-83.34764099121094
3926750,-86.56819152832031
3968500,-91.14338684082031
4010250,-91.02191162109375
4053250,-86.58424377441406
4094000,-94.24303436279297
4133000,-87.93761444091797
4175250,-88.78382110595703
4218500,-85.33201599121094
4256750,-93.88484191894531
4299250,-96.64254760742188
4338250,-94.53099822998047
4375500,-84.62406921386719
4414000,-97.19678497314453
4451500,-85.71177673339844
4491750,-95.6213607788086
4532000,-85.09297943115234
4571750,-95.93168640136719
4610750,-92.05728912353516
4648250,-88.34671020507812
4688000,-87.43450164794922
4727750,-90.96276092529297
4766500,-93.5197525024414
4806500,-89.17520141601562
4846000,-98.3054428100586
4884750,-84.60865783691406
4926250,-89.45703887939453
4967000,-88.97245788574219
5005500,-84.65365600585938
5044750,-90.77760314941406
5086250,-91.43783569335938
5128750,-92.46305847167969
5172750,-87.51765441894531
5217750,-86.1667709350586
5259250,-87.05596923828125
5297500,-90.91939544677734
5337750,-90.3739013671875
5376500,-95.36532592773438
5416500,-94.3196029663086
5458750,-92.03302764892578
5499000,-98.33394622802734
5537000,-90.4022216796875
5578500,-88.34886169433594
5621250,-85.26960754394531
5664750,-98.69976806640625
5709750,-85.94166564941406
5751750,-91.5782470703125
5794500,-89.04375457763672
5838000,-86.92821502685547
5882000,-86.1363754272461
5926000,-94.78904724121094
5969250,-79.79405212402344
6012500,-93.66089630126953
6055250,-83.76022338867188
6097750,-97.30204772949219
6143000,-85.66513061523438
6185500,-91.3321304321289
6224250,-105.4734878540039
6264000,-94.43693542480469
6303500,-89.84918212890625
6341250,-88.11949157714844
6379500,-91.11617279052734
6418000,-89.26006317138672
6456000,-89.63030242919922
6497250,-86.58841705322266
6540250,-88.48904418945312
6582500,-89.70578002929688
6627750,-91.66986846923828
6671500,-93.42272186279297
6714500,-79.46044158935547
6757750,-93.0840835571289
6800750,-86.48072052001953
6844500,-88.22335815429688
6888500,-91.10926818847656
6934500,-86.26526641845703
6976750,-92.7008285522461
7019750,-91.60652923583984
7063500,-88.30223846435547
7107000,-95.51825714111328
7151500,-101.75829315185547
7196250,-96.76863861083984
7237500,-91.41505432128906
7279500,-108.80537414550781
7323250,-97.2945327758789
7367500,-100.55224609375
7410750,-97.29241180419922
7455000,-97.21524810791016
7498000,-95.28338623046875
7540500,-99.47880554199219
7584250,-88.09847259521484
7628250,-101.0719223022461
7671250,-90.9280014038086
7714250,-85.05408477783203
7758000,-74.85820007324219
7800750,-91.685546875
7844250,-93.3319320678711
7888500,-88.91525268554688
7931750,-93.08692169189453
7975250,-84.53136444091797
8020250,-91.02738189697266
8063250,-97.77467346191406
8105750,-94.18560791015625
8151000,-91.56021881103516
8195250,-86.26913452148438
8238000,-92.25740051269531
8282250,-90.63526153564453
8323250,-87.91963958740234
8366750,-88.00902557373047
8411500,-93.35245513916016
8455250,-99.0934829711914
8496500,-86.24581909179688
8540000,-101.12413787841797
8583000,-83.88750457763672
8626000,-87.28532409667969
8670250,-90.33845520019531
8715250,-96.74396514892578
8756000,-95.68619537353516
8799000,-102.33074951171875
8842500,-93.00836944580078
8884750,-85.13079071044922
8928750,-97.48765563964844
8972250,-90.02567291259766
9013250,-95.21992492675781
9056000,-88.51454162597656
9099250,-94.36258697509766
9142250,-92.19578552246094
9184750,-87.4806137084961
9228750,-84.45890045166016
9270750,-80.64707946777344
9313000,-93.48954772949219
9356500,-92.7745590209961
9400500,-91.51486206054688
9443750,-88.31391143798828
9487500,-89.50424194335938
9530250,-94.07813262939453
9572750,-91.07520294189453
9616250,-90.12333679199219
9661500,-104.39701843261719
9704500,-92.41232299804688
9747750,-91.54862976074219
9791250,-96.94949340820312
9835500,-90.06690216064453
9880000,-95.21107482910156
9926000,-95.04485321044922
9970500,-87.30323791503906
10013000,-87.82989501953125
10057500,-88.69166564941406
10102000,-93.30450439453125
10145500,-93.16189575195312
10192250,-100.94982147216797
10236500,-92.64308166503906
10278750,-95.82754516601562
10324000,-93.59747314453125
10367250,-86.7646484375
10410000,-88.8714370727539
10455250,-89.59278869628906
10500000,-88.6994857788086
10542750,-89.78315734863281
10587750,-95.7719497680664
10631750,-86.72587585449219
10676500,-95.40867614746094
10722000,-93.47748565673828
10766000,-98.57754516601562
10810250,-86.90068817138672
10854250,-98.53890991210938
10899500,-93.1158447265625
10943250,-96.53058624267578
10987250,-91.92776489257812
11031250,-82.48472595214844
11075750,-90.00638580322266
11119250,-88.5838851928711
11164500,-87.43164825439453
11209000,-95.1535415649414
11252750,-98.4442367553711
11298750,-91.51380157470703
11341500,-93.75413513183594
11385000,-87.22327423095703
11429750,-89.88323211669922
11473250,-85.27078247070312
11515750,-84.99193572998047
11559250,-85.23080444335938
11601250,-98.99356079101562
11643500,-94.35491943359375
11688500,-96.55928802490234
11732750,-87.11080932617188
11776750,-89.58321380615234
11819250,-98.92510223388672
11862500,-96.27291107177734
11904750,-95.28997039794922
11948000,-85.51349639892578
11993250,-99.20874786376953
12035750,-93.44900512695312
12078500,-84.76900482177734
12123250,-79.82917785644531
12165000,-93.70923614501953
12208500,-90.27975463867188
12254250,-94.44776916503906
12296500,-82.97355651855469
12339500,-100.56733703613281
12383000,-90.80571746826172
12426250,-90.17603302001953
12468750,-93.54055786132812
12513750,-89.84178161621094
12555000,-90.88592529296875
12592000,-88.6083984375
12631000,-94.02667999267578
12671000,-93.0640640258789
12710500,-89.84894561767578
12750000,-92.49983215332031
12790000,-91.46891021728516
12825250,-93.7470474243164
12862500,-91.21669006347656
12902250,-89.69224548339844
12939750,-85.70841979980469
12977250,-98.58377838134766
13007500,-83.39250183105469
13044000,-84.2227554321289
13080000,-83.30230712890625
13120000,-92.86264038085938
13158000,-90.0514907836914
13191250,-94.17225646972656
13226500,-98.6852035522461
13261000,-97.12492370605469
13292500,-89.62477111816406
13330250,-88.4278564453125
13369750,-95.05718994140625
13407000,-94.59384155273438
13444750,-95.99652099609375
13483250,-97.76691436767578
13520500,-83.38352966308594
13559750,-92.04547882080078
13600250,-96.07292175292969
13637750,-88.53944396972656
13675750,-82.04769897460938
13713750,-84.00702667236328
13748750,-86.65457153320312
13784500,-93.103759765625
13819000,-89.80036926269531
13854500,-100.16339111328125
13890750,-88.12767028808594
13929250,-91.92340087890625
13969000,-85.23928833007812
14007250,-92.58485412597656
14043500,-97.60447692871094
14077250,-81.90880584716797
14115500,-82.0696029663086
14153750,-91.07091522216797
14188500,-85.67306518554688
14216500,-90.63548278808594
14248250,-87.39873504638672
14279250,-85.30079650878906
14310500,-92.1888656616211
14346000,-95.03433227539062
14380250,-87.22994995117188
14415750,-92.3394775390625
14451250,-94.38836669921875
14485250,-94.30461120605469
14521750,-90.76251220703125
14556000,-85.85031127929688
14591750,-96.86837768554688
14627500,-90.86785125732422
14654250,-81.50636291503906
14688750,-81.17604064941406
14728250,-92.00493621826172
14766750,-87.88127899169922
14806500,-86.93228149414062
14847250,-91.8007583618164
14883750,-88.28910064697266
14921750,-90.11752319335938
14959250,-83.94552612304688
14998500,-94.57669830322266
15036500,-88.5042724609375
15076250,-85.69703674316406
15111500,-84.23809051513672
15152750,-91.64984130859375
15191250,-92.53271484375
15231500,-88.47042083740234
15273000,-89.49683380126953
15304750,-99.45174407958984
15342000,-90.5207748413086
15380000,-79.72180938720703
15413250,-91.34025573730469
15448500,-88.99253845214844
15481000,-87.40776824951172
15510250,-87.4990234375
15543250,-90.02165985107422
15577250,-90.99102783203125
15610750,-83.80393981933594
15645250,-90.93780517578125
15676500,-87.75686645507812
15707500,-90.13955688476562
15740750,-91.69676971435547
15776250,-83.3803939819336
15815000,-104.38479614257812
15853750,-85.32921600341797
15891750,-99.70040130615234
15925500,-88.92768096923828
15962000,-82.0355453491211
16001500,-87.57389831542969
16042500,-90.92618560791016
16081750,-84.0551528930664
16126250,-94.47650146484375
16167500,-87.94096374511719
16210000,-94.247314453125
16253500,-88.04926300048828
16298500,-86.30757141113281
16341250,-98.8268051147461
16385750,-85.3797378540039
16429000,-98.53437805175781
16471250,-95.77653503417969
16514500,-91.9272232055664
16557500,-95.18013763427734
16601750,-89.6260986328125
16645250,-84.03645324707031
16687250,-85.91502380371094
16731250,-81.85186004638672
16774000,-87.10222625732422
16817750,-80.49443054199219
16862000,-96.41703033447266
16903750,-95.67271423339844
16946250,-85.74444580078125
16989750,-88.56067657470703
17031500,-94.92764282226562
17075500,-99.7229995727539
17119500,-93.46084594726562
17161500,-93.50656127929688
17204250,-96.38452911376953
