step,reward
55250,-100.97808837890625
105750,-87.89497375488281
153250,-102.49932861328125
196750,-105.4902572631836
238250,-87.27421569824219
284000,-100.69961547851562
326750,-92.99934387207031
371000,-104.12229919433594
419250,-102.88591003417969
469750,-98.17021942138672
517750,-103.43037414550781
559500,-100.05389404296875
602500,-98.18770599365234
647500,-93.44160461425781
693000,-107.70040130615234
738250,-104.79078674316406
787000,-91.5758285522461
836500,-90.97077941894531
882500,-87.35220336914062
922250,-109.19252014160156
958750,-110.20433044433594
997500,-118.28179931640625
1035000,-95.22612762451172
1076750,-94.87622833251953
1117250,-98.12489318847656
1159250,-109.99406433105469
1199500,-109.30384063720703
1243250,-96.6988296508789
1286500,-110.77166748046875
1330500,-114.05976104736328
1376750,-115.29696655273438
1413750,-106.98423767089844
1458000,-106.75090026855469
1500000,-96.3212661743164
1543000,-117.80695343017578
1580750,-113.67547607421875
1624000,-108.97518157958984
1672750,-97.938232421875
1719000,-103.76091766357422
1758750,-107.72779083251953
1804000,-95.68363189697266
1847000,-100.213134765625
1889500,-109.55085754394531
1933000,-103.17794036865234
1974000,-103.7654800415039
2017250,-106.44783782958984
2061500,-107.29685974121094
2105250,-111.18415069580078
2150250,-108.14116668701172
2198500,-109.5710220336914
2245750,-98.0325927734375
2292250,-107.65818786621094
2339750,-99.84230041503906
2387250,-117.23246002197266
2432500,-111.62493896484375
2480750,-101.2161865234375
2527750,-103.39539337158203
2569750,-104.43890380859375
2618500,-109.90607452392578
2669250,-95.79209899902344
2719500,-94.34722900390625
2770250,-96.27959442138672
2820500,-108.30094909667969
2866000,-95.07439422607422
2913500,-95.17912292480469
2961250,-93.324462890625
3011000,-92.8640365600586
3057750,-98.66535949707031
3099000,-95.28848266601562
3142000,-91.46797943115234
3183750,-92.78485107421875
3226000,-100.47248077392578
3268250,-90.44345092773438
3314000,-93.02576446533203
3358500,-94.34358978271484
3402500,-83.7378921508789
3447250,-93.02396392822266
3493000,-94.27629852294922
3539000,-93.85674285888672
3582750,-87.91252136230469
3627000,-94.2319107055664
3673000,-94.51579284667969
3717500,-96.2677001953125
3763250,-95.69628143310547
3809750,-95.41987609863281
3853500,-97.30911254882812
3895000,-95.44729614257812
3936500,-90.7596435546875
3979000,-105.0748519897461
4021000,-92.43172454833984
4064750,-96.21034240722656
4104500,-98.59937286376953
4144250,-92.36582946777344
4187000,-99.40113067626953
4228000,-95.33113098144531
4266250,-96.28949737548828
4310000,-103.57708740234375
4348750,-98.5174331665039
4384250,-86.80014038085938
4424000,-92.16334533691406
4460750,-88.30693054199219
4499750,-97.41498565673828
4541000,-88.08654022216797
4579250,-91.56281280517578
4618000,-94.62327575683594
4656750,-96.5689926147461
4695250,-88.34134674072266
4734500,-88.55146026611328
4775750,-96.3178939819336
4814750,-89.43533325195312
4854000,-90.14340209960938
4892500,-112.57112121582031
4934500,-106.78985595703125
4974000,-97.43110656738281
5013250,-97.28584289550781
5054000,-92.5500259399414
5094000,-97.45365142822266
5136500,-100.07746887207031
5181500,-94.79013061523438
5226250,-99.32552337646484
5267250,-99.77792358398438
5307750,-103.449462890625
5347250,-109.56106567382812
5385500,-104.18272399902344
5427500,-94.69231414794922
5468500,-101.47816467285156
5507000,-91.20516967773438
5547250,-88.34752655029297
5587750,-90.38424682617188
5629750,-97.88814544677734
5675000,-97.0082015991211
5719750,-92.38155364990234
5762500,-90.56948852539062
5805250,-97.028076171875
5848500,-96.58251190185547
5891750,-95.85460662841797
5936250,-106.04647064208984
5982500,-91.13751983642578
6023500,-96.40738677978516
6067000,-97.68828582763672
6112000,-90.10704803466797
6155750,-103.45418548583984
6199500,-87.74047088623047
6240500,-91.72813415527344
6278500,-94.6049575805664
6318000,-82.39540100097656
6357500,-96.26880645751953
6395250,-81.4898452758789
6433750,-89.75690460205078
6474250,-88.96095275878906
6515000,-88.1276626586914
6559000,-83.45547485351562
6602250,-97.66637420654297
6647000,-96.03987884521484
6689750,-87.05126953125
6733500,-90.70365905761719
6777000,-94.11366271972656
6819750,-96.98739624023438
6862500,-91.37012481689453
6907000,-88.36224365234375
6950500,-101.47032928466797
6993500,-95.85350036621094
7038500,-94.75401306152344
7081000,-100.64228820800781
7125000,-86.77474975585938
7171250,-101.4309310913086
7214500,-99.14997100830078
7257500,-96.50255584716797
7299750,-88.46688079833984
7342750,-87.20699310302734
7386500,-97.44615936279297
7431750,-101.79947662353516
7476750,-99.78990936279297
7518750,-100.406005859375
7563250,-89.81438446044922
7607250,-97.44208526611328
7650500,-93.54595184326172
7694250,-96.9178466796875
7738250,-90.54084777832031
7779000,-94.16572570800781
7822750,-94.11322021484375
7867250,-101.5044937133789
7910500,-100.97171783447266
7954250,-84.88665771484375
7998500,-96.97541046142578
8040750,-94.57797241210938
8084750,-100.84888458251953
8128500,-86.3031997680664
8171500,-95.42939758300781
8215750,-96.16632080078125
8259250,-78.74964141845703
8301750,-99.75289916992188
8345000,-95.27228546142578
8388750,-88.08694458007812
8433000,-82.23710632324219
8477000,-99.540283203125
8521000,-91.16580200195312
8564500,-102.02568817138672
8606750,-85.39459228515625
8651250,-91.74727630615234
8696250,-97.17953491210938
8740250,-88.88975524902344
8782500,-92.93653869628906
8827000,-90.34661865234375
8869250,-98.00782775878906
8911500,-90.76130676269531
8956500,-86.34961700439453
8999750,-95.99085998535156
9040500,-105.45439910888672
9084750,-89.63448333740234
9127750,-110.50306701660156
9170250,-100.54320526123047
9215000,-93.23014068603516
9257500,-88.87138366699219
9298750,-96.20877075195312
9343500,-90.92742919921875
9387250,-86.74164581298828
9431000,-90.44222259521484
9475250,-100.40682220458984
9518250,-100.54114532470703
9561000,-94.08184051513672
9604500,-96.62356567382812
9648000,-91.16193389892578
9691500,-87.26203918457031
9735250,-96.40546417236328
9779750,-103.43843078613281
9821750,-89.77916717529297
9865500,-84.89952850341797
9911250,-93.25473022460938
9955750,-97.85047912597656
10001250,-92.83740234375
10045250,-90.03854370117188
10089000,-107.3673324584961
10133500,-97.6856689453125
10179000,-99.59661102294922
10224250,-97.14854431152344
10268250,-97.06781005859375
10312500,-103.31424713134766
10358250,-97.81262969970703
10400250,-94.87979125976562
10443750,-91.5038833618164
10488250,-92.94944763183594
10532750,-92.82798767089844
10576250,-93.76270294189453
10621750,-100.5052490234375
10665250,-89.95053100585938
10710250,-101.6841812133789
10756750,-111.30626678466797
10799750,-106.5604476928711
10844750,-103.81104278564453
10890000,-115.25955963134766
10933500,-116.45417022705078
10978000,-97.92467498779297
11023500,-107.65652465820312
11066750,-113.63973236083984
11110250,-107.68701934814453
11155000,-108.6456069946289
11198500,-103.81658935546875
11242250,-113.79217529296875
11288750,-103.6160888671875
11333500,-90.02592468261719
11376500,-101.42882537841797
11421750,-102.72012329101562
11465000,-99.90953063964844
11508250,-113.57999420166016
11552750,-96.56832885742188
11596000,-104.49818420410156
11638750,-105.7155532836914
11682250,-113.55460357666016
11727500,-103.37458801269531
11770500,-98.99011993408203
11815250,-106.53252410888672
11860000,-103.10873413085938
11902500,-103.0087890625
11945250,-92.2232894897461
11989750,-100.9812240600586
12033500,-102.87567901611328
12077750,-114.11046600341797
12121000,-100.78113555908203
12164000,-96.8387680053711
12206750,-90.36541748046875
12252000,-98.84913635253906
12296000,-97.74896240234375
12337500,-113.17982482910156
12381500,-100.96617126464844
12424750,-105.51915740966797
12467250,-106.37328338623047
12512750,-99.25721740722656
12556500,-104.45132446289062
12598000,-111.8113784790039
12636250,-109.42138671875
12675250,-108.73127746582031
12714000,-96.75196838378906
12755250,-98.91789245605469
12795250,-104.96925354003906
12833000,-96.05552673339844
12871000,-104.04227447509766
12910250,-98.45170593261719
12947750,-96.23680114746094
12985750,-106.15680694580078
13024250,-108.75489044189453
13053750,-101.7477035522461
13089000,-100.3791732788086
13126750,-107.2812728881836
13164750,-107.2101821899414
13201250,-111.83512115478516
13237750,-103.33916473388672
13270500,-108.6983642578125
13305000,-107.72124481201172
13337750,-109.61947631835938
13374750,-101.79158020019531
13412750,-100.12108612060547
13452250,-107.79824829101562
13490750,-100.99462127685547
13528500,-109.63119506835938
13567250,-104.67613220214844
13607250,-91.60083770751953
13645000,-102.83904266357422
13682000,-105.40531921386719
13721500,-99.44694519042969
13757750,-107.33049011230469
13792750,-100.76719665527344
13830250,-104.06907653808594
13863750,-97.93521881103516
13898000,-105.36092376708984
13935500,-94.4327392578125
13973250,-100.03536987304688
14011000,-109.49191284179688
14051500,-99.39279174804688
14089000,-105.15388488769531
14122500,-96.41355895996094
14160000,-107.62600708007812
14198250,-110.97823333740234
14235500,-95.0866470336914
14263750,-98.90035247802734
14295750,-100.33480834960938
14324750,-119.92945861816406
14357250,-99.51079559326172
14391500,-107.6821060180664
14425500,-98.24652862548828
14461250,-115.626708984375
14496000,-100.57601928710938
14531500,-93.79902648925781
14567750,-96.51028442382812
14601000,-104.48358917236328
