step,reward
45250,-109.82188415527344
89750,-109.88987731933594
132000,-110.25346374511719
173750,-124.48721313476562
216750,-101.37922668457031
258750,-127.21121215820312
302250,-99.782958984375
348750,-109.33992004394531
398250,-110.65812683105469
446250,-104.29757690429688
486500,-105.47122192382812
528250,-99.71569061279297
573750,-104.3351821899414
616250,-99.43458557128906
660250,-112.39531707763672
709250,-118.82315063476562
757000,-109.67916107177734
799250,-122.65388488769531
838750,-97.8187255859375
874250,-109.40496826171875
910500,-106.83275604248047
948000,-111.4289779663086
987500,-116.53535461425781
1025750,-101.87345886230469
1066500,-106.61100006103516
1107000,-108.40245056152344
1148250,-106.30782318115234
1191250,-126.06074523925781
1234500,-108.04087829589844
1278000,-110.55231475830078
1314750,-110.09716796875
1359750,-112.12369537353516
1399500,-120.406005859375
1441500,-94.22459411621094
1479000,-116.78193664550781
1522000,-99.2308578491211
1568000,-111.45952606201172
1614000,-114.27703857421875
1652000,-124.15174865722656
1695000,-107.0137710571289
1737750,-110.59713745117188
1778500,-114.71258544921875
1820000,-118.84873962402344
1861500,-106.72305297851562
1904250,-106.3537826538086
1945000,-106.82588195800781
1988750,-113.59852600097656
2035000,-114.80936431884766
2081250,-108.6541519165039
2127000,-109.00088500976562
2173000,-109.59083557128906
2218250,-108.0028076171875
2263500,-99.05704498291016
2309000,-112.05982208251953
2355000,-109.52090454101562
2399000,-107.1155776977539
2441500,-107.78028869628906
2487000,-116.44792938232422
2536000,-122.33492279052734
2586250,-129.9029083251953
2634750,-128.7955780029297
2681750,-115.82703399658203
2728500,-108.91795349121094
2772750,-110.69429016113281
2819250,-102.55302429199219
2869250,-92.43972778320312
2914250,-98.69739532470703
2952000,-103.15692138671875
2995500,-111.93123626708984
3036500,-107.45926666259766
3076250,-111.64437103271484
3118750,-114.90721893310547
3162750,-104.85999298095703
3205000,-112.14382934570312
3248500,-99.4976806640625
3291750,-96.31835174560547
3335250,-105.07545471191406
3380500,-102.12846374511719
3423750,-107.70775604248047
3466000,-107.60472106933594
3510750,-120.28441619873047
3554000,-108.7963638305664
3597250,-111.16204833984375
3642500,-124.29077911376953
3686000,-104.42382049560547
3724750,-107.02031707763672
3766000,-114.64757537841797
3807500,-99.66450500488281
3849250,-107.11402130126953
3890250,-106.56112670898438
3930750,-104.83467864990234
3967500,-119.25946044921875
4007500,-101.29762268066406
4049000,-106.97000885009766
4086500,-113.71119689941406
4126250,-114.83426666259766
4163500,-102.23442077636719
4200500,-111.98432159423828
4237000,-106.28917694091797
4273000,-112.76616668701172
4312500,-97.92266845703125
4351000,-105.4918441772461
4389750,-106.96004486083984
4428000,-93.86493682861328
4464000,-102.78903198242188
4502250,-108.19287872314453
4542000,-99.18960571289062
4580000,-106.0099105834961
4617500,-117.94364929199219
4656500,-118.81603240966797
4694250,-109.6286392211914
4733750,-103.56969451904297
4774250,-104.10049438476562
4812250,-115.3468246459961
4850500,-111.03327941894531
4891500,-111.5953140258789
4934000,-101.13480377197266
4977750,-108.2286376953125
5021250,-115.49044036865234
5062750,-115.88983154296875
5099250,-113.18387603759766
5138000,-110.30628204345703
5178250,-123.48786926269531
5217250,-111.11864471435547
5257250,-109.24540710449219
5296250,-105.43480682373047
5335250,-97.47026062011719
5374500,-111.0762710571289
5418000,-109.75384521484375
5460750,-119.41814422607422
5504250,-130.689453125
5546000,-99.3508529663086
5588500,-112.43987274169922
5629500,-116.6943359375
5673250,-95.4692153930664
5716500,-115.83390045166016
5758250,-105.83606719970703
5800750,-114.97017669677734
5844750,-106.15957641601562
5885250,-105.04508972167969
5928500,-117.61701202392578
5970750,-98.99715423583984
6008250,-113.42272186279297
6046000,-102.15080261230469
6085750,-114.51824951171875
6121250,-99.69041442871094
6157750,-124.57185363769531
6197000,-110.06704711914062
6234000,-103.60264587402344
6274250,-111.32620239257812
6317500,-94.23995208740234
6359500,-117.01067352294922
6402000,-106.87096405029297
6445750,-117.73975372314453
6488000,-109.97464752197266
6528250,-103.13776397705078
6571250,-100.3753662109375
6613750,-116.14153289794922
6655000,-111.53662109375
6698750,-109.70899963378906
6740500,-105.98438262939453
6783250,-122.28382873535156
6825000,-110.35043334960938
6869500,-110.94485473632812
6912250,-122.3674087524414
6954500,-124.74308776855469
6996500,-100.1618423461914
7038000,-105.07061767578125
7079500,-120.87625885009766
7123250,-110.11697387695312
7165500,-111.16374969482422
7206750,-100.56932830810547
7250000,-114.54751586914062
7292750,-107.13278198242188
7333000,-117.36504364013672
7377250,-109.13375091552734
7419750,-114.19206237792969
7461000,-116.17316436767578
7503250,-121.60334014892578
7545500,-99.6610107421875
7586500,-111.90100860595703
7630500,-111.98112487792969
7673750,-109.64840698242188
7714750,-108.09727478027344
7755750,-96.58184814453125
7799250,-115.0374984741211
7840000,-130.96861267089844
7883250,-105.60009002685547
7927500,-109.86644744873047
7968500,-107.3536148071289
8010000,-113.35835266113281
8052500,-116.80071258544922
8094250,-110.00179290771484
8137000,-100.32843780517578
8180500,-104.99357604980469
8221250,-107.29006958007812
8263250,-103.46487426757812
8306000,-105.57670593261719
8348750,-106.81756591796875
8391250,-103.70907592773438
8435000,-101.56460571289062
8476750,-100.68022918701172
8519500,-107.59082794189453
8561500,-109.93464660644531
8604000,-103.04727935791016
8646500,-102.30537414550781
8689000,-105.64116668701172
8731000,-100.70471954345703
8772000,-114.65107727050781
8813500,-101.86711883544922
8857000,-96.9634017944336
8899000,-103.06217193603516
8940750,-110.25601959228516
8982750,-116.07907104492188
9024000,-113.35615539550781
9065500,-103.63858795166016
