step,reward
10000,-319.4772644042969
20000,-294.9639892578125
30000,-308.7773132324219
40000,-271.53802490234375
50000,-281.8684387207031
60000,-273.49163818359375
70000,-250.1283416748047
80000,-252.89996337890625
90000,-274.36798095703125
100000,-250.34271240234375
110000,-269.751953125
120000,-245.45162963867188
130000,-253.42640686035156
140000,-240.14669799804688
150000,-234.15293884277344
160000,-237.70498657226562
170000,-233.68063354492188
180000,-254.1957550048828
190000,-254.59103393554688
200000,-269.33721923828125
210000,-258.0970458984375
220000,-249.0565185546875
230000,-229.41094970703125
240000,-236.7151336669922
250000,-228.44595336914062
260000,-219.0260772705078
270000,-234.73382568359375
280000,-238.54335021972656
290000,-236.54310607910156
300000,-231.17364501953125
310000,-235.2538299560547
320000,-215.0943603515625
330000,-238.25579833984375
340000,-217.12478637695312
350000,-228.5324249267578
360000,-219.37477111816406
370000,-242.8522186279297
380000,-226.1764373779297
390000,-190.71865844726562
400000,-210.37701416015625
410000,-220.93472290039062
420000,-224.92604064941406
430000,-215.48904418945312
440000,-215.2803497314453
450000,-210.2967987060547
460000,-204.88674926757812
470000,-209.909912109375
480000,-232.9380340576172
490000,-217.2402801513672
500000,-217.10299682617188
510000,-190.2052459716797
520000,-216.9274444580078
530000,-213.5558319091797
540000,-217.12196350097656
550000,-208.24325561523438
560000,-206.9005584716797
570000,-207.7914276123047
580000,-216.58802795410156
590000,-202.9229736328125
600000,-204.8411865234375
610000,-212.895263671875
620000,-207.5318603515625
630000,-190.77403259277344
640000,-194.13894653320312
650000,-199.26438903808594
660000,-205.05946350097656
670000,-203.21066284179688
680000,-199.56350708007812
690000,-193.9170379638672
700000,-188.4104461669922
710000,-193.66754150390625
720000,-203.04295349121094
730000,-205.85345458984375
740000,-188.06182861328125
750000,-181.8736572265625
760000,-215.827880859375
770000,-198.39134216308594
780000,-222.92416381835938
790000,-192.01927185058594
800000,-193.9425048828125
810000,-188.68972778320312
820000,-197.27297973632812
830000,-208.22174072265625
840000,-193.33628845214844
850000,-207.5531768798828
860000,-184.63467407226562
870000,-194.84475708007812
880000,-193.5515594482422
890000,-197.0592041015625
900000,-186.13914489746094
910000,-201.72491455078125
920000,-190.06149291992188
930000,-210.78515625
940000,-188.3536834716797
950000,-203.35784912109375
960000,-200.65896606445312
970000,-197.66934204101562
980000,-199.31509399414062
990000,-198.993408203125
1000000,-196.6117401123047
1010000,-191.4451904296875
1020000,-204.3394012451172
1030000,-200.61264038085938
1040000,-192.0779571533203
1050000,-189.3702392578125
1060000,-189.0975799560547
1070000,-181.3517608642578
1080000,-205.79513549804688
1090000,-192.6011505126953
1100000,-188.2232208251953
1110000,-186.1041717529297
1120000,-189.4915008544922
1130000,-218.5078887939453
1140000,-188.41238403320312
1150000,-190.72691345214844
1160000,-192.36582946777344
1170000,-179.2793731689453
1180000,-193.62860107421875
1190000,-197.54379272460938
1200000,-192.46505737304688
1210000,-192.77207946777344
1220000,-188.15684509277344
1230000,-207.337890625
1240000,-191.5562744140625
1250000,-181.94532775878906
1260000,-207.16514587402344
1270000,-187.93768310546875
1280000,-179.57199096679688
1290000,-177.4208526611328
1300000,-191.93145751953125
1310000,-199.37860107421875
1320000,-188.63665771484375
1330000,-189.8835906982422
1340000,-193.67169189453125
1350000,-174.03321838378906
1360000,-199.1529083251953
1370000,-180.60443115234375
1380000,-187.7930908203125
1390000,-186.7943115234375
1400000,-170.29925537109375
1410000,-182.79835510253906
1420000,-180.86630249023438
1430000,-206.60096740722656
1440000,-187.82965087890625
1450000,-186.86920166015625
1460000,-191.77102661132812
1470000,-199.4384307861328
1480000,-182.8640594482422
1490000,-181.36239624023438
1500000,-203.70782470703125
1510000,-173.95742797851562
1520000,-178.6819305419922
1530000,-191.28834533691406
1540000,-182.66688537597656
1550000,-189.6779327392578
1560000,-199.64108276367188
1570000,-196.1361846923828
1580000,-181.01144409179688
1590000,-191.37684631347656
1600000,-187.95648193359375
1610000,-186.1266632080078
1620000,-190.18385314941406
1630000,-189.07357788085938
1640000,-186.00767517089844
1650000,-178.44113159179688
1660000,-194.84854125976562
1670000,-195.85137939453125
1680000,-194.67066955566406
1690000,-183.06405639648438
1700000,-184.93099975585938
1710000,-187.9244384765625
1720000,-194.91134643554688
1730000,-187.46839904785156
1740000,-200.0023651123047
1750000,-185.4271697998047
1760000,-189.3506317138672
1770000,-179.1675567626953
1780000,-188.19207763671875
1790000,-182.17678833007812
1800000,-187.40274047851562
1810000,-182.75790405273438
1820000,-187.40011596679688
1830000,-191.47227478027344
1840000,-182.509521484375
1850000,-182.9519500732422
1860000,-183.80844116210938
1870000,-192.07179260253906
1880000,-175.11453247070312
1890000,-183.16729736328125
1900000,-183.3808135986328
1910000,-184.07827758789062
1920000,-182.98541259765625
1930000,-187.1632080078125
1940000,-195.64898681640625
1950000,-184.40115356445312
1960000,-181.71148681640625
1970000,-174.21832275390625
1980000,-181.1499481201172
1990000,-197.73348999023438
2000000,-176.5376434326172
