step,reward
10000,-309.3299255371094
20000,-302.4150695800781
30000,-304.3290100097656
40000,-274.1280822753906
50000,-272.1202392578125
60000,-272.18365478515625
70000,-273.6246643066406
80000,-265.30426025390625
90000,-285.3829650878906
100000,-261.3929443359375
110000,-254.6842803955078
120000,-271.747314453125
130000,-241.2551727294922
140000,-262.112060546875
150000,-261.4468688964844
160000,-262.90008544921875
170000,-274.77471923828125
180000,-250.4951629638672
190000,-247.882568359375
200000,-232.61822509765625
210000,-244.33763122558594
220000,-256.2550354003906
230000,-251.3226318359375
240000,-225.81668090820312
250000,-229.10055541992188
260000,-263.38177490234375
270000,-237.13047790527344
280000,-227.7570037841797
290000,-241.39675903320312
300000,-231.29774475097656
310000,-232.62744140625
320000,-252.30810546875
330000,-233.015625
340000,-233.26866149902344
350000,-237.85325622558594
360000,-215.5929718017578
370000,-234.61024475097656
380000,-231.95523071289062
390000,-227.64881896972656
400000,-219.18783569335938
410000,-216.2713165283203
420000,-226.64666748046875
430000,-203.9449920654297
440000,-216.8936309814453
450000,-216.27833557128906
460000,-226.44973754882812
470000,-206.24234008789062
480000,-226.220458984375
490000,-217.71058654785156
500000,-213.67019653320312
510000,-208.8220672607422
520000,-233.3045196533203
530000,-228.79454040527344
540000,-215.6100311279297
550000,-218.21102905273438
560000,-231.81422424316406
570000,-205.67816162109375
580000,-197.73789978027344
590000,-234.0722198486328
600000,-227.20941162109375
610000,-220.9927978515625
620000,-213.94252014160156
630000,-216.9384002685547
640000,-203.0370635986328
650000,-202.5896759033203
660000,-224.28314208984375
670000,-215.1573486328125
680000,-215.16876220703125
690000,-212.882080078125
700000,-213.6863555908203
710000,-207.3822479248047
720000,-216.9794464111328
730000,-209.4437255859375
740000,-197.8543701171875
750000,-202.59075927734375
760000,-198.7825164794922
770000,-202.9882049560547
780000,-193.38177490234375
790000,-194.9828338623047
800000,-200.58331298828125
810000,-207.55165100097656
820000,-199.35723876953125
830000,-201.2477569580078
840000,-215.3983154296875
850000,-213.78598022460938
860000,-216.18331909179688
870000,-199.0786895751953
880000,-202.10232543945312
890000,-208.62472534179688
900000,-203.1648712158203
910000,-207.28367614746094
920000,-207.6934051513672
930000,-204.70779418945312
940000,-216.23329162597656
950000,-198.9329376220703
960000,-192.97821044921875
970000,-200.7308807373047
980000,-204.66554260253906
990000,-200.5508575439453
1000000,-186.147216796875
1010000,-193.31686401367188
1020000,-210.6876983642578
1030000,-206.12423706054688
1040000,-209.0825653076172
1050000,-214.33590698242188
1060000,-209.39251708984375
1070000,-204.0510711669922
1080000,-195.93809509277344
1090000,-210.88803100585938
1100000,-205.4827423095703
1110000,-205.00564575195312
1120000,-204.77163696289062
1130000,-206.98155212402344
1140000,-189.09713745117188
1150000,-209.81719970703125
1160000,-200.36875915527344
1170000,-203.12921142578125
1180000,-205.2403564453125
1190000,-211.47296142578125
1200000,-195.23995971679688
1210000,-221.8500213623047
1220000,-201.43995666503906
1230000,-199.89366149902344
1240000,-194.37353515625
1250000,-202.20660400390625
1260000,-200.36427307128906
1270000,-202.25193786621094
1280000,-194.44357299804688
1290000,-190.27597045898438
1300000,-194.63380432128906
1310000,-190.2260284423828
1320000,-198.60548400878906
1330000,-188.62628173828125
1340000,-207.91087341308594
1350000,-204.00732421875
1360000,-197.77186584472656
1370000,-199.99502563476562
1380000,-179.53671264648438
1390000,-191.71002197265625
1400000,-201.41796875
1410000,-195.00686645507812
1420000,-190.2159423828125
1430000,-193.63206481933594
1440000,-185.08642578125
1450000,-190.71026611328125
1460000,-191.5083770751953
1470000,-192.98333740234375
1480000,-199.55813598632812
1490000,-179.7600860595703
1500000,-195.3496856689453
1510000,-198.44143676757812
1520000,-193.0645751953125
1530000,-198.84820556640625
1540000,-201.78504943847656
1550000,-194.71185302734375
1560000,-198.7655487060547
1570000,-191.80548095703125
1580000,-203.990478515625
1590000,-196.92030334472656
1600000,-196.19403076171875
1610000,-194.8710174560547
1620000,-201.01963806152344
1630000,-207.54115295410156
1640000,-190.75152587890625
1650000,-194.23104858398438
1660000,-184.21617126464844
1670000,-181.08506774902344
1680000,-184.14308166503906
1690000,-186.95289611816406
1700000,-186.7332000732422
1710000,-187.46226501464844
1720000,-202.32745361328125
1730000,-190.39442443847656
1740000,-186.3315887451172
1750000,-197.85826110839844
1760000,-181.60604858398438
1770000,-199.22372436523438
1780000,-182.63319396972656
1790000,-195.867919921875
1800000,-181.714599609375
1810000,-186.0912628173828
1820000,-184.57032775878906
1830000,-198.27000427246094
1840000,-199.5421142578125
1850000,-200.2623291015625
1860000,-184.6168212890625
1870000,-195.03643798828125
1880000,-190.1107635498047
1890000,-177.3832550048828
1900000,-200.3896942138672
1910000,-198.4885711669922
1920000,-192.95916748046875
1930000,-184.4224090576172
1940000,-189.1249542236328
1950000,-183.7636260986328
1960000,-186.29702758789062
1970000,-198.2912139892578
1980000,-201.24131774902344
1990000,-192.80787658691406
2000000,-196.00201416015625
