step,reward
2500,-106.52928161621094
5000,-96.6686019897461
7500,-100.5141372680664
10000,-104.85128784179688
12500,-123.32445526123047
15000,-104.7066650390625
17500,-102.12085723876953
20000,-122.07686614990234
22500,-107.28784942626953
25000,-104.64270782470703
27500,-113.07608032226562
30000,-111.2709732055664
32500,-122.03105926513672
35000,-112.54743194580078
37500,-128.2992706298828
40000,-126.59930419921875
42500,-107.51010131835938
45000,-112.1629409790039
47500,-110.03971862792969
50000,-123.75634765625
52500,-120.8169937133789
55000,-107.11048126220703
57500,-105.67023468017578
60000,-105.82270050048828
62500,-103.40970611572266
65000,-115.19116973876953
67500,-105.80742645263672
70000,-115.33165740966797
72500,-102.1823501586914
75000,-110.41813659667969
77500,-102.5616455078125
80000,-108.10901641845703
82500,-106.22162628173828
85000,-101.85417175292969
87500,-102.05747985839844
90000,-101.65531921386719
92500,-98.98854064941406
95000,-91.75164031982422
97500,-104.7713394165039
100000,-98.92779541015625
102500,-98.75828552246094
105000,-105.26002502441406
107500,-106.6666030883789
110000,-106.23426055908203
112500,-101.27218627929688
115000,-102.1021499633789
117500,-108.27345275878906
120000,-98.24393463134766
122500,-106.33104705810547
125000,-98.15582275390625
127500,-109.07630157470703
130000,-116.7809066772461
132500,-98.02818298339844
135000,-99.07379150390625
137500,-110.63024139404297
140000,-106.39713287353516
142500,-113.23353576660156
145000,-103.67729187011719
147500,-98.82344055175781
150000,-106.52114868164062
152500,-113.61447143554688
155000,-117.65738677978516
157500,-113.50494384765625
160000,-112.5027847290039
162500,-116.70938110351562
165000,-109.38297271728516
167500,-97.32683563232422
170000,-105.69168853759766
172500,-113.63277435302734
175000,-106.45355987548828
177500,-103.432861328125
180000,-108.64945220947266
182500,-106.91072082519531
185000,-101.12751770019531
187500,-105.00519561767578
190000,-97.15361785888672
192500,-103.94622802734375
195000,-105.9126968383789
197500,-106.36860656738281
200000,-107.5975570678711
202500,-107.56291961669922
205000,-113.52152252197266
207500,-105.05426025390625
210000,-111.6062240600586
212500,-106.51568603515625
215000,-97.81649017333984
217500,-110.7863998413086
220000,-101.32560729980469
222500,-111.89136505126953
225000,-93.08902740478516
227500,-105.7464370727539
230000,-105.57122039794922
232500,-106.67903137207031
235000,-114.98336029052734
237500,-107.41908264160156
240000,-101.07569122314453
242500,-106.42987060546875
245000,-103.91378021240234
247500,-104.59486389160156
250000,-105.07951354980469
252500,-104.73760986328125
255000,-120.0128173828125
257500,-121.23652648925781
260000,-114.23843383789062
262500,-102.90544891357422
265000,-110.7290267944336
267500,-97.95784759521484
270000,-111.32298278808594
272500,-107.89800262451172
275000,-109.14013671875
277500,-128.20599365234375
280000,-114.78052520751953
282500,-99.55732727050781
285000,-112.57369995117188
287500,-107.8765869140625
290000,-109.45072174072266
292500,-107.42626190185547
295000,-109.1944351196289
297500,-102.98078918457031
300000,-104.14826202392578
302500,-106.9933853149414
305000,-101.16414642333984
307500,-110.14198303222656
310000,-110.50296020507812
312500,-115.25385284423828
315000,-112.50558471679688
317500,-111.9217300415039
320000,-100.09258270263672
322500,-107.34381103515625
325000,-99.44999694824219
327500,-120.5052261352539
330000,-109.28900909423828
332500,-101.00027465820312
335000,-107.12921905517578
337500,-98.68619537353516
340000,-109.65084838867188
342500,-107.4213638305664
