step,reward
42000,-15.537875175476074
85250,-15.092123985290527
130500,-13.555805206298828
171250,-16.125530242919922
213500,-14.878206253051758
251000,-12.173518180847168
294500,-21.481304168701172
338250,-21.42652702331543
382000,-17.428651809692383
425250,-18.031097412109375
456750,-16.32399559020996
497250,-20.988513946533203
541000,-16.907955169677734
584750,-12.392054557800293
628250,-15.40928840637207
667000,-13.400090217590332
702250,-16.48105812072754
746500,-16.435928344726562
790500,-15.784392356872559
834000,-14.91804027557373
877250,-14.479228019714355
915250,-12.163143157958984
952250,-15.430957794189453
997250,-16.424713134765625
1040250,-14.91423511505127
1085000,-14.261916160583496
1128500,-14.462665557861328
1165750,-15.458110809326172
1201750,-15.745978355407715
1247250,-11.443674087524414
1290000,-13.482436180114746
1334750,-11.544610977172852
1377500,-13.734137535095215
1411250,-11.76307487487793
1451000,-12.686339378356934
1496000,-13.878726959228516
1539000,-11.413606643676758
1583750,-14.153646469116211
1623000,-10.198302268981934
1659500,-12.209260940551758
1701750,-14.247452735900879
1746750,-9.646170616149902
1789250,-13.771374702453613
1834500,-12.3267822265625
1870750,-11.455989837646484
1909500,-13.428783416748047
1952250,-13.165953636169434
1996750,-10.494458198547363
2039250,-14.012185096740723
2083000,-9.28156566619873
2118000,-14.303778648376465
2157000,-11.555754661560059
2198250,-12.162165641784668
2242500,-11.142895698547363
2284750,-12.838890075683594
2328750,-17.355693817138672
2364250,-13.803540229797363
2402250,-12.08820629119873
2445250,-13.859658241271973
2488750,-11.48237133026123
2530750,-11.45222282409668
2574250,-11.578123092651367
2608750,-10.77918815612793
2650500,-11.4367036819458
2694500,-9.454280853271484
2736750,-12.827696800231934
2780500,-16.28929901123047
2816250,-13.408943176269531
2855500,-12.998991012573242
2898500,-14.2642822265625
2942000,-12.732466697692871
2984250,-11.321836471557617
3027500,-14.619853019714355
3064750,-12.749429702758789
3102000,-11.502062797546387
3144000,-11.528005599975586
3187750,-19.31751251220703
3230250,-14.19032096862793
3273750,-11.088529586791992
3309000,-11.926605224609375
3347750,-12.293601989746094
3390500,-16.9927978515625
3433750,-12.969435691833496
3476000,-18.376720428466797
3519000,-12.694080352783203
3550750,-14.709687232971191
3592250,-13.530521392822266
3635000,-15.884940147399902
3678500,-14.864038467407227
3721000,-10.877558708190918
3758000,-11.955587387084961
3794250,-13.974617004394531
3838250,-12.898791313171387
3881250,-11.717732429504395
3924250,-13.867988586425781
3967000,-14.530399322509766
3999750,-11.815695762634277
4037750,-12.433993339538574
4081250,-9.55285358428955
4124250,-12.323427200317383
4167500,-11.445405006408691
4208750,-10.512804985046387
4245500,-15.366260528564453
4282750,-10.947218894958496
4326750,-11.391921043395996
4369250,-12.832371711730957
4411500,-11.133782386779785
4455750,-11.77502155303955
4493750,-10.352478981018066
4532250,-12.965300559997559
4576250,-11.991565704345703
4620750,-12.075035095214844
4663750,-11.042414665222168
4708750,-13.527657508850098
4741250,-12.106297492980957
4783250,-13.690268516540527
4826250,-14.81589126586914
4870750,-12.141241073608398
4913500,-10.80757999420166
4955250,-13.232181549072266
4991500,-11.747241020202637
5036000,-14.183978080749512
5079000,-11.884906768798828
5124250,-15.08079719543457
5166750,-22.377466201782227
5204000,-14.558473587036133
5241500,-13.40472412109375
5286750,-16.436325073242188
5330250,-15.316143989562988
5374500,-16.548107147216797
5416250,-17.71182632446289
5453250,-15.622298240661621
5490750,-15.095196723937988
5534750,-16.020238876342773
5577250,-25.798032760620117
5621250,-13.069376945495605
5663750,-13.797743797302246
5699250,-13.484145164489746
5738250,-13.651161193847656
5782250,-17.95836067199707
5825000,-14.946645736694336
5868750,-16.226369857788086
5910250,-16.649850845336914
5945250,-12.561330795288086
5986250,-12.937299728393555
6031000,-13.973499298095703
