step,reward
2500,-26.37643814086914
5000,-28.606266021728516
7500,-26.803537368774414
10000,-18.44090461730957
12500,-24.665374755859375
15000,-20.309005737304688
17500,-20.44272232055664
20000,-18.19470977783203
22500,-23.26711082458496
25000,-14.8175048828125
27500,-17.929468154907227
30000,-19.13637351989746
32500,-21.058229446411133
35000,-16.461139678955078
37500,-15.211874961853027
40000,-19.266643524169922
42500,-14.02103042602539
45000,-17.57631492614746
47500,-16.153364181518555
50000,-17.381454467773438
52500,-18.854711532592773
55000,-12.694390296936035
57500,-13.367048263549805
60000,-17.7268009185791
62500,-16.06930923461914
65000,-12.7947416305542
67500,-13.06912612915039
70000,-16.25690269470215
72500,-15.855260848999023
75000,-17.6782283782959
77500,-14.156071662902832
80000,-23.06045150756836
82500,-10.933242797851562
85000,-14.080741882324219
87500,-16.257217407226562
90000,-13.14720630645752
92500,-17.42080307006836
95000,-15.888890266418457
97500,-12.883498191833496
100000,-14.566691398620605
102500,-16.70087432861328
105000,-11.988588333129883
107500,-16.505205154418945
110000,-18.640762329101562
112500,-12.396446228027344
115000,-14.456826210021973
117500,-14.236102104187012
120000,-13.942143440246582
122500,-13.835360527038574
125000,-14.801775932312012
127500,-15.722188949584961
130000,-16.604080200195312
132500,-20.558120727539062
135000,-15.23813533782959
137500,-17.727081298828125
140000,-13.968141555786133
142500,-10.759908676147461
145000,-16.81800079345703
147500,-11.991291999816895
150000,-12.498156547546387
152500,-11.34240436553955
155000,-13.753796577453613
157500,-15.60995101928711
160000,-14.598590850830078
162500,-12.61829662322998
165000,-16.203081130981445
167500,-14.107118606567383
170000,-13.070133209228516
172500,-12.779590606689453
175000,-17.90096092224121
177500,-11.291522979736328
180000,-16.45878028869629
182500,-13.524197578430176
185000,-13.652447700500488
187500,-15.477008819580078
190000,-16.61150550842285
192500,-12.865814208984375
195000,-14.3850679397583
197500,-17.643386840820312
200000,-15.080536842346191
202500,-17.784648895263672
205000,-13.1950101852417
207500,-16.3331298828125
210000,-16.1945858001709
212500,-13.590582847595215
215000,-19.839889526367188
217500,-12.499244689941406
220000,-15.21627140045166
222500,-15.058324813842773
225000,-17.87506866455078
227500,-15.215648651123047
230000,-16.028404235839844
232500,-13.411219596862793
235000,-12.374533653259277
237500,-15.433001518249512
240000,-15.035017967224121
242500,-12.68402099609375
245000,-15.703812599182129
247500,-20.163137435913086
250000,-12.617989540100098
252500,-16.9955997467041
255000,-15.259187698364258
257500,-18.99673843383789
260000,-16.496854782104492
262500,-14.143486022949219
265000,-12.028499603271484
267500,-15.895342826843262
270000,-13.816681861877441
272500,-12.697689056396484
275000,-16.594642639160156
277500,-17.33061408996582
280000,-13.714046478271484
282500,-17.24220848083496
285000,-15.093928337097168
287500,-15.355237007141113
290000,-19.617412567138672
292500,-21.30295181274414
295000,-19.970773696899414
297500,-13.837461471557617
300000,-12.867374420166016
302500,-14.429243087768555
305000,-14.938751220703125
307500,-15.18902587890625
310000,-15.5244779586792
312500,-12.827884674072266
315000,-15.46204948425293
317500,-15.281379699707031
320000,-15.235243797302246
322500,-17.200580596923828
325000,-14.122328758239746
327500,-12.759061813354492
330000,-15.734967231750488
332500,-13.65010929107666
335000,-13.668797492980957
337500,-17.274961471557617
340000,-14.723522186279297
342500,-15.344368934631348
345000,-17.482519149780273
347500,-14.589679718017578
350000,-18.33943748474121
352500,-15.608790397644043
355000,-19.30414581298828
357500,-18.28304100036621
360000,-15.978392601013184
362500,-15.902095794677734
365000,-16.687211990356445
367500,-14.271286964416504
370000,-16.60526466369629
372500,-18.207109451293945
375000,-17.354358673095703
377500,-16.827743530273438
380000,-16.690998077392578
382500,-14.361430168151855
385000,-15.163883209228516
387500,-15.914555549621582
390000,-15.160988807678223
392500,-15.378807067871094
395000,-16.344728469848633
397500,-16.639148712158203
400000,-17.71194839477539
402500,-14.739239692687988
405000,-18.583707809448242
407500,-16.82366180419922
410000,-16.778751373291016
412500,-14.230586051940918
415000,-15.348645210266113
417500,-17.365131378173828
420000,-17.687223434448242
422500,-15.368269920349121
425000,-16.759342193603516
427500,-13.824408531188965
430000,-17.52871322631836
432500,-16.467269897460938
435000,-20.60463523864746
437500,-15.999180793762207
440000,-14.41200065612793
442500,-13.070077896118164
445000,-13.160175323486328
447500,-22.18290138244629
450000,-16.260982513427734
452500,-16.872346878051758
455000,-10.506635665893555
457500,-16.6451416015625
460000,-15.487513542175293
462500,-18.86273765563965
465000,-14.927739143371582
467500,-14.503185272216797
470000,-16.442087173461914
472500,-12.995283126831055
475000,-13.151825904846191
477500,-14.710474967956543
480000,-13.710799217224121
482500,-10.449824333190918
485000,-13.980504989624023
487500,-15.968189239501953
490000,-12.59591293334961
492500,-18.529016494750977
495000,-17.235239028930664
497500,-14.91407585144043
500000,-16.13506317138672
502500,-16.28240394592285
505000,-16.291229248046875
507500,-13.717918395996094
510000,-15.173164367675781
512500,-16.371564865112305
515000,-16.299528121948242
517500,-11.213942527770996
520000,-14.131211280822754
522500,-12.252371788024902
525000,-16.786989212036133
527500,-16.58124351501465
530000,-17.53228759765625
532500,-14.04148006439209
535000,-13.90239429473877
537500,-13.151680946350098
540000,-15.067777633666992
542500,-18.91929817199707
545000,-19.529266357421875
547500,-15.060303688049316
550000,-17.895217895507812
552500,-15.568902969360352
555000,-14.788597106933594
557500,-14.88015079498291
560000,-17.982797622680664
562500,-19.031776428222656
565000,-16.553131103515625
567500,-15.390884399414062
570000,-16.418249130249023
572500,-14.480433464050293
575000,-12.845732688903809
577500,-11.198343276977539
580000,-14.524567604064941
582500,-13.52817153930664
585000,-17.027877807617188
587500,-11.587353706359863
590000,-16.383472442626953
592500,-16.555496215820312
595000,-15.195159912109375
597500,-14.602018356323242
600000,-13.25039291381836
602500,-17.318193435668945
605000,-16.386512756347656
607500,-16.57571029663086
610000,-12.83653736114502
612500,-16.612903594970703
615000,-14.20754337310791
617500,-17.58315658569336
620000,-13.584526062011719
622500,-15.516408920288086
625000,-14.076801300048828
627500,-13.3842134475708
630000,-18.85873031616211
632500,-15.50606632232666
635000,-14.59210205078125
637500,-12.736066818237305
640000,-13.3982572555542
642500,-16.76604461669922
645000,-17.344900131225586
647500,-17.446359634399414
650000,-12.724052429199219
652500,-15.760232925415039
655000,-15.800174713134766
657500,-15.063502311706543
660000,-16.61332893371582
662500,-19.816810607910156
665000,-14.640166282653809
667500,-11.783697128295898
670000,-18.356441497802734
672500,-16.93425750732422
675000,-18.28580665588379
677500,-17.116979598999023
680000,-18.562335968017578
682500,-16.963245391845703
685000,-15.577584266662598
687500,-17.553630828857422
690000,-17.25493621826172
692500,-19.86073112487793
695000,-14.603323936462402
697500,-20.03522300720215
700000,-12.99795913696289
702500,-19.5100040435791
705000,-17.200153350830078
707500,-21.301639556884766
710000,-15.189611434936523
712500,-17.56027603149414
715000,-16.45244598388672
717500,-16.361080169677734
720000,-16.92184066772461
722500,-17.89541244506836
725000,-16.94158363342285
727500,-19.062145233154297
730000,-15.626657485961914
732500,-17.200984954833984
735000,-19.410694122314453
737500,-18.95965003967285
740000,-17.51020622253418
742500,-21.96969223022461
745000,-15.599291801452637
747500,-16.502643585205078
750000,-15.11133861541748
752500,-22.126279830932617
755000,-18.18705940246582
757500,-18.83062744140625
760000,-15.538776397705078
762500,-20.77488899230957
765000,-23.10139274597168
767500,-26.79384994506836
770000,-19.64155387878418
772500,-20.03713035583496
775000,-17.547313690185547
777500,-23.239330291748047
780000,-17.45522689819336
782500,-21.216947555541992
785000,-25.064132690429688
787500,-20.181049346923828
790000,-20.686426162719727
792500,-18.051721572875977
