step,reward
87000,-20.200000762939453
184250,-25.0
283750,-1.2000000476837158
383750,-29.200000762939453
485000,-19.399999618530273
586250,-34.0
687000,-39.0
788250,-47.400001525878906
889750,-49.0
989500,-15.600000381469727
1090500,-30.200000762939453
1192500,-25.0
1293750,-15.0
1395000,-20.399999618530273
1498500,-29.600000381469727
1600500,-25.200000762939453
1702000,-25.0
1806250,-15.0
1908750,-25.0
2011000,-20.0
2113750,-25.0
2215750,-30.0
2318000,-25.0
2421250,-30.0
2523500,-20.0
2626000,-25.0
2729500,-30.0
2832250,-30.0
2934750,-35.0
3037500,-25.0
3141500,-15.0
3244250,-25.0
3348500,-30.0
3451750,-30.0
3554750,-20.0
3658500,-20.0
3761750,-20.0
3864500,-30.0
3967500,-35.0
4069500,-20.0
4172500,-20.0
4276500,-25.0
4378500,-35.0
4480500,-25.0
4586500,-30.0
4687500,-25.0
4789750,-15.0
4892750,-25.0
4995250,-25.0
5098000,-20.0
5200000,-20.0
5302500,-30.0
5405750,-30.0
5509500,-15.0
5612250,-25.0
5714750,-35.0
5818750,-30.0
5920750,-35.0
6021750,-30.0
6123750,-15.0
6224750,-25.0
6327500,-10.0
6430500,-20.0
6533000,-25.0
6635500,-25.0
6739750,-25.0
6841750,-35.0
6944750,-40.0
7047750,-20.0
7150000,-15.0
7251500,-30.0
7355000,-25.0
7457500,-30.0
7560500,-20.0
7664250,-25.0
7766750,-15.0
7869250,-30.0
7974250,-35.0
8077500,-10.0
8180250,-15.0
8282500,-15.0
8383750,-25.0
8486000,-30.0
8588750,-25.0
8692000,-25.0
8794000,-5.0
8896000,-20.0
8999250,-12.600000381469727
9102250,-29.799999237060547
9204500,-10.199999809265137
9308750,-25.0
9411500,-25.0
9513000,-30.0
9614250,-15.0
9718500,-15.0
9820250,-29.799999237060547
9923500,-35.0
10025750,-20.0
10129000,-20.0
10230500,-35.0
10333500,-1.600000023841858
10436000,-1.2000000476837158
10538750,-4.800000190734863
10641250,-0.6000000238418579
10746250,-1.0
10849750,-26.799999237060547
10953500,-33.0
11055000,-23.799999237060547
11157000,-14.199999809265137
11259250,-1.399999976158142
11362750,-1.399999976158142
11466750,-25.0
11569250,-1.600000023841858
11672500,-1.0
11774750,-1.0
11879250,-4.199999809265137
11982000,-1.399999976158142
12085250,-8.800000190734863
12189250,-12.399999618530273
12293250,-33.400001525878906
12396000,-24.0
12499500,-39.20000076293945
12600250,-23.0
12701750,-13.800000190734863
12805500,-35.0
12908500,-25.0
13011500,-30.0
13114500,-20.0
13216000,-20.0
13318750,-30.0
13421250,-20.0
13523000,-15.0
13625500,-25.0
13727750,-20.0
13828250,-10.0
13930500,-20.0
14033000,-30.0
14136000,-25.0
14239750,-20.0
14342750,-20.0
14445250,-30.0
14547000,-30.0
14650750,-30.0
14753750,-25.0
14855000,-15.0
14956750,-30.0
15060250,-10.0
15161000,-15.0
15263000,-30.0
15364250,-30.0
15466750,-35.0
15568750,-20.0
15670000,-40.0
15772500,-20.0
15875000,-35.0
15975500,-20.0
16077500,-30.0
16179750,-20.0
16281750,-10.0
16383250,-20.0
16486750,-30.0
16588750,-40.0
16690250,-25.0
16792500,-20.0
16895750,-20.0
16997000,-15.0
17099250,-30.0
17201000,-10.0
17302250,-25.0
17405000,-25.0
17508500,-15.0
17610500,-25.0
17714000,-35.0
17814750,-30.0
17916500,-25.0
18019250,-30.200000762939453
18119250,-30.0
18222000,-15.0
18324250,-15.0
18425250,-15.0
18527000,-20.0
18628750,-30.0
18730500,-25.0
18832500,-20.0
18933750,-25.0
19037250,-20.0
19139750,-35.0
19242000,-25.0
19342500,-35.0
19444250,-15.0
19545500,-20.0
19646750,-20.0
19747250,-30.0
19849250,-30.0
19952000,-10.0
